"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4291944822%2C4291944246%2C4294967269%26matchBoolean%3Dtrue",2015/06/22 16:13:02
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Characteristics of high-transmission-probability tunnel junctions for use as particle detectors","Stricker, D.A.; Alba, G.P.; Anderson, C.C.; Bing, D.D.; Bland, R.W.; Dickson, S.C.; Dignan, T.G.; Gagnon, P.; Johnson, R.T.; Seneclauze, C.M.","Dept. of Phys. & Astron., San Francisco State Univ., CA, USA","Magnetics, IEEE Transactions on","20020806","1989","25","2","1343","1346","Interest in the problem of the galactic dark matter has stimulated development of particle detectors sensitive to very low energies. The authors describe superconducting tunnel junctions with thin barriers which may be suitable for this purpose. They present I-V (current-voltage) characteristics and data on the temperature dependence of the subgap tunneling current. They examine the barrier transmission probability and the resistance of the null junction. They also present some scanning-electron-microscope observations of the thin films of the tunnel junctions, which show that faster deposition produces smaller grains and increasing film thickness results in larger grains from an apparent fusing of smaller grains","0018-9464","","","10.1109/20.92544","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=92544","","Insulation;Josephson junctions;Plasma measurements;Radiation detectors;Strips;Superconducting films;Superconducting thin films;Tin;X-ray detection;X-ray detectors","grain size;particle detectors;scanning electron microscope examination of materials;superconducting junction devices;superconducting thin films;superconductive tunnelling","I-V characteristics;SEM;barrier transmission probability;galactic dark matter;grain size;high-transmission-probability tunnel junctions;null junction resistance;particle detectors;subgap tunnelling current;superconducting tunnel junctions;temperature dependence;thin barriers;very low energies","","0","","8","","","Mar 1989","","IEEE","IEEE Journals & Magazines"
"Lateral bipolar transistor fabricated on a deep-submicron technology","Gomez, R.; Neudeck, G.W.; Bashir, R.","Dept. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA","University/Government/Industry Microelectronics Symposium, 1999. Proceedings of the Thirteenth Biennial","20020806","1999","","","37","42","The performance of a NPN Lateral Bipolar Transistor (LBJT), based on a minimally modified submicron MOSFET without gate oxide, was studied by means of simulations and measurements on fabricated devices. Large-tilt angle, single-sided implants were successfully used to control the breakdown voltage by tailoring the asymmetric collector doping profile in a self-aligned way. Because of the lack of carrier confinement in the base of devices built on bulk silicon the common emitter current gain is lower than one. Two options for solving this problem were studied using simulators: Building the LBJT on Silicon-On-Insulator (SOI) or introducing SiGe into the base. This project was developed in close cooperation with National Semiconductor Corp., Santa Clara, California","","0-7803-5240-8","","10.1109/UGIM.1999.782818","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=782818","","Bipolar transistors;CMOS integrated circuits;CMOS process;Contamination;Fabrication;Implants;MOSFET circuits;Ohmic contacts;Silicon;Substrates","bipolar transistors;doping profiles;ion implantation;semiconductor device breakdown","SOI substrate;SiGe base;breakdown voltage;deep-submicron technology;doping profile;ion implantation;lateral bipolar transistor;self-aligned fabrication","","1","3","19","","","1999","20 Jun 1999-23 Jun 1999","IEEE","IEEE Conference Publications"
"Study on the Emergence of Research University's Core Competence System","Feng Min; Wan Zhixin; Chang Lei","Sch. of Languages, Shanghai Inst. of Foreign Trade, Shanghai, China","Business Computing and Global Informatization (BCGIN), 2011 International Conference on","20110825","2011","","","51","53","A study on the emergence is beneficial to the understanding and mastery of the basic rules governing the development of Research University's core competence system. The emergence of this system originates from its features, such as non-linearity, self-organized behavior, openness and so forth, as well as the complicated system environment, non-conservation of systematic knowledge and intelligence of the subject. Full play of the material effect, the scale effect, the structural effect and the environmental effect will contribute to the continuous emergence of Research University's core competence system, and therefore the new properties and hierarchies of core competence system emerge.","","978-1-4577-0788-9","978-0-7695-4464-9","10.1109/BCGIn.2011.21","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6003824","Research University;core competence;emergence;system","Artificial intelligence;Complexity theory;Cultural differences;Education;Organizing;Shape;Systematics","educational institutions;physics education","complicated system environment;environmental effect;material effect;nonlinearity;openness;research university core competence system;scale effect;self-organized behavior;structural effect;subject intelligence;systematic knowledge nonconservation","","0","","6","","","29-31 July 2011","","IEEE","IEEE Conference Publications"
"Data Hiding for Binary Documents Robust to Print-Scan, Photocopy and Geometric Distortions","Hae Yong Kim; Mayer, J.","Univ. de Sao Paulo, Sao Paulo","Computer Graphics and Image Processing, 2007. SIBGRAPI 2007. XX Brazilian Symposium on","20071029","2007","","","105","112","This paper presents a data hiding technique for printed bicolor documents. It inserts tiny dots, hardly noticeable at normal reading distance, to embed the message. For message extraction, we employ autocorrelation and tiny registration dots to rectify geometric distortions. This technique is robust to distortions resulting from print-scan operations, good quality photocopies, affine transformations and scribblings/stains on the paper. The technique can be applied to documents with large white (or black) areas and they may present characters, drawings, schematics, diagrams, cartoons, but not halftones. The technique is intended to be neither a robust watermark (because any filtering can remove the dots) nor a covert communication (because the dots are perceptible at short distance). Nevertheless, when combined with a perceptual hashing and a cryptography protocol, it can be applied as semi-fragile authentication watermarking for hardcopy two-tone documents. In some situations, the utilization of the proposed system can substitute the use of notarial authenticated photocopies.","1530-1834","978-0-7695-2996-7","","10.1109/SIBGRAPI.2007.31","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4368174","","Amplitude modulation;Authentication;Data encapsulation;Gray-scale;Modulation coding;Optical distortion;Printers;Printing;Robustness;Watermarking","correlation methods;cryptographic protocols;data encapsulation;document image processing;watermarking","affine transformations;autocorrelation;binary documents;cryptography protocol;data hiding;geometric distortions;good quality photocopies;message extraction;perceptual hashing;print-scan operations;printed bicolor documents;semi-fragile authentication watermarking;tiny registration dots","","1","","24","","","7-10 Oct. 2007","","IEEE","IEEE Conference Publications"
"Phonon-mediated detection of X-rays in silicon crystals using superconducting transition edge phonon sensors","Young, B.A.; Cabrera, B.; Lee, A.; Martoff, C.J.; Neuhauser, B.; McVittie, J.P.","Dept. of Phys., Stanford Univ., CA, USA","Magnetics, IEEE Transactions on","20020806","1989","25","2","1347","1350","The authors present data on the operation of thin-film superconducting strips of titanium as phonon sensors on the surface of silicon crystals. The superconducting films are biased at the foot of the resistive transition in temperature and below the critical latching current (the current above which a normal region in the film grows from self-heating). The interaction of an incident X-ray in the Si crystal generates a phonon source which propagates to the surface at the speed of sound. Such an event produces a several-microsecond-long self-terminating voltage pulse which is proportional to the amount of the sensor area driven normal. It is shown that these Ti superconducting transition edge sensors operated at 0.3 K have sufficient resolution for detecting particles with energy deposition above several keV, which makes them good candidates for use in neutrino (and other) experiments","0018-9464","","","10.1109/20.92545","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=92545","","Acoustic sensors;Crystals;Phonons;Semiconductor thin films;Silicon;Superconducting films;Superconducting thin films;Thin film sensors;X-ray detection;X-ray detectors","X-ray detection and measurement;elemental semiconductors;lattice phonons;neutrino detection and measurement;particle detectors;silicon;superconducting junction devices;superconducting thin films;titanium","Si crystal surface;Ti film;critical latching current;energy deposition;neutrino detection;particle detection;phonon mediated X-ray detection;phonon source;resistive transition;self-terminating voltage pulse;superconducting transition edge phonon sensors;thin-film superconducting strips","","1","2","4","","","Mar 1989","","IEEE","IEEE Journals & Magazines"
"Synthesis and stability of a multirate repetitive learning controller","James, C.; Sadegh, N.","Xerox Corp., Rochester, NY, USA","American Control Conference, 1999. Proceedings of the 1999","20020806","1999","1","","358","362 vol.1","We introduce a multirate repetitive learning controller that can be used as an “add-on” module to further enhance the performance of a feedback control system. As a result of its multirate characteristic, the user can choose a sampling rate to achieve the required performance based on the trade-off between the accuracy and complexity of the controller. This controller learns the plant input based on the tracking error down-sampled using a weighted averaging filter. The learned input is subsequently passed to the plant through an arbitrary hold mechanism determined by the user. The paper extends the existing stability results for single-rate repetitive controllers to the proposed multirate controller. It also provides an explicit procedure for its design and stability analysis","0743-1619","0-7803-4990-3","","10.1109/ACC.1999.782801","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=782801","","Control systems;Error correction;Feedback control;Filters;Frequency;Mechanical engineering;Sampling methods;Stability analysis;Stability criteria;Trajectory","control system synthesis;discrete time systems;feedback;learning systems;multivariable control systems;stability;tracking","LTI systems;SISO systems;discrete time systems;feedback;learning control;multirate control;repetitive control;sampling rate;stability;tracking;weighted averaging filter","","0","","16","","","1999","02 Jun 1999-04 Jun 1999","IEEE","IEEE Conference Publications"
"Calculation of Operational Loss Distribution via Bayesian MCMC Algorithm: Evidence from China's Commercial Banks","Fei Jin; Jun Wu; Qiren Liu","Sch. of Econ., Xiamen Univ., Xiamen, China","Business Computing and Global Informatization (BCGIN), 2011 International Conference on","20110825","2011","","","54","57","This paper reviews the operational risk data of China's commercial banks from 1994 to 2008, and studies its type of distribution. In order to precisely capture the profile of the operational loss and event distribution of China's commercial banks, we select the operational risk loss distribution type with the Bayesian inference and test the GEV distribution on AIC and BIC standard. As closed-form solutions are not available for the operational risk distributions, we turn to the Bayesian MCMC algorithm for robust test on the selection. The result shows that with the increase of the iterations, the variance of estimated parameters becomes smaller, so we conclude that the operational risk loss distribution for China's commercial banks meets the Generalized Extreme Value (GEV) distribution.","","978-1-4577-0788-9","978-0-7695-4464-9","10.1109/BCGIn.2011.22","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6003825","Bayesian;Markov Chain;Monta Carlo;Operational loss","Algorithm design and analysis;Banking;Bayesian methods;Business;Gaussian distribution;Markov processes;Media","Bayes methods;Markov processes;Monte Carlo methods;banking;inference mechanisms","AIC standard;BIC standard;Bayesian inference;China commercial banks;bayesian MCMC algorithm;generalized extreme value distribution;operational loss distribution calculation;operational risk data","","0","","9","","","29-31 July 2011","","IEEE","IEEE Conference Publications"
"Semi-global Output Regulation of Nonlinear Systems with Nonlinear Exosystems","Zhengtao Ding; Chen, C.","Univ. of Manchester, Manchester","Control and Automation, 2007. ICCA 2007. IEEE International Conference on","20071105","2007","","","1519","1524","This paper studies the semi-global output regulation problem for a class of nonlinear systems in the normal form under disturbances generated from nonlinear exosystems. By using a circle criterion and high gain design technique, a new nonlinear internal model is proposed to deal with the nonlinearities of the exosystems and to generate the desired input term for output regulation. It is shown that the proposed partial-state feedback control method ensures the semi-global convergence of the regulated variable.","","978-1-4244-0818-4","978-1-4244-0818-4","10.1109/ICCA.2007.4376615","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4376615","","Automatic control;Automation;Bioinformatics;Control systems;Feedback control;Linear systems;Mechanical variables control;Nonlinear control systems;Nonlinear systems;Output feedback","control nonlinearities;control system synthesis;nonlinear control systems;state feedback","circle criterion;exosystems nonlinearities;high gain design technique;nonlinear systems;partial-state feedback control method;semiglobal output regulation","","0","","15","","","May 30 2007-June 1 2007","","IEEE","IEEE Conference Publications"
"Regular M-band modulated orthogonal transforms","Mau, J.","Dept. of Picture Coding & Psychovisual Studies, CCETT, Cesson Sevigne, France","Acoustics, Speech, and Signal Processing, 1994. ICASSP-94., 1994 IEEE International Conference on","20020806","1994","iii","","III/125","III/128 vol.3","This paper aims to merge into an extended unique filter banks family the well-studied orthogonal 2-band solutions and all known M-band perfect reconstruction modulated filter banks. These new modulated orthogonal transforms give much more freedom in the design of the filter banks and suppress most of the limitations of the previously known modulated solutions. All unitary transforms can now be used for the “modulation” process, the prototype filter is not to be linear phase and furthermore it is possible to derive solutions which are both orthogonal and linear phase (for M>2). Furthermore it is easy to impose additional constraints so that for arbitrary M, the modulated orthogonal transforms should be considered as M-band orthogonal wavelets","1520-6149","0-7803-1775-0","","10.1109/ICASSP.1994.390074","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=390074","","Chirp modulation;Filter bank;Image coding;Image reconstruction;Modulation coding;Nonlinear filters;Phase modulation;Prototypes;Psychology;Wavelet transforms","band-pass filters;delay circuits;digital filters;filtering theory;modulation;wavelet transforms","M-band modulated orthogonal transforms;M-band orthogonal wavelets;M-band perfect reconstruction modulated filter banks;filter banks design;linear phase filter;orthogonal 2-band solutions;prototype filter;unitary transforms","","1","","9","","","19-22 Apr 1994","19 Apr 1994-22 Apr 1994","IEEE","IEEE Conference Publications"
"Real-time object classification and novelty detection for collaborative video surveillance","Diehl, C.P.; Hampshire, J.B., II","Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA","Neural Networks, 2002. IJCNN '02. Proceedings of the 2002 International Joint Conference on","20020807","2002","3","","2620","2625","To conduct real-time video surveillance using low-cost commercial off-the-shelf hardware, system designers typically define the classifiers prior to the deployment of the system so that the performance of the system can be optimized for a particular mission. This implies the system is restricted to interpreting activity in the environment in terms of the original context specified. Ideally the system should allow the user to provide additional context in an incremental fashion as conditions change. Given the volumes of data produced by the system, it is impractical for the user to periodically review and label a significant fraction of the available data. We explore a strategy for designing a real-time object classification process that aids the user in identifying novel, informative examples for efficient incremental learning","1098-7576","0-7803-7278-6","","10.1109/IJCNN.2002.1007557","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1007557","","Collaboration;Design optimization;Hardware;Image sequences;Laboratories;Monitoring;Object detection;Physics;Real time systems;Video surveillance","image classification;image sequences;surveillance;video signal processing","classifiers;collaborative video surveillance;incremental learning;low-cost commercial off-the-shelf hardware;novelty detection;real-time object classification","","4","","","","","2002","12 May 2002-17 May 2002","IEEE","IEEE Conference Publications"
