Label;Id
Stricker, D.A.;1
Alba, G.P.;2
Anderson, C.C.;3
Bing, D.D.;4
Bland, R.W.;5
Dickson, S.C.;6
Dignan, T.G.;7
Gagnon, P.;8
Johnson, R.T.;9
Seneclauze, C.M.;10
Gomez, R.;11
Neudeck, G.W.;12
Bashir, R.;13
Feng Min;14
Wan Zhixin;15
Chang Lei;16
Hae Yong Kim;17
Mayer, J.;18
Young, B.A.;19
Cabrera, B.;20
Lee, A.;21
Martoff, C.J.;22
Neuhauser, B.;23
McVittie, J.P.;24
James, C.;25
Sadegh, N.;26
Fei Jin;27
Jun Wu;28
Qiren Liu;29
Zhengtao Ding;30
Chen, C.;31
Mau, J.;32
Diehl, C.P.;33
Hampshire, J.B., II;34
Vella, J.;35
Zammit, S.;36
Seung-Hyeok Byeon;37
Byeong-Kyu Lee;38
Afanasyev, V.;39
Ishibashi, K.;40
Takeno, K.;41
Oae, Y.;42
Sakae, T.;43
Matsumoto, Y.;44
Katase, A.;45
Takada, S.;46
Akoh, H.;47
Nakagawa, H.;48
Craddock, R.;49
Kambhampati, C.;50
Xiaodan Weng;51
Xiaohua Xia;52
Jiangfeng Zhang;53
Braun, R.;54
Yurchenko, V.B.;55
Yurchenko, L.V.;56
Alver, Y.;57
Ozdogan, M.;58
Yucesan, E.;59
Xi Liu;60
Ramanathan, Ram;61
Redi, J.;62
Meir, Y.;63
Jerby, E.;64
Tae-Ho Lee;65
Hong-Chang Lee;66
Jung-Hyun Kim;67
Myung-Joon Lee;68
Yilin Zhou;69
Yan Liu;70
Jianwei Sun;71
;72
Shun Cai;73
Sanfeng Zhang;74
Guoxin Wu;75
Yongqiang Dong;76
Znati, T.;77
Khan, Z.H.;78
Catalot, D.G.;79
Thiriet, J.M.;80
Natarajan, B.R.;81
Murdock, E.S.;82
Perkowski, M.;83
Malvi, R.;84
Grygiel, S.;85
Burns, M.;86
Mishchenko, A.;87
Zhu Huaxiong;88
You Fang;89
Fang Shang;90
Yungang Liu;91
Chenghui Zhang;92
Goyal, P.K.;93
Fernandez, E.B.;94
Crowe, K.E.;95
Raines, R.A.;96
Zhi Ying Xu;97
Carbonell, M.;98
Sierra, J.M.;99
Torres, J.;100
Izquierdo, A.;101
Udupa, J.K.;102
Wei, L.;103
Samarasekera, S.;104
Miki, Y.;105
van Buchem, M.A.;106
Grossman, R.I.;107
Matsushita, N.;108
Hihara, D.;109
Ushiro, T.;110
Yoshimura, S.;111
Rekimoto, J.;112
Yamamoto, Y.;113
Ascione, F.;114
De Rossi, F.;115
Bianco, N.;116
Vanoli, G.P.;117
Kuo, C.Y.;118
Wang, S.J.;119
Twu, Y.;120
Dutta, N.K.;121
Rekiouak, A.;122
Boukadoum, M.;123
Bouchard, M.;124
Dandan Zhu;125
Qiang Tong;126
