"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28computing+%29",2015/06/22 14:12:19
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Next generation of computing through cloud computing technology","Mollah, M.B.; Islam, K.R.; Islam, S.S.","Dept. of Electr. & Electron. Eng., Int. Islamic Univ. Chittagong, Chittagong, Bangladesh","Electrical & Computer Engineering (CCECE), 2012 25th IEEE Canadian Conference on","20121022","2012","","","1","6","Cloud computing, one of the emerging topic in the field of information technology, is the development of parallel computing, distributed computing and grid computing. By using the internet and central remote services it maintains the data, applications etc which offers much more efficient computing by centralizing storage, memory, processing, bandwidth and so on. It can also concentrate all computation resources and manage automatically through the software without intervene. There are several layers in present cloud computing architecture, service models, platforms, issues i.e. security, privacy, reliability, open standard etc. and types. This paper presents all about the promising cloud computing technology i.e. its architecture, advantages, platforms, issues and challenges, applications, future and research options of cloud computing. There four generations of computing such as mainframe based computing, personal computing, client server based computing and web server based computing respectively. As there are several advantages over present generation of web server based computing such as fast micro processor, huge memory, high-speed network, reliable system architecture etc. we can say that cloud computing will provide the next generation of computing services.","0840-7789","978-1-4673-1431-2","978-1-4673-1432-9","10.1109/CCECE.2012.6334973","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6334973","","Cloud computing;Computational modeling;Computers;Google;Security;Servers","cloud computing;data privacy;grid computing;parallel processing","Internet;Web server based computing;central remote services;client server based computing;cloud computing technology;computation resources;distributed computing;grid computing;information technology;mainframe based computing;next generation computing;open standard;parallel computing;personal computing;privacy;security","","2","","21","","","April 29 2012-May 2 2012","","IEEE","IEEE Conference Publications"
"Scalability issues in cloud computing","Somasundaram, T.S.; Prabha, V.; Arumugam, M.","","Advanced Computing (ICoAC), 2012 Fourth International Conference on","20130124","2012","","","1","5","The following topics are dealt with: ad hoc & sensor networks; agent based systems; autonomous computing; body area network; cloud computing; cluster computing; compiler optimizations; data mining; digital image computing; distributed databases; e-learning; e-commerce; e-governance; green IT; grid computing; image processing; intelligent agents; knowledge management; theoretical computer science; virtualization; machine learning; mobile computing; multicore architecture; multimedia streaming; natural language processing; network security; network management; neural networks; parallel computing; pattern recognition; pervasive computing; power aware computing; semantic Web; service oriented architecture; soft computing; software architecture; social computing; storage management; ubiquitous computing; and Web intelligence.","","978-1-4673-5583-4","","10.1109/ICoAC.2012.6416865","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6416865","","Abstracts;Cloud computing;Databases;Educational institutions;Organizations;Scalability;Virtualization","ad hoc networks;body area networks;computer aided instruction;data mining;distributed processing;electronic commerce;environmental factors;government data processing;image processing;knowledge management;learning (artificial intelligence);media streaming;multimedia systems;natural language processing;neural nets;pattern recognition;program compilers;software agents;software architecture;storage management;telecommunication network management;telecommunication security;virtualisation","Web intelligence;ad hoc network;agent based system;autonomous computing;body area network;cloud computing;cluster computing;compiler optimization;data mining;digital image computing;distributed database;e-commerce;e-governance;e-learning;green IT;grid computing;image processing;intelligent agent;knowledge management;machine learning;mobile computing;multicore architecture;multimedia streaming;natural language processing;network management;network security;neural network;parallel computing;pattern recognition;pervasive computing;power aware computing;semantic Web;sensor network;service oriented architecture;social computing;soft computing;software architecture;storage management;theoretical computer science;ubiquitous computing;virtualization","","0","","","","","13-15 Dec. 2012","","IEEE","IEEE Conference Publications"
"Cloud computing for future generation of computing technology","Islam, S.S.; Mollah, M.B.; Huq, M.I.; Aman Ullah, M.","Dept. of Electr. & Electron. Eng., Int. Islamic Univ. Chittagong, Chittagong, Bangladesh","Cyber Technology in Automation, Control, and Intelligent Systems (CYBER), 2012 IEEE International Conference on","20121224","2012","","","129","134","The emergence of cloud computing, envisioned as the future generation of computing model for its major advantages in on-demand self-service, ubiquitous network access, location independent resource pooling and transference of risk, has established a trend towards building massive, energy-hungry and geographically distributed data centers. It is the latest developments of computing models after distributed computing, parallel processing and grid computing. It achieves multi-level virtualization and abstraction through effective integration of variety of computing, storage, data, applications and other resources, users can be easy to use powerful computing and storage capacity of cloud computing only need to connect to the network. It can also concentrate all computation resources and manage automatically through the software without intervene. In this paper, we highlight the different aspects of cloud computing for finding the actuality of the future generation of commuting in the form of cloud computing after mainframe based computing, personal computing, client server based computing and web server based computing.","","978-1-4673-1420-6","","10.1109/CYBER.2012.6392539","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392539","","Cloud computing;Computational modeling;Computers;Security;Servers","client-server systems;cloud computing","Web server based computing;client server based computing;cloud computing;computation resource;computing capacity;computing technology;distributed computing;geographically distributed data center;grid computing;location independent resource pooling;mainframe based computing;multilevel abstraction;multilevel virtualization;on-demand self-service;parallel processing;personal computing;risk transference;storage capacity;ubiquitous network access","","1","","17","","","27-31 May 2012","","IEEE","IEEE Conference Publications"
"Cluster, grid and cloud computing: A detailed comparison","Sadashiv, N.; Kumar, S.M.D.","Dept. of Comput. Sci. &amp; Eng., Acharya Inst. of Technol., Bangalore, India","Computer Science & Education (ICCSE), 2011 6th International Conference on","20110926","2011","","","477","482","Cloud computing is rapidly growing as an alternative to conventional computing. However, it is based on models like cluster computing, distributed computing, utility computing and grid computing in general. This paper presents an end-to-end comparison between Cluster Computing, Grid Computing and Cloud Computing, along with the challenges they face. This could help in better understanding these models and to know how they differ from its related concepts, all in one go. It also discusses the ongoing projects and different applications that use these computing models as a platform for execution. An insight into some of the tools which can be used in the three computing models to design and develop applications is given. This could help in bringing out the innovative ideas in the field and can be explored to the needs in the computing world.","","978-1-4244-9717-1","","10.1109/ICCSE.2011.6028683","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6028683","Cloud Computing;Cluster Computing;Comparison;Computing Models;Grid Computing","Cloud computing;Clouds;Computational modeling;Computers;Europe;Grid computing","cloud computing;grid computing;workstation clusters","cloud computing;cluster computing;computing models;distributed computing;grid computing;utility computing","","10","","50","","","3-5 Aug. 2011","","IEEE","IEEE Conference Publications"
"Pervasive Computing: Implications, Opportunities and Challenges for the Society","Venkataramana, Y.","Reddy West Virginia Univ., Morgantown, WV","Pervasive Computing and Applications, 2006 1st International Symposium on","20070129","2006","","","5","5","Summary form only given. Pervasive computing, also referred to sometimes as ubiquitous computing deals with the idea of making ""computing power"" available anyplace, anytime in a uniform way so that it may be exploited for meeting the challenges faced by society. The obvious analogy to this is the electric power infrastructures, which made the society's work and play more effective and enjoyable. Can pervasive computing also have a similar or greater impact on society? The answer is undoubtedly a resounding yes. However, we have a long way to go and overcome many a challenge. In this talk, we discuss these issues: the implications, opportunities and challenges pervasive computing. There have been steady advances in the area of computing hardware contributing to the dramatic affordability of computers. The revolution brought about by the Internet and the liberalization of the communications industry has brought the world closer. Now, it is no longer possible to even define what device may be termed a computer as ""computing"" becomes embedded in everyday appliances large and small ranging from cars to washing machines. The merger of computing and communications together with miniaturization is leading the way. However, for the promise of pervasive computing to frilly materialize, technology and support structures need to advance along four directions: computing, communication, cognition, and collaboration - the 4Cs of pervasive computing. Among the 4Cs the first two: computing and communications are rapidly advancing especially with the introduction of GPS as an embedded service. For a user to truly benefit from pervasive computing, the first two Cs are not enough. The supporting systems need to exhibit cognition - an understanding of the situation or ""context awareness"" as it is often called. For over fifty years the field of artificial intelligence has contributed many ideas (expert systems, planning, and natural language understanding - to name a few). The ideas of- agent based computing and service based architectures are making contributions in this regard. The field of CSCW (computer supported collaborative work) and related research are contributing to the fourth C as it tries to make the world small by enabling people worldwide to work together - albeit with the great inconvenience of dealing with myriad disparate tools, technologies and standards. It is not difficult to speculate how the world of tomorrow will be as we make steady progress on the 4Cs and the resulting advances in pervasive computing. A few are listed below: knowledge workers - a universal knowledge based assistant that helps you to work seamlessly in your local space or shared space exploiting the ambient computing and connectivity; intelligent transportation - a car that avoids accidents, repairs itself and adapts itself to the geographic location and services that are accessible; pervasive healthcare - physicians who can diagnose and treat (reprogramming a device!) patients anywhere and anytime; context-aware appliances - washing machines that know the requirements of clothes that are about to be washed; and enterprises - routine formation of collaborative enterprises worldwide. These are but a few of the exciting things that await us as we come to terms with pervasive computing. However, we need to be cognizant about the many challenges such as loss of privacy and freedoms that are cherished by the societies","","1-4244-0325-1","","10.1109/SPCA.2006.297455","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4079026","","Cognition;Collaboration;Communication industry;Embedded computing;Hardware;Home appliances;Internet;Pervasive computing;Ubiquitous computing;Washing machines","social aspects of automation;ubiquitous computing","Internet;cognition;computer supported collaborative work;computing hardware;computing power;context awareness;embedded service;pervasive computing;ubiquitous computing","","7","","","","","3-5 Aug. 2006","","IEEE","IEEE Conference Publications"
"Software Engineering for Pervasive Computing: An Outlook for Educational Reform","Pour, G.","Coll. of Eng., San Jose State Univ., CA","Computer and Information Science, 2006 and 2006 1st IEEE/ACIS International Workshop on Component-Based Software Engineering, Software Architecture and Reuse. ICIS-COMSAR 2006. 5th IEEE/ACIS International Conference on","20060724","2006","","","168","173","Pervasive human-centric computing, the emerging next-generation computing, focuses on humans rather than machines. Pervasive computing's goal of ""all the time, everywhere"" access replaces today's mobile and distributed computing's goal of ""anytime, anywhere"" access. Pervasive computing requires cross-disciplinary collaborations among experts in fields such as intelligent systems, agent technologies, autonomic computing, security and privacy, human factors engineering and ergonomics, human factors psychology, augmented reality computing, wearable computing, wireless and mobile computing, location-and context-aware computing, sensor computing, device technology, and social sciences. Thus, it is crucial to reform software engineering education in order to well prepare software engineers for the new challenges and opportunities presented by pervasive human-centric computing. This paper presents and discusses our project results and the lessons learned about the software engineering education reform","","0-7695-2613-6","","10.1109/ICIS-COMSAR.2006.78","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1651987","","Collaboration;Distributed computing;Human factors;Intelligent agent;Intelligent sensors;Intelligent systems;Mobile computing;Pervasive computing;Software engineering;Wearable computers","computer science education;software engineering;ubiquitous computing","agent technology;augmented reality computing;autonomic computing;context-aware computing;data privacy;data security;ergonomics;human factors engineering;human factors psychology;intelligent system;location-aware computing;mobile computing;pervasive human-centric computing;sensor computing;social science;software engineering education reform;wearable computing;wireless computing","","1","","24","","","10-12 July 2006","","IEEE","IEEE Conference Publications"
"Power management in cloud computing using green algorithm","Yamini, R.","Dept. of Comput. Applic., SRM Univ., Chennai, India","Advances in Engineering, Science and Management (ICAESM), 2012 International Conference on","20120614","2012","","","128","133","The greatest environmental challenge today is global warming, which is caused by carbon emissions. Energy crisis brings green computing, and green computing needs algorithms and mechanisms to be redesigned for energy efficiency. Green IT refers to the study and practice of using computing resources in an efficient, effective and economic way. The various approaches of the green IT are Virtualization, Power Management, Material Recycling and Telecommuting. The basic principles of cloud computing is to make the computing be assigned in a great number of distributed computers rather than local computer or remote server. In fact, cloud computing is an extend of Grid Computing, Distributed Computing and Parallel Computing. It's foreground is to provide secure, quick, convenient data storage and net computing service centered by internet. Currently, a large number of cloud computing systems waste a tremendous amount of energy and emit a considerable amount of carbon dioxide. Thus, it is necessary to significantly reduce pollution and substantially lower energy usage. The analysis of energy consumption in cloud computing consider both public and private clouds. Cloud computing with green algorithm can enable more energy-efficient use of computing power.","","978-1-4673-0213-5","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6215585","Cloud Computing;Green Algorithm;Private and Public Clouds;Task Consolidation","Algorithm design and analysis;Cloud computing;Energy efficiency;Green products;Recycling;Servers;Teleworking","air pollution;cloud computing;energy conservation;energy management systems;global warming;grid computing;parallel processing;power engineering computing;recycling","Green IT;carbon emissions;cloud computing;computing resources;distributed computing;energy consumption;energy crisis;energy efficiency;environmental challenge;global warming;green algorithm;green computing;grid computing;material recycling;parallel computing;pollution reduction;power management;remote server;telecommuting;virtualization","","5","","10","","","30-31 March 2012","","IEEE","IEEE Conference Publications"
"Discussion on Pervasive Computing Paradigm","Zhenjiang Miao; Baozong Yuan","Sch. of Comput. & Inf. Technol., Beijing Jiaotong Univ., Beijing","TENCON 2005 2005 IEEE Region 10","20070205","2005","","","1","6","Pervasive/ubiquitous computing is considered as the next generation of computing and IT technology (Amor, 2001; Saha et al., 2003). As such an important computing technology, what its computing paradigm should be? For the present network computing, its computing paradigms such as client-server, message passing and the recent peer-to-peer are well known. Are the network computing paradigms suitable and sufficient to the ""anytime, anywhere and any format, human-centered"" pervasive computing? This paper will analyzed the existing computing paradigms of the present and past generation of computing technologies. Based on the analysis and the unique feature of pervasive computing, a new computing paradigm, <i>master-</i> <i>server</i> <i>paradigm</i> is proposed. In terms of the new paradigm, a pervasive computing based multimodal tele-home healthcare system is designed.","","0-7803-9311-2","0-7803-9312-0","10.1109/TENCON.2005.301078","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4084985","Computing Paradigm;Distributed Computing;Pervasive Computing","Computer networks;Distributed computing;Humans;Information technology;Man machine systems;Medical services;Message passing;Peer to peer computing;Pervasive computing;Ubiquitous computing","health care;ubiquitous computing","IT technology;client-servers;master-server paradigm;message passing;multimodal telehome healthcare system;network computing paradigms;peer-to-peer computing;pervasive computing paradigm;ubiquitous computing","","1","","16","","","21-24 Nov. 2005","","IEEE","IEEE Conference Publications"
"Cloud Computing Research and Development Trend","Shuai Zhang; Shufen Zhang; Xuebin Chen; Xiuzhen Huo","Coll. of Sci., Hebei Polytech. Univ., Tangshan, China","Future Networks, 2010. ICFN '10. Second International Conference on","20100318","2010","","","93","97","With the development of parallel computing, distributed computing, grid computing, a new computing model appeared. The concept of computing comes from grid, public computing and SaaS. It is a new method that shares basic framework. The basic principles of cloud computing is to make the computing be assigned in a great number of distributed computers, rather then local computer or remoter server. The running of the enterprise's data center is just like Internet. This makes the enterprise use the resource in the application that is needed, and access computer and storage system according to the requirement. This article introduces the background and principle of cloud computing, the character, style and actuality. This article also introduces the application field the merit of cloud computing, such as, it do not need user's high level equipment, so it reduces the user's cost. It provides secure and dependable data storage center, so user needn't do the awful things such storing data and killing virus, this kind of task can be done by professionals. It can realize data share through different equipments. It analyses some questions and hidden troubles, and puts forward some solutions, and discusses the future of cloud computing. Cloud computing is a computing style that provide power referenced with IT as a service. Users can enjoy the service even he knows nothing about the technology of cloud computing and the professional knowledge in this field and the power to control it.","","978-0-7695-3940-9","978-1-4244-5667-3","10.1109/ICFN.2010.58","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5431874","Cloud Computing;Google Apps;Grid computing;SAAS","Application software;Cloud computing;Concurrent computing;Distributed computing;File servers;Grid computing;Internet;Parallel processing;Research and development;Web server","Internet;data handling","Internet;SaaS;cloud computing research;data storage center;development trend;distributed computers;distributed computing;grid computing;local computer;parallel computing;public computing;storage system","","57","","17","","","22-24 Jan. 2010","","IEEE","IEEE Conference Publications"
"Cloud computing - concepts, architecture and challenges","Jadeja, Y.; Modi, K.","Dept. of Comput. Eng. &amp; IT, Ganpat Univ., Kherva, India","Computing, Electronics and Electrical Technologies (ICCEET), 2012 International Conference on","20120524","2012","","","877","880","With the advent internet in the 1990s to the present day facilities of ubiquitous computing, the internet has changed the computing world in a drastic way. It has traveled from the concept of parallel computing to distributed computing to grid computing and recently to cloud computing. Although the idea of cloud computing has been around for quite some time, it is an emerging field of computer science. Cloud computing can be defined as a computing environment where computing needs by one party can be outsourced to another party and when need be arise to use the computing power or resources like database or emails, they can access them via internet. Cloud computing is a recent trend in IT that moves computing and data away from desktop and portable PCs into large data centers. The main advantage of cloud computing is that customers do not have to pay for infrastructure, its installation, required man power to handle such infrastructure and maintenance. In this paper we will discuss what makes all this possible, what is the architectural design of cloud computing and its applications.","","978-1-4673-0211-1","","10.1109/ICCEET.2012.6203873","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6203873","applications;architecture;business component of cloud computing;cloud computing;issues","Browsers;Communities;Computational modeling;History;Lead;Monitoring;Reliability","cloud computing;distributed processing;grid computing;parallel processing;software architecture","cloud computing;computer science;distributed computing;grid computing;internet;parallel computing;ubiquitous computing","","30","","11","","","21-22 March 2012","","IEEE","IEEE Conference Publications"
