Label;Id
Mollah, M.B.;1
Islam, K.R.;2
Islam, S.S.;3
Somasundaram, T.S.;4
Prabha, V.;5
Arumugam, M.;6
Huq, M.I.;7
Aman Ullah, M.;8
Sadashiv, N.;9
Kumar, S.M.D.;10
Venkataramana, Y.;11
Pour, G.;12
Yamini, R.;13
Zhenjiang Miao;14
Baozong Yuan;15
Shuai Zhang;16
Shufen Zhang;17
Xuebin Chen;18
Xiuzhen Huo;19
Jadeja, Y.;20
Modi, K.;21
Wentao Liu;22
Raicu, I.;23
Foster, I.T.;24
Yong Zhao;25
Malik, S.;26
Huet, F.;27
Caromel, D.;28
Junjie Peng;29
Xuejun Zhang;30
Zhou Lei;31
Bofeng Zhang;32
Wu Zhang;33
Qing Li;34
Jingde Cheng;35
Hayashi, H.;36
Guangbin Xu;37
Yaoxue Zhang;38
Yuezhi Zhou;39
Wenyuan Kuang;40
Liang Peng;41
Lip Kian Ng;42
See, S.;43
Kulik, L.;44
Varghese, B.;45
McKee, G.T.;46
Madkour, A.;47
Aly, S.G.;48
Couderc, P.;49
Bana&#x0302;50
tre, M.;51
Dhingra, V.;52
Arora, A.;53
Buyya, R.;54
Zehua Zhang;55
Xuejie Zhang;56
Kalagiakos, P.;57
Karampelas, P.;58
Goto, Y.;59
Someya, M.;60
Endo, T.;61
Qi Huang;62
Kaiyu Qin;63
Wenyong Wang;64
Kashif, U.A.;65
Memon, Z.A.;66
Balouch, A.R.;67
Chandio, J.A.;68
Jakovits, P.;69
Srirama, S.N.;70
Kromonov, I.;71
Rosenberg, A.L.;72
Jianfeng Yang;73
Zhibin Chen;74
He Ba;75
Heinzelman, W.;76
Janssen, C.-A.;77
Jiye Shi;78
Faqun Jiang;79
Jintao Li;80
Zhenmin Zhu;81
Duran-Limon, H.A.;82
Silva-Banuelos, L.A.;83
Tellez-Valdez, V.H.;84
Parlavantzas, N.;85
Ming Zhao;86
Kolici, V.;87
Herrero, A.;88
Xhafa, F.;89
Barolli, L.;90
Idris, A.S.;91
Anuar, N.;92
Misron, M.M.;93
Fauzi, F.H.M.;94
Tuli, A.;95
Hasteer, N.;96
Sharma, M.;97
Bansal, A.;98
;99
Baliga, J.;100
Ayre, R.W.A.;101
Hinton, K.;102
Tucker, RodneyS.;103
Ohsaki, H.;104
Watanabe, S.;105
Imase, M.;106
Sadiku, M.N.O.;107
Musa, S.M.;108
Momoh, O.D.;109
Yi Liu;110
Feng Li;111
Zhidong Shen;112
Qiang Tong;113
Jiming Liu;114
Zhang Liang;115
Li Xiuqing;116
Bitzer, B.;117
Gebretsadik, E.S.;118
Fang Hualiang;119
Mao Chengxiong;120
Zhang Buhan;121
Lu Jiming;122
Wenjie Liu;123
Zhanhuai Li;124
Foster, I.;125
Shiyong Lu;126
Chhajed, G.;127
Shinde, S.;128
Jagtap, R.;129
Raskotwar, V.;130
Yuedong Zhang;131
Zhenhua Song;132
Dingju Zhu;133
Zhuan Chen;134
Yuzhong Sun;135
SiYuan Xin;136
Yu Li;137
McCabe, J.;138
Petraska, K.;139
Little, M.;140
Kantarcioglu, M.;141
Bensoussan, A.;142
SingRu Hoe;143
Sheu, P.C.-Y.;144
Shu Wang;145
Qi Wang;146
Ke Hao;147
Paul, R.;148
Sugawara, K.;149
Fujita, S.;150
Kinoshita, T.;151
Shiratori, N.;152
Ong, M.;153
Alkarouri, M.;154
Ren, X.;155
Allan, G.;156
Kadirkamanathan, V.;157
Thompson, H.A.;158
Fleming, P.J.;159
Sang-bum Suh;160
Joo-Young Hwang;161
Joon-Young Shim;162
JaeMin Ryu;163
Sungkwan Heo;164
ChanJu Park;165
ChulRyun Kim;166
Jae-Ra Lee;167
Ilpyoung Park;168
Hosoo Lee;169
Zheng Hu;170
Kaijun Wu;171
Jinsong Huang;172
Liu Junhua;173
Chen Zhongwei;174
Gawali, M.B.;175
Wagh, R.B.;176
Qiang Guan;177
Chi-Chen Chiu;178
Song Fu;179
Qiang Lu;180
You Xu;181
Ruoyun Huang;182
Yixin Chen;183
Guoliang Chen;184
Asaduzzaman, A.;185
Joseph, A.R.;186
Sibai, F.N.;187
Mohamed, N.;188
Xu Wang;189
Beizhan Wang;190
Jing Huang;191
Lei Zhang;192
Jianfei Zhang;193
Iosup, A.;194
Ostermann, S.;195
Yigitbasi, M.N.;196
Prodan, R.;197
Fahringer, T.;198
Epema, D.H.J.;199
Yi Pan;200
Apon, A.;201
Mache, J.;202
Hai Jin;203
Yih-Jiun Lee;204
Kai-Wen Lien;205
Hung, P.C.K.;206
van Sinderen, M.J.;207
Hershey, P.;208
Rao, S.;209
Silio, C.B.;210
Narayan, A.;211
Xiaoyong Fang;212
Zhigang Luo;213
Zhenghua Wang;214
Fan Ding;215
Abawajy, J.;216
Yu, Y.C.A.;217
Law, K.L.E.;218
Keville, K.L.;219
Garg, R.;220
Yates, D.J.;221
Arya, K.;222
Cooperman, G.;223
Morimae, T.;224
Fedak, G.;225
Germain, C.;226
Neri, V.;227
Cappello, F.;228
Gupta, S.K.S.;229
Srimani, P.K.;230
Xianyong Wang;231
Shengchao Xu;232
Xiang Tan;233
Bo Ai;234
Han Qi;235
Gani, A.;236
Rahman, M.;237
Gao, J.;238
Wei-Tek Tsai;239
Kurkovsky, S.;240
Shaikh, F.B.;241
Haider, S.;242
Yuanchun Shi;243
Suke Li;244
Zhong Chen;245
Norbisrath, U.;246
Kraaner, K.;247
Vainikko, E.;248
Batrasev, O.;249
Mero, R.;250
Mwangoka, J.;251
Behsaz, B.;252
Jaferian, P.;253
Meybodi, M.R.;254
Wei Zhao;255
Yong Peng;256
Feng Xie;257
Zhonghua Dai;258
Zhang Xin;259
Lai Song-qing;260
Liu Nai-wen;261
Choy, L.;262
Petiton, S.G.;263
Sato, M.;264
Younge, A.J.;265
Walters, J.P.;266
Crago, S.;267
Fox, G.C.;268
Bo Zhang;269
Zhongzhi Shi;270
Huanying Yin;271
Wang Yang;272
Guojun Wang;273
Wang En Dong;274
Wu Nan;275
Li Xu;276
Khan, F.N.;277
Govil, K.;278
Agarwal, A.;279
Asha, N.;280
Rao, G.R.;281
Singh, H.;282
Sachdev, A.;283
Yi Yang;284
Li Liu;285
Lian Li;286
Zhenfang Li;287
Rui Zhou;288
Li Li;289
Fei Yan;290
Xiaoping Wu;291
Yong Pan;292
Ning Hu;293
Bhargava, H.K.;294
Sundaresan, S.;295
Sabahi, F.;296
Meetei, M.Z.;297
Song Jun Park;298
Henz, B.;299
Shires, D.;300
Dillon, T.;301
Chen Wu;302
Chang, E.;303
Nirmalya Roy;304
Das, S.K.;305
Basu, K.;306
Kumar, M.;307
Hsun-Chang Chang;308
Kuan-Ching Li;309
Yaw-Ling Lin;310
Chao-Tung Yang;311
Hsiao-Hsi Wang;312
Liang-Teh Lee;313
Desell, T.;314
Magdon-Ismail, M.;315
Szymanski, B.;316
Varela, C.;317
Newberg, H.;318
Cole, N.;319
Fischer, N.;320
Smolnik, S.;321
Want, R.;322
Pering, T.;323
Jiehan Zhou;324
Gilman, E.;325
Ylianttila, M.;326
Riekki, J.;327
Yan Sun;328
Zaki Hassan, S.A.;329
Albakri, S.H.;330
Shanmgam, B.;331
Samy, G.N.;332
Idris, N.B.;333
Ahmed, A.;334
Omar, M.N.;335
Salleh, M.;336
Bakhtiari, M.;337
Behl, A.;338
Keane, T.M.;339
Page, A.J.;340
McInerney, J.O.;341
Naughton, T.J.;342
Gupta, N.;343
Firdhous, M.;344
Ghazali, O.;345
Hassan, S.;346
Li, Y.;347
Leung, V.C.M.;348
Chunye Gong;349
Jie Liu;350
Qiang Zhang;351
Haitao Chen;352
Zhenghu Gong;353
Chu-Fu Wang;354
Wen-Yi Hung;355
Chen-Shun Yang;356
Bala, M.;357
Devanand;358
Tavangarian, D.;359
Qiang Wu;360
Yajun Ha;361
Kumar, A.;362
Shaobo Luo;363
Ang Li;364
Mohamed, S.;365
Bian Wu;366
Xincai Wu;367
Jian Huang;368
Fang Zhu;369
Hong Qiu;370
Zhi Yong Song;371
Mohaisen, A.;372
Huy Tran;373
Chandra, A.;374
Yongdae Kim;375
Deyi Li;376
Yuchao Liu;377
Haisu Zhang;378
Guisheng Chen;379
Jun Chen;380
You Zou;381
Zhongyu Liu;382
Qing Wu;383
Almorsy, M.;384
Grundy, John;385
Ibrahim, A.S.;386
Cao, Junwei;387
Chen, Shuo;388
Wan, Yuxin;389
Chen, Wei;390
Longzhao Zhong;391
Haifang Wei;392
Bing Yu;393
Jing Tian;394
Shilong Ma;395
Shengwei Yi;396
Dan Yu;397
Amin, M.A.;398
