"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4294967269%26matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design+Automation+Conference+.LB.DAC.RB.%29+AND+2005%29",2015/06/23 14:44:20
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Proceedings of the ASP-DAC 2005. Asia and South Pacific Design Automation Conference 2005 (IEEE Cat. No.05EX950C)","","","Design Automation Conference, 2005. Proceedings of the ASP-DAC 2005. Asia and South Pacific","20050718","2005","1","","0_1","","The following topics are dealt with: CAD for microarchitecture designs; design for manufacturability; tree construction and buffering; network-on-chip; integrated circuit testing; design for testability; clocks; power grid analysis; thermal analysis; network routing; integrated circuit interconnections; system level modeling; embedded software; TCAD; RF/analog circuits; logic synthesis; system level architecture design; formal verification; integrated circuit placement; security processor design; design optimization; high-performance digital circuits; floorplanning; SAT technology; interconnect modeling; high-level synthesis; low-power electronics; digital signal processing; FPGA; RF circuit design; embedded systems; real-time systems; crosstalk noise avoidance; power/ground network optimization; analog circuit design; SRAM; and system-on-chip.","","0-7803-8736-8","","10.1109/ASPDAC.2005.1466090","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1466090","","","SRAM chips;analogue circuits;circuit CAD;circuit optimisation;clocks;design for manufacture;design for testability;digital circuits;electronic design automation;formal verification;high level synthesis;integrated circuit design;integrated circuit interconnections;integrated circuit layout;integrated circuit modelling;integrated circuit testing;logic design;low-power electronics;microprocessor chips;radiofrequency integrated circuits;system-on-chip;technology CAD (electronics)","CAD;FPGA;RF circuit design;SRAM;TCAD;analog circuit design;buffering;clocks;crosstalk noise avoidance;design automation;design for manufacturability;design for testability;design optimization;digital signal processing;embedded software;embedded system;floorplanning;formal verification;high-level synthesis;high-performance digital circuits;integrated circuit interconnections;integrated circuit placement;integrated circuit testing;interconnect modeling;logic synthesis;low-power electronics;microarchitecture designs;network routing;network-on-chip;power grid analysis;power/ground network optimization;real-time system;satisfiability;security processor design;system level architecture design;system level modeling;thermal analysis;tree construction","","0","","","","","21-21 Jan. 2005","","IEEE","IEEE Conference Publications"
"Design and design automation of rectification logic for engineering change","Cheng-Hung Lin; Yung-Chang Huang; Shih-Chieh Chang; Wen-Ben Jone","Dept. of CS, National Tsing Hua Univ., Hsinchu, Taiwan","Design Automation Conference, 2005. Proceedings of the ASP-DAC 2005. Asia and South Pacific","20050718","2005","2","","1006","1009 Vol. 2","In a later stage of a VLSI design, it is quite often to modify a design implementation to accommodate the new specification, design errors, or to meet design constraints. In addition to meet the design schedule for the new implementation, the reduction of the mask set have become very critical. In this paper, we propose a new method to add a programmable rectification module to reduce the mask cost and to improve the turn around time. When a modification is needed, one can program the rectification module to achieve the new implementation. The rectification module can be designed by one mask programmable gate array, or an embedded FPGA. To reduce the size needed for the rectification module, we also propose algorithms, which can intelligently select some internal signals of the old implementation to become pseudo primary inputs and primary outputs. Our experimental results are very encouraging.","","0-7803-8736-8","","10.1109/ASPDAC.2005.1466510","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1466510","","Circuits;Controllability;Costs;Design automation;Design engineering;Field programmable gate arrays;Logic design;Observability;Power engineering and energy;Very large scale integration","VLSI;electronic design automation;field programmable gate arrays;logic circuits;logic design;rectification","VLSI design;design automation;design constraints;design errors;design implementation;design schedule;embedded FPGA;internal signals;mask cost reduction;mask set reduction;primary outputs;programmable gate array;programmable rectification module;pseudo primary inputs;rectification logic","","3","","7","","","18-21 Jan. 2005","","IEEE","IEEE Conference Publications"
"Wireless, ESL, DFM, and Power on Stage at 42nd DAC","Martin, G.","Technical Program Committee cochair, DAC 2005","Design & Test of Computers, IEEE","20050926","2005","22","5","397","398","The 42nd Design Automation Conference, the world's leading conference and exhibition for design automation, took place in Anaheim, California, from 13 to 17 June 2005. This year's DAC featured a special industry theme day, ""Wireless Wednesday,"" and two keynote talks, by Bernard Meyerson of IBM and Ron Rohrer of Cadence. The technical program explored front-end design issues at the electronic system level (ESL), and various topics linking design and manufacturing. DAC 2006 will take place in San Francisco, California, from 24 to 28 July 2006.","0740-7475","","","10.1109/MDT.2005.122","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1511970","DAC 2005;DAC 2006;EDA;SoC design;electronic system level (ESL) design;wireless","Automatic testing;Circuit testing;Design for manufacture;Electronic design automation and methodology;Electronic equipment testing;Embedded software;Integrated circuit testing;Logic testing;Software testing;System testing","","DAC 2005;DAC 2006;EDA;SoC design;electronic system level (ESL) design;wireless","","0","","","","","Sept.-Oct. 2005","","IEEE","IEEE Journals & Magazines"
"Hardware/software co-design using hierarchical platform-based design method","Zhihui Xiong; Sikun Li; Jihua Chen","Sch. of Comput. Sci., Univ. of Defense Technol., Changsha, China","Design Automation Conference, 2005. Proceedings of the ASP-DAC 2005. Asia and South Pacific","20050718","2005","2","","1309","1312 Vol. 2","A hierarchical platform-based design (Hi-PBD) method is put forward for SoC system design. This method divides SoC system design flow into three levels (i.e. system model level, virtual components level and real components level) to achieve separation of function from structure and separation of computation from communication. Hi-PBD defines two mapping processes (i.e. design planning and virtual-real synthesis) to go through all the three design levels. Hi-PBD supports reuse of both the three level design templates and the two mapping results, which increased reusing efficiency greatly. Besides, Hi-PBD boosts up design flexibility by means of supporting revision at all the three levels, and ensures the final design target satisfies performance requirements through a novel performance constraints transmission strategy. Experiments indicate Hi-PBD method improves SoC high level design efficiency by 30%-40%, and this method achieves platform template reuse ratio by 75%-90%.","","0-7803-8736-8","","10.1109/ASPDAC.2005.1466584","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1466584","","Computer science;Design methodology;Embedded computing;Embedded software;Hardware;Process design;Process planning;Productivity;System-on-a-chip;Very large scale integration","circuit CAD;hardware-software codesign;integrated circuit design;logic CAD;system-on-chip","Hi-PBD method;SoC high level design efficiency;SoC system design flow;design planning;hardware-software co-design;hierarchical platform-based design method;mapping process;performance constraints transmission strategy;platform template reuse ratio;real components level;system model level;virtual components level;virtual-real synthesis","","2","","10","","","18-21 Jan. 2005","","IEEE","IEEE Conference Publications"
"Opportunities and challenges for better than worst-case design","Austin, T.; Bertacco, V.; Blaauw, D.; Mudge, T.","Adv. Comput. Archit. Lab, Michigan Univ., Ann Arbor, MI, USA","Design Automation Conference, 2005. Proceedings of the ASP-DAC 2005. Asia and South Pacific","20050718","2005","1","","I/2","I/7 Vol. 1","The progressive trend of fabrication technologies towards the nanometer regime has created a number of new physical design challenges for computer architects. Design complexity, uncertainty in environmental and fabrication conditions, and single-event upsets all conspire to compromise system correctness and reliability. Recently, researchers have begun to advocate a new design strategy called better than worst-case design that couples a complex core component with a simple reliable checker mechanism. By delegating the responsibility for correctness and reliability of the design to the checker, it becomes possible to build probably correct designs that effectively address the challenges of deep submicron design. In this paper, we present the concepts of better than worst-case design and highlight two exemplary designs: the DIVA checker and Razor logic. We show how this approach to system implementation relaxes design constraints on core components, which reduces the effects of physical design challenges and creates opportunities to optimize performance and power characteristics. We demonstrate the advantages of relaxed design constraints for the core components by applying typical case optimization (TCO) techniques to an adder circuit. Finally, we discuss the challenges and opportunities posed to CAD tools in the context of better than worst-case design. In particular, we describe the additional support required for analyzing run time characteristics of designs and the many opportunities which are created to incorporate typical-case optimizations into synthesis and verification.","","0-7803-8736-8","","10.1109/ASPDAC.2005.1466113","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1466113","","Adders;Computer architecture;Constraint optimization;Design optimization;Fabrication;Logic design;Microprocessors;Silicon;Uncertainty;Voltage","adders;circuit CAD;circuit optimisation;integrated circuit design;logic design","CAD tools;DIVA checker;Razor logic;adder circuit;better than worst-case design;core components;deep submicron design;fabrication technology;nanometer regime;reliable checker mechanism;run time characteristics;typical case optimization techniques","","23","1","18","","","18-21 Jan. 2005","","IEEE","IEEE Conference Publications"
"Design for manufacturability","Pitchumani, V.","","Design Automation Conference, 2005. Proceedings of the ASP-DAC 2005. Asia and South Pacific","20050718","2005","1","","T","1 Vol. 1","Summary form only given. DFM (design for manufacturability) has recently become a buzzword; it excites passion in semiconductor process, design, EDA and manufacturing circles. What is all this hype about? This tutorial reviews DFM, the ugly cousin of technology scaling, in a broad context, and includes both hard defects and parametric variations arising from manufacturing issues in its scope. It presents the various sources of the problem and their impact on yield, silicon vs. timing model correlation, mask cost, data size and time-to-market. It then presents design methodology and EDA tool solutions, both current and future, including restrictive design rules, preferred rules, layout fixes, design-manufacturing integration, layout-dependent modeling, variation-aware analysis and design. This tutorial is intended for engineers and project managers involved in design, EDA, OPC/RET/tapeout and design rule formulation.","","0-7803-8736-8","","10.1109/ASPDAC.2005.1466115","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1466115","","Costs;Design for manufacture;Electronic design automation and methodology;Manufacturing processes;Process design;Semiconductor device manufacture;Semiconductor process modeling;Silicon;Timing;Tutorial","design for manufacture;integrated circuit layout","EDA tool solution;OPC;RET;data size;design for manufacturability;design manufacturing integration;design rule formulation;layout dependent modeling;layout fixes;mask cost;semiconductor process;tapeout;technology scaling;variation aware analysis","","1","1","","","","18-21 Jan. 2005","","IEEE","IEEE Conference Publications"
"Performance driven reliable link design for networks on chips","Tamhankar, R.R.; Murali, S.; De Micheli, G.","SUN Microsystems Inc, Sunnyvale, CA, USA","Design Automation Conference, 2005. Proceedings of the ASP-DAC 2005. Asia and South Pacific","20050718","2005","2","","749","754 Vol. 2","With decreasing feature size of transistors, the interconnect wire delay is becoming a major bottleneck in current systems on chips (SoCs). Another effect of shrinking feature size is that the wires are becoming unreliable as they are increasingly susceptible to various noise sources such as cross-talk, coupling noise, soft errors etc. Increasing importance of wire delay and reliability has lead to a communication centric design approach, networks on chip (NoC), for building complex SoCs. Current NoC communication design methodologies are based on conservative design approaches and consider worst case operating conditions for link design, resulting in large latency penalty for data transmission. In order to substantially decrease the link delay and thereby increase system performance an aggressive design approach is needed. In this work we present Terror, timing error tolerant communication system, for aggressively designing the links of NoCs. In our methodology, instead of avoiding timing errors by a worst-case design, we do aggressive design by tolerating timing errors. Simulation results show large latency savings (up to 35%) for the Terror based system compared to traditional design methodology.","","0-7803-8736-8","","10.1109/ASPDAC.2005.1466449","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1466449","","Buildings;Crosstalk;Delay;Design methodology;Network-on-a-chip;System-on-a-chip;Telecommunication network reliability;Timing;Transistors;Wire","integrated circuit design;integrated circuit interconnections;system-on-chip","Terror;aggressive design approach;communication centric design approach;communication design;coupling noise;crosstalk noise;data transmission;interconnect wire delay;latency penalty;latency savings;networks on chips;reliable link design;soft errors;systems on chips;timing error tolerant communication system;timing errors;worst-case design","","6","1","19","","","18-21 Jan. 2005","","IEEE","IEEE Conference Publications"
"Modeling SystemC design in UML and automatic code generation","Chen Xi; Lu Jian Hua; Zhou Zucheng; Shang YaoHui","Dept. of Electron. Eng., Tsinghua Univ., Beijing, China","Design Automation Conference, 2005. Proceedings of the ASP-DAC 2005. Asia and South Pacific","20050718","2005","2","","932","935 Vol. 2","The combination of Unified Modeling Language (UML) and SystemC has led to an object-oriented high-level design automation methodology. In this paper, a novel bi-directional UML-SystemC translation tool UMLSC is proposed. Specifically, a set of principles for modeling SystemC design in UML and an algorithm for UML-SystemC bi-directional translation are addressed. The principles and the algorithm are integrated into UMLSC* which provides a smooth link between visual specification, implementation and verification. An implementation example is given to verify the effectiveness of the proposed principles and the algorithm.","","0-7803-8736-8","","10.1109/ASPDAC.2005.1466492","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1466492","","Algorithm design and analysis;Bidirectional control;Design automation;Design engineering;Design methodology;Hardware;Logic design;Object oriented modeling;System-on-a-chip;Unified modeling language","Unified Modeling Language;high level synthesis;integrated circuit design;modelling;object-oriented programming;program compilers;system-on-chip","SystemC;UML;UMLSC;Unified Modeling Language;automatic code generation;object-oriented high-level design automation methodology;visual specification","","0","","9","","","18-21 Jan. 2005","","IEEE","IEEE Conference Publications"
"Crossbar based design schemes for switch boxes and programmable interconnection networks","Hongbing Fan; Yu-Liang Wu","Dept. of Phys. & Comput. Sci., Wilfrid Laurier Univ., Waterloo, Ont., Canada","Design Automation Conference, 2005. Proceedings of the ASP-DAC 2005. Asia and South Pacific","20050718","2005","2","","910","915 Vol. 2","Crossbars have been considered one of the most standard switching modules in conventional communication networks due to its simplicity in routing algorithm and fabrication regularity. While in programmable on-chip interconnection networks such as the routing networks in field programmable gate arrays (FPGAs), switch boxes are often used for a better tradeoff between routability and area efficiency. Much work has been done on the topology design of switch boxes, e.g. universal switch boxes and hyper-universal switch boxes. However, the layout design of switch boxes tends to be difficult when the topology of switch boxes is less regular. In this paper we revisit the theoretical design aspects of the classic crossbar design schemes and further investigate a new design style, a so called meta-crossbar, which is obtained from a crossbar by adding the least number of switches and direct contacts to achieve the desired optimal routability. We show that a switch box can always be implemented by a meta-crossbar. This means that the layout design of switch boxes can be done almost like crossbars. As a result, we present a hyper-universal meta-crossbar design, and a three level meta-crossbar based interconnection network design, which is capable of routing all group communication requirements.","","0-7803-8736-8","","10.1109/ASPDAC.2005.1466487","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1466487","","Communication networks;Communication standards;Communication switching;Fabrication;Field programmable gate arrays;Multiprocessor interconnection networks;Network topology;Network-on-a-chip;Routing;Switches","field programmable gate arrays;integrated circuit layout;multiprocessor interconnection networks;network routing;programmable circuits","communication networks;crossbar design schemes;field programmable gate arrays;hyper-universal switch boxes;layout design;meta-crossbar;programmable interconnection networks;routing algorithm;routing networks;switch matrix;switching modules;topology design;universal switch boxes","","0","","14","","","18-21 Jan. 2005","","IEEE","IEEE Conference Publications"
"Hardware/software partitioning for platform-based design method","Zhihui Xiong; Jihua Chen; Sikun Li","Sch. of Comput. Sci., Defense Technol. Univ., Changsha, China","Design Automation Conference, 2005. Proceedings of the ASP-DAC 2005. Asia and South Pacific","20050718","2005","2","","691","696 Vol. 2","Ant system algorithm has the advantages of positive feedback and efficient convergence in optimal searching, but it lacks initial pheromone, which greatly limits this algorithm's searching speed. Oriented to platform-based design of system-on-a-chip, we present a hardware/software bi-partitioning algorithm based on Ant system algorithm with initial pheromone. The main ideas are: a) Reuse the partitioning result of reference design provided by platform-based design method as current design's initial partitioning, which is then converted into the initial pheromone needed by Ant system algorithm, b) Search for the optimal partitioning scheme with the Ant system algorithm based on the initial pheromone. Our algorithm adopts system level reusing feature of platform-based design method to prevent the disadvantages of Ant system algorithm. Experiments show our algorithm improves the efficiency of Ant system algorithm by an average of forty percent.","","0-7803-8736-8","","10.1109/ASPDAC.2005.1466428","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1466428","","Algorithm design and analysis;Computer science;Design methodology;Electronic mail;Feedback;Hardware;Iterative algorithms;Partitioning algorithms;Space exploration;System-on-a-chip","hardware-software codesign;logic partitioning;software reusability;system-on-chip","Ant system algorithm;efficient convergence;hardware/software partitioning;initial pheromone;optimal partitioning;optimal searching;platform-based design method;positive feedback;reference design;system level reusing;system-on-a-chip","","0","","14","","","18-21 Jan. 2005","","IEEE","IEEE Conference Publications"
