"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design%2C+Automation+and+Test+in+Europe+Conference+and+Exhibition%29+AND+2002%29",2015/06/23 14:53:21
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"From system specification to layout: seamless top-down design methods for analog and mixed-signal applications","Sommer, R.; Rugen-Herzig, I.; Hennig, E.; Gatti, U.; Malcovati, P.; Maloberti, F.; Einwich, K.; Clauss, C.; Schwarz, P.; Noessing, G.","Infineon Technol. AG, Germany","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","884","891","Design automation for analog/mixed-signal (AIMS) circuits and systems is still lagging behind compared to what has been reached in the digital area. As System-on-Chip (SoC) designs include analog components in most cases, these analog parts become even more a bottleneck in the overall design process. The paper is dedicated to latest R&D activities within the MEDEA+ project ANASTASIA+. Main focus will be the development of seamless top-down design methods for integrated analog and mixed-signal systems and to achieve a high level of automation and reuse in the A/MS design process. These efforts are motivated by the urgent need to close the current gap in the industrial design flow between system specification and design on the one hand and block-level circuit design on the other hand. The paper will focus on three subtopics starting with the top-down design flow with applications from circuit sizing, design centering, and automated behavioral modeling. The next part focuses on modeling and simulation of specific functionalities in sigma-delta design while the last section is dedicated to a mixed-signal System-on-Chip design environment","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998405","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998405","","Circuit simulation;Circuit testing;Design automation;Design methodology;Design optimization;Electronic design automation and methodology;Mathematical model;Process design;SPICE;System-on-a-chip","analogue integrated circuits;circuit layout CAD;integrated circuit layout;mixed analogue-digital integrated circuits;sigma-delta modulation","ANASTASIA+;analog IC;automated behavioral modeling;block-level circuit design;circuit sizing;design centering;design reuse;electronic design automation;industrial design flow;layout generation;mixed-signal IC;sigma-delta modulator;system specification;system-on-chip;top-down design","","6","2","27","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Design automation for deepsubmicron: present and future","Otten, R.H.J.M.; Camposano, R.; Groeneveld, P.R.","Eindhoven Univ. of Technol., Netherlands","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","650","657","Advancing technology drives design technology and thus design automation (EDA). How to model interconnect, how to handle degradation of signal integrity and increasing power density are changing now, and have led to integrating logic and layout synthesis. Aggressive gate sizing to control timing has become part of any modern back-end. From 0.13 μ and down, chips will be more susceptive to breakdown during fabrication (antenna effect) or to wear out over time (electromigration) and dealing with these issues will require careful planning. More integration of fast and accurate analysis with a complete design flow (chip planning, synthesis, placement and routing) will be needed, and still, advancing complexity will affect design and verification. Using hundreds of millions of devices effectively will be possible only by reusing pre-designed intellectual property (IP) effectively and by addressing system-level issues in EDA. In the long term only more radical changes will keep us on Moore's track, changes that ultimately will have us depart from the two<sup>+</sup>-dimensional confinement and lead to multiple active layers, and changes that will affect deeply the face of EDA altogether","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998368","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998368","","Automatic control;Degradation;Design automation;Electric breakdown;Electromigration;Electronic design automation and methodology;Fabrication;Logic;Signal synthesis;Timing","circuit CAD;integrated circuit design","0.13 micron;antenna effect;deep-submicron integrated circuit;electromigration;electronic design automation;gate sizing;intellectual property;interconnect model;layout synthesis;logic synthesis;power density;signal integrity;system-level design;timing control;two-dimensional confinement","","4","5","22","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"A new design flow and testability measure for the generation of a structural test and BIST for analogue and mixed-signal circuits","Hoffmann, C.","Hannover Univ., Germany","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","197","204","For the generation of defect-oriented tests, a system is developed that includes the synthesis of self-test structures. With the objective of generating a highly efficient analogue test, the fault simulation methods are greatly enhanced: (1) a new testability measure, (2) the possibility of distinguishing between not-to-detect and hard-to-detect faults with respect to the tolerances of the respective measurement system. By presenting a new design flow and using the fault simulation in a very early design stage, a tool-suite is developed. It allows one to control the defect-robust layout and to eliminate those faults that limit the efficiency of a measurement system. This allows for economic self-test applications. It is demonstrated that the system finds the most efficient and less expense test for a given fault set. With the presented results it is possible to include the defect-oriented approach from the fault simulation to the automatic generation of layout rules and the test synthesis in an industrial design flow","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998270","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998270","","Automatic testing;Built-in self-test;Circuit faults;Circuit simulation;Circuit synthesis;Circuit testing;Design for testability;Fluid flow measurement;Observability;System testing","analogue integrated circuits;automatic testing;built-in self test;circuit CAD;circuit layout CAD;design for testability;fault simulation;integrated circuit design;integrated circuit testing;mixed analogue-digital integrated circuits","BIST;DFT;analogue test;defect-oriented tests;defect-robust layout;economic self-test applications;fault simulation methods;industrial design flow;layout rules;measurement system efficiency;mixed-signal circuits;self-test structures;structural test;test synthesis;testability measure;tool-suite","","2","","28","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Proceedings 2002 Design, Automation and Test in Europe Conference and Exhibition","","","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","","","The following topics are dealt with: semiconductor IP; formal verification; cooling; power management; defect oriented test; SAT and BDD techniques; low power design; mixed signal test; collaborative design; logic synthesis; symbolic techniques; EDA tools; analogue circuits; asynchronous circuits; BIST; DFT; co-design; SoC; embedded systems; reconfigurable architectures; analogue modelling; object oriented design; interconnect modelling; fault tolerance; ATPG; high-level synthesis; and IC modelling.","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998238","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998238","","Very-large-scale integration","VLSI;analogue circuits;application specific integrated circuits;asynchronous circuits;automatic test pattern generation;built-in self test;cooling;design for testability;electronic design automation;embedded systems;fault tolerance;formal verification;hardware-software codesign;industrial property;integrated circuit interconnections;integrated circuit modelling;logic CAD;low-power electronics;mixed analogue-digital integrated circuits;object-oriented methods;reconfigurable architectures","ATPG;BDD;BIST;DFT;EDA tools;IC modelling;SAT;SoC;analogue circuits;analogue modelling;asynchronous circuits;co-design;collaborative design;cooling;defect oriented test;embedded systems;fault tolerance;formal verification;high-level synthesis;interconnect modelling;logic synthesis;low power design;mixed signal test;object oriented design;power management;reconfigurable architectures;semiconductor IP;symbolic techniques","","0","","","","","8-8 March 2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"A hierarchical test scheme for system-on-chip designs","Jin-Fu Li; Hsin-Jung Huang; Jeng-Bin Chen; Chih-Ping Su; Cheng-Wen Wu; Chuang Cheng; Shao-I Chen; Chi-Yi Hwang; Hsiao-Ping Lin","Dept. of Electr. Eng., Nat. Tsing Hua Univ., Hsinchu, Taiwan","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","486","490","System-on-chip (SOC) design methodology is becoming the trend in the IC industry. Integrating reusable cores from multiple sources is essential in SOC design, and different design-for-testability methodologies are usually required for testing different cores. Another issue is test integration. The purpose of this paper is to present a hierarchical test scheme for SOC with heterogeneous core test anti lest access methods. A hierarchical test manager (HTM) is proposed to generate the control signals for these cores, taking into account the IEEE P1500 Standard proposal. A standard memory BIST interface is also presented, linking the HTM and the memory BIST circuit. It can control the BIST circuit with the serial or parallel test access mechanism. The hierarchical test control scheme has low area anti pin overhead, and high flexibility. An industrial case using this scheme has been designed, showing an area overhead of only about 0.63%.","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998317","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998317","","Built-in self-test;Centralized control;Circuit testing;Control systems;Design methodology;Hip;Manufacturing;Process design;System testing;System-on-a-chip","IEEE standards;automatic test equipment;built-in self test;design for testability;hierarchical systems;integrated circuit design","BIST circuit;BIST interface;IC industry;IEEE P.1500 Standard;SOC design;design-for-testability;flexibility;hierarchical test manager;parallel test access mechanism;pin overhead;standard memory","","5","5","13","","","2002","","IEEE","IEEE Conference Publications"
"Test planning and design space exploration in a core-based environment","Cota, E.; Carro, L.; Orailoglu, A.; Lubaszewski, M.","Instituto de Informatica, Univ. Fed. do Rio Grande do Sul, Porto Alegre, Brazil","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","478","485","This paper proposes a comprehensive model for test planning in a core-based environment. The main contribution of this work is the use of several types of TAMs and the consideration of different optimization factors (area, ping and test time) during the global TAM and test schedule definition. This expansion of concerns makes possible an efficient yet fine-grained search in the huge design space of a reuse-based environment. Experimental results clearly show the variety of trade-offs that can be explored using the proposed model, and its effectiveness on optimizing the system test design","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998316","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998316","","Circuit testing;Computer science;Design engineering;Design optimization;Pins;Power system modeling;Process design;Process planning;Space exploration;System testing","automatic test equipment;automatic testing;built-in self test;design for testability;microprocessor chips;optimisation","area;fine-grained search;global TAM;optimization;ping;scheduling;test planning;test time","","9","","21","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"UML for embedded systems specification and design: motivation and overview","Martin, G.","Cadence Design Syst., Berkeley, CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","773","775","The specification, design and implementation of embedded systems demands new approaches which go beyond traditional hardware-based notations such as HDLs. The growing dominance of software in embedded systems design requires a careful look at the latest methods for software specification and analysis. The development of the Unified Modeling Language (UML), and a number of extension proposals in the realtime domain holds promise for the development of new design flows which move beyond static and traditional partitions of hardware and software. However, UML as currently defined lacks several key capabilities. In this paper, we will survey the requirements for system-level design of embedded systems, and give an overview of the extensions required to UML that will be dealt with in more detail in the related papers. In particular, we will discuss how the notions of platform-based design intersect with a UML based development approach.","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998386","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998386","","Computational modeling;Computer architecture;Context modeling;Embedded computing;Embedded software;Embedded system;Hardware;Proposals;Software systems;Unified modeling language","embedded systems;specification languages","UML;Unified Modeling Language;embedded system;software specification;system-level design","","12","","10","","","2002","","IEEE","IEEE Conference Publications"
"Effective software self-test methodology for processor cores","Kranitis, N.; Paschalis, A.; Gizopoulos, D.; Zorian, Y.","Dept. of Informatics & Telecommun., Athens Univ., Greece","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","592","597","Software self-testing for embedded processor cores based on their instruction set, is a topic of increasing interest since it provides an excellent test resource partitioning technique for sharing the testing task of complex systems-on-chip (SoC) between slow, inexpensive testers and embedded code stored in memory cores of the SoC. We introduce an efficient methodology for processor cores self-testing which requires knowledge of their instruction set and Register Transfer (RI) level description. Compared with functional testing methodologies proposed in the past, our methodology is more efficient in terms of fault coverage, test code size and test application time. Compared with recent software based structural testing methodologies for processor cores, our methodology is superior in terms of test development effort and has significantly smaller code size and memory requirements, while virtually the same fault coverage is achieved with an order of magnitude smaller test application time","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998361","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998361","","Application software;Automatic testing;Built-in self-test;Circuit faults;Circuit testing;Informatics;Logic testing;Software testing;System testing;Test pattern generators","application specific integrated circuits;built-in self test;fault diagnosis;high level synthesis;instruction sets;logic partitioning;logic testing;microprocessor chips","SoC;fault coverage;instruction set;processor cores;register transfer level description;software self-test methodology;test application time;test code size;test development effort;test resource partitioning technique","","16","1","13","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"An incremental algorithm for test generation in Illinois scan architecture based designs","Pandey, A.R.; Patel, J.H.","Center for Reliable & High Performance Comput., Illinois Univ., Urbana, IL, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","368","375","As the complexity of VLSI circuits is increasing due to the exponential rise in transistor count per chip, testing cost is becoming an important factor in the overall integrated circuit (IC) manufacturing cost. This paper addresses the issue of decreasing test cost by lowering the test data bits and the number of clock cycles required to test a chip. We propose a new incremental algorithm for generating tests for Illinois Scan Architecture (ILS) based designs and provide analysis of test data and test time reduction. This algorithm is very efficient in generating tests for a number of ILS-designs in order to find the most optimal configuration","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998300","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998300","","Algorithm design and analysis;Automatic test pattern generation;Built-in self-test;Circuit testing;Computer architecture;Costs;Electronic switching systems;Hip;Integrated circuit testing;Very large scale integration","VLSI;automatic test pattern generation;digital integrated circuits;integrated circuit testing;logic testing;production testing","IC manufacturing cost;Illinois scan architecture based designs;VLSI circuits;automatic test pattern generator;clock cycles reduction;incremental algorithm;scan-based ATPG;test cost reduction;test data bits reduction;test set generation;test time reduction","","19","13","20","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"A mixed-signal design reuse methodology based on parametric behavioural models with non-ideal effects","Gines, A.J.; Peralias, E.; Rueda, A.; Madrid, N.M.; Seepold, R.","Centro Nacional de Microelectron., Instituto de Microelectron. de Sevilla, Spain","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","310","314","Current system-on-chip (SoC) designs incorporate an increasing number of mixed-signal components. Design reuse techniques have proved successful for digital design but these rules are difficult to transfer to mixed-signal design. A top-down methodology is missing but the low level of abstraction in designs makes system integration and verification a very difficult, tedious and complex task. This paper presents a contribution to mixed-signal design reuse where a design methodology is proposed based on modular and parametric behavioural components. They support a design process where non-ideal effects can be incorporated in an incremental way, allowing easy architectural selection and accurate simulations. A working example is used through the paper to highlight and validate the applicability of the methodology","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998290","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998290","","Acceleration;Design automation;Design methodology;Digital systems;Libraries;Microelectronics;Phase locked loops;Process design;Standardization;System-on-a-chip","circuit CAD;circuit simulation;industrial property;integrated circuit design;mixed analogue-digital integrated circuits","SoC designs;architectural selection;design abstraction;design process;design reuse techniques;digital design;mixed-signal components;mixed-signal design reuse methodology;modular behavioural components;nonideal effects;parametric behavioural models;simulations;system integration;system verification;system-on-chip designs;top-down methodology","","6","1","16","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
