"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design%2C+Automation+.AND.+Test+in+Europe+Conference+.AND.+Exhibition+.LB.DATE.RB.%29+AND+2010%29",2015/06/23 14:57:00
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"2010 EDAA / ACM SIGDA PhD Forum at DATE in Dresden","","","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","l","li","The EDAA I ACM PhD forum is part of the DATE Conference and hosted by ACM SIGDA and the European Design Automation Association (EDAA). It offers the opportunity for PhD students to present their thesis work to a broad audience in the design automation and test community from both academia and industry. During the presentation at the DATE Conference it helps students to establish contacts when entering the job market. Also, representatives from industry and academia get a glance of state-of-the-art research in design automation and test. This year we received a total of 54 submissions out of which 42 have been accepted for presentation at a dinner reception. The review process was conducted by a team of 13 internationally renowned reviewers. Our thanks go to all presenters, the PhD Forum Committee and all who were involved in conducting the review process and arranging and organizing the Forum event at DATE. We also thank the EDAA and DATE organizers and representatives for making this Forum possible. Peter Marwedel (Chair, 2010 EDAA / ACM PhD Forum at DATE)","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457250","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457250","","Automatic testing;Chemical technology;Circuit synthesis;Design automation;Design methodology;Driver circuits;Educational institutions;Organizing;Power control;System-on-a-chip","","","","0","","","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
"Test front loading in early stages of automotive software development based on AUTOSAR","Michailidis, A.; Spieth, U.; Ringler, T.; Hedenetz, B.; Kowalewski, S.","Group Res. & Adv. Eng., Daimler AG, Sindelfingen, Germany","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","435","440","Embedded software development has become one of the greatest challenges in the automotive domain, due to the rising complexity of vehicle systems. A method to handle the complexity of automotive software is Model Based Design (MBD). As MBD offers great advantages in early simulation and testing, it has become today's mainstream method for automotive software engineering. However, some aspects can be initially tested after the integration of software on real hardware components (usually by the supplier) and when all parts of a system (e.g. bus systems, sensors, actuators) are present. The consequence is that the requirement specification of the according system possibly contains gaps that can lead to software defects. New technologies like the AUTOSAR standard enable additional potentials for the validation of model based developed software. Due to the AUTOSAR software architecture it is possible for an OEM to realize an early ??virtual?? software integration with an acceptable effort and perform at next step a front loading of system tests. In this paper we present an approach that improves the quality of the requirement specification artifacts by using test front loading. In detail, we analyze the requirement engineering part of the software development process to identify aspects that can not be tested without having all system components. Afterwards, we classify these aspects and define an abstract test pattern that can be globally used for testing. Additionally, we illustrate our approach in a case study on an interior light system for the next Mercedes-Benz M-Class generation.","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457166","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457166","AUTOSAR;front loading;model based design;validation and test;virtual integration","Actuators;Automotive engineering;Embedded software;Hardware;Programming;Sensor systems;Software engineering;Software testing;System testing;Vehicles","automobiles;embedded systems;open systems;program testing;program verification;software architecture;systems analysis;traffic engineering computing","AUTOSAR;automotive open system architecture;automotive software development;automotive software engineering;embedded software development;model based design;next Mercedes-Benz M-Class generation;requirement engineering;requirement specification artifact quality;software architecture;software defects;test front loading;vehicle system complexity;virtual software integration","","0","","15","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
"An integrated framework for joint design space exploration of microarchitecture and circuits","Azizi, O.; Mahesri, A.; Stevenson, J.P.; Patel, S.J.; Horowitz, M.","Dept. of Electr. Eng., Stanford Univ., Stanford, CA, USA","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","250","255","The design of a digital system for energy efficiency often requires the analysis of circuit tradeoffs in addition to architectural tradeoffs. To assist with this analysis, we present a framework for performing joint exploration of both the architectural and circuit design spaces. In our approach, we use statistical inference techniques to create a model of a large micro-architectural design space from a small number of simulation samples. We then characterize the design tradeoffs of each of the underlying circuits and integrate these with the higher level architectural models to define the joint circuit-architecture design space. We use posynomial forms for all our models, enabling the use of convex optimization tools to efficiently search the joint design space. As an example, we apply this methodology to explore the power-performance tradeoffs in a dual-issue superscalar out-of-order processor, showing how the framework can be used to determine the optimal set of design parameters for energy efficiency. Compared to current architectural tools that use fixed circuit costs, joint optimization can reduce energy by up to 30% by considering circuit tradeoff characteristics.","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457204","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457204","","Circuit analysis;Circuit simulation;Circuit synthesis;Design optimization;Digital systems;Energy efficiency;Microarchitecture;Out of order;Performance analysis;Space exploration","network synthesis;optimisation;statistical analysis","circuit design spaces;convex optimization tools;digital system;energy efficiency;fixed circuit costs;integrated framework;joint circuit-architecture design space;joint design space exploration;microarchitectural design space;statistical inference techniques","","1","","18","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
"Design space exploration of a mesochronous link for cost-effective and flexible GALS NOCs","Ludovici, D.; Strano, A.; Gaydadjiev, G.N.; Benini, L.; Bertozzi, D.","Comput. Eng. Lab., Delft Univ. of Technol., Delft, Netherlands","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","679","684","There is today little doubt on the fact that a high-performance and cost-effective Network-on-Chip can only be designed in 45nm and beyond under a relaxed synchronization assumption. In this direction, this paper focuses on a GALS system where the NoC and its end-nodes have independent clocks (unrelated in frequency and phase) and are synchronized via dual-clock FIFOs at network interfaces. Within the network, we assume mesochronous synchronization implemented with hierarchical clock tree distribution. This paper contributes two essential components of any practical design automation support for network instantiation in the target system. On one hand, it introduces a switch design which greatly reduces the overhead for mesochronous synchronization and can be adapted to meet different layout constraints. On the other hand, the paper illustrates a design space exploration framework of mesochronous links that can direct the selection of synchronization options on a port-by-port basis for all the switches in the NoC, based on timing and layout constraints. A final case study illustrates how a cost-effective GALS NoC can be assembled, placed and routed by exploiting the flexibility of the architecture and the outcomes of the exploration framework, thus proving the viability and effectiveness of the design platform.","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457116","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457116","","Clocks;Delay;Design automation;Frequency synchronization;Network interfaces;Network synthesis;Network-on-a-chip;Space exploration;Switches;Timing","clock distribution networks;logic design;network-on-chip","Mesochronous link;clock tree distribution;cost effective GALS NOC;design space exploration;dual clock FIFO;flexible GALS NOC;network interfaces;network-on-chip","","4","","25","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
"Leveraging application-level requirements in the design of a NoC for a 4G SoC - a case study","Beraha, R.; Walter, I.; Cidon, I.; Kolodny, A.","R&D, Qualcomm Corp., San Diego, CA, USA","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","1408","1413","In this paper, we examine the design process of a Network on-Chip (NoC) for a high-end commercial System on-Chip (SoC) application. We present several design choices and focus on the power optimization of the NoC while achieving the required performance. Our design steps include module mapping and allocation of customized capacities to links. Unlike previous studies, in which point-to-point, per-flow timing constraints were used, we demonstrate the importance of using the application end-to-end traversal latency requirements during the optimization process. In order to evaluate the different alternatives, we report the synthesis results of a design that meets the actual throughput and timing requirements of the commercial SoC. According to our findings, the proposed technique offers up to 40% savings in the total router area and a reduction of up to 49% in the inter-router wiring area.","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457033","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457033","Network on-chip;Optimization;System on-chip","Constraint optimization;Cost function;Delay;Design optimization;Energy consumption;Network-on-a-chip;Pipelines;Process design;System-on-a-chip;Timing","logic design;network-on-chip;optimisation","4G SoC a case study;NoC design;inter router wiring area;leveraging application level requirements;network on chip;per flow timing constraints;power optimization;system on chip","","3","","22","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
"A methodology for propagating design tolerances to shape tolerances for use in manufacturing","Banerjee, S.; Agarwal, K.B.; Chin-Ngai Sze; Nassif, S.; Orshansky, M.","Univ. of Texas at Austin, Austin, TX, USA","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","1273","1278","The move to low-k1 lithography makes it increasingly difficult to print feature sizes which are a small fraction of the wavelength of light. Manufacturing processes currently treat a target layout as a fixed requirement for lithography. However, in reality layout features may vary within certain bounds without violating design constraints. The knowledge of such tolerances, coupled with models for process variability, can help improve the manufacturability of layout features while still meeting design requirements. In this paper, we propose a methodology to convert electrical slack in a design to shape slack or tolerances on individual layout shapes using a two-phase approach. In the first step, we redistribute delay slack to generate delay bounds on individual cells using linear programming. In the second phase, which is solved as a quadratic program, we convert these delay bounds to shape tolerances to maximize the process window of each shape. The shape tolerances produced by our methodology can be used within a process-window optical proximity correction (PWOPC) flow to reduce delay errors arising from variations in the lithographic process. Our experiments on 45 nm SOI cells using accurate process models show that the use of our shape slack generation in conjunction with PWOPC reduces delay errors from 3.6% to 1.4%, on average, compared to the simplistic way of tolerance band generation.","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457002","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457002","DFM;design-intent;process-window optical proximity correction;tolerance bands","Delay;Design methodology;Error correction;Image motion analysis;Linear programming;Lithography;Manufacturing processes;Optical propagation;Shape;Virtual manufacturing","integrated circuit layout;integrated circuit manufacture;linear programming;lithography;proximity effect (lithography);silicon-on-insulator","SOI cells;delay bounds;delay slack;design tolerance;layout features;linear programming;lithographic process;low-k1 lithography;manufacturing process;process variability;process window optical proximity correction;quadratic program;shape tolerance;size 45 nm;target layout;tolerance band generation","","1","","15","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
"Robust design of embedded systems","Lukasiewycz, M.; Glass, M.; Teich, J.","Univ. of Erlangen-Nuremberg, Erlangen, Germany","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","1578","1583","This paper presents a methodology to evaluate and optimize the robustness of an embedded system in terms of invariability in case of design revisions. Early decisions in embedded system design may be revised in later stages resulting in additional costs. A method that quantifies the expected additional costs as the robustness value is proposed. Since the determination of the robustness based on arbitrary revisions is computationally expensive, an efficient set-based approach that uses a symbolic encoding as Binary Decision Diagrams is presented. Moreover, a methodology for the integration of the optimization of the robustness into a design space exploration is proposed. Based on an external archive that accepts also near-optimal solutions, this robustness-aware optimization is efficient since it does not require additional function evaluations as previous approaches. Two realistic case studies give evidence of the benefits of the proposed approach.","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457062","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457062","","Boolean functions;Costs;Data structures;Decision making;Design optimization;Embedded system;Encoding;Process design;Robustness;Space exploration","binary decision diagrams;circuit optimisation;embedded systems;logic design","binary decision diagram;design revision;design space exploration;embedded system;robust system design;robustness-aware optimization;set-based approach;symbolic encoding","","1","","20","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
"Aging-resilient design of pipelined architectures using novel detection and correction circuits","Dadgour, H.; Banerjee, K.","Dept. of Electr. & Comput. Eng., Univ. of California, Santa Barbara, CA, USA","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","244","249","Time-dependent performance degradation due to transistor aging caused by mechanisms such as Negative Bias Temperature Instability (NBTI) and Hot Carrier Injection (HCI) is one of the most important reliability concerns for deep nano-scale regime VLSI circuits. Hence, aging-resilient design methodologies are necessary to address this issue in order to improve reliability, preferably with minimal impact on the area, power and performance. This work offers two major contributions to the aging-resilient circuit design methodology literature. First, it introduces a novel sensor circuit that can detect the aging of pipeline architectures by monitoring the arrival time of data signals at flip-flops. The area overhead of the proposed circuit is estimated to be less than 45% compared to that of previous approaches, which are over 95%. To ensure the accuracy of its operation, a comprehensive timing analysis is performed on the proposed circuit including the influence of process variations. As a second contribution, this work presents an innovative correction technique to reduce the probability of timing failures caused by aging. This method employs novel reconfigurable flip-flops, which operate as normal flip-flops as long as the circuit is fresh, but function as time-borrowing flip-flops once the circuit ages. This unique flip-flop design allows utilization of the advantages of the time-borrowing technique while avoiding potential race conditions that can be created by employing such a technique. It is shown via simulations that by employing the proposed design methodology, the probability of timing failures in the aged circuits can be reduced by as much as 10X for various benchmark circuits.","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457203","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457203","Aging;Diagnostics and Built-in tests;Fault-Tolerance;Negative/Positive Bias Temperature Instability (NBTI/PBTI);Process Variation;Reliability;Timing Analysis","Aging;Circuits;Degradation;Design methodology;Flip-flops;Hot carrier injection;Negative bias temperature instability;Niobium compounds;Timing;Titanium compounds","VLSI;flip-flops;hot carriers;integrated circuit reliability;logic design;transistor circuits","aging-resilient design;correction circuit;deep nano-scale regime VLSI circuit reliability;detection circuit;flip-flop design;hot carrier injection;innovative correction technique;negative bias temperature instability;pipelined architecture;process variations;reconfigurable flip-flops;sensor circuit;time-dependent performance degradation;timing failure probability;transistor aging","","7","","24","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
"Creating 3D specific systems: Architecture, design and CAD","Franzon, P.D.; Davis, W.R.; Thorolffson, T.","Dept. of Electr. & Comput. Eng., North Carolina State Univ., Raleigh, NC, USA","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","1684","1688","3D stacking and integration can provide system advantages. Following a brief technology review, this abstract explores application drivers, design and CAD for 3D ICs. The main application area explored in detail is that of logic on memory. This application is explored in a specific DSP example. Finally critical areas that need better solutions are explored. These include design planning, test management, and thermal management.","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457086","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457086","3D IC;3DIC;TSV;memory on logic;stacked memor;three dimensional IC","Application software;Design automation;Dielectric substrates;Digital signal processing;Logic;Silicon;Stacking;Testing;Thermal management;Through-silicon vias","CAD;digital signal processing chips;integrated circuit design;integrated memory circuits;logic circuits;logic design;stacking;three-dimensional integrated circuits","3D IC;3D stacking;CAD;DSP;creating 3D specific systems;design planning;logic;memory;test management;thermal management","","2","","7","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
"An on-chip clock generation scheme for faster-than-at-speed delay testing","Songwei Pei; Huawei Li; Xiaowei Li","Key Lab. of Comput. Syst. & Archit., Chinese Acad. of Sci., Beijing, China","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2010","20100429","2010","","","1353","1356","Faster-than-at-speed testing provides an effective way for detecting and debugging small delay defects in modern fabricated chips. However, the use of external automatic test equipment for faster-than-at-speed delay testing could be costly. In this paper, we present an on-chip clock generation scheme which facilitates faster-than-at-speed delay testing for both launch on capture and launch on shift test frameworks. The required test clock frequency with a high resolution can be obtained by specifying the information in the test patterns, which is then shifted into the delay control stages to configure the launch and capture clock generation circuit (LCCG) embedded on-chip. Similarly, the control information for selecting various test frameworks and clock signals can also be embedded in the test patterns. Experimental results are presented to validate the proposed scheme.","1530-1591","978-1-4244-7054-9","","10.1109/DATE.2010.5457020","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5457020","faster-than-atspeed;launch on capture;launch on shift;on-chip;small delay defect","Automatic testing;Circuit faults;Circuit testing;Clocks;Delay;Frequency;Lab-on-a-chip;Phase locked loops;System testing;Timing","clocks;delay circuits;integrated circuit reliability;integrated circuit testing","faster-than-at-speed delay testing;launch and capture clock generation circuit;on-chip clock generation scheme;shift test frameworks;test clock frequency","","5","","10","","","8-12 March 2010","","IEEE","IEEE Conference Publications"
