"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DComputer-Aided+Design+.LB.ICCAD.RB.%2C+2014+IEEE%2FACM+International+Conference",2015/06/23 15:09:14
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"IR-drop based electromigration assessment: Parametric failure chip-scale analysis","Sukharev, V.; Xin Huang; Hai-Bao Chen; Tan, S.X.-D.","Mentor Graphics Corp., Fremont, CA, USA","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","428","433","This paper presents a novel approach and techniques for electromigration (EM) assessment in power delivery networks. An increase in the voltage drop above the threshold level, caused by EM-induced increase in resistances of the individual interconnect segments, is considered as a failure criterion. This criterion replaces a currently employed conservative weakest segment criterion, which does not account an essential redundancy for current propagation existing in the power-ground (p/g) networks. EM-induced increase in the resistance of the individual grid segments is described in the approximation of the physics-based formalism for void nucleation and growth. A developed technique for calculating the hydrostatic stress distribution inside a multi branch interconnect tree allows to avoid over optimistic prediction of the time to failure made with the Blech-Black analysis of individual branches of interconnect segment. Experimental results obtained on the IBM benchmark circuit validate the proposed methods.","","","","10.1109/ICCAD.2014.7001387","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001387","IR-drop;electromigration;failure;power-ground networks;void","Current density;Integrated circuit interconnections;Metals;Power grids;Reliability;Resistance;Stress","electromigration;failure analysis;integrated circuit interconnections;reliability","Blech-Black analysis;conservative weakest segment criterion;current propagation;electromigration assessment;hydrostatic stress distribution;interconnect segments;multi branch interconnect tree;parametric failure chip-scale analysis;physics-based formalism;power delivery networks;power-ground networks;redundancy;void growth;void nucleation;voltage drop","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
"Application driven high level design in the era of heterogeneous computing","Puri, R.","IBM T J Watson Res. Center, Yorktown Heights, NY, USA","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","71","71","Summary form only given. Escalating costs of semiconductor technology and its lagging performance relative to historic trends is motivating acceleration and specialization as more impactful means to increase system value. Targeted specialization is being increasingly pursued as an important way to achieve dramatic improvements in workload acceleration. This requires a broad understanding of workloads, system structures, and algorithms to determine what to accelerate / specialize, and how, i.e., via SW?; via HW?; or via SW+HW? which presents many choices, necessitating co-optimization of SW and HW. In this talk, we will focus on an application driven approach to high level design for software and system co-optimization, based on inventing new software algorithms, that have strong affinity to hardware acceleration.","","","","10.1109/ICCAD.2014.7001331","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001331","","Acceleration;Algorithm design and analysis;Hardware;Market research;Software;Software algorithms","distributed processing;hardware-software codesign","application driven high level design;hardware acceleration;heterogeneous computing;semiconductor technology;software algorithm;software-hardware co-optimization;workload acceleration","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
"A fast process variation and pattern fidelity aware mask optimization algorithm","Awad, A.; Takahashi, A.; Tanaka, S.; Kodama, C.","Dept. of Commun. & Comput. Eng., Tokyo Inst. of Technol., Tokyo, Japan","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","238","245","With the continuous shrinking of minimum feature sizes beyond current 193nm wavelength for optical micro lithography, the electronic industry relies on Resolution Enhancement Techniques (RETs) to improve pattern transfer fidelity. However, the lithographic process is susceptible to dose and focus variations that will eventually cause lithographic yield degradation. In this paper, a new algorithm is proposed to minimize the Edge Placement Error (EPE) and the process variability of the printed image. The algorithm is also adapted to reduce the computational time using a novel approach through minimizing the number of convolutions during lithography simulation time. Experimental results show that the proposed algorithm results in less average cost than the top three teams of ICCAD 2013 contest on the public benchmarks.","","","","10.1109/ICCAD.2014.7001358","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001358","","Adaptive optics;Kernel;Layout;Optical imaging;Optimization;Resists;Semiconductor device modeling","integrated circuit manufacture;masks;optimisation;photolithography","EPE;edge placement error;fast process variation;lithography simulation time;mask optimization algorithm;pattern fidelity aware","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
"Common path pessimism removal: An industry perspective: Special Session: Common Path Pessimism Removal","Garg, V.","Cadence Design Syst., Inc., San Jose, CA, USA","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","592","595","Process parameters, e.g., transistor width, may greatly vary not only across multiple manufacturing lots, but also within the same die from the same manufacturing lot. In addition to process variations different parts of a chip may see different voltages and temperatures. These process-voltage-temperature (PVT) variations are termed as On-Chip Variations (OCV) and can unsystematically affect wire and cell delays. This variability is accounted for by adding OCV de-ratings to path delays during static timing analysis (STA), where the original timing values are split into early (lowerbound) and late (upperbound) quantities. Chip timing is then done against these new delays to ensure safe chip operation. Any unknown or hard-to-model variation effect can also be margined for in these OCV de-ratings. However, this additional pessimism can significantly increase the difficulty to achieve timing closure, thereby elongating the design cycle and time to market. In particular, excess pessimism along clock network creates the most design-cycle churn, as pessimistic clock delays impact nearly all data paths. This session discusses the overview and challenges of common path pessimism removal (CPPR), the method of safely removing excess pessimism from clock paths, from an industry perspective.","","","","10.1109/ICCAD.2014.7001412","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001412","CPPR;pessimism removal;static timing analysis","Clocks;Complexity theory;Delays;Industries;Optimization;Registers","clocks;delay circuits;flip-flops;integrated circuit design;synchronisation;time to market","CPPR;OCV deratings;PVT variations;STA;cell delays;chip operation;chip timing;clock network;clock paths;common path pessimism removal;design-cycle churn;manufacturing lots;on-chip variations;path delays;pessimistic clock delays;process parameters;process-voltage-temperature variations;static timing analysis;time to market;timing closure;transistor width","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
"Logic synthesis and a generalized notation for memristor-realized material implication gates","Raghuvanshi, A.; Perkowski, M.","Dept. of Electr. & Comput. Eng., Portland State Univ., Portland, OR, USA","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","470","477","The paper presents new logic synthesis methods for single-output incomplete multi-level binary circuits using Memristor-based material implication gates. The first method follows Lehtonen's assumption of using only two working memristors. The algorithm minimizes the number of implication (IMPLY) gates, which corresponds to minimizing the number of pulses or the delay time. This greedy search method uses essential and secondary essential primes, does not require solving the covering problem, is fast, and produces high quality results. We compare it to other synthesis methods, such as the modified SOP and Exclusive-Or Sum of Products (ESOP) with minimum number of working memristors. We analyze the problem of reduction in IMPLY gate count by adding more working memristors and introduce Imply Sequence Diagrams, a new notation, similar to one used in reversible logic.","","","","10.1109/ICCAD.2014.7001393","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001393","Logic Synthesis;Material Implication (IMPLY) gate;Memristors;number of pulses;sequential realization of combinational logic","Delays;Logic circuits;Logic gates;Materials;Memristors;Resistance","greedy algorithms;memristor circuits;multivalued logic circuits","ESOP;Lehtonens assumption;exclusive-or sum of products;greedy search method;imply sequence diagrams;logic synthesis methods;memristor-realized material implication gates;multilevel binary circuits","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
"Opportunistic through-silicon-via inductor utilization in LC resonant clocks: Concept and algorithms","Tida, U.R.; Mittapalli, V.; Cheng Zhuo; Yiyu Shi","Missouri S&T, Rolla, MO, USA","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","750","757","LC resonant clock is an attracting option for low power on-chip clock distribution designs. However, a major limiting factor to its implementation is the large area overhead due to the conventional spiral inductors. On the other hand, idle through-silicon-vias (TSVs) in three-dimensional integrated circuits (3D ICs) can form vertical inductors with minimal footprint and little noise coupling with horizontal traces, particularly suitable for the application of LC resonant clock. However, due to the strict constraints on the location of idle TSVs, the use of the TSV inductor is limited by the constrained choices of its location, inductance and quality factor. Moreover, these TSV inductors can be in any orientation with any distance apart, thereby causing complicated coupling effects. In this paper, we present a novel scheme to opportunistically use idle TSVs to form inductors in LC resonant clock of 3D ICs for maximum power reduction. We formulate the problem and devise a greedy algorithm to efficiently solve it. Experimental results on a few industrial designs show that compared with the conventional resonant clock designs using spiral inductors, our scheme with TSV inductors can reduce the inductor footprint by up to 6.30x with the same power consumption. Especially these TSV inductors are formed by existing idle TSVs so they essentially come for free. To the best of the authors' knowledge, this is the very first work to apply TSV inductors to the resonant CDN.","","","","10.1109/ICCAD.2014.7001435","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001435","","Capacitors;Clocks;Inductance;Inductors;Q-factor;Through-silicon vias;Wires","LC circuits;clock distribution networks;clocks;inductors;integrated circuit design;low-power electronics;three-dimensional integrated circuits","LC resonant clocks;low power on-chip clock distribution designs;maximum power reduction;three dimensional integrated circuits;through silicon via inductor utilization;vertical inductors","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
"Co-scheduling of HVAC control, EV charging and battery usage for building energy efficiency","Tianshu Wei; Qi Zhu; Maasoumy, M.","Electr. & Comput. Eng., Univ. of California, Riverside, Riverside, CA, USA","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","191","196","Building stock consumes 40% of primary energy consumption in the United States. Among various types of energy loads in buildings, HVAC (heating, ventilation, and air conditioning) and EV (electric vehicle) charging are two of the most important ones and have distinct characteristics. HVAC system accounts for 50% of the building energy consumption and typically operates throughout the day, while EV charging is an emerging major energy load that is hard to predict and may cause spikes in energy demand. To maximize building energy efficiency and grid stability, it is important to address both types of energy loads in a holistic framework. Furthermore, on the supply side, the utilization of multiple energy sources such as grid electricity, solar, wind, and battery storage provides more opportunities for energy efficiency, and should be considered together with the scheduling of energy loads. In this paper, we present a novel model predictive control (MPC) based algorithm to co-schedule HVAC control, EV scheduling and battery usage for reducing the total building energy consumption and the peak energy demand, while maintaining the temperature within the comfort zone for building occupants and meeting the deadlines for EV charging. Experiment results demonstrate the effectiveness of our approach under a variety of demand, supply and environment constraints.","","","","10.1109/ICCAD.2014.7001351","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001351","","Batteries;Buildings;Energy consumption;Equations;Mathematical model;Power grids;Prediction algorithms","HVAC;building management systems;electric vehicles;energy conservation;power consumption;power grids;power system stability;predictive control;scheduling;secondary cells","EV charging schedulling;HVAC control coscheduling;MPC based algorithm;battery usage;building energy consumption reduction;building energy efficiency maximisation;electric vehicle charging;energy demand spike;energy load;grid stability;heating, ventilation, and air conditioning;multiple energy source utilization;predictive control based algorithm","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
"Author index","","","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","1","10","Presents an index of the authors whose articles are published in the conference proceedings record.","","","","10.1109/ICCAD.2014.7001320","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001320","","","","","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
"Architecting 3D vertical resistive memory for next-generation storage systems","Cong Xu; Pai-Yu Chen; Dimin Niu; Yang Zheng; Shimeng Yu; Yuan Xie","Pennsylvania State Univ., University Park, PA, USA","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","55","62","Resistive Random Access Memory (ReRAM) has several advantages over current NAND Flash technology, highlighting orders of magnitude lower access latency and higher endurance. Recently proposed 3D vertical cross-point ReRAM (3D-VRAM) architecture is an encouraging development in ReRAM's evolution as a cost-competitive solution, and thus attracts a lot of attention in both industry and academia. In this work, an array-level model to estimate the read/write energy and characterize the vertical access transistor is developed. We use the model to study a range of design trade-offs by tuning the cell-level characteristics and the read/write schemes. The design space exploration addresses several critical issues that are either unique to 3D-VRAM or have substantially different concerns from the 2D cross-point array design. It provides insights on the design optimizations of the array density and access energy, and several important conclusions have been reached. Then we propose multi-directional write driver to mitigate the writer circuitry overhead, and use remote sensing scheme to take full advantage of limited on-die sensing resources. The benefits of these optimizations are evaluated and validated in our macro-architecture model. With trace-based simulations, system-level comparisons between 3D-VRAM and a wide spectrum of memories are performed in mixed aspects of performance, cost, and energy. The results show that our optimized 3D-VRAM design are better than other contenders for storage memory in both performance and energy.","","","","10.1109/ICCAD.2014.7001329","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001329","","Arrays;Electrodes;Microprocessors;Resistance;Sensors;Transistors","NAND circuits;flash memories;logic design;resistive RAM","2D cross-point array design;3D vertical cross-point ReRAM;3D vertical resistive memory;3D-VRAM architecture;NAND flash technology;macroarchitecture model;next-generation storage systems;on-die sensing resources;remote sensing scheme;resistive random access memory;trace-based simulations;vertical access transistor","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
"Frequency-centric resonant rotary clock distribution network design","Ying Teng; Taskin, B.","ECE Dept., Drexel Univ., Philadelphia, PA, USA","Computer-Aided Design (ICCAD), 2014 IEEE/ACM International Conference on","20150108","2014","","","742","749","A frequency-centric methodology is proposed for the selection of the physical parameters of the resonant rotary clock for a target frequency. This proposed methodology is performed once for each target frequency on a semiconductor technology, in order to create a cell library of resonant rotary clock design components. A case study is performed to demonstrate the efficiency of the proposed methodology in accuracy and run-time. Simulation results show that the frequency-centric design provides a good approximation for the resonant clock distribution network. At target frequencies between 4GHz and 6GHz, the frequency difference is less than 0.20% and the run-time is reduced by approximately 70% compared to the traditional HSPICE simulation of an entire SROA network without the proposed simplifications for run-time improvement.","","","","10.1109/ICCAD.2014.7001434","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001434","","Capacitance;Clocks;Frequency measurement;Inverters;Libraries;Power transmission lines;Resonant frequency","clock distribution networks;integrated circuit design;oscillators","SROA network;frequency 4 GHz to 6 GHz;frequency-centric clock distribution network design;resonant clock distribution network;resonant rotary clock design;resonant rotary clock distribution network design;rotary oscillator array;semiconductor technology","","0","","","","","2-6 Nov. 2014","","IEEE","IEEE Conference Publications"
