"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4294967269%26matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design+Automation+Conference+.LB.DAC.RB.%29+AND+2001%29",2015/06/23 14:42:27
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Proceedings of the ASP-DAC 2001. Asia and South Pacific Design Automation Conference 2001 (Cat. No.01EX455)","","","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","0_1","","The following topics were covered: device/circuit co-designing for advanced technologies; system level specification and simulation; BDD and sequential verification issues; interconnect design optimisation; design for manufacturability; system-level design; equivalence checking; parasitic extraction and reduced order models; functional decomposition and PLA-based logic synthesis; low power techniques for embedded software; asynchronous system design - architecture and low-power; analog design methodology; low power design methodology; advanced BIST; DSM design and analysis; signal integrity and analysis; design experiments for mobile applications; compilation techniques for embedded software; asynchronous system design - synthesis; system level power optimisation; multi-level logic optimization for logic circuits; practical and high level DFT; performance driven floorplaning and placement; delay and power estimation improvement; networked reconfiguration and systems; advances in timing optimisation of logic circuits; logic synthesis for low power and design space exploration; optimisation techniques for FPGAs; processor synthesis","","0-7803-6633-6","","10.1109/ASPDAC.2001.913257","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913257","","","VLSI;analogue integrated circuits;asynchronous circuits;built-in self test;circuit CAD;circuit layout CAD;circuit optimisation;circuit simulation;design for manufacture;digital integrated circuits;high level synthesis;integrated circuit design;logic CAD;low-power electronics;monolithic integrated circuits","BIST;DSM design;FPGA;IC design automation;PLA-based logic synthesis;analog design methodology;asynchronous system design;codesigning;compilation techniques;delay estimation;design space exploration;embedded software;equivalence checking;high level DFT;interconnect design optimisation;low power design methodology;multilevel logic optimization;parasitic extraction;performance driven floorplaning;performance driven placement;power estimation;processor synthesis;sequential verification;signal integrity;system level simulation;system level specification;timing optimisation","","0","","","","","2-2 Feb. 2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
"Design technology productivity in the DSM era","Kahng, A.B.","Dept. of Comput. Sci. & Eng., California Univ., San Diego, La Jolla, CA, USA","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","443","448","Future requirements for design technology are always uncertain due to changes in process technology, system implementation platforms, and applications markets. To correctly identify the design technology need, and to deliver this technology at the right time, the design technology community-commercial vendors, captive CAD organizations, and academic researchers-must focus on improving design technology time-to-market and quality-of-result. Put another way, we must address the well-known design productivity gap by addressing the design technology productivity gap. The future of design technology is most uncertain in the physical implementation space, where many complexities must be managed without sacrificing system value or turnaround time. This talk will begin with examples of changes in methodology and design tool infrastructure needed to support future physical implementation. Then, recent initiatives in the MARCO Gigascale Silicon Research Center (GSRC) are described which support the design technology and designer communities in creating the right design technology when it is needed","","0-7803-6633-6","","10.1109/ASPDAC.2001.913348","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913348","","Costs;Design optimization;Logic design;Productivity;Silicon;Space technology;Switches;Time to market;Timing;Wire","circuit CAD;integrated circuit design;technology CAD (electronics)","DSM era;MARCO Gigascale Silicon Research Center;captive CAD organizations;design technology productivity;design tool infrastructure;process technology;system implementation platforms;time-to-market;turnaround time","","2","","","","","2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
"Design rewiring based on diagnosis techniques","Veneris, A.; Abadir, M.S.; Ting, I.","Dept. of Electr. & Comput. Eng., Toronto Univ., Ont., Canada","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","479","484","Logic optimization is the step of the VLSI design cycle where the designer performs modifications on a design to satisfy different constraints such as area, power or delay. Recently, ATPG-based design rewiring techniques for logic optimization have gained increasing popularity. In this paper we propose a novel ATPG-based design rewiring methodology that borrows from previous design error diagnosis and correction techniques. We also present examples and experiments that indicate the added potential of our approach which is expected to provide a “powerful” route to design optimization","","0-7803-6633-6","","10.1109/ASPDAC.2001.913354","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913354","","Algorithm design and analysis;Circuit noise;Combinational circuits;Contracts;Design optimization;Error correction;Logic circuits;Logic design;Very large scale integration;Wire","VLSI;automatic test pattern generation;circuit optimisation;delays;fault diagnosis;logic CAD;logic testing;wiring","ATPG-based techniques;VLSI design cycle;area;delay;design error diagnosis;design optimization;design rewiring;diagnosis techniques;error correction techniques;logic optimization;power","","5","","","","","2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
"Low power design challenges for the decade","Borkar, S.","Microprocessor Res. Labs., Intel Corp., Hillsboro, OR, USA","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","293","296","Technology scaling will become difficult beyond 0.18 micron. For continued growth in performance, transistor density, and reduced energy per computation, circuit design will have to employ a new set of design techniques, with adequate design automation tools support. This paper discusses a few such techniques that reduce active and leakage power, and deliver higher performance. It concludes by pointing out some of the potential paradigm shifts","","0-7803-6633-6","","10.1109/ASPDAC.2001.913321","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913321","","Circuit synthesis;Clocks;Design automation;Dynamic voltage scaling;Energy consumption;Frequency;Logic;Microarchitecture;Microprocessors;Moore's Law","electronic design automation;integrated circuit design;low-power electronics","active power;circuit design;design automation tools;leakage power;low power design challenges;paradigm shifts;reduced energy per computation;technology scaling;transistor density","","28","1","","","","2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
"An efficient design-for-verification technique for HDLs","Liu, C.-N.J.; I-Ling Chen; Jing-Yang Jou","Dept. of Electron. Eng., Nat. Chiao Tung Univ., Hsinchu, Taiwan","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","103","108","Due to the high complexity of modern circuit designs, verification has become the major bottleneck of the entire design process. There is an emerging need for a practical solution to reduce the verification time. In manufacturing test, a well-known technique, “design-for-testability”, is often used to reduce the testing time. By inserting some extra circuits on the hard-to-test points, the testability can be improved and the testing time can be reduced. In this paper, we apply the similar idea to functional verification and propose an efficient “design-for-verification” (DFV) technique to help users reduce the verification time. The conditions for hard-to-control (HTC) codes in a HDL design are clearly defined, and an efficient algorithm to detect them automatically is proposed. Besides the HTC detection, we also propose an algorithm that can eliminate those HTC points with minimum number of DFV points. By the help of those DFV points, the number of required test patterns to reach the same coverage can be greatly reduced especially for deep-sequential designs","","0-7803-6633-6","","10.1109/ASPDAC.2001.913288","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913288","","Automatic test pattern generation;Circuit synthesis;Circuit testing;Design engineering;Hardware design languages;Job design;Manufacturing;Modems;Process design;Test pattern generators","design for testability;formal verification;hardware description languages;logic CAD;sequential circuits","DFV points;HDLs;deep-sequential designs;design-for-testability;design-for-verification technique;functional verification;test patterns;testing time;verification time;verification time.","","1","","","","","2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
"An RTL design-space exploration method for high-level applications","Peng-Cheng Kao; Chih-Kuang Hsieh; Wu, A.C.H.","Dept. of Comput. Sci., Tsinghua Univ., Beijing, China","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","162","167","In this paper, we present an RTL design-space exploration method for high-level applications. We formulate the RTL design-space exploration into a performance-driven module selection problem. We devise a dynamic programming algorithm to solve the problem. We present an exploration flow by integrating commercial synthesis and layout tools with our proposed method. Experimental results have demonstrated that generating an AT-curve for all modules is the most time consuming task in the design-space exploration process. Using the proposed 3-point AT projection approach, our method can achieve on an average of 80% speed-up in run time and 90% accuracy in design estimation","","0-7803-6633-6","","10.1109/ASPDAC.2001.913298","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913298","","Application software;Chip scale packaging;Computer science;Design methodology;Design optimization;Heuristic algorithms;Job shop scheduling;Logic design;Process design;Routing","circuit CAD;circuit layout CAD;digital integrated circuits;dynamic programming;high level synthesis;integrated circuit design","3-point AT projection approach;CAD;RTL design-space exploration method;dynamic programming algorithm;high-level applications;performance-driven module selection problem","","0","","","","","2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
"Effectiveness of the ASIP design system PEAS-III in design of pipelined processors","Kitajima, A.; Itoh, M.; Sato, J.; Shiomi, A.; Takeuchi, Y.; Imai, M.","Dept. of Inf. & Math. Sci., Osaka Univ., Japan","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","649","654","In this paper, the effectiveness of the ASIP (Application Specific Instruction set Processor) design system PEAS-III is evaluated through experiments. Examples in experiments are a MIPS R3000 compatible processor, DLX, a simple RISC controller, and PEAS-I core. While they are simple in-order pipelined processors, they have enough facilities for real embedded system design. Through experiments, easiness of design and modification for improvement and design quality in terms of performance and hardware cost are discussed. It has been confirmed that the design method used in PEAS-III is effective to design space exploration for simple pipelined processors","","0-7803-6633-6","","10.1109/ASPDAC.2001.913383","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913383","","Application specific processors;Costs;Embedded system;Hardware;Informatics;Pipeline processing;Process design;Reduced instruction set computing;Space exploration;System-on-a-chip","application specific integrated circuits;embedded systems;integrated circuit design;microcontrollers;microprocessor chips;pipeline processing;reduced instruction set computing","ASIP design;DLX;MIPS R3000 compatible processor;PEAS-I;PEAS-III;RISC controller;application specific instruction set processor;embedded system;pipelined processor","","6","","","","","2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
"High-level design for asynchronous logic","Smith, R.; Ligthart, M.","","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","431","436","Asynchronous, self-timed, logic is often eschewed in digital design because of its ad-hoc methodologies and lack of available design tools. This paper describes a complete high level design flow for asynchronous circuits based on register transfer level (RTL) VHDL using commercial simulation and synthesis tools. Contrary to previous asynchronous approaches, the proposed RTL methodology closely resembles familiar synchronous design styles","","0-7803-6633-6","","10.1109/ASPDAC.2001.913346","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913346","","Asynchronous circuits;Circuit simulation;Circuit synthesis;Clocks;Design methodology;Electronics industry;Hardware design languages;Logic circuits;Logic design;Registers","asynchronous circuits;hardware description languages;high level synthesis;logic simulation","asynchronous approaches;asynchronous logic;design flow;high-level design;register transfer level VHDL;self-timed logic;synchronous design styles","","1","","","","","2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
"A pipelined ADC macro design for multiple applications","Kuniyuki Tani; Nikai, N.; Wada, A.; Sawai, T.","Microelectron. Res. Center, Sanyo Electr. Co. Ltd., Gifu, Japan","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","269","274","We present a new design methodology for high-speed analog-to-digital converter (ADC) macros based on our original pipelined 10-bit ADC. With library re-use methodology and performance driven optimization techniques, we have been able to both shorten the design period and to meet application specifications for items such as speed and power consumption. Using this method, we have developed ADC macros from 10-bit to 8-bit and 6-bit. They can be embedded into system LSIs for communication and multimedia applications","","0-7803-6633-6","","10.1109/ASPDAC.2001.913317","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913317","","Analog-digital conversion;CMOS process;Communication standards;Design methodology;Design optimization;Energy consumption;Libraries;Microelectronics;Multimedia communication;Multimedia systems","analogue-digital conversion;circuit CAD;circuit optimisation;high-speed integrated circuits;integrated circuit design;large scale integration;pipeline processing;software libraries","6 to 10 bit;application specifications;design period;library re-use methodology;multimedia applications;performance driven optimization techniques;pipelined ADC macro design;power consumption;system LSIs","","2","","","","","2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
"Timed circuits: a new paradigm for high-speed design","Myers, C.J.; Belluomini, W.; Killpack, K.; Mercer, E.; Peskin, E.; Zheng, H.","Dept. of Electr. Eng., Utah Univ., Salt Lake City, UT, USA","Design Automation Conference, 2001. Proceedings of the ASP-DAC 2001. Asia and South Pacific","20020807","2001","","","335","340","In order to continue to produce circuits of increasing speeds, designers must consider aggressive circuit design styles such as self-resetting or delayed-reset domino circuits used in IBM's gigahertz processor (GUTS) and asynchronous circuits used in Intel's RAPPID instruction length decoder. These new timed circuit styles, however, cannot be efficiently and accurately analyzed using traditional static timing analysis methods. This lack of efficient analysis tools is one of the reasons for the lack of mainstream acceptance of these design styles. This paper discusses several industrial timed circuits and gives an overview of our timed circuit design methodology","","0-7803-6633-6","","10.1109/ASPDAC.2001.913329","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913329","","Asynchronous circuits;Books;Circuit synthesis;Cities and towns;Contracts;Decoding;Delay;Engineering profession;Microprocessors;Timing","asynchronous circuits;high-speed integrated circuits;integrated circuit design;logic testing;timing","RAPPID instruction length decoder;asynchronous circuits;circuit design methodology;delayed-reset domino circuits;gigahertz processor;high-speed design;paradigm;self-resetting;timed circuits","","11","","","","","2001","30 Jan 2001-02 Feb 2001","IEEE","IEEE Conference Publications"
