"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB..QT.Publication+Title.QT.%3ADesign+Automation+Conference+.LB.DAC.RB.%2C+2011+48th+ACM%2FEDAC%2FIEEE.RB.",2015/07/17 18:50:59
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Efficient incremental analysis of on-chip power grid via sparse approximation","Pei Sun; Xin Li; Ming-Yuan Ting","ECE Dept., Carnegie Mellon Univ., Pittsburgh, PA, USA","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","676","681","In this paper, a new sparse approximation technique is proposed for incremental power grid analysis. Our proposed method is motivated by the observation that when a power grid network is locally updated during circuit design, its response changes locally and, hence, the incremental “change” of the power grid voltage is almost zero at many internal nodes, resulting in a unique sparse pattern. An efficient Orthogonal Matching Pursuit (OMP) algorithm is adopted to solve the proposed sparse approximation problem. In addition, several numerical techniques are proposed to improve the numerical stability of the proposed solver, while simultaneously maintaining its high efficiency. Several industrial circuit examples demonstrate that when applied to incremental power grid analysis, our proposed approach achieves up to 130× runtime speed-up over the traditional Algebraic Multi-Grid (AMG) method, without surrendering any accuracy.","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5981988","Incremental Analysis;Integrated Circuit;Power Grid","Algorithm design and analysis;Equations;Fitting;Matching pursuit algorithms;Mathematical model;Matrix decomposition;Power grids","integrated circuit design;iterative methods;power integrated circuits;sparse matrices","algebraic multi-grid method;incremental analysis;numerical stability;on-chip power grid;orthogonal matching pursuit algorithm;sparse approximation","","0","","21","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Virtualization of heterogeneous machines","Auerbach, J.; Bacon, D.F.; Cheng, P.; Rabbah, R.; Shukla, S.","","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","890","894","Lime is a new Java-compatible and object-oriented language designed to make programming of reconfigurable hardware significantly more accessible to skilled software developers. Lime programs may run either in software (via Java bytecodes) or in hardware (via behavioral and logic synthesis). This paper illustrates the salient synthesis-oriented features of the language using a photomosaic algorithm with inherent bit, pipeline, and data parallelism. The result is a virtual machine abstraction that extends across a heterogeneous architecture comprising a CPU, FPGA, and other computational structures.","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5982009","FPGA;functional programming;high level synthesis;object oriented;reconfigurable architecture;streaming;value type","Field programmable gate arrays;Hardware;Hardware design languages;Libraries;Parallel processing;Reactive power;Tiles","Java;field programmable gate arrays;reconfigurable architectures;virtual machines","CPU;FPGA;Java-compatible;Lime programs;heterogeneous machine virtualization;object-oriented language;photomosaic algorithm;reconfigurable hardware;virtual machine abstraction","","0","","8","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Virtualizing embedded systems - why bother?","Heiser, Gernot","NICTA, Univ. of New South Wales, Sydney, NSW, Australia","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","901","905","Platform virtualization, which supports the co-existence of multiple operating-system environments on a single physical platform, is now commonplace in server computing, as it can provide similar isolation as separate physical servers, but with improved resource utilisation. In the embedded space, virtualization is a new development, which is likely to become more widespread in the next few years. Unlike the server world, where virtualized systems typically run multiple copies of the same (or similar) operating systems, most uses of virtualization in the embedded space are heterogenous, combining different classes of operating systems: an RTOS for traditional embedded real-time programming, and a fully-featured (""rich"") operating system to support complex applications such as user interfaces. We provide a number of examples of present or likely use cases of virtualization in embedded systems, and explain the motivation and benefits, as well as some of the differences to server-style virtualization.","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5982010","Virtual machines;hypervisors;processor consolidation;safety;security;virtualization","Baseband;Hardware;Linux;Servers;Software;Virtual machine monitors;Virtual machining","embedded systems;operating systems (computers);virtual machines;virtualisation","RTOS;embedded systems virtualization;operating-system environments;platform virtualization;resource utilisation;server computing;server-style virtualization","","1","","10","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Awards","","","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","xix","xxiii","","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5981911","","","","","","0","","","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Performance optimization of error detection based on speculative reconfiguration","Lifa, A.A.; Eles, P.; Zebo Peng","Linkoping Univ., Linko&#x0308;ping, Sweden","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","369","374","This paper presents an approach to minimize the average program execution time by optimizing the hardware/software implementation of error detection. We leverage the advantages of partial dynamic reconfiguration of FPGAs in order to speculatively place in hardware those error detection components that will provide the highest reduction of execution time. Our optimization algorithm uses frequency information from a counter-based execution profile of the program. Starting from a control flow graph representation, we build the interval structure and the control dependence graph, which we then use to guide our error detection optimization algorithm.","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5981768","Error detection implementation;FPGA;fault tolerance;reconfigurable systems;system-level optimization","Field programmable gate arrays;Flow graphs;Hardware;Optimization;Runtime;Schedules;Software","error detection;fault tolerant computing;field programmable gate arrays;flow graphs;optimisation","FPGA;average program execution time;control flow graph representation;counter-based execution profile;error detection;fault tolerance;frequency information;performance optimization","","0","","21","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Interpolation-based incremental ECO synthesis for multi-error logic rectification","Kai-Fu Tang; Chi-An Wu; Po-Kai Huang; Chung-Yang Huang","Grad. Inst. of Electron. Eng., Nat. Taiwan Univ., Taipei, Taiwan","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","146","151","To cope with last-minute design bugs and specification changes, engineering change order (ECO) is usually performed toward the end of the design process. This paper proposes an automatic ECO synthesis algorithm by interpolation. In particular, we tackle the problem by a series of partial rectifications. At each step, partial rectification can reduce the functional difference between an old implementation and a new specification. Our algorithm is especially effective for multiple error circuits. Experimental results show the proposed method is far superior to the most recent work and scales well on a set of large circuits.","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5981929","Logic rectification;engineering change order;interpolation;satisfiability","Algorithm design and analysis;Boolean functions;Circuit faults;Integrated circuit modeling;Interpolation;Logic gates;Runtime","integrated circuit design;interpolation;logic circuits;logic design;rectification","automatic ECO synthesis algorithm;design bugs;engineering change order;interpolation-based incremental ECO synthesis;multierror logic rectification;multiple error circuits;partial rectification","","0","","22","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"A distributed algorithm for layout geometry operations","Kai-Ti Hsu; Sinha, S.; Yu-Chuan Pi; Chiang, C.; Tsung-Yi Ho","Dept. of Comput. Sci. & Inf. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","182","187","This paper introduces a novel distributed algorithm for performing layout geometry operations usually found in design rule checking, layout verification and/or mask synthesis. Typically, during the mask synthesis flow, a large number of machines are available to the user. Also, as multiple machines/cores become more ubiquitous, even designers using layout verification tools will have access to a large set of machines. Having an efficient and scalable distributed algorithm for performing sequences of layout geometry operations will be of great value to both the designer and the mask synthesis engineer. This paper seeks to present such an algorithm. Given a layout and a sequence of layout geometry operations, the layout is divided into several partitions. The given sequence of layout geometry operations is executed in parallel on the different partitions. The partitions are merged in a systematic manner and the sequence of operations is repeated on a suitable set of polygons in these newly derived partitions until a partition that covers the entire layout area is obtained. A key feature of the proposed algorithm is that it is correct-by-construction - i.e., each partition is guaranteed to generate a subset of the correct results. The complete and correct results are generated for each layout geometry operation for the entire layout when the operation completes execution on all the partitions. Results on large industrial layouts are very promising and show good performance and scalability.","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5981711","Design Rule Checking;Parallel Processing","Algorithm design and analysis;Distributed algorithms;Geometry;Layout;Parallel processing;Partitioning algorithms;Servers","circuit analysis computing;circuit layout;computational geometry;distributed algorithms;formal verification","correct-by-construction;design rule checking;distributed algorithm;industrial layouts;layout geometry operations;layout verification tools;mask synthesis","","0","","6","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Virtualizing real-time embedded systems with Java","Vitek, J.","Comput. Sci. Dept., Purdue Univ., West Lafayette, IN, USA","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","906","911","Real-time embedded systems come in all shapes and sizes with vastly different capabilities. They often operate under stringent resource constraints, ranging from space and time to power. Programming them is usually done in low-level system's programming languages close to the hardware. The resulting software is costly and not particularly portable. The Java programming language has been successful in providing a virtualized, high-level, development environment for desktop and server applications. Programming in Java leads to memory-safe code that can be ported straightforwardly across architecture and operating system. This paper surveys the state of the art in Java virtualization for real-time and embedded systems. Technological advances in virtual machines as well as new real-time extensions to the language have brought Java closer to being widely usable for a wide range of embedded problems.","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5982011","Real-time Java;object-oriented languages;virtual machines","Instruction sets;Java;Memory management;Real time systems;Safety;Virtual machining","Java;embedded systems;virtual machines","Java programming language;operating system;real-time embedded system virtualization;virtual machines","","0","","21","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Reviewers","","","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","xxiv","xxviii","A total of 690 manuscripts were submitted to the 48th DAC. The Technical Program Committee, together with the help of invited expert and external reviewers, selected 156 papers for presentation at the conference. The Conference Executive and Technical Program Committees wish to acknowledge the time and effort spent by the following people who reviewed these manuscripts. Our thanks to all of those who participated and contributed to the success of the conference.","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5981912","","","","","","0","","","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Customer-aware task allocation and scheduling for multi-mode MPSoCs","Lin Huang; Rong Ye; Qiang Xu","Dept. of Comput. Sci. & Eng., Chinese Univ. of Hong Kong, Hong Kong, China","Design Automation Conference (DAC), 2011 48th ACM/EDAC/IEEE","20110811","2011","","","387","392","Today's multiprocessor system-on-a-chip (MPSoC) products typically have multiple execution modes, and for each mode, all the products utilize the same task allocation and schedule strategy determined at design stage. As these products experience different usages by customers, such unified solution can at best be optimized for a hypothetical common case. It is hence likely that the product is not reliable or energy-efficient from particular customers' point of view. To tackle this problem, we propose a novel customer-aware task allocation and scheduling technique, wherein we generate an initial task schedule for each execution mode at design stage and then perform online adjustment at regular intervals for lifetime reliability improvement and/or energy reduction according to the specific usage strategy of individual products. Experimental results on several hypothetical MPSoCs with various task graphs demonstrate the effectiveness of the proposed personalized solution.","0738-100x","978-1-4503-0636-2","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5981769","Lifetime reliability;Online adjustment;Task allocation and scheduling","Aging;Embedded systems;Energy consumption;Reliability engineering;Resource management;Schedules","multiprocessing systems;reliability;scheduling;system-on-chip;task analysis","customer-aware task allocation;energy reduction;lifetime reliability improvement;multimode MPSoC;multiprocessor system-on-a-chip;scheduling for","","0","","17","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
