"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB..QT.Publication+Title.QT.%3ADesign+Automation+Conference+.LB.DAC.RB.%2C+2014+51st+ACM%2FEDAC%2FIEEE.RB.",2015/07/17 18:48:01
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"CGPA: Coarse-Grained Pipelined Accelerators","Feng Liu; Ghosh, S.; Johnson, N.P.; August, D.I.","Princeton Univ., Princeton, NJ, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","High-level synthesis (HLS) tools dramatically reduce the non-recurring engineering cost of creating specialized hardware accelerators. Existing HLS tools are successful in synthesizing efficient accelerators for program kernels with regular memory accesses and simple control flows. For other programs, however, these tools yield poor performance because they invoke computation units for instructions sequentially, without exploiting parallelism. To address this problem, this paper proposes Coarse-Grained Pipelined Accelerators (CGPA), an HLS framework that utilizes coarse-grained pipeline parallelism techniques to synthesize efficient specialized accelerator modules from irregular C/C++ programs without requiring any annotations. Compared to the sequential method, CGPA shows speedups of 3.0x-3.8x for 5 kernels from programs in different domains.","","","","10.1145/2593069.2593105","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881405","","Hardware;Hardware design languages;Kernel;Pipeline processing;Pipelines","high level synthesis;parallel processing;pipeline processing","CGPA;HLS tools;coarse-grained pipeline parallelism techniques;coarse-grained pipelined accelerators;control flows;high-level synthesis tools;irregular C/C++ programs;nonrecurring engineering cost;program kernels;regular memory accesses;sequential method;specialized accelerator modules;specialized hardware accelerators","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Computation offloading by using timing unreliable components in real-time systems","Wei Liu; Jian-Jia Chen; Anas; Tei-Wei Kuo; Qingxu Deng","Northeastern Univ., Shenyang, China","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","There are many timing unreliable computing components in modern computer systems, which are typically forbidden in hard real-time systems due to the timing uncertainty. In this paper, we propose a computation offloading mechanism to utilise these timing unreliable components in a hard real-time system, by providing local compensations. The key of the mechanism is to decide (1) how the unreliable components are utilized and (2) how to set the worst-case estimated response time. The local compensation has to start when the unreliable components do not deliver the results in the estimated response time. We propose a scheduling algorithm and its schedulability test to analyze the feasibility of the compensation mechanism. To validate the proposed mechanism, we perform a case study based on image-processing applications in a robot system and simulations. By adopting the timing unreliable components, the system can handle higher-quality images and with better performance.","","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881366","","Abstracts;Graphics processing units;Timing","embedded systems;scheduling","compensation mechanism;computation offloading mechanism;embedded systems;estimated response time;hard real-time systems;image-processing;modern computer systems;robot system;schedulability test;scheduling algorithm;timing uncertainty;timing unreliable computing components","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Modeling and analysis of domain wall dynamics for robust and low-power embedded memory","Iyengar, A.; Ghosh, S.","Comput. Sci. & Eng., Univ. of South Florida, Tampa, FL, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Non-volatile memories are gaining significant attention for embedded cache application due to low standby power and excellent retention. Domain wall memory (DWM) is one possible candidate due to its ability to store multiple bits/cell in order to break the density barrier. Additionally, it provides low standby power, fast access time, good endurance and good retention. In this paper, we provide a physics-based model of domain wall that comprehends process variations (PV) and Joule heating. The proposed model has been used for circuit simulation. We also propose techniques to mitigate the impact of variability and Joule heating while enabling low-power and high frequency operation.","","","","10.1145/2593069.2593161","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881392","Domain wall memory;compact modeling;nanowire","Integrated circuit modeling;Magnetic heads;Magnetic tunneling;Resistance;Resistance heating;Substrates","cache storage;embedded systems;low-power electronics;random-access storage","DWM;Joule heating;PV;circuit simulation;domain wall dynamics;embedded cache application;low-power embedded memory;multiple bits-cell storage;nonvolatile memory;physics-based model;process variation","","3","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Low-cost on-chip structures for combating die and IC recycling","Guin, U.; Xuehui Zhang; Forte, D.; Tehranipoor, M.","ECE Dept., Univ. of Connecticut, Storrs, CT, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","The recycling of electronic components has become a major concern for the industry and government as it potentially impacts the security and reliability of a wide variety of electronic systems. The sheer number of component types (analog, digital, mixed-signal) and sizes (large or small) makes it extremely challenging to find a one-size-fits-all solution to detect and prevent recycled ICs. In this paper, we propose a suite of solutions for combating die and IC recycling (CDIR). These solutions include light-weight, on-chip structures based on ring oscillators (RO-CDIR), anti-fuses (AF-CDIR) and fuses (F-CDIR). Each structure meets the unique needs and limitations of different part types and sizes providing excellent coverage of recycled parts. HSPICE simulation results using 90nm technology demonstrate the effectiveness of our proposed negative-bias temperature instability (NBTI)-aware RO-CDIR for detecting ICs used for very short period of time. Recycling of large digital ICs can effectively be detected by using AF-CDIR. Small analog and digital recycled components can be identified by testing our F-CDIR with very low cost measurement devices, e.g., a multimeter.","","","","10.1145/2593069.2593157","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881414","Counterfeit ICs;Design for Anti-Counterfeit;Recycling;Remarking","Aging;DNA;Frequency measurement;Fuses;Integrated circuits;Inverters;Three-dimensional displays","integrated circuit reliability;negative bias temperature instability;oscillators","AF-CDIR;HSPICE simulation;IC recycling;NBTI-aware RO-CDIR;analog recycled components;anti-fuses CDIR;digital ICs;digital recycled components;negative-bias temperature instability;on-chip structures;ring oscillators;size 90 nm","","2","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Leveraging data lifetime for energy-aware last level non-volatile SRAM caches using redundant store elimination","Hsiang-Jen Tsai; Chien-Chih Chen; Keng-Hao Yang; Ting-Chin Yang; Li-Yue Huang; Ching-Hao Chung; Meng-Fan Chang; Tien-Fu Chen","Dept. of CS, Nat. Chiao Tung Univ., Hsinchu, Taiwan","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","NVM has commonly been used to address increasingly large last-level caches (LLCs) requirements by reducing leakage. However, frequent data-writing operations result in increased energy consumption. In this context, a promising memory technology, Non-volatile SRAM (nvSRAM), enables normal and standby operation modes which can be used to store various types of data. However, nvSRAM suffers from high dynamic energy usage due to frequent switching between operation modes. In this paper, we propose a redundant store elimination (RSE) scheme which, on average, discards 94% of needless bit-write operations. Moreover, we present a retention-aware cache management policy to reduce data updates of cache blocks, based on the correlation between data lifetime and cache types. Experimental results demonstrate that our proposal can improve energy consumption of SRAM-based and RRAM-based LLCs by 57% and 31%, respectively.","","","","10.1145/2593069.2593153","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881365","","Energy consumption;Memory management;Microprocessors;Nonvolatile memory;Radiation detectors;Random access memory","SRAM chips;cache storage;logic design","NVM;RRAM-based LLC;SRAM-based LLC;bit-write operations;cache blocks;cache types;data lifetime;data updates;data-writing operations;energy consumption;energy-aware last level nonvolatile SRAM caches;high dynamic energy usage;last-level caches requirements;memory technology;nvSRAM;redundant store elimination;retention-aware cache management policy;standby operation modes","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"A highly flexible ring oscillator PUF","Mingze Gao; Khai Lai; Gang Qu","Dept. of Electr. & Comput. Eng., Univ. of Maryland, College Park, MD, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Physical Unclonable Function (PUF) is one of the most promising hardware features that can be utilized to improve system security. Ring Oscillator (RO) PUF captures the delay difference of a pair or a group of ROs introduced during fabrication process and defines PUF secrecy based on such difference. In this paper, we propose a framework to build RO PUF at inverter level, instead of RO level. This provides us the flexibility in choosing whether an inverter should be included in the RO-PUF and hence improve the security and reliability of RO PUF secrecy and reduce its hardware cost. Experimental results demonstrate that the PUF secrecy generated by our configurable RO PUFs is random (by passing the NIST randomness test) and unique from chip to chip. Our approach is more reliable against voltage and temperature variation than the original RO PUF and is 4X more hardware efficient than the robust l-out-of-8 RO PUF.","","","","10.1145/2593069.2593072","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881416","","Delays;Field programmable gate arrays;Hardware;High definition video;Inverters;Reliability;Voltage measurement","circuit reliability;invertors;oscillators;security","NIST randomness test;RO;delay difference;hardware cost reduction;highly flexible ring oscillator PUF;inverter level;physical unclonable function;reliability;security","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Translation validation for stateflow to C","Sampath, P.; Rajeev, A.C.; Ramesh, S.","R&D, India Sci. Lab., Gen. Motors, Bangalore, India","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Code generators play a critical role in the Model Based Development of complex software systems. This is particularly true in the automotive domain, where the code auto-generated from Simulink/Stateflow models is directly flashed onto embedded controllers. Testing based approaches are popular for validating the translation of models to code. However, these approaches cannot guarantee the absence of bugs introduced during translation. We use translation validation as an alternative to testing. By checking the equivalence between a Stateflow model and C code, it can provide formal guarantees about the absence of bugs introduced during translation. To the best of our knowledge, this is the first application of translation validation to code generation from hierarchical state-machine modeling languages. Our approach builds upon the significant progress over the last few years in software model-checking: we use a state-of-the-art off-the-shelf software model-checker, CBMC, to make translation validation practical for a complex modeling language like Stateflow. We have applied this approach to Stateflow models from the automotive domain.","","","","10.1145/2593069.2593237","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881350","C;State flow;Translation validation","Gears;Generators;Inference algorithms;Junctions;Semantics;Software packages;Syntactics","C language;automotive engineering;program compilers;program testing;program verification;visual languages","C code;CBMC;Simulink model;Stateflow model;autogenerated code;automotive domain;bug absence;code generators;complex modeling language;complex software systems;embedded controllers;formal guarantees;hierarchical state-machine modeling languages;model-based development;off-the-shelf software model-checker;testing-based approach;translation validation","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"An approximate computing technique for reducing the complexity of a direct-solver for sparse linear systems in real-time video processing","Schaffner, M.; Gurkaynak, F.K.; Smolic, A.; Kaeslin, H.; Benini, L.","Integrated Syst. Lab., ETH Zurich, Zurich, Switzerland","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Many video processing algorithms are formulated as least-squares problems that result in large, sparse linear systems. Solving such systems in real time is very demanding. This paper focuses on reducing the computational complexity of a direct Cholesky-decomposition-based solver. Our approximation scheme builds on the observation that, in well-conditioned problems, many elements in the decomposition nearly vanish. Such elements may be pruned from the dependency graph with mild accuracy degradation. Using an example from image-domain warping, we show that pruning reduces the amount of operations per solve by over 75 %, resulting in significant savings in computing time, area or energy.","","","","10.1145/2593069.2593082","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881459","Approximate Computing;Cholesky Decomposition;Hardware Accelerator;Video Processing","Accuracy;Computational complexity;Equations;Hardware;Linear systems;Matrix decomposition;Streaming media","computational complexity;least squares approximations;real-time systems;sparse matrices;video signal processing","computational complexity reduction;direct Cholesky-decomposition-based solver;direct-solver complexity;image-domain warping;least-square problems;real-time video processing;sparse linear systems;well- conditioned problems","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"ASER: Adaptive soft error resilience for Reliability-Heterogeneous Processors in the dark silicon era","Kriebel, F.; Rehman, S.; Duo Sun; Shafique, M.; Henkel, J.","Embedded Syst. (CES), Karlsruhe Inst. of Technol. (KIT), Karlsruhe, Germany","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","The Dark Silicon provides opportunities to realize Reliability-Heterogeneous Processors with ISA compatible cores having different levels of protection against reliability threats (like soft errors). This paper presents design-time customization of Reliability-Heterogeneous Processors given a set of applications and area constraints. A run-time system adaptively manages the soft error resilience under a given thermal design power (TDP) budget. We synthesize an embedded processor with different levels of protection and present area and power results for a 45nm technology. We illustrate the benefits of adaptive soft error resilience by comparing it with four different state-of-the-art approaches where we achieve 58%-96% overall system reliability improvements under a tight TDP constraint (corresponding to a 65% dark area).","","","","10.1145/2593069.2593094","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881339","","Libraries;Program processors;Redundancy;Reliability engineering;Resilience;Silicon","elemental semiconductors;embedded systems;integrated circuit reliability;microprocessor chips;radiation hardening (electronics);silicon","ASER;ISA compatible cores;Si;adaptive soft error resilience;area constraints;dark silicon era;design-time customization;embedded processor;reliability threats;reliability-heterogeneous processors;run-time system;size 45 nm;soft errors;system reliability improvements;thermal design power budget","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Designing stealthy Trojans with sequential logic: A stream cipher case study","Rudra, M.R.; Daniel, N.A.; Nagoorkar, V.; Hoe, D.H.K.","Univ. of Texas at Tyler, Tyler, TX, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","4","This paper describes how a stealthy Trojan circuit can be inserted into a stream cipher module. The stream cipher utilizes several shift register-like structures to implement the keystream generator and to process the encrypted text. We demonstrate how an effective trigger can be built with the addition of just a few logic gates inserted between the shift registers and one additional flip-flop. By distributing the inserted Trojan logic both temporally and over the logic design space, the malicious circuit is hard to detect by both conventional and more recent static analysis methods. The payload is designed to weaken the cipher strength, making it more susceptible to cryptanalysis by an adversary.","","","","10.1145/2593069.2596677","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881499","hardware trojan;sequential-based Trojan;stream cipher","Ciphers;Encryption;Hardware;Logic gates;Shift registers;Trojan horses","cryptography;flip-flops;invasive software;logic design;sequential circuits;shift registers","cipher strength;cryptanalysis;encrypted text;flip-flop;keystream generator;logic design space;logic gates;malicious circuit;sequential logic;shift register-like structures;static analysis methods;stealthy trojan circuit;stream cipher module;trojan logic","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
