"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design%2C+Automation+and+Test+in+Europe+Conference+and+Exhibition%29+AND+2000%29",2015/06/23 14:52:22
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Designing closer to the edge [deep submicron processes]","Nassif, S.R.","IBM Austin Res. Lab., TX, USA","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","636","637","Summary form only given. Modern deep submicron CMOS processes cost Θ or more to develop, qualify and deploy. Yet the incremental impact of each technology generation has been steadily decreasing due to a variety of phenomena such as increasing wire delay, power dissipation and reliability limits, and increasing process tolerances. We need to make better use of existing and future manufacturing processes in order to recoup our investment. It is often possible to obtain more performance out of an existing technology by better understanding of the process tolerances and trading off functional yield vs. performance. Given the above, it is clear that we need to understand and model design tolerances arising from processing variations. Until recently, it was sufficient to model such process-induced variations as intra-die shifts in device performance. However, in the deep submicron regime, within-die wire and device variations are comparable to die-to-die variations. This results in the need for new characterization, modeling and analysis techniques to handle these variations. In this work we expand on the ideas above, review the important trends in design uncertainty which directly drives design tolerance and hence performance. We review a number of research and applied approaches to design for manufacturability. The need to track process tolerances as a technology matures is stressed. This tracking is important since it acts as an information conduit between design and fabrication groups and enables designers to adapt the design to lower tolerances where possible","","0-7695-0537-6","","10.1109/DATE.2000.840852","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840852","","CMOS process;CMOS technology;Costs;Delay;Investments;Manufacturing processes;Power dissipation;Power generation;Uncertainty;Wire","CMOS integrated circuits;design for manufacture;integrated circuit design;integrated circuit manufacture;integrated circuit technology;tolerance analysis","DFM;deep submicron CMOS processes;design for manufacturability;design tolerances;functional yield;manufacturing processes;process tolerances;process-induced variations","","0","","2","","","2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"Analysis and minimization of test time in a combined BIST and external test approach","Sugihara, M.; Date, H.; Yasuura, H.","Dept. of Comput. Sci. & Commun. Eng., Kyushu Univ., Fukuoka, Japan","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","134","140","In this paper, an, analysis of test time by CBET (which is an acronym for Combination of BIST and External Test) test approach is presented. The analysis validates that CBET test approach can achieve shorter testing time than both external test and BIST in many situations. An efficient test time minimization algorithm for CBET-based LSIs is also proposed. It uses several characteristics of CBET test approach derived by the analysis to reduce computation time to find the optimum test sets. The algorithm helps designers to save their precious design time","","0-7695-0537-6","","10.1109/DATE.2000.840029","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840029","","Algorithm design and analysis;Built-in self-test;Circuit testing;Cities and towns;Computer science;Information technology;Minimization methods;Processor scheduling;System testing;System-on-a-chip","built-in self test;integrated circuit testing;large scale integration;logic testing;minimisation","BIST;CBET;LSI;external test;logic test;test time minimization algorithm","","16","","9","","","2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"Efficient power co-estimation techniques for system-on-chip design","Lajolo, M.; Raghunathan, A.; Dey, S.; Lavagno, L.","Politecnico di Torino, Italy","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","27","34","We present efficient power estimation techniques for HW/SW System-On-Chip (SOC) designs. Our techniques are based on concurrent and synchronized execution of multiple power estimators that analyze different parts of the SOC (we refer to this as co-estimation), driven by a system-level simulation master. We motivate the need for power co-estimation, and demonstrate that performing independent power estimation for the various system components can lead to significant errors in the power estimates, especially for control-intensive and reactive embedded systems. We observe that the computation time for performing power co-estimation is dominated by: (i) the requirement to analyze/simulate some parts of the system at lower levels of abstraction in order to obtain accurate estimates of timing and switching activity information and (ii) the need to communicate between and synchronize the various simulators. Thus, a naive implementation of power co-estimation may be too inefficient to be used in an iterative design exploration framework. To address this issue, we present several acceleration (speedup) techniques for power co-estimation. The acceleration techniques are energy caching, software power macromodeling, and statistical sampling. Our speedup techniques reduce the workload of the power estimators for the individual SOC components, as well as their communication/synchronization overhead. Experimental results indicate that the use of the proposed acceleration techniques results in significant (8× to 87×) speedups in SOC power estimation time, with minimal impact on accuracy. We also show the utility of our co-estimation tool to explore system-level power tradeoffs for a TCP/IP network interface card sub-system and an automotive controller","","0-7695-0537-6","","10.1109/DATE.2000.840011","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840011","","Acceleration;Analytical models;Computational modeling;Control systems;Embedded system;Error correction;Independent component analysis;Information analysis;Performance analysis;System-on-a-chip","application specific integrated circuits;circuit simulation;embedded systems;hardware-software codesign;integrated circuit design;integrated circuit modelling;iterative methods;low-power electronics","TCP/IP network interface card sub-system;automotive controller;communication/synchronization overhead;computation time;concurrent execution;energy caching;hardware-software codesign;iterative design exploration;power co-estimation techniques;reactive embedded systems;software power macromodeling;statistical sampling;switching activity information;synchronized execution;system-level power tradeoffs;system-level simulation master;system-on-chip design","","17","","23","","","2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"Proceedings Design, Automation and Test in Europe Conference and Exhibition 2000 (Cat. No. PR00537)","","","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","i","","The following topics were dealt with: embedded software generation; low-power design; IC design; IP; design reuse; SOC; telecom systems; BIST; mixed-signal ICs; decision diagrams; multiprocessor architectures; logic synthesis; logic testing; interconnect modelling; high-level power optimisation; defect-oriented test; and emulation","","0-7695-0537-6","","10.1109/DATE.2000.840006","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840006","","","application specific integrated circuits;built-in self test;decision diagrams;development systems;embedded systems;industrial property;integrated circuit design;integrated circuit interconnections;integrated circuit modelling;logic CAD;logic testing;low-power electronics;mixed analogue-digital integrated circuits;multiprocessing systems;telecommunication equipment","BIST;IC design;IP;SOC;decision diagrams;defect-oriented test;design reuse;embedded software generation;emulation;high-level power optimisation;interconnect modelling;logic synthesis;logic testing;low-power design;mixed-signal ICs;multiprocessor architectures;telecom systems","","0","","","","","27-30 March 2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"The generalized boundary curve-a common method for automatic nominal design and design centering of analog circuits","Schwencker, R.; Schenkel, F.; Graeb, H.; Antreich, K.","Inst. of Electron. Design Autom., Tech. Univ. Munchen, Germany","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","42","47","In this paper a new method for analog circuit sizing with respect to manufacturing and operating tolerances is presented. Two types of robustness objectives are presented, i.e. parameter distances for the nominal design and worst case distances for the design centering. Moreover, the generalized boundary curve is presented as a method to determine a parameter correction within an iterative trust region algorithm. Results show that a significant reduction in computational costs is achieved using the presented robustness objectives and generalized boundary curve","","0-7695-0537-6","","10.1109/DATE.2000.840013","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840013","","Algorithm design and analysis;Analog circuits;Circuit simulation;Computational modeling;Cost function;Electronic design automation and methodology;Iterative algorithms;Iterative methods;Pulp manufacturing;Robustness","circuit CAD;integrated circuit design;iterative methods;mixed analogue-digital integrated circuits","analog circuits;automatic nominal design;circuit sizing;computational costs;design centering;generalized boundary curve;iterative trust region algorithm;mixed-signal ICs;operating tolerances;parameter correction;parameter distances;robustness objectives;worst case distances","","10","","18","","","2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"An integrated design environment for early stage conceptual design","Jingyan Zuo; Director, S.W.","Motorola Inc., Austin, TX, USA","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","754","","Conceptual design, the preliminary phase of design in which both well-defined problem specifications and high level design solutions are developed, is becoming increasingly important as design complexity increases. In spite of the importance of this activity, few tools exist to support this phase of design. In this paper we present a systematic and flexible model of conceptual design and describe how this model has been employed to realize a prototype conceptual design process management environment, called Clio II","","0-7695-0537-6","","10.1109/DATE.2000.840887","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840887","","Decision making;Design engineering;Educational institutions;Process design;Prototypes","hardware description languages;high level synthesis;iterative methods","Clio II;design complexity;design process management environment;early stage conceptual design;flexible model;high level design solutions;integrated design environment;well-defined problem specifications","","0","","","","","2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"Alternative test methods using IEEE 1149.4","Kac, U.; Novak, F.; Macek, S.; Zarnik, M.S.","Jozef Stefan Inst., Ljubljana, Slovenia","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","463","467","IEEE 1149.4 infrastructure has been aimed primarily for printed circuit board (PCB) interconnect test, parametric test of discrete components and functional test of IC cores. Methods to perform these tests have been published and experimental results using evaluation samples of IEEE 1149.4 ICs have been reported. So far, most attention has been paid to test and measurement techniques for the first two issues. Proposed methods typically employ IEEE 1149.4 infrastructure in the function of a built-in test probe that enables external test and measurement equipment to access the internal PCB points via the analog test bus. This paper describes an alternative approach based on functional transformation of the tested board by means of the existing IEEE 1149.4 resources. In this way, efficient go no-go functional test can be performed. Case studies are given to illustrate the proposed approach","","0-7695-0537-6","","10.1109/DATE.2000.840312","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840312","","Decision support systems;Testing","IEEE standards;analogue integrated circuits;automatic testing;integrated circuit testing;mixed analogue-digital integrated circuits;printed circuit testing","IEEE 1149.4 standard;PCB interconnect test;analog systems;functional transformation;go/no-go functional test;mixed-signal test bus;printed circuit board testing;test methods","","1","","23","","","2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"Design and test space exploration of transport-triggered architectures","Zivkovic, V.A.; Tangelder, R.J.W.T.; Kerkhoff, H.G.","MESA Res. Inst., Twente Univ., Enschede, Netherlands","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","146","151","This paper describes a new approach in the high level design and test of transport-triggered architectures (TTA), a special type of application specific instruction processors (ASIP). The proposed method introduces the test as an additional constraint, besides throughput and circuit area. The method, that calculates the testability of the system, helps the designer to assess the obtained architectures with respect to test, area and throughput in the early phase of the design and selects the most suitable one. In order to create the templated TTA, the “MOVE” framework has been addressed. The approach is validated with respect to the “Crypt” Unix application","","0-7695-0537-6","","10.1109/DATE.2000.840031","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840031","","Application specific processors;Circuit testing;Costs;Hardware;Identity-based encryption;Radio frequency;Sockets;Space exploration;System testing;Throughput","application specific integrated circuits;high level synthesis;integrated circuit design;integrated circuit testing","Crypt Unix;MOVE;application specific instruction processor;high-level design;testing;transport triggered architecture","","3","","19","","","2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"Fast cache and bus power estimation for parameterized system-on-a-chip design","Givargis, T.D.; Vahid, F.; Henkel, J.","Dept. of Comput. Sci. & Eng., California Univ., Riverside, CA, USA","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","333","338","We present a technique for fast estimation of the power consumed by the cache and bus sub-system of a parameterized system-on-a-chip design for a given application. The technique uses a two-step approach of first collecting intermediate data about an application using simulation, and then using equations to rapidly predict the performance and power consumption for each of thousands of possible configurations of system parameters, such as cache size and associativity and bus size and encoding. The estimations display good absolute as well as relative accuracy for various examples, and are obtained in dramatically less time than other techniques, making possible the future use of powerful search heuristics","","0-7695-0537-6","","10.1109/DATE.2000.840292","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840292","","Electronic switching systems;Energy consumption;Equations;Hip;Intellectual property;Parameter estimation;Reactive power;Signal design;Silicon;System-on-a-chip","application specific integrated circuits;cache storage;circuit CAD;content-addressable storage;industrial property;integrated circuit design;low-power electronics","associativity;bus power estimation;bus size;bus sub-system;cache size;encoding;fast cache;intermediate data;parameterized system-on-a-chip design;power consumption;search heuristics;system parameters;two-step approach","","2","2","26","","","2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"Testing arithmetic coprocessor in system environment","Sosnowski, J.; Bech, T.","Inst. of Comput. Sci., Warsaw Univ. of Technol., Poland","Design, Automation and Test in Europe Conference and Exhibition 2000. Proceedings","20020806","2000","","","752","","Summary form only given. Arithmetic coprocessors (AC) are quite complex circuits and testing them is an important and not easy problem (not covered in the literature). Analyzing diagnostic software for IBM PCs we found that the testing procedures for ACs are limited to simple basic checks. Hence we decided to develop efficient test procedures in a systematic way. They are executed on the main processor and generate appropriate stimuli to AC functional blocks (e.g. instruction sequencer, data path units) and verify test responses. An important contribution of this paper is the integration of various approaches to testing and increased test observability of test results assured by on-chip event monitors and system exceptions","","0-7695-0537-6","","10.1109/DATE.2000.840885","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840885","","Arithmetic;Coprocessors;System testing","coprocessors;integrated circuit testing;logic testing;observability","AC functional blocks;IBM PCs;arithmetic coprocessor;data path units;diagnostic software;instruction sequencer;on-chip event monitors;system environment;system exceptions;test observability;test procedures;test responses;testing procedures","","0","1","","","","2000","27 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
