"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design%2C+Automation+.AND.+Test+in+Europe+Conference+.AND.+Exhibition+.LB.DATE.RB.%29+AND+2015%29",2015/06/23 14:59:16
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"On the automatic generation of SBST test programs for in-field test","Riefert, A.; Cantoro, R.; Sauer, M.; Reorda, M.S.; Becker, B.","Albert-Ludwigs-Univ. Freiburg, Freiburg, Germany","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","1186","1191","Software-based self-test (SBST) techniques are used to test processors against permanent faults introduced by the manufacturing process (often as a complementary approach with respect to DfT) or to perform in-field test in safety-critical applications. A major obstacle to their adoption is the high cost for developing effective test programs, since there is still a lack of suitable EDA algorithms and tools able to automatically generate SBST test programs. An efficient ATPG algorithm can serve as the foundation for the automatic generation of SBST test programs. In this work we first highlight the additional constraints characterizing SBST test programs wrt functional ones, with special emphasis on their usage for infield test; then, we describe an ATPG framework targeting stuck-at faults based on Bounded Model Checking. The framework allows the user to flexibly specify the requirements of SBST test programs in the considered scenario. Finally, we demonstrate how a set of properly chosen requirements can be used to generate test programs matching these constraints. In our experiments we evaluate the framework with the miniMIPS microprocessor. The results show that the proposed method is the first able to automatically generate SBST test programs whose fault efficiency is superior to those produced with state-of-the-art manual approaches.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092567","","Automatic test pattern generation;Circuit faults;Memory management;Microprocessors;Model checking;Program processors;Registers","automatic test pattern generation;automatic test software;design for testability;program testing;software fault tolerance","ATPG algorithm;DfT;EDA algorithms;SBST test programs;automatic generation;bounded model checking;complementary approach;design for testability techniques;in-field test;manufacturing process;miniMIPS microprocessor;permanent faults;safety-critical applications;software-based self-test techniques;stuck-at faults","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"From device to system: Cross-layer design exploration of racetrack memory","Guangyu Sun; Chao Zhang; Hehe Li; Yue Zhang; Weiqi Zhang; Yizi Gu; Yinan Sun; Klein, J.-O.; Ravelosona, D.; Yongpan Liu; Weisheng Zhao; Huazhong Yang","CECA, Peking Univ., Beijing, China","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","1018","1023","Recently, Racetrack Memory (RM) has attracted more and more attention of memory researchers because it has advantages of ultra-high storage density, fast access speed, and non-volatility. Prior research has demonstrated that RM has potential to replace SRAM for large capacity on-chip memory design. At the same time, it also addressed that the design space exploration of RM could be more complicated compared to traditional on-chip memory technologies for several reasons. First, a single RM cell introduces more device level design parameters. Second, considering these device-level design factors, the layout exploration of a RM array demonstrates trade-off among area, performance, and power consumption of RM circuit level design. Third, in the architecture level, the unique “shift” operation results in an extra dimension for design exploration. In this paper, we will review all these design issues in different layers and try to reveal the relationship among them. The experimental results demonstrate that cross-layer design exploration is necessary for racetrack memory. In addition, a system level case study of using RM in a sensor node is presented to demonstrate its advantages over SRAM or STT-RAM.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092539","","Computer architecture;Layout;Magnetic tunneling;Microprocessors;Nonvolatile memory;Random access memory;Saturation magnetization","integrated circuit design;random-access storage","RM array;RM circuit level design;SRAM;STT-RAM;cross-layer design exploration;design space exploration;device-level design factors;fast access speed;large capacity on-chip memory design;memory researchers;nonvolatility;racetrack memory;sensor node;shift operation;ultra-high storage density","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"Comparative study of test generation methods for simulation accelerators","Kadry, W.; Krestyashyn, D.; Morgenshtein, A.; Nahir, A.; Sokhin, V.; Jin Sung Park; Sung-Boem Park; Wookyeong Jeong; Jae Cheol Son","IBM Res., Haifa, Israel","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","321","324","Hardware-accelerated simulation platforms are quickly becoming a major vehicle for the functional verification of modern systems and processors. Accelerator platforms provide functional verification with valuable simulation cycles. Yet, the high cost and limited bandwidth of accelerator platforms dictate a requirement for continuous utilization improvement. In this work, we perform a comparative analysis of two approaches of test generation for accelerator platforms. An exerciser tool is used as experimental vehicle for the study. An off-platform test generation methodology is implemented and is compared to on-platform test generation typically used in exercisers. We present experimental results from simulation of latest IBM POWER8 processor on Awan accelerator platform, as well as from simulation of an eight-core ARMv8-based design on Veloce emulation platform. Our results indicate that the utilization of accelerator platforms can be improved by up to ×7 ratio when using off-platform test generation. In addition, increase of up to 24% is observed in test coverage. Off-platform mode features significantly bigger image size, but maintains tolerable build and load times.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092407","","Acceleration;Computational modeling;Emulation;Generators;Life estimation;Program processors;Silicon","integrated circuit design;integrated circuit testing;microprocessor chips","Awan accelerator platform;IBM POWER8 processor;Veloce emulation platform;build times;comparative analysis;continuous utilization improvement;eight-core ARMv8-based design;exerciser tool;experimental vehicle;functional verification;hardware-accelerated simulation platforms;load times;microprocessor design;off-platform test generation methodology;on-platform test generation;simulation accelerators;valuable simulation cycles","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"Device/circuit/architecture co-design of reliable STT-MRAM","Pajouhi, Z.; Xuanyao Fong; Roy, K.","Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","1437","1442","Spin transfer torque magnetic random access memory (STT-MRAM), using magnetic tunnel junctions (MTJ) has garnered significant attention in the research community due to its immense potential for on-chip, high-density and non-volatile memory. However, process variations may significantly impact the achievable yield in STT-MRAM. To this end, several yield enhancement techniques that improve STT-MRAM failures at the bit-cell, and at the architecture level of design abstraction have been proposed in the literature. However, these techniques may lead to a suboptimal design because they do not consider the impact of design choices at every level of design abstraction. In this paper, we propose a unified device-circuit-architecture co-design framework to optimize and enhance the yield of STT-MRAM. We studied the interaction between device parameters (viz. energy barrier height) and bit-cell level parameters (viz. transistor width), together with different Error Correcting Codes (ECC) to optimize the robustness and energy efficiency of STT-MRAM cache. The advantages of our proposed approach to STT-MRAM design are explored at the 32nm technology node. We show that for a target yield of 500 Defects Per Million (DPM) for an example array with 64-bit word length, our proposed approach with realistic parameters can save up to 15% and 13% in cell area and total power consumption, respectively, in comparison with a design that does not use any array level yield enhancement technique.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092616","STT-MRAM","Arrays;Decoding;Error correction codes;Integrated circuit modeling;Magnetic tunneling;Thermal stability","MRAM devices;error correction codes","bit-cell level parameters;cell area;energy barrier height;energy efficiency;error correcting codes;magnetic tunnel junctions;power consumption;reliable STT-MRAM;robustness;size 32 nm;spin transfer torque magnetic random access memory;transistor width;unified device-circuit-architecture co-design framework;word length 64 bit","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"Asymmetric underlapped FinFET based robust SRAM design at 7nm node","Goud, A.A.; Venkatesan, R.; Raghunathan, A.; Roy, K.","Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","659","664","Robust 6T SRAM design in 7nm technology node, at low supply voltage and rising leakage, requires ingenious design of FinFETs capable of providing reasonable I<sub>on</sub>/I<sub>off</sub> ratio and acceptable short channel effects even under new leakage mechanisms such as direct source to drain tunneling. In this work, we explore asymmetric underlapped FinFET design with the help of quantum mechanical device simulations considering both the bit-cell and cache design constraints. We show that our optimized FinFET achieves a significant improvement in on-current over conventional symmetrically underlapped FinFETs. Through circuit simulations using compact models, we demonstrate that when such asymmetric underlapped n-FinFETs are used as bit-line access transistors, read/write conflict can be mitigated with simultaneous reduction in 6T SRAM bit-cell leakage. Improvement in write noise margin as well as access time can also be achieved under iso-read stability condition. Based on these technology and bit-cell models, we have developed a CACTI-based simulator for evaluating asymmetric FinFET based SRAM cache at 7nm node. Using this device-circuit-system level framework and optimized asymmetric underlapped FinFETs, we demonstrate significant energy savings and performance improvements for an 8KB L1 cache and a 4MB last-level cache.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092471","6T SRAM;7nm;CACTI;FinFET;asymmetric underlap;cache;low leakage;noise margin improvement;scaled interconnect","Capacitance;FinFETs;Integrated circuit modeling;Logic gates;Mathematical model;Noise;Random access memory","MOSFET;SRAM chips;cache storage;electrical faults;integrated circuit design","CACTI based simulator;asymmetric FinFET based SRAM cache;asymmetric underlapped FinFET;bit cell design constraint;bit line access transistor;cache design constraint;last level cache;leakage mechanisms;memory size 4 MByte;robust SRAM design;short channel effect;size 7 nm","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"Exploiting loop-array dependencies to accelerate the design space exploration with high level synthesis","Nam Khanh Pham; Singh, A.K.; Kumar, A.; Mi Mi Aung Khin","Data Storage Inst., A*STAR, Singapore, Singapore","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","157","162","Recently, the requirement of shortened design cycles has led to rapid development of High Level Synthesis (HLS) tools that convert system level descriptions in a high level language into efficient hardware designs. Due to the high level of abstraction, HLS tools can easily provide multiple hardware designs from the same behavioral description. Therefore, they allow designers to explore various architectural options for different design objectives. However, such exploration has exponential complexity, making it practically impossible to explore the entire design space. The conventional approaches to reduce the design space exploration (DSE) complexity do not analyze the structure of the design space to limit the number of design points. To fill such a gap, we explore the structure of the design space by analyzing the dependencies between loops and arrays. We represent these dependencies as a graph that is used to reduce the dimensions of the design space. Moreover, we also examine the access pattern of the array and utilize it to find the efficient partition of arrays for each loop optimization parameter set. The experimental results show that our approach provides almost the same quality of result as the exhaustive DSE approach while significantly reducing the exploration time with an average of speed-up of 14x.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092375","","Algorithm design and analysis;Hardware;Memory management;Pareto optimization;Partitioning algorithms;Pipeline processing","circuit complexity;circuit optimisation;electronic design automation;high level languages;high level synthesis;integrated circuit design","DSE approach;DSE complexity;HLS tool;access pattern;design space exploration;hardware design;high level language;high level synthesis;loop array dependency;loop optimization parameter","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"Axilog: Language support for approximate hardware design","Yazdanbakhsh, A.; Mahajan, D.; Thwaites, B.; Jongse Park; Nagendrakumar, A.; Sethuraman, S.; Ramkrishnan, K.; Ravindran, N.; Jariwala, R.; Rahimi, A.; Esmaeilzadeh, H.; Bazargan, K.","Georgia Inst. of Technol., Atlanta, GA, USA","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","812","817","Relaxing the traditional abstraction of “near-perfect” accuracy in hardware design can lead to significant gains in energy efficiency, area, and performance. To exploit this opportunity, there is a need for design abstractions that can systematically incorporate approximation in hardware design. We introduce Axilog, a set of language annotations, that provides the necessary syntax and semantics for approximate hardware design and reuse in Verilog. Axilog enables the designer to relax the accuracy requirements in certain parts of the design, while keeping the critical parts strictly precise. Axilog is coupled with a Relaxability Inference Analysis that automatically infers the relaxable gates and connections from the designer's annotations. The analysis provides formal safety guarantees that approximation will only affect the parts that the designer intended to approximate, referred to as relaxable elements. Finally, the paper describes a synthesis flow that approximates only the relaxable elements. Axilog enables applying approximation in the synthesis process while abstracting away the details of approximate synthesis from the designer. We evaluate Axilog, its analysis, and the synthesis flow using a diverse set of benchmark designs. The results show that the intuitive nature of the language extensions coupled with the automated analysis enables safe approximation of designs even with thousands of lines of code. Applying our approximate synthesis flow to these designs yields, on average, 54% energy savings and 1.9× area reduction with 10% output quality loss.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092497","","Approximation methods;Benchmark testing;Hardware;Logic gates;Semantics;Timing;Wires","hardware description languages;inference mechanisms","Axilog;Verilog;accuracy requirements;approximate hardware design;area reduction;automated analysis;benchmark designs;design abstractions;energy efficiency;energy savings;language annotations;language support;near-perfect accuracy;quality loss;relaxability inference analysis;semantics;syntax;synthesis flow","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"Ultra-low-power ECG front-end design based on compressed sensing","Mamaghanian, H.; Vandergheynst, P.","Sch. of Eng., Ecole Polytech. Fed. de Lausanne (EPFL), Lausanne, Switzerland","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","671","676","Ultra-low-power design has been a challenging area for design of the sensor front-ends especially in the area of Wireless Body Sensor Nodes (WBSN), where a limited amount of power budget and hardware resources are available. Since introduction of Compressed Sensing, there has been a challenge to design CS-based low-power readout devices for different applications and among all for biomedical signals. Till now, different proposed realizations of the digital CS prove the suitability of using CS as an efficient low-power compression technique for compressible biomedical signals. However, these works mainly take advantages of only one aspect of the benefits of the CS. In this type of works, CS is usually used as a very low cost and easy to implement compression technique. This means that we should acquire the signal with traditional limitations on the bandwidth (BW) and later compresses it. However, the main power of the CS, which lies on the efficient data acquisition, remains untouched. Building on our previous work [1], where the suitability of the CS is proven for the compression of the ECG signals, and our investigation on ultra-low-power CS-based A2I devices [2], here in this paper we propose a fully redesigned complete CS-based “Analog-to-information” (A/I) front-end for ECG signals. Our results show that proposed hybrid design easily outperforms the traditional implementation of CS with more than 11 times fold reduction in power consumption compared to standard implementation of CS. Moreover our design shows a very promising performance specially in high compression ratio.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092473","","Analytical models;Automation;Compressed sensing;Electrocardiography;Power demand;Signal resolution;Signal to noise ratio","body sensor networks;compressed sensing;electrocardiography;medical signal processing","CS-based low-power readout device;ECG signal compression;analog-to-information front-end;compressed sensing;compressible biomedical signal;compression ratio;data acquisition;low-power compression technique;power consumption;ultralow-power CS-based A2I device;ultralow-power ECG front-end design;wireless body sensor node","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"Energy-efficient cache design in emerging mobile platforms: The implications and optimizations","Kaige Yan; Xin Fu","Dept. of Electr. & Comput. Eng., Univ. of Houston, Houston, TX, USA","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","375","380","Mobile devices are quickly becoming the most widely used processors in consumer devices. Since their major power supply is battery, the energy-efficient computing is highly desired. In this paper, we focus on the energy-efficient cache design in emerging mobile platforms. We observe that more than 40% of L2 cache accesses are OS kernel accesses in interactive smartphone applications. Such frequent kernel accesses cause serious interferences between the user and kernel blocks in the L2 cache, leading to the unnecessary block replacements and high L2 cache miss rate. We propose to partition the L2 cache into two separate segments which can only be accessed by the user code and kernel code, respectively. Meanwhile, the overall size of the two segments is shrunk, which greatly reduces the energy consumption by 15% while still maintains the similar cache miss rate. We further find completely different access behaviors between the two separated kernel and user segments in our novel L2 cache design, and explore the multi-retention STT-RAM based user and kernel segments to maximize the cache energy savings. The experimental results show that our techniques significantly reduce the cache energy consumption (e.g. 75%) with only 2% performance loss in emerging smartphones.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092417","","Benchmark testing;Energy consumption;Kernel;Mobile communication;Mobile handsets;Program processors;Random access memory","cache storage;circuit optimisation;interactive systems;mobile computing;operating system kernels;power aware computing;random-access storage;smart phones","L2 cache access;L2 cache design;OS kernel access;cache energy consumption reduction;cache energy saving maximization;energy efficient cache design;interactive smartphone applications;kernel code;kernel segments;mobile devices;multiretention STT-RAM based user;optimization;user code","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"Power-aware online testing of manycore systems in the dark silicon era","Haghbayan, M.-H.; Rahmani, A.-M.; Fattah, M.; Liljeberg, P.; Plosila, J.; Navabi, Z.; Tenhunen, H.","Dept. of Inf. Technol., Univ. of Turku, Turku, Finland","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","435","440","Online defect screening techniques to detect runtime faults are becoming a necessity in current and near future technologies. At the same time, due to aggressive technology scaling into the nanometer regime, power consumption is becoming a significant burden. Most of today's chips employ advanced power management features to monitor the power consumption and apply dynamic power budgeting (i.e., capping) accordingly to prevent over-heating of the chip. Given the notable power dissipation of existing testing methods, one needs to efficiently manage the power budget to cover test process of a many-core system in runtime. In this paper, we propose a power-aware online testing method for many-core systems benefiting from advanced power management capabilities. The proposed power-aware method uses non-intrusive online test scheduling strategy to functionally test the cores in their idle period. In addition, we propose a test-aware utilization-oriented runtime mapping technique that considers the utilization of cores and their test criticality in the mapping process. Our extensive experimental results reveal that the proposed power-aware online testing approach can efficiently utilize temporarily free resources and available power budget for the testing purposes, within less than 1% penalty on system throughput for the 16nm technology.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092429","Dark Silicon;Functional Testing;Many-Core Systems;Online Testing;Power Capping","Power demand;Power system dynamics;Runtime;Silicon;System performance;Testing;Upper bound","multiprocessing systems;power aware computing;testing","dark silicon era;functional test;manycore systems;nonintrusive online test scheduling strategy;power management capabilities;power-aware online testing;test-aware utilization-oriented runtime mapping technique","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
