"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DComputer-Aided+Design+.LB.ICCAD.RB.%2C+2002+IEEE%2FACM+International+Conference",2015/06/23 15:03:13
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Hardware/software partitioning of software binaries","Stitt, G.; Vahid, F.","Dept. of Comput. Sci. & Eng., California Univ., Riverside, CA, USA","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","164","170","Partitioning an embedded system application among a microprocessor and custom hardware has been shown to improve the performance, power or energy of numerous examples. The advent of single-chip microprocessor/FPGA platforms makes such partitioning even more attractive. Previous partitioning approaches have partitioned sequential program source code, such as C or C++. We introduce a new approach that partitions at the software binary level. Although source code partitioning is preferable from a purely technical viewpoint, binary-level partitioning provides several very practical benefits for commercial acceptance. We demonstrate that binary-level partitioning yields competitive speedup results compared to source-level partitioning, achieving an average speedup of 1.4 compared to 1.5 for eight benchmarks partitioned on a single-chip microprocessor/FPGA device.","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167529","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167529","","Application software;Assembly;Computer architecture;Coprocessors;Field programmable gate arrays;Hardware;Parallel processing;Reconfigurable logic;Software tools;Voltage","circuit CAD;field programmable gate arrays;hardware-software codesign;integrated circuit design;logic partitioning;microprocessor chips","average speedup;binary-level partitioning;custom hardware;embedded system application;hardware/software partitioning;microprocessor;sequential program source code partitioning;single-chip microprocessor/FPGA platforms;software binaries;software binary level partitioning;source-level partitioning","","17","1","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
"A novel net weighting algorithm for timing-driven placement","Tim Kong","Aplus Design Technol. Inc., Los Angeles, CA, USA","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","172","176","Net weighting for timing-driven placement has been very popular in industry and academia. It has various advantages such as low complexity, high flexibility and ease of implementation. Existing net weighting algorithms, however, are often ad-hoc. There is generally no known good net weighting algorithms. In this paper, we present a novel net weighting algorithm based on the concept of path-counting, and apply it in a timing-driven FPGA placement application. Theoretically this is the first ever known accurate, all-path counting algorithm. Experimental data shows that compared with the weighting algorithm used in state-of-the-art FPGA placement package VPR (A. Marquardt et al, ACM Symp. on FPGAs, pp. 203-213, 2000), this new algorithm can achieve the longest path delay reduction of up to 38.8%, 15.6% on average with no runtime overhead and only a 4.1% increase in total wirelength.","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167530","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167530","","Circuits;Clocks;Delay;Engines;Field programmable gate arrays;Mathematical programming;Packaging;Pins;Runtime;Timing","circuit layout CAD;circuit optimisation;field programmable gate arrays;integrated circuit layout;logic CAD;timing","FPGA placement;ad-hoc weighting algorithms;all-path counting algorithm;net weighting algorithm;path delay reduction;path-counting;placement complexity;placement flexibility;placement implementation;runtime overhead;timing-driven placement;total wirelength","","25","3","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
"IEEE/ACM International Conference on Computer Aided Design. IEEE/ACM Digest of Technical Papers (Cat. No.02CH37391)","","","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","","","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01167505.png"" border=""0"">","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167505","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167505","","","Boolean functions;VLSI;analogue integrated circuits;automatic test pattern generation;circuit CAD;circuit layout CAD;circuit optimisation;design for testability;hardware-software codesign;high level synthesis;integrated circuit design;integrated circuit interconnections;integrated circuit modelling;integrated circuit noise;integrated circuit testing;integrated memory circuits;leakage currents;low-power electronics;molecular electronics;parameter estimation;reduced order systems;statistical analysis;system-on-chip;timing","ATPG Boolean engines;CAD computation;DFT techniques;IC CAD;RT level verification;SAT Boolean engines;SoC technology;VLSI manufacturability;analog/RF simulation;chip-level communication structures;circuit-level analog CAD;combinational synthesis;device modeling;dynamic voltage scheduling;embedded system architecture customization;formal hardware verification;formal validation/synthesis techniques;gate level verification;hardware/software codesign compilation;high level synthesis;inductance modeling;inductance modelling;interconnect optimization;logic synthesis;low level aware behavioral synthesis;low power optimization;low-power design;memory issues;model order reduction;molecular electronics;noise effects;optimization;routing;satisfiability checking;simulation technologies;statistical power estimation techniques;statistical timing estimation;substrate modeling;subthreshold leakage modeling/reduction techniques;switch level verification;system-level analog design;system-level performance modeling;system-level power modeling;testing;timing analysis;timing-driven placement;transistor level optimization","","0","","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
"A hierarchical modeling framework for on-chip communication architectures [SOC]","Xinping Zhu; Malik, S.","Princeton Univ., NJ, USA","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","663","670","The communication sub-system of complex IC systems is increasingly critical for achieving system performance. Given this, it is important that the on-chip communication architecture should be included in any quantitative evaluation of system design during design space exploration. While there are several mature methodologies for the modeling and evaluation of architectures of processing elements, there is relatively little work done in modeling of an extensive range of on-chip communication architectures, and integrating this into a single modeling and simulation environment combining processing element and on-chip communication architectures. This paper describes a modeling framework with accompanying simulation tools that attempts to fill this gap. Based on an analysis of a wide range of on-chip communication architectures, we describe how a specific hierarchical class library can be used to develop new on-chip communication architectures, or variants of existing ones with relatively little incremental effort. We demonstrate this through three case studies including two commercial on-chip bus systems and an on-chip packet switching network.","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167603","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167603","","Computer architecture;Instruction sets;Network topology;Network-on-a-chip;Prototypes;Software prototyping;Space exploration;Spine;Terminology;Virtual prototyping","circuit CAD;circuit simulation;integrated circuit design;integrated circuit modelling;logic CAD;logic simulation;packet switching;system buses;system-on-chip","OCA;SoC;complex IC system communication sub-systems;design space exploration;hierarchical class libraries;on-chip bus systems;on-chip communication architecture hierarchical modeling framework;on-chip packet switching networks;processing element modeling/evaluation;simulation tools;system-on-a-chip","","26","","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
"On mask layout partitioning for electron projection lithography","Ruiqi Tian; Ronggang Yu; Xiaoping Tang; Wong, D.F.","Motorola Inc., Austin, TX, USA","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","514","518","Electron projection lithography (EPL) is a leading candidate for next generation lithography (NGL) in VLSI production. The membrane mask used in EPL is divided into sub-fields by struts for structural support. A layout must be partitioned into these subfields on mask and then stitched back together by the EPL tool on wafer. To minimize possible stitching errors, partitioning of a mask layout should minimize cuts of layout features in the overlapping area between two adjacent sub-fields. This paper presents the first formulation of the mask layout partitioning problem for EPL as a graph problem. The graph formulation is optimally solved with a shortest path approach. Two other techniques are also presented to speed up computation. Experimental runs on data from a real industry design show excellent results.","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167581","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167581","","Biomembranes;Electrons;Light scattering;Lithography;Page description languages;Resists;Shape;Throughput;Ultraviolet sources;Very large scale integration","VLSI;circuit layout CAD;divide and conquer methods;dynamic programming;electron beam lithography;error analysis;integrated circuit layout;logic partitioning;masks;semiconductor process modelling","EPL tool on-wafer stitching;NGL;VLSI production;computation speed;divide and conquer;dynamic programming;electron projection lithography;layout feature cuts;layout partitioning;mask layout partitioning;mask layout partitioning problem;membrane mask sub-field division;next generation lithography;optimally solved graph formulation;overlapping area;shortest path approach;stitching error minimization;structural support struts","","1","","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
"Implicit treatment of substrate and power-ground losses in return-limited inductance extraction","Sitaram, D.; Yu Zheng; Shepard, K.L.","Cadence Design Syst., New Providence, NJ, USA","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","16","22","Full-wave analysis, based on rigorous solution of the differential or integral form of Maxwell's equations, is too slow for all but the smallest designs. Traditional on-chip extraction engines are, therefore, being pushed to extract inductance and provide accurate high frequency interconnect modelling while maintaining computational efficiency and capacity. This paper describes further accuracy-improving enhancements to the commercial full-chip RLCK extraction engine, Assura RLCX, based on the return-limited inductance formulation. Specifically, we incorporate substrate losses due to eddy currents and power-ground losses while, based on design-driven assumptions, avoiding explicit extraction of the power-ground and substrate. Results are validated on small testcases where comparison with full-wave solutions is practical.","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167508","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167508","","Capacitance;Conductors;Coupling circuits;Engines;Frequency;Inductance;Integral equations;Integrated circuit interconnections;Maxwell equations;Microwave theory and techniques","circuit CAD;circuit simulation;eddy current losses;inductance;integrated circuit design;integrated circuit interconnections;integrated circuit modelling;ladder networks;logic CAD;logic simulation","Assura RLCX;Maxwell equations differential/integral forms;computational efficiency/capacity;eddy current substrate losses;frequency interconnect modelling;full-chip RLCK extraction engines;full-wave analysis;high-frequency interconnect analysis;ladder networks;on-chip inductance extraction engines;power-ground losses;return-limited inductance extraction;return-limited inductance formulation;substrate losses","","1","","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
"Making Fourier-envelope simulation robust","Roychowdhury, J.","Minnesota Univ., Minneapolis, MN, USA","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","240","245","Fourier-envelope algorithms are an important component of the mixed-signal/RF verification toolbox. In this paper, we address the unpredictability and lack of robustness that has been reported for these algorithms. We show that the problem stems from fast oscillations in envelopes that are expected to be slowly varying. We demonstrate that this is related to the fact that the envelope equations are always stiff, whether or not the underlying system is. We show that careful choice of envelope initial conditions is necessary to obtain useful solutions, and propose two techniques for finding good initial conditions. Applying these, and solving the envelope equations with stiffly-stable numerical methods, we improve the robustness and reliability of Fourier-envelope methods. We illustrate the new methods with a direct-downconversion mixer circuit.","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167541","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167541","","Circuit simulation;Damping;Differential equations;Linear circuits;Predictive models;Radio frequency;Robustness;SPICE;Time domain analysis","Fourier analysis;circuit CAD;circuit oscillations;circuit simulation;initial value problems;mixed analogue-digital integrated circuits;numerical stability;transient analysis","Fourier-envelope algorithm unpredictability/robustness/reliability;direct-downconversion mixer circuits;envelope initial conditions;mixed signal/RF simulation/verification;robust Fourier-envelope simulation;slowly varying envelope fast oscillations;stiff envelope equations;stiffly-stable numerical methods","","9","","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
"A new enhanced SPFD rewiring algorithm [logic IC layout]","Cong, J.; Lin, J.Y.; Long, W.","","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","672","678","This paper presents an in-depth study of the theory and algorithms for the SPFD-based (set of pairs of functions to be distinguished) rewiring, and explores the flexibility in the SPFD computation. Our contributions are in the following two areas: (1) We present a theorem and a related algorithm for more precise characterization of feasible SPFD-based rewiring. Extensive experimental results show that for LUT-based FPGAs, the rewiring ability of our new algorithm is 70% higher than SPFD-based local rewiring algorithms (SPFD-LR) and 18% higher than the recently developed SPFD-based global rewiring algorithm (SPFD-GR). (2) In order to achieve more rewiring ability on certain selected wires used in various optimizations, we study the impact of using different atomic SPFD pair assignment methods during the SPFD-based rewiring. We develop several heuristic atomic SPFD pair assignment methods for area or delay minimization and show that they lead to 10% more selected rewiring ability than the random (or arbitrary) assignment methods. When combining (1) and (2) together, we can achieve 38.1% higher general rewiring ability.","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167604","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167604","","Algorithm design and analysis;Automatic test pattern generation;Computer science;Delay;Field programmable gate arrays;Logic;Minimization methods;Network synthesis;Optimization methods;Wire","circuit optimisation;circuit simulation;combinational circuits;field programmable gate arrays;integrated circuit interconnections;integrated circuit layout;integrated circuit modelling;logic design;logic simulation;table lookup","LUT-based FPGA;SPFD computation flexibility;SPFD rewiring algorithms;SPFD-GR;area/delay minimization selected rewiring ability;combinational circuits;global rewiring algorithms;heuristic atomic SPFD pair assignment methods;local rewiring algorithms;random/arbitrary assignment methods;rewiring feasibility characterization;selected wire optimizations;set of pairs of functions to be distinguished rewiring","","1","1","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
"Optimization and control of V<sub>DD</sub> and V<sub>TH</sub> for low-power, high-speed CMOS design","Kuroda, T.","Dept. of Electr. Eng., Keio Univ., Yokohama, Japan","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","28","34","It is essential to control supply voltage V<sub>DD</sub> and threshold voltage V<sub>TH</sub> for low power, high-speed CMOS design. In this paper, it is shown that these two parameters can be controlled by designers as objectives of design optimization to find better trade-offs between power and speed. Quantitative analysis of trade-offs between power and speed is presented. Some of the popular circuit techniques and design examples to control V<sub>DD</sub> and V<sub>TH</sub> are introduced. A simple theory to compute optimum multiple V<sub>DD</sub> and V<sub>TH</sub> values is described. Scaling scenarios of variable and/or multiple V<sub>DD</sub> and V<sub>TH</sub> values is discussed to show future technology directions.","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167510","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167510","","CMOS logic circuits;Degradation;Delay;Design optimization;Pipelines;Power dissipation;Subthreshold current;Throughput;Virtual manufacturing;Voltage","CMOS integrated circuits;circuit optimisation;high-speed integrated circuits;integrated circuit design;low-power electronics","circuit techniques;design optimization;design parameters;design trade-offs;low-power high-speed CMOS design;multiple value scaling scenarios;quantitative analysis;supply voltage;threshold voltage;voltage control;voltage optimization","","0","","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
"Combined dynamic voltage scaling and adaptive body biasing for lower power microprocessors under dynamic workloads","Martin, S.M.; Flautner, K.; Mudge, T.; Blaauw, D.","Dept. of Electr. Eng. & Comput. Sci., Michigan Univ., Ann Arbor, MI, USA","Computer Aided Design, 2002. ICCAD 2002. IEEE/ACM International Conference on","20030129","2002","","","721","725","Dynamic voltage scaling (DVS) reduces the power consumption of processors when peak performance is unnecessary. However, the achievable power saving by DVS alone is becoming limited as leakage power increases. In this paper, we show how the simultaneous use of adaptive body biasing (ABB) and DVS can be used to reduce power in high-performance processors. Analytical models of the leakage current, dynamic power, and frequency as functions of supply voltage and body bias are derived and verified with SPICE simulation. We then show how to determine the correct trade-off between supply voltage and body bias for a given clock frequency and duration of operation. The usefulness of our approach is evaluated on real workloads obtained using real-time monitoring of processor utilization for four applications. The results demonstrate that application of simultaneous DVS and ABB results in an average energy reduction of 48% over DVS alone.","1092-3152","0-7803-7607-2","","10.1109/ICCAD.2002.1167611","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167611","","Analytical models;Clocks;Dynamic voltage scaling;Energy consumption;Frequency;Leakage current;Microprocessors;Monitoring;SPICE;Voltage control","SPICE;circuit optimisation;circuit simulation;integrated circuit design;integrated circuit measurement;integrated circuit modelling;leakage currents;logic design;logic simulation;microprocessor chips","SPICE;adaptive body biasing;dynamic power;dynamic voltage scaling;high-performance processor power consumption reduction;leakage power/current modeling;lower power microprocessors;microprocessors dynamic workloads;optimization;processor clock frequency/supply voltage;processor utilization real-time monitoring;simultaneous DVS/ABB;supply voltage/body bias trade-off","","138","13","","","","10-14 Nov. 2002","","IEEE","IEEE Conference Publications"
