"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28p_Publication_Title%3AHardware%2FSoftware+Codesign+and+System+Synthesis+.LB.CODES.PLS.ISSS.RB.%2C+2011+Proceedings+of+the+9th+International+Conference+on%29",2015/07/23 13:41:32
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Digital microfluidic biochips: Functional diversity, More than Moore, and cyberphysical systems","Chakrabarty, K.; Pop, P.; Tsung-Yi Ho","Duke Univ., Durham, NC, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","377","377","Summary form only given. The 2010 International Technology Roadmap for Semiconductors (ITRS) predicted that bio-medical chips will soon revolutionize the healthcare market. These bio-medical chips should be able to sense and actuate, store and manipulate data, and transmit information. To realize such bio-medical chips, the integration of embedded systems and microfluidics inevitably leads to a new research dimension for More than Moore and beyond. This tutorial will introduce attendees to the emerging technology of digital microfluidics, which is poised to play a key role in the transformation of healthcare and the interplay between biochemistry and embedded systems. Advances in droplet-based “digital” microfluidics have led to the emergence of biochip devices for automating laboratory procedures in biochemistry and molecular biology. These devices enable the precise control of nanoliter-volume droplets of biochemical samples and reagents. Therefore, integrated circuit (IC) technology can be used to transport and transport “chemical payload” in the form of micro/nanofluidic droplets. As a result, non-traditional biomedical applications and markets (e.g., high-throughout DNA sequencing, portable and point-of-care clinical diagnostics, protein crystallization for drug discovery), and fundamentally new uses are opening up for ICs and systems. However, continued growth (and larger revenues resulting from technology adoption by pharmaceutical and healthcare companies) depends on advances in chip integration and design-automation tools. In particular, design-automation tools are needed to ensure that biochips are as versatile as the macro-labs that they are intended to replace. This is therefore an opportune time for the semiconductor industry and circuit/system designers to make an impact in this emerging field. This tutorial offers attendees an opportunity to bridge the semiconductor ICs/systems industry with the biomedical and pharmaceu- - tical industries. The audience will see how a “biochip compiler” can translate protocol descriptions provided by an end user (e.g., a chemist or a nurse at a doctor's clinic) to a set of optimized and executable fluidic instructions that will run on the underlying digital microfluidic platform. Testing techniques will be described to detect faults after manufacture and during field operation. Sensor integration and close coupling between the underlying hardware and the control software in a cyberphysical framework will also be described. A number of case studies based on representative assays and laboratory procedures will be interspersed in appropriate places throughout the tutorial. Commercial devices and advanced prototypes from the major company in this market segment (Advanced Liquid Logic, Inc.) will be described, and ongoing activity on newborn screening using digital microfluidic biochips at several large hospitals in Illinois will be highlighted. The topics covered in the tutorial include the following: 1) Technology and application drivers: Motivation and background, actuation methods, electrowetting and digital microfluidics, review of micro-fabrication processes, applications to biochemistry, medicine, and laboratory procedures. 2) System-level design automation: Synthesis techniques: scheduling of fluidic operations, resource binding (mapping of operations to on-chip resources), module placement. 3) Physical-level design automation: droplet routing, defect tolerance, chip-level design, and design of pin-constrained biochips. 4) Testing and design-for-testability: Defects, fault modeling, test planning, reconfiguration techniques, sensor integration and cyberphysical system design.","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062311","Microfluidics;biochips;design automation;system-on-chip","Biochemistry;Educational institutions;Integrated circuits;Laboratories;Medical services;Microfluidics;Tutorials","bioMEMS;biochemistry;drops;embedded systems;health care;lab-on-a-chip;microfabrication;microfluidics;molecular biophysics;monolithic integrated circuits;nanofluidics","actuation methods;biochemical reagents;biochemical samples;biochemistry;biochip compiler;biochip devices;biomedical chips;chemical payload;chip integration;chip level design;control software;cyberphysical framework;cyberphysical systems;defect tolerance;design automation tools;digital microfluidic biochips;droplet based digital microfluidics;droplet routing;electrowetting;embedded systems;executable fluidic instructions;functional diversity;health care;integrated circuit technology;laboratory procedure automation;microfabrication processes;microfluidic droplets;molecular biology;nanofluidic droplets;nanoliter volume droplet control;optimized fluidic instructions;pin constrained biochip design;semiconductor IC;sensor integration;synthesis techniques;system level design automation","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"System-level design exploration for 3-D stacked memory architectures","Chi-Hung Lin; Wen-Tsan Hsieh; Hsien-Ching Hsieh; Chun-Nan Liu; Jen-Chieh Yeh","Inf. & Commun. Res. Labs., Ind. Technol. Res. Inst., Hsinchu, Taiwan","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","389","389","Summary form only given. Traditional technology scaling of semiconductor chips followed Moore's Law. However, the transistor performance improvement will be limited, and designer will not see doubling of frequency every two years. Recently, three-dimension integrated circuits (3D IC) that employ the vertically through-silicon vias (TSVs) for connecting each of dies have been proposed. It is an alternative solution to existent Package-on-Package (PoP) and System-in-Package (SiP) processes. There are many benefits by using TSV-based 3-D integration technologies: (1) more functionality can be integrated into a small silicon space for form factor reduction, (2) circuit delay can be improved by using TSVs due to the shorter interconnect and reduced parasitic capacitance/inductance, (3) different components with incompatible manufacturing process (i.e. Logic, DRAM, Flash, etc) can be combined in single 3-D IC for heterogeneous integration. In addition, there are many 3-D multi-core or many-core architectures are discussed recently. Comparing with traditional two-dimension multi-core or many-core architectures, the major difference is memory bandwidth problem can be addressed by stacked memory architecture. Intel has good demonstration through the teraflops microprocessor chip which is an 80-core design with memory-on-logic architecture. And, each core connects to a 256KB SRAM with 12GB/s bandwidth. Although 3-D stacking technology can bring us many benefits for next generation integrated circuits, it comes with many problems and challenges in system-level design. For instance, 3-D IC designs will deal with serious challenges in design space exploration and system validation. For most designs, the number of TSV will be the most critical limitation that should be considered carefully. Besides, system design by 3-D IC will become more and more complex, and it needs a full system-level solution to face the performance, number of TSV, and power issues of 3D-IC. Furthermore, i- - t is more challenge to provide a FPGA-based prototyping system for early-stage software development. In general, the continue increasing complexity of modern SoC or embedded system design is also extreme. To achieve the required design productivity for the time-to-market pressure, a common accepted solution is using electronic system-level (ESL) design methodology to design the system in the different design abstraction level. One of the key technologies of ESL solution is to construct the HW/SW co-simulation platform by using the virtual prototyping concept. Moreover, designers need a multiphase of virtual platform construction to meet the different targets of design stage, such as early system validation and architecture exploration. In this work, we create a simulation framework by using ESL methodology to explore 3-D IC system that consists of multi-core processors with extended stacking memory. To demonstrate our 3-D IC design techniques, the stacking memory approach is employed in our “3D-PAC (Parallel Architecture Core)” design. In 3D-PAC, we stack SRAM directly on top of the logic die which is heterogeneous multi-core computing platform for multimedia application purpose. The logic die is mainly consists of a general-purpose microprocessor, dual programmable digital signal processor (DSP) cores, AXI/AHB/APB subsystems, and various peripherals. Furthermore, we had the corresponding virtual platform (PAC Duo virtual platform) which had been used for early architecture exploration, power estimation and HW/SW co-simulation. The difference with PAC Duo design, the target of 3D-PAC is to provide a three-dimensional SoC (3-D SoC) design exporation for media-rich and multi-function portable devices. Although using the stacking memory approach with TSV technology can increase the capacity and performance of memory system significantly, but the placement and organization of the memory system are the nother important design issues. In this work, we us","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062315","3-D IC;Design Exploration;ESL","Integrated circuit modeling;Multicore processing;Random access memory;Stacking;Through-silicon vias","embedded systems;hardware-software codesign;integrated circuit design;semiconductor storage;three-dimensional printing","3D multicore embedded system;3D stacked memory architectures;3D-PAC design;ESL design methodology;TSV;electronic system level design exploration;parallel architecture core;stacking memory;technology scaling;three dimension integrated circuits;virtual platform","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Symbolic design space exploration for multi-mode reconfigurable systems","Wildermann, S.; Reimann, F.; Ziener, D.; Teich, J.","Univ. of Erlangen-Nuremberg, Erlangen, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","129","138","In today's complex embedded systems not all applications are running all the time, but depend on the operational mode. By incorporating knowledge about the temporal behavior of such multi-mode systems, it is possible to share hardware by means of partial reconfiguration, and thus, reduce costs and improve performance. In this paper, we specify the temporal behavior of the functionality by applying known models based on state machines. In addition, we introduce an architectural model that allows to express the characteristics of nowadays partially reconfigurable architectures, focusing on FPGAs. We develop a symbolic encoding of this novel system specification, which allows to perform a unified system synthesis for allocation, binding, placement of partially reconfigurable modules, and routing the on-chip communication. The proposed encoding enables the use of sophisticated optimization techniques, coupling a SAT solver with a Multi-objective Evolutionary Algorithm. The proposed methodology is highly applicable for building multi-mode systems on advanced reconfigurable technology. We demonstrate this by experiments on test-cases from the image processing domain applying state-of-the-art technology. The results show the superiority of the presented approach in terms of run-time and quality of the found solutions compared to existing system synthesis approaches.","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062281","","Computer architecture;Hardware;Resource management;Routing;Switching circuits;System-on-a-chip;Tiles","encoding;evolutionary computation;field programmable gate arrays;finite state machines;optimisation;reconfigurable architectures;symbol manipulation","FPGA;SAT solver;image processing domain;multimode reconfigurable system;multobjective evolutionary algorithm;on-chip communication;operational mode;optimization technique;partially reconfigurable architecture;state machine based model;symbolic design space exploration;symbolic encoding;temporal behavior;unified system synthesis","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Constraint-driven synthesis and tool-support for FlexRay-based automotive control systems","Schneider, R.; Goswami, D.; Zafar, S.; Chakraborty, S.; Lukasiewycz, M.","Tech. Univ. Munich, Munich, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","139","148","Emerging bus protocols such as FlexRay provide an expedient platform for the design of automotive control systems due to its high bandwidth and deterministic temporal behavior. However, the choice of suitable platform parameters such as task and message schedules becomes a challenging design problem as the protocol is complex in nature and enforces a tight coupling between local task schedules on ECUs and global bus schedules. Although there exist several commercial off-the-shelf (COTS) design tools for FlexRay and control systems, current tools do not provide any mechanism for automatically synthesizing the platform parameters from the controller specifications. In this work we synthesize controllers subject to specified control goals while taking into account platform-specific properties. In particular, we translate the timing constraints derived from the control design into platform constraints that need to be satisfied by the control-related tasks and messages. For this purpose, we formulate and solve a constraint satisfaction problem (CSP) to synthesize feasible platform parameters that can be realized by the underlying operating systems and the FlexRay bus. Our design flow may be easily integrated with existing FlexRay design tools and will significantly ease (and automate) the existing design process. We show the applicability of our results by implementing two automotive control systems on a Hardware-in-the-Loop (HiL) setup and study how different bus configurations affect the controller synthesis and the choice of platform parameters.","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062282","Automotive Control Systems;Cyber-Physical Systems;FlexRay;Operating Systems;Schedule Synthesis","Automotive engineering;Control systems;Delay;Dynamic scheduling;Protocols;Schedules;Silicon","automobiles;constraint theory","FlexRay-based automotive control systems;bus configuration;bus protocols;commercial off-the-shelf design tools;constraint satisfaction problem;constraint-driven synthesis;controller specifications;deterministic temporal behavior;hardware-in-the-loop;tool-support","","1","","22","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Charge allocation for hybrid electrical energy storage systems","Qing Xie; Yanzhi Wang; Younghyun Kim; Naehyuck Chang; Pedram, M.","Univ. of Southern California, Los Angeles, CA, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","277","284","Hybrid electrical energy storage (HEES) systems, composed of multiple banks of heterogeneous electrical energy storage (EES) elements with their unique strengths and weaknesses, have been introduced to efficiently store and retrieve electrical energy while attaining performance metrics that are close to their respective best values across their constituent EES elements. This paper is the first paper to formally describe the charge allocation problem and provide a systematic solution method aiming at the maximum charge allocation efficiency, which performing proper distribution of the incoming power to selected destination banks. We introduce a generalized HEES architecture and build the corresponding electrical circuit models of the chargers and banks. We formulate a mixed integer nonlinear optimization problem, where the objective function is the global charge allocation efficiency, and the constraints are energy conservations, with careful consideration of the conversion power loss in the chargers, rate capacity effect and self-discharge of the EES elements, charge transfer losses, and so on. We present a rigorous algorithm to achieve a near-optimal global charge allocation efficiency for long-term charge allocation process (i.e., tens of hours.) Experimental results based on a photovoltaic cell array as the incoming power source and a HEES system comprised on batteries and supercapacitors demonstrate a significant gain in charge allocation efficiency for the proposed algorithm.","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062299","Hybrid electrical energy storage system;charge allocation;charge management","Batteries;Integrated circuit modeling;Optimization;Resource management;Supercapacitors;System-on-a-chip","energy conservation;energy storage;hybrid power systems;integer programming;nonlinear programming;photovoltaic power systems;solar cell arrays;supercapacitors","EES elements;HEES systems;charge transfer loss;electrical circuit models;energy conservations;hybrid electrical energy storage systems;long-term charge allocation process;mixed integer nonlinear optimization problem;near-optimal global charge allocation efficiency;photovoltaic cell array;supercapacitors","","2","","14","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Analysis and optimization of fault-tolerant task scheduling on multiprocessor embedded systems","Jia Huang; Blech, J.O.; Raabe, A.; Buckl, C.; Knoll, A.","Fortiss GmbH, Munich, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","247","256","Reliability is a major requirement for most safety-related systems. To meet this requirement, fault-tolerant techniques such as hardware replication and software re-execution are often utilized. In this paper, we tackle the problem of analysis and optimization of fault-tolerant task scheduling for multiprocessor embedded systems. A set of existing fault-and process-models are adopted and a Binary Tree Analysis (BTA) is proposed to compute the system-level reliability in the presence of software/hardware redundancy. The BTA is integrated into a multi-objective evolutionary algorithm via a two-step encoding to perform reliability-aware design optimization. The optimization results contain the mapping of tasks to processing elements, the exact task and message schedule and the fault-tolerance policy assignment. Based on the observation that permanent faults need to be considered together with transient faults to achieve optimal system design, we propose a virtual mapping technique to take both types of faults into account. To the best of our knowledge, this is the first approach in fault-tolerant task scheduling that considers permanent and transient faults in a unified manner. The effectiveness of our approach is illustrated using several case studies.","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062296","Design Optimization;Embedded Systems;Reliability","Complexity theory;Fault tolerant systems;Redundancy;Schedules;Transient analysis","embedded systems;fault tolerance;multiprocessing systems;processor scheduling","binary tree analysis;fault-tolerance policy assignment;fault-tolerant task scheduling;hardware replication;multiobjective evolutionary algorithm;multiprocessor embedded system;reliability-aware design optimization;safety-related system;software reexecution;software/hardware redundancy;system-level reliability;two-step encoding;virtual mapping","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"System-level power and timing variability characterization to Compute Thermal Guarantees","Kumar, P.; Thiele, L.","Comput. Eng. & Networks Lab., ETH Zurich, Zurich, Switzerland","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","179","188","With ever-increasing power densities, temperature management using software and hardware techniques has become a necessity in the design of modern electronic systems. Such techniques have to be validated and optimized with respect to the thermal guarantee they provide, i.e., a safe upper-bound on the peak temperature of the system under all operating conditions. The computation of such a guarantee depends on the power and timing characteristics of the system. In this paper, we present formalisms to capture such characteristics at the system-level and provide an analytical technique to compute a provably safe upper-bound on the peak temperature. The proposed characterization and analysis is general in that it considers an impulse-response-based thermal model, task-dependent power consumption, tasks with dynamic arrival patterns and variable resource demand, and a scheduling policy expressed as a hierarchical composition of several commonly used policies.","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062287","Power Variability Curve;Thermal Guarantee","Analytical models;Computational modeling;Integrated circuit modeling;Jitter;Power demand;Temperature;Timing","power aware computing;scheduling;timing;transient response","dynamic arrival pattern;electronic system design;impulse-response-based thermal model;peak temperature;power density;scheduling policy;system-level power characterization;task-dependent power consumption;temperature management;thermal guarantee;timing variability characterization;variable resource demand","","0","","20","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Modeling and analysis of micro-ring based silicon photonic interconnect for embedded systems","Mohamed, M.; Zheng Li; Xi Chen; Mickelson, A.; Li Shang","Comput. & Energy Eng. Dept., Univ. of Colorado at Boulder, Boulder, CO, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","227","236","Recent advances in silicon photonic device and fabrication technologies make silicon photonic interconnect a promising communication fabric to address the inter-core and inter-die interconnect challenges for future embedded many-core processors. Informed design decisions in silicon photonic interconnection require optimization of performance, power efficiency, and reliability for different application scenarios. Optimizing these network and system metrics require understanding of silicon photonics device characteristics. However, existing design space exploration methodologies rely on time-consuming electromagnetic simulations or measurement of fabricated devices. In this paper, we introduce analytical models of devices, explore their design spaces, and apply them to different applications. The analytical models consist of parametrized transfer-matrices, with parameters categorized as fabrication-induced parameters and design parameters. Fabrication-induced parameters can be calibrated against measurements of fabricated devices to achieve high accuracy, whereas design parameters help in extrapolating the device characteristics. We develop and calibrate analytical models of widely used passive and doped micro-ring resonators. Three case studies of silicon photonic interconnects are discussed to represent different embedded applications and quantify the design trade-offs including performance requirements, power efficiency, and reliability constraints from the network system level.","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062294","Micro-rings;Optical interconnects;Silicon photonics","Calibration;Mathematical model;Optical switches;Optical waveguides;Passband;Photonics;Silicon","embedded systems;integrated optics;optical interconnections","design space exploration;design spaces;doped microring resonators;electromagnetic simulation;embedded many-core processors;embedded systems;fabrication technologies;inter-core interconnect;inter-die interconnect;microring based silicon photonic interconnect;parametrized transfer-matrices;power efficiency;reliability;silicon photonic device;silicon photonics device characteristics;system metrics","","2","","34","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"DistRM: Distributed resource management for on-chip many-core systems","Kobbe, S.; Bauer, L.; Lohmann, D.; Schroder-Preikschat, W.; Henkel, J.","Dept. of Embedded Syst., Karlsruhe Inst. of Technol. (KIT), Karlsruhe, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","119","128","The trend towards many-core systems comes with various issues, among them their highly dynamic and non-predictable workloads. Hence, new paradigms for managing resources of many-core systems are of paramount importance. The problem of resource management, e.g. mapping applications to processor cores, is NP-hard though, requiring heuristics especially when performed online. In this paper, we therefore present a novel resource-management scheme that supports so-called malleable applications. These applications can adopt their level of parallelism to the assigned resources. By design, our (decentralized) scheme is scalable and it copes with the computational complexity by focusing on local decision-making. Our simulations show that the quality of the mapping decisions of our approach is able to stay near the mapping quality of state-of-the-art (i.e. centralized) online schemes for malleable applications but at a reduced overall communication overhead (only about 12,75% on a 1024 core system with a total workload of 32 multi-threaded applications). In addition, our approach is scalable as opposed to a centralized scheme and therefore it is practically useful for employment in large many-core systems as our extensive studies and experiments show.","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062280","MPSoC;Manycore;Multi-Agent-System;Multicore;Resource management;Scalability","Bandwidth;Complexity theory;Parallel processing;Resource management;Runtime;Scalability;System-on-a-chip","computational complexity;decision making;microprocessor chips;multi-threading","NP-hard;centralized online schemes;computational complexity;decentralized scheme;distributed resource management;dynamic workloads;local decision making;malleable applications;mapping applications;multithreaded applications;nonpredictable workloads;on-chip many-core systems;paramount importance;processor cores;quality mapping","","11","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"A design methodology to implement memory accesses in High-Level Synthesis","Pilato, C.; Ferrandi, F.; Sciuto, D.","Dipt. di Elettron. ed Inf., Politec. di Milano, Milan, Italy","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2011 Proceedings of the 9th International Conference on","20111027","2011","","","49","58","Nowadays, the memory synthesis is becoming the main bottleneck for the generation of efficient hardware accelerators. This paper presents a design methodology to efficiently and automatically implement memory accesses in High-Level Synthesis. In particular, the approach starts from a behavioral specification (in pure C language) and a set of design constraints, such as the memory addresses where some of the data are stored. The methodology classifies which variables can be internally or externally allocated to the different modules to generate the proper architecture, fully supporting a wide range of C constructs, such as pointer arithmetic, function calls and array accesses. Moreover it allows to parallelize the accesses when the memory address is known at compile time, resulting in an efficient execution of the specification.","","978-1-4503-0715-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062318","High-Level Synthesis;Memory Optimization","Arrays;Hardware;Memory management;Optimization;Random access memory;Resource management","C language;formal specification;high level synthesis;parallel memories","C;design constraints;design methodology;hardware accelerator;high-level synthesis;memory access;memory architecture;memory synthesis;parallel memory;specification execution","","1","","17","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
