"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB.Publication+Title%3A+Hardware%2FSoftware+Codesign+and+System+Synthesis+.LB.CODES.PLS.ISSS.RB.%2C+2013+International+Conference+on.RB.",2015/07/23 13:47:41
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Keynotes","","","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","3","Provides an abstract for each of the keynote presentations and a brief professional biography of each presenter. The complete presentations were not made available for publication as part of the conference proceedings.","","","","10.1109/CODES-ISSS.2013.6658986","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658986","","","","","","0","","","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Tutorials","","","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","8","Provides an abstract for each of the tutorial presentations and a brief professional biography of each presenter. The complete presentations were not made available for publication as part of the conference proceedings.","","","","10.1109/CODES-ISSS.2013.6658987","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658987","","Computer architecture;Embedded systems;Hardware;Program processors;Reliability;Unified modeling language","","","","0","","11","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Message from the program co-chairs","Marculescu, Radu; Panda, Preeti Ranjan","Carnegie Mellon University, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","1","It is our great pleasure to welcome you to CODES+ISSS 2013, the 11th ACM/IEEE International Conference on Hardware/Software Codesign and System Synthesis. Over the past decade CODES+ISSS has grown to become the premier event dedicated to interdisciplinary research on system-level synthesis and optimization. Last year's edition of this conference was held in Finland; this year, we have the pleasure of hosting it in the beautiful city of Montreal, Canada.","","","","10.1109/CODES-ISSS.2013.6658984","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658984","","","","","","0","","","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"An energy and deadline aware resource provisioning, scheduling and optimization framework for cloud systems","Yue Gao; Yanzhi Wang; Gupta, S.K.; Pedram, M.","Ming Hsieh Dept. of Electr. Eng., Univ. of Southern California, Los Angeles, CA, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","10","Cloud computing has attracted significant attention due to the increasing demand for low-cost, high performance, and energy-efficient computing. Profit maximization for the cloud service provider (CSP) is a key objective in the large-scale, heterogeneous, and multi-user environment of a cloud system. This paper addresses the problem of minimizing the operation cost of a cloud system by maximizing its energy efficiency while ensuring that user deadlines as defined in Service Level Agreements are met. The workload in the cloud system can be modeled as independent batch requests or as task graphs with dependencies. This paper adopts the latter modeling approach, which provides more opportunities for energy and performance optimizations, thus enabling the CSP to meet user deadlines at lower operation costs. However, these optimizations require additional supporting efforts e.g., resource provisioning, virtual machine placement, and task scheduling, which are addressed in a holistic manner in the proposed framework. In the envisioned cloud environment, users can construct their own services and applications based on the available set of virtual machines, but are relieved from the burden of resource provisioning and task scheduling. The CSP will then exploit data parallelism in user workloads to create an energy and deadline-aware cloud platform.","","","","10.1109/CODES-ISSS.2013.6659018","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6659018","","Cloud computing;Energy consumption;Energy efficiency;Optimization;Processor scheduling;Schedules;Servers","cloud computing;contracts;power aware computing;profitability;resource allocation;scheduling;virtual machines","CSP;cloud computing;cloud service provider;cloud systems;data parallelism;deadline aware resource provisioning;deadline-aware cloud platform;energy aware resource provisioning;energy efficiency;energy-aware cloud platform;energy-efficient computing;heterogeneous environment;large-scale environment;multiuser environment;optimization framework;profit maximization;scheduling framework;service level agreements;task scheduling;user workloads;virtual machine placement","","3","","41","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Reducing inter-core cache contention with an adaptive bank mapping policy in DRAM cache","Hameed, F.; Bauer, L.; Henkel, J.","Dept. of Embedded Syst., Karlsruhe Inst. of Technol. (KIT), Karlsruhe, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","8","On-chip DRAM cache has the advantage of increased cache capacity that may alleviate the memory bandwidth problem. Recent research has demonstrated the benefits of high capacity on-chip DRAM cache that leads to reduced off-chip accesses. However, state-of-the-art has not taken into consideration the cache access patterns of concurrently running heterogeneous applications that can cause inter-core cache contention. We therefore propose an adaptive bank mapping policy in response to the diverse requirements of applications with different cache access behaviors that - as a result - reduces inter-core cache contention in DRAM-based cache architectures. On average, our adaptive bank mapping policy increases the harmonic mean instruction-per-cycle throughput by 19.3% (max. 71%) compared to state-of-the-art bank mapping policies.","","","","10.1109/CODES-ISSS.2013.6658988","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658988","","Arrays;Bismuth;Indexes;Radiation detectors;Random access memory;Round robin;Vectors","DRAM chips;cache storage;integrated circuit design","DRAM-based cache architectures;adaptive bank mapping policy;cache access patterns;harmonic mean instruction-per-cycle throughput;inter-core cache contention;memory bandwidth;on-chip DRAM cache","","0","","17","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Automatic refinement of requirements for verification throughout the SoC design flow","Pierre, L.; Bel Hadj Amor, Z.","TIMA Lab., UJF, Grenoble, France","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","10","This paper focuses on the verification of requirements for hardware/software systems on chip (SoC's) along the design flow. In the early stages of this flow, the Electronic System Level (ESL) description style, and languages such as SystemC TLM, enable high-level debugging of the SoC functionality. In the last stages, hardware blocks become RTL or gate level (VHDL or Verilog) descriptions. We have developed two autonomous Assertion-Based Verification (ABV) solutions, for SystemC TLM platforms and for VHDL/Verilog IP blocks: designs are automatically instrumented with ad hoc property checkers produced from requirements formalized as PSL assertions. Furthermore, for a comprehensive and seamless verification flow, analogous requirements should be verifiable before and after ESL-to-RTL hardware refinement. This requires the transformation of ESL assertions into their counterparts at the RT level. This paper discusses this issue and proposes a first set of transformation rules for the automatic refinement of PSL assertions from the system level to the signal level. Properties of an industrial case study are used as illustrative examples.","","","","10.1109/CODES-ISSS.2013.6659016","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6659016","","Hardware;Program processors;Registers;Synchronization;System-on-chip;Time-domain analysis;Time-varying systems","formal verification;hardware description languages;hardware-software codesign;integrated circuit design;logic circuits;logic design;system-on-chip","ABV;ESL assertion transformation;ESL description style;ESL-to-RTL hardware refinement;PSL assertions;SoC design flow;SoC functionality;SystemC TLM languages;SystemC TLM platform;VHDL IP blocks;VHDL descriptions;Verilog IP blocks;Verilog descriptions;ad hoc property checker;automatic requirement refinement;autonomous assertion-based verification;comprehensive verification flow;electronic system level description;gate level descriptions;hardware blocks;hardware-software systems on chip;high-level debugging;industrial case study;requirement verification;seamless verification flow;signal level;transformation rules","","0","","31","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Automatic generation of compact formal properties for effective error detection","Bertasi, M.; Di Guglielmo, G.; Pravadelli, G.","Dept. of Comput. Sci., Univ. of Verona, Verona, Italy","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","10","Several approaches exist in literature for automatic extraction of model behaviours represented in the form of formal properties. Some of them rely on static analysis of the source code, others dynamically mine specifications by analysing simulation traces. In both cases, most of them work at bit level and generate properties in the form of combinational or temporal relationships among Boolean expressions. Such techniques are suited only for gate-level or RTL HW models. There are also approaches working on system-level descriptions and SW programs, but they generate properties to express only the sequential ordering of communication function calls and events, while the functional part of the implementation is ignored. To fill in the gap, this paper presents a dynamic methodology that works on gate-level, RTL and system-level HW descriptions as well as embedded SW, independently from the design model and the abstraction level. The generated properties are in the form of temporal relationships among arithmetic and logic expressions involving traditional HW description language data types (i.e., bit and logic vectors) as well as data types typically adopted in system-level models and SW programs (i.e., integer, double and string). A ranking function is also defined to classify the mined properties according to their capability of capturing meaningful design behaviours. Experimental results have shown that the approach allows generating compact properties really useful to effectively detect errors in the design implementation.","","","","10.1109/CODES-ISSS.2013.6659015","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6659015","","Analytical models;Computational modeling;Computer science;Data mining;Educational institutions;Logic gates;Protocols","data mining;formal specification","Boolean expressions;RTL HW model;RTL descriptions;combinational relationships;compact formal properties;embedded software;error detection;gate-level descriptions;gate-level model;ranking function;simulation traces analysis;software programs;source code static analysis;system-level descriptions;system-level hardware descriptions;temporal relationships","","0","","31","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"A DRAM-flash index for native flash file systems","Chien-Chung Ho; Po-Chun Huang; Yuan-Hao Chang; Tei-Wei Kuo","Dept. of Comput. Sci. & Inf. Eng., Nat. Taiwan Univ., Taipei, Taiwan","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","10","Index structures are widely used in file systems and database applications for efficient data management. This paper exploits the respective characteristics of DRAM and flash memory for tree index designs, for which a native file system is taken as an example target in the research. Different from DRAM caching or buffering of flash-memory access in the past work, a hybrid index design that resides over DRAM and flash memory simulaneously is proposed to improve system performance and space management. Tree nodes migrate between DRAM and flash memory, as needed, in response to user access pattern so as to optimize the performance and to reduce managing overhead. The capability of the proposed design is evaluated by a series of experiments, for which we have very encouraging results.","","","","10.1109/CODES-ISSS.2013.6658990","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658990","flash memory;index structure;native flash file system;overflow tree","","DRAM chips;file organisation;flash memories","DRAM buffering;DRAM caching;DRAM-flash index;data management;database applications;dynamic random access memory;flash memory;hybrid index design;managing overhead reduction;native flash file systems;space management;system performance;tree index designs;user access pattern","","0","","25","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"CMSM: An efficient and effective Code Management for Software Managed Multicores","Ke Bai; Jing Lu; Shrivastava, A.; Holton, B.","Compiler Microarchitecture Lab., Arizona State Univ., Tempe, AZ, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","9","As we scale the number of cores in a multicore processor, scaling the memory hierarchy is a major challenge. Software Managed Multicore (SMM) architectures are one of the promising solutions. In an SMM architecture, there are no caches, and each core has only a local scratchpad memory. If all the code and data of the task mapped to a core do not fit on its local scratchpad memory, then explicit code and data management is required. In this paper, we solve the problem of efficiently managing code on an SMM architecture. We extend the state of the art by: i) correctly calculating the code management overhead, ii) even in the presence of branches in the task, and iii) developing a heuristic CMSM (Code Mapping for Software Managed multicores) that results in efficient code management execution on the local scratchpad memory. Our experimental results collected after executing applications from MiBench suite [1] on the Cell SPEs (Cell is an SMM architecture) [2], demonstrate that correct management cost calculation and branch consideration can improve performance by 12%. Our heuristic CMSM can reduce runtime in more than 80% of the cases, and by up to 20% on our set of benchmarks.","","","","10.1109/CODES-ISSS.2013.6658998","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658998","Code;SPM;embedded systems;instruction;local memory;multi-core processor;scratchpad memory","Estimation;Interference;Memory management;Multicore processing;Software;Switches","multiprocessing systems;storage management","Cell SPE;SMM architecture;branch consideration;code management;code mapping for software managed multicores;data management;heuristic CMSM;management cost calculation;scratchpad memory;software managed multicores","","0","","22","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"System level synthesis of hardware for DSP applications using pre-characterized function implementations","Shuo Li; Farahini, N.; Hemani, A.; Rosvall, K.; Sander, I.","ES/ICT, R. Inst. of Technol. (KTH), Kista, Sweden","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2013 International Conference on","20131111","2013","","","1","10","SYLVA is a system level synthesis framework that transforms DSP sub-systems modeled as synchronous data flow into hardware implementations in ASIC, FPGAs or CGRAs. SYLVA synthesizes in terms of pre-characterized function implementations (FTMPs). It explores the design space in three dimensions, number of FTMPs, type of FTMPs and pipeline parallelism between the producing and consuming FTMPs. We introduce timing and interface model of FTMPs to enable reuse and automatic generation of Global Interconnect and Control (GLIC) to glue the FTMPs together into a working system. SYLVA has been evaluated by applying it to five realistic DSP applications and results analyzed for design space exploration, efficacy in generating GLIC by comparing to manually generated GLIC and accuracy of design space exploration by comparing the area and energy costs considered during the design space exploration based on pre-characterized FIMPs and the final results.","","","","10.1109/CODES-ISSS.2013.6659003","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6659003","Design Space Exploration;Electronic System Level Synthesis;Reuse;Synchronous Data Flow;System Level Synthesis","Abstracts;Field programmable gate arrays;Libraries","digital signal processing chips;high level synthesis","ASIC;CGRA;DSP applications;DSP subsystems;FIMP;FPGA;GLIC;SYLVA;design space exploration;energy costs;global interconnect and control;hardware implementations;precharacterized function implementations;synchronous data flow;system level hardware synthesis","","1","","19","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
