"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DEmbedded+Software+.LB.EMSOFT.RB.%2C+2014+International+Conference+on",2015/06/23 15:14:43
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Infinite horizon safety controller synthesis through disjunctive polyhedral abstract interpretation","Ravanbakhsh, H.; Sankaranarayanan, S.","Univ. of Colorado, Boulder, CO, USA","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","This paper presents a controller synthesis approach using disjunctive polyhedral abstract interpretation. Our approach synthesizes infinite time-horizon controllers for safety properties with discrete-time, linear plant model and a switching feedback controller that is suitable for time-triggered implementations. The core idea behind our approach is to perform an abstract interpretation over disjunctions of convex polyhedra to identify states that are potentially uncontrollable. Complementing this set yields the set of controllable states, starting from which, the safety property can be guaranteed by an appropriate controller feedback function. Since, a straightforward disjunctive domain is computationally inefficient, we present an abstract domain based on a state partitioning scheme that allows us to efficiently control the complexity of the intermediate representations. Next, we focus on the automatic generation of controller implementation from the abstract interpretation results. We show that a balanced tree approach can yield efficient controller code with guarantees on the worst-case execution time. Finally, we evaluate our approach on a suite of benchmarks, comparing different instantiations with related synthesis tools. The evaluation shows that our approach can successfully synthesize controller implementations for small to medium sized benchmarks.","","","","10.1145/2656045.2656060","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986123","Abstract Interpretation;Controller Synthesis;Hybrid Systems;Safety;Switched Systems","Abstracts;Computational modeling;Lattices;Safety;Semantics;Switches","control engineering computing;control system synthesis;discrete time systems;feedback;infinite horizon;program diagnostics;switching systems (control);trees (mathematics)","automatic controller generation;balanced tree approach;controller code;controller feedback function;convex polyhedra;discrete-time linear plant model;disjunctive polyhedral abstract interpretation;infinite time-horizon safety controller synthesis approach;medium sized benchmarks;safety properties;small sized benchmarks;state partitioning scheme;switching feedback controller;time-triggered implementations;worst-case execution time","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Embedded software reliability for unreliable hardware","Jian-Jia Chen; Shafique, M.","Dept. of Inf., Tech. Univ. Dortmund, Dortmund, Germany","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","1","While advancements in chip manufacturing technology has accelerated the growth of embedded systems, it has revealed serious reliability and robustness challenges at various abstraction levels that threaten the applicability of scaled technologies [2, 3]. These reliability threats arise from multiple sources, and may result in faults in the hardware. Further-more, these faults in the hardware may have catastrophic effects on the correctness of software execution [9, 11, 14]. This is particularly the case for real-time and timing-critical embedded systems involved in safety-, and mission-critical systems [13]. This occurs because traditional software abstraction layers make the fundamental assumption that the underlying hardware platform is error-free, and completely reliable. This is, however, no longer the case. In order to mitigate various reliability threats, besides hardware-level techniques, it is critical to develop and design resiliency at various layers of the embedded software stack [2, 3].","","","","10.1145/2656045.2661649","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986112","","Embedded software;Embedded systems;Hardware;Real-time systems;Software reliability","embedded systems;program diagnostics;safety-critical software;software reliability","catastrophic effects;chip manufacturing technology;embedded software reliability;embedded software stack;hardware-level techniques;mission-critical systems;real-time embedded systems;reliability threats;safety-critical systems;scaled technologies;software abstraction layers;software execution correctness;timing-critical embedded systems;unreliable hardware","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Refinement calculus of reactive systems","Preoteasa, V.; Tripakis, S.","Aalto Univ., Aalto, Finland","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","Refinement calculus is a powerful and expressive tool for reasoning about sequential programs in a compositional manner. In this paper we present an extension of refinement calculus for reactive systems. Refinement calculus is based on monotonic predicate transformers, which transform sets of post-states into sets of pre-states. To model reactive systems, we introduce monotonic property transformers, which transform sets of output infinite sequences into sets of input infinite sequences. We show how to model in this semantics refinement, sequential composition, demonic choice, and other semantic properties of reactive systems. We also show how such transformers can be defined by various formalisms such as linear temporal logic formulas (suitable for specifications) and symbolic transition systems (suitable for implementations). Finally, we show how this framework generalizes previous work on relational interfaces to systems with infinite behaviors and liveness properties.","","","","10.1145/2656045.2656068","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986110","","Boolean algebra;Calculus;Input variables;Lattices;Semantics;Syntactics;Transforms","reasoning about programs;refinement calculus;temporal logic","demonic choice;input infinite sequences;linear temporal logic formulas;monotonic predicate transformers;monotonic property transformers;reactive systems;reasoning about sequential programs;refinement calculus;relational interfaces;semantics refinement;sequential composition;symbolic transition systems;transform sets","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"SiPTA: Signal processing for trace-based anomaly detection","Zeinali Zadeh, M.M.; Salem, M.; Kumar, N.; Cutulenco, G.; Fischmeister, S.","Univ. of Waterloo, Waterloo, ON, Canada","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","Given a set of historic good traces, trace-based anomaly detection deals with the problem of determining whether or not a specific trace represents a normal execution scenario. Most current approaches mainly focus on application areas outside of the embedded systems domain and thus do not take advantage of the intrinsic properties of this domain. This work introduces SiPTA, a novel technique for offline trace-based anomaly detection that utilizes the intrinsic feature of periodicity found in embedded systems. SiPTA uses signal processing as the underlying processing algorithm. The paper describes a generic framework for mapping execution traces to channels and signals for further processing. The classification stage of SiPTA uses a comprehensive set of metrics adapted from standard signal processing. The system is particularly useful for embedded systems, and the paper demonstrates this by comparing SiPTA with state-of-the-art approaches based on Markov Model and Neural Networks. The paper shows the technical feasibility and viability of SiPTA through multiple case studies using traces from a field-tested hexacopter, a mobile phone platform, and a car infotainment unit. In the experiments, our approach outperformed every other tested method.","","","","10.1145/2656045.2656071","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986114","","Feature extraction;Hidden Markov models;Indexes;Measurement;Signal processing algorithms;Time series analysis;Training","embedded systems;signal classification","Markov Model;SiPTA;car infotainment unit;embedded system domain;execution trace mapping;field-tested hexacopter;mobile phone platform;neural networks;normal execution scenario;offline trace-based anomaly detection;signal processing for trace-based anomaly detection","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Automated software testing of memory performance in embedded GPUs","Chattopadhyay, S.; Eles, P.; Peng, Z.","","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","Embedded and real-time software is often constrained by several temporal requirements. Therefore, it is important to design embedded software that meets the required performance goal. The inception of embedded graphics processing units (GPUs) brings fresh hope in developing high-performance embedded software which were previously not suitable for embedded platforms. Whereas GPUs use massive parallelism to obtain high throughput, the overall performance of an application running on embedded GPUs is often limited by memory performance. Therefore, a crucial problem lies in automatically detecting the inefficiency of such software developed for embedded GPUs. In this paper, we propose GUPT, a novel test generation framework that systematically explores and detects poor memory performance of applications running on embedded GPUs. In particular, we systematically combine static analysis with dynamic test generation to expose likely execution scenarios with poor memory performance. Each test case in our generated test suite reports a potential memory-performance issue, along with the detailed information to reproduce the same. We have implemented our test generation framework using GPGPU-Sim, a cycle-accurate simulator and the LLVM compiler infrastructure. We have evaluated our framework for several open-source programs. Our experiments suggest the efficacy of our framework by exposing numerous memory-performance issues in a reasonable time. We also show the usage of our framework in improving the performance of programs for embedded GPUs.","","","","10.1145/2656045.2656047","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986125","","Abstracts;Graphics processing units;Instruction sets;Kernel;Random access memory;Schedules;System-on-chip","embedded systems;graphics processing units;parallel processing;program compilers;program diagnostics;program testing;public domain software","GPGPU-Sim;GUPT;LLVM compiler infrastructure;automated software testing;cycle-accurate simulator;dynamic test generation;embedded GPU;embedded graphics processing units;high-performance embedded software;memory-performance issues;open-source programs;real-time software;static analysis;temporal requirements;test generation framework","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Energy efficient DVFS scheduling for mixed-criticality systems","Pengcheng Huang; Kumar, P.; Giannopoulou, G.; Thiele, L.","Comput. Eng. & Networks Lab., ETH Zurich, Zurich, Switzerland","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","Consolidating functionalities with different safety requirements into a common platform gives rise to mixed-criticality systems. The state-of-the-art research has focused on providing heterogeneous timing guarantees for tasks of varying criticality levels. This is achieved by dropping less critical tasks when critical tasks overrun. However, with drastically increased computing requirements and the often battery-operated nature of mixed-criticality systems, energy minimization for such systems is also becoming crucial. In fact, this has already been possible since many modern processors are equipped with the capacity of dynamic voltage and frequency scaling (DVFS), where processor frequency can be reduced at runtime to save energy. We present in this paper the first results known to date on applying DVFS to mixed-criticality systems. We show that DVFS can be used to help critical tasks to meet deadlines by speeding up the processor when they overrun. This will further allow the system to reserve less time budgets for task overrun. Thus, more slack can be explored to reduce the processor frequency to save energy for scenarios when tasks do not overrun. Since overrun is rare, such a strategy can greatly reduce the expected energy consumption for mixed-criticality systems. For solving the energy minimization problem, we formulate a convex program by integrating DVFS with a well-known mixed-criticality scheduling technique - EDF-VD. Furthermore, we present analytical results on this problem and propose an optimal algorithm to solve it. With both theoretical and experimental results, we demonstrate energy savings and various tradeoffs.","","","","10.1145/2656045.2656057","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986119","Criticality;Energy;Mixed;Real-time;Scheduling;Voltage and Frequency Scaling","Dynamic scheduling;Energy consumption;Minimization;Program processors;Runtime;Safety;Timing","convex programming;power aware computing;processor scheduling","EDF-VD;battery-operated mixed-criticality systems;computing requirements;convex program;dynamic voltage and frequency scaling;energy efficient DVFS scheduling;energy minimization;expected energy consumption;heterogeneous timing guarantees;mixed-criticality scheduling technique;optimal algorithm;processor frequency;task criticality levels","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"P-YDS algorithm: An optimal extension of YDS algorithm to minimize expected energy for real-time jobs","Kumar, P.; Thiele, L.","Comput. Eng. & Networks Lab., ETH Zurich, Zurich, Switzerland","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","The YDS algorithm computes a schedule on a DVS-enabled resource to meet deadlines of all jobs and optimally minimize the total energy consumption. The algorithm requires that an exact execution time of each job be known. For settings where execution times are variable or uncertain, stochastic scheduling has been proposed to preferentially accelerate less probable phases of jobs to reduce the expected energy consumption. However, an analogue to the YDS algorithm for the stochastic setting has not been optimally solved. In this paper, we propose the p-YDS algorithm to minimize the expected energy consumption for a set of jobs with arbitrary arrival times, deadlines, and execution times. We then derive the competitive ratio of the YDS algorithm w.r.t. the p-YDS algorithm, for the metric of expected energy consumption. By comparing two optimal algorithms, this ratio specifies the worst-case energy cost of being agnostic to the variability in the execution time of jobs.","","","","10.1145/2656045.2656065","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986120","","Algorithm design and analysis;Energy consumption;Interference;Processor scheduling;Program processors;Real-time systems;Schedules","power aware computing;real-time systems;stochastic processes","DVS-enabled resource;energy minimization;expected energy consumption;p-YDS algorithm;real-time jobs;stochastic scheduling;worst-case energy cost","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Extending typical worst-case analysis using response-time dependencies to bound deadline misses","Hammadeh, Z.A.H.; Quinton, S.; Ernst, R.","Inst. of Comput. & Network Eng. (IDA), Tech. Univ. Braunschweig, Braunschweig, Germany","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","Weakly-hard time constraints have been proposed for applications where occasional deadline misses are permitted. Recently, a new approach called Typical Worst-Case Analysis (TWCA) has been introduced which exploits similar constraints to bound response times of systems with sporadic overload. In this paper, we extend that approach for static priority preemptive and non-preemptive scheduling to determine the maximum number of deadline misses for a given deadline. The approach is based on an optimization problem which trades off higher priority interference versus miss count. We formally derive a lattice structure for the possible combinations that lays the ground for an integer linear programming (ILP) formulation. The ILP solution is evaluated showing effectiveness of the approach and far better results than previous TWCA.","","","","10.1145/2656045.2656059","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986118","","Analytical models;Computational modeling;Equations;Interference;Mathematical model;Optimization;Time factors","integer programming;linear programming;performance evaluation;scheduling","ILP formulation;TWCA;bounded deadline misses;bounded response times;high-priority interference;integer linear programming formulation;lattice structure;miss count;optimization problem;response-time dependencies;sporadic overload;static nonpreemptive scheduling;static priority preemptive scheduling;typical worst-case analysis;weakly-hard time constraints","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"CPSGrader: Synthesizing temporal logic testers for auto-grading an embedded systems laboratory","Juniwal, G.; Donze, A.; Jensen, J.C.; Seshia, S.A.","","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","We consider the problem of designing an automatic grader for a laboratory in the area of cyber-physical systems. The goal of this laboratory is to program a robot for specified navigation tasks. Given a candidate student solution (control program for the robot), our grader first checks whether the robot performs the task correctly under a representative set of environment conditions. If it does not, the grader automatically generates feedback hinting at possible errors in the program. The auto-grader is based on a novel notion of constrained parameterized tests based on signal temporal logic (STL) that capture symptoms pointing to success or causes of failure in traces obtained from a realistic simulator. We define and solve the problem of synthesizing constraints on a parameterized test such that it is consistent with a set of reference solutions with and without the desired symptom. The usefulness of our grader is demonstrated using a large data set obtained from an on-campus laboratory-based course at UC Berkeley.","","","","10.1145/2656045.2656053","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986132","","Collision avoidance;Cost accounting;Laboratories;Robot kinematics;Robot sensing systems","courseware;educational courses;embedded systems;robot programming;temporal logic","CPSGrader;UC Berkeley;auto-grading;automatic feedback hinting generation;automatic grader;constrained parameterized tests;cyber-physical systems;embedded system laboratory;navigation tasks;on-campus laboratory-based course;realistic simulator;robot programming;signal temporal STL logic;temporal logic testers","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Parallel many-core avionics systems","Panic, M.; Quinones, E.; Zavkov, P.G.; Hernandez, C.; Abella, J.; Cazorla, F.J.","Univ. Politec. de Catalunya, Barcelona, Spain","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","Integrated Modular Avionics (IMA) enables incremental qualification by encapsulating avionics applications into software partitions (SWPs), as defined by the ARINC 653 standard. SWPs, when running on top of single-core processors, provide robust time partitioning as a means to isolate SWPs timing behavior from each other. However, when moving towards parallel execution in many-core processors, the simultaneous accesses to shared hardware and software resources influence the timing behavior of SWPs, defying the purpose of time partitioning to provide isolation among ap-plications. In this paper, we extend the concept of SWP by introducing parallel software partitions (pSWP) specification that describes the behavior of SWPs required when running in a many-core to enable incremental qualification. pSWP are supported by a new hardware feature called guaranteed resource partition (GRP) that defines an execution environment in which SWPs run and that controls interferences in the accesses to shared hardware resources among SWPs such that time composability can be guaranteed.","","","","10.1145/2656045.2656063","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986134","","Aerospace electronics;Hardware;Process control;Program processors;Real-time systems;Timing","avionics;multiprocessing systems;software standards","ARINC 653 standard;GRP;IMA;SWP run;SWP timing behavior isolation;application isolation;avionics application encapsulation;execution environment;guaranteed resource partition;incremental qualification;integrated modular avionics;interference control;many-core processors;pSWP specification;parallel execution;parallel many-core avionics systems;parallel software partitions;robust time partitioning;simultaneous shared hardware source access;simultaneous shared software resource access;single-core processors;time composability","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Real-time multi-core virtual machine scheduling in Xen","Sisu Xi; Meng Xu; Chenyang Lu; Phan, L.T.X.; Gill, C.; Sokolsky, O.; Insup Lee","Cuber-Phys. Syst. Lab., Washington Univ. in St. Louis, St. Louis, MO, USA","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","Recent years have witnessed two major trends in the development of complex real-time embedded systems. First, to reduce cost and enhance flexibility, multiple systems are sharing common computing platforms via virtualization technology, instead of being deployed separately on physically isolated hosts. Second, multicore processors are increasingly being used in real-time systems. The integration of real-time systems as virtual machines (VMs) atop common multicore platforms raises significant new research challenges in meeting the real-time performance requirements of multiple systems. This paper advances the state of the art in real-time virtualization by designing and implementing RT-Xen 2.0, a new real-time multicore VM scheduling framework in the popular Xen virtual machine monitor (VMM). RT-Xen 2.0 realizes a suite of real-time VM scheduling policies spanning the design space. We implement both global and partitioned VM schedulers; each scheduler can be configured to support dynamic or static priorities and to run VMs as periodic or deferrable servers. We present a comprehensive experimental evaluation that provides important insights into real-time scheduling on virtualized multicore platforms: (1) both global and partitioned VM scheduling can be implemented in the VMM at moderate overhead; (2) at the VMM level, while compositional scheduling theory shows partitioned EDF (pEDF) is better than global EDF (gEDF) in providing schedulability guarantees, in our experiments their performance is reversed in terms of the fraction of workloads that meet their deadlines on virtualized multicore platforms; (3) at the guest OS level, pEDF requests a smaller total VCPU bandwidth than gEDF based on compositional scheduling analysis, and therefore using pEDF at the guest OS level leads to more schedulable workloads in our experiments; (4) a combination of pEDF in the guest OS and gEDF in the VMM - configured with deferrable server - leads to the highest fraction of schedulab- e task sets compared to other real-time VM scheduling policies; and (5) on a platform with a shared last-level cache, the benefits of global scheduling outweigh the cache penalty incurred by VM migration.","","","","10.1145/2656045.2656061","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986113","Based Methods;CEGAR;Falsification;Hybrid Systems;Multiple Shooting;Simulation","Abstracts;Analytical models;Concrete;Mathematical model;Measurement;Numerical models;Trajectory","cache storage;embedded systems;multiprocessing systems;processor scheduling;virtual machines;virtualisation","RT-Xen 2.0 design;RT-Xen 2.0 implementation;VM migration;VMM level;Xen virtual machine monitor;cache penalty;common multicore platforms;complex real-time embedded system development;compositional scheduling analysis;compositional scheduling theory;computing platform sharing;computing platforms;cost reduction;deferrable servers;dynamic priorities;flexibility enhancement;gEDF;global EDF;global VM schedulers;global scheduling;guest OS level;moderate overhead;multicore processors;multiple systems;pEDF;partitioned EDF;partitioned VM schedulers;periodic servers;real-time VM scheduling policies;real-time multicore VM scheduling framework;real-time multicore virtual machine scheduling;real-time performance requirements;real-time virtualization;schedulable task sets;schedulable workloads;shared last-level cache;static priorities;total VCPU bandwidth;virtualization technology;virtualized multicore platforms","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Supporting read/write applications in embedded real-time systems via suspension-aware analysis","Guangmo Tong; Cong Liu","Dept. of Comput. Sci., Univ. of Texas at Dallas, Dallas, TX, USA","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","In many embedded real-time systems, applications often interact with I/O devices via read/write operations, which may incur considerable suspension delays. Unfortunately, prior analysis methods for validating timing correctness in embedded systems become quite pessimistic when suspension delays are present. In this paper, we consider the problem of supporting two common types of I/O applications in a multiprocessor system, that is, write-only applications and read-write applications. For the write-only application model, we present a much improved analysis technique that results in only O(m) suspension-related utilization loss, where m is the number of processors. For the second application model, we present a flexible I/O placement strategy and a corresponding new scheduling algorithm, which can completely circumvent the negative impact due to read- and write-induced suspension delays. We illustrate the feasibility of the proposed I/O-placement-based schedule via a case study implementation. Furthermore, experiments presented herein show that the improvement with respect to system utilization over prior methods is often significant.","","","","10.1145/2656045.2656072","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986129","I/O;intensive applications;scheduling algorithm;timing validation","Computational modeling;Program processors;Real-time systems;Schedules;Silicon;Suspensions;Writing","computational complexity;embedded systems;multiprocessing systems;real-time systems","I-O applications;I-O devices;I-O-placement-based schedule;O(m) suspension-related utilization loss;embedded real-time systems;flexible I-O placement strategy;multiprocessor system;read-write applications;read-write-induced suspension delays;suspension-aware analysis;write-induced suspension delays;write-only applications","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Computing maximum blocking times with explicit path analysis under non-local flow bounds","Kleinsorge, J.C.; Marwedel, P.","Tech. Univ. Dortmund, Dortmund, Germany","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","Worst-case time (WCET) analyses for single tasks are well established and their results ultimately serve the purpose of providing execution time parameters for schedulability analyses. Besides WCET analysis, an important problem is maximum blocking time (MBT) analysis which is essential in deferred preemption schedules for the selection of preemption points. Among the most pressing problems in this context is the need for good path analyses, which are a fundamental bottleneck for selecting these points. Current state of the art relies on ILP-based or severely constrained explicit path analyses, both of which are unsatisfactory in general. In this paper, we propose a general explicit path analysis to compute maximum blocking times, specifically for scheduling policies with deferred preemption. The proposal improves the current state of the art significantly for both WCET and MBT analysis, as it is efficient, accurate, easily extensible and computes path lengths between all program points, without imposing any artificial constraints, and under a general flow bound model, unmatched by other existing explicit path analyses, while significantly outperforming the ILP-based approach. To the best of the authors' knowledge, no explicit path analysis for MBT has been proposed yet.","","","","10.1145/2656045.2656051","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986117","Path Analysis;Static Analysis;Worst;case Execution Time","Accuracy;Analytical models;Computational modeling;Context;Kernel;Mathematical model;Timing","program diagnostics;scheduling","ILP-based approach;ILP-based explicit path analyses;MBT analysis;WCET analysis;artificial constraints;constrained explicit path analyses;execution time parameters;maximum blocking time analysis;nonlocal flow bounds;schedulability analyses;worst-case time analysis","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Schedulability analysis of global memory-predictable scheduling","Alhammad, A.; Pellizzoni, R.","","Embedded Software (EMSOFT), 2014 International Conference on","20141218","2014","","","1","10","The use of multicore CPUs in real-time systems poses significant challenges in estimating their temporal behavior. A factor that has a large impact on this issue is the contention for access to main memory among multiple cores. To overcome this problem, an execution model called PREM has been previously introduced to co-schedule CPU execution and accesses to main memory without relying on hardware arbiters. In this paper, we provide a global schedulbil-ity analysis for this predictable execution model, and we prove its correctness. We also evaluate the effectiveness of the proposed solution with extensive simulations. The results show a significant advantage of the proposed solution when compared to contention execution in which tasks access main memory unpredictably.","","","","10.1145/2656045.2656070","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986128","","Hardware;Interference;Multicore processing;Processor scheduling;Real-time systems;Schedules;Scheduling","multiprocessing systems;processor scheduling;real-time systems","PREM;contention execution;coschedule CPU execution;global memory-predictable scheduling;global schedulability analysis;multicore CPUs;predictable execution model;real-time systems;schedulability analysis;temporal behavior","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
