"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DMicro+Electro+Mechanical+Systems%2C+2003.+MEMS+2003.+The+Thirteenth+Annual+International+Conference+On",2015/06/23 16:21:11
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Surface-micromachined flexible polysilicon sensor array","Eun-Soo Hwang; Yong-Jun Kim; Byeong-Kwon Ju","Dept. of Mech. Eng., Yonsei Univ., Seoul, South Korea","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","582","585","A flexible polysilicon strain gauge array has been realized using surface micromachining with SiO<sub>2</sub> sacrificial layer. The realized sensor array is mechanically flexible, which can be attached on nonplanar surfaces. To realize the flexible strain gauge, a new packaging scheme using polysilicon/oxide based surface-micromachining was developed. The proposed packaging scheme completes the strain sensors and the circuit board on a single process, which eliminates additional assembly and alignment problems. The measured gauge factor shows that it is more sensitive than metal strain gauge. Unlike a single-crystal silicon strain gauge, the proposed polysilicon gauge does not have any limitations in the direction of strain.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189816","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189816","","Capacitive sensors;Fabrication;Mechanical sensors;Micromachining;Packaging;Piezoresistance;Polyimides;Semiconductor films;Sensor arrays;Silicon","elemental semiconductors;micromachining;packaging;piezoelectric semiconductors;silicon;strain gauges","Si;Si-SiO<sub>2</sub>;flexible polysilicon strain gauge array;packaging;strain sensors;surface micromachining;surface-micromachined flexible polysilicon sensor array","","0","","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
"Microneedle arrays fabricated using suspended etch mask technology combined with fluidic through wafer vias","Trautmann, A.; Ruther, P.; Paul, O.","Inst. for Microsystem Technol., Freiburg Univ., Germany","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","682","685","We report the fabrication and characterization of microneedle arrays combined with (i) reservoirs for therapeutic or analytic fluids, (ii) sharp edges suitable as cutting and flaring features to increase skin permeability, and (iii) fluidic through wafer connections. Microneedle fabrication relies on a new approach combining deep reactive ion etching of silicon with suspended etch masks. This fabrication technology applies an etch mask which remains suspended above an etch cavity containing microneedle arrays and reservoirs. The structures are intended to enable painless transdermal drug delivery, e.g., application of allergen solutions in allergy diagnostics (Prick test) or of vaccines.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189841","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189841","","Drug delivery;Etching;Fabrication;Permeability;Pharmaceutical technology;Reservoirs;Silicon;Skin;Testing;Vaccines","biomedical equipment;drug delivery systems;microfluidics;micromechanical devices;sputter etching","Prick test;allergen solutions;allergy diagnostics;characterization;cutting;deep reactive ion etching;fabrication;flaring;fluidic through wafer vias;increase skin permeability;microneedle arrays;sharp edges;suspended etch mask technology;suspended etch masks;vaccines;wafer connections","","4","","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
"An implementation of a microfluidic mixer and switch using micromachined acoustic transducers","Jagannathan, H.; Yaralioglu, G.G.; Ergun, A.S.; Khuri-Yakub, B.T.","Edward L. Ginzton Lab., Stanford Univ., CA, USA","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","104","107","This paper presents the results of fluidic switching and mixing, performed in microfluidic channels, integrated with micromachined acoustic transducers. The transducers operate at 400 MHz while the microfluidic channels are made by casting polydimethylsiloxane (PDMS) on silicon moulds. Rapid switching is incorporated by applying pressure waves in one of the two outlet channels to get preferential flow. Radiation pressure is also utilized to obtain active mixing of fluids within the channel. This method of switching and mixing has the advantages of simple design and ease of integration into larger systems.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189698","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189698","","Acoustic transducers;Casting;Fabrication;Gold;Microfluidics;Silicon;Sputtering;Switches;Ultrasonic transducers;Zinc oxide","acoustic transducers;microfluidics;micromachining;polymers;radiation pressure","400 MHz;PDMS;microfluidic channels;microfluidic mixer;microfluidic switch;micromachined acoustic transducers;polydimethylsiloxane;pressure waves;radiation pressure","","3","","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
"Power delivery and locomotion of untethered micro-actuators","Donald, B.R.; Levey, C.G.; McGray, C.D.; Rus, D.; Sinclair, M.","Dept. of Comput. Sci., Dartmouth Coll., Hanover, NH, USA","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","124","129","This paper presents a micro-actuator that operates free of any physically restraining tethers. We show how capacitive coupling can be used to deliver power to MEMS devices, independently of the position and orientation of those devices. Then, we provide a simple mechanical release process for detaching MEMS devices from the fabrication substrate once chemical processing is complete. To produce these untethered micro-actuators in a batch-compatible manner while leveraging existing MEMS infrastructure, we have devised a novel post-processing sequence for the PolyMUMPS process. Through the use of this sequence, we show how to add, post hoc, a layer of dielectric between two previously-deposited polysilicon films. We have demonstrated the effectiveness of these techniques through the successful fabrication and operation of untethered scratch drive actuators. Locomotion of these actuators is controlled by frequency modulation, and the devices achieve speeds of over 1.5 mm/sec.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189703","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189703","","Actuators;Dielectric substrates;Electrodes;Electrostatics;Fabrication;Insulators;Microactuators;Microelectromechanical devices;Micromechanical devices;Wire","microactuators;silicon","1.5 mm/s;MEMS devices;PolyMUMPS process;Si;capacitive coupling;mechanical release process;polysilicon films;untethered micro-actuators;untethered scratch drive actuators","","5","","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
"Business models for the successful commercialisation of silicon based MEMS","Neylon, S.","Colibrys S.A, Neuchatel, Switzerland","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","455","","When considering how to construct or review business models for successful commercialisation of microsystems, it is wise to take into account several important factors that help assess the risk associated with one strategy versus another. Purely a statement of the novelty of the technology employed or the perception of a market need for a product or services are insufficient in themselves to undertake this risk assessment properly. Global macro economic factors, political or market specific forces, intellectual property conflicts, market resistance to new disruptive ideas are but a few of the factors that influence the success of a particular market strategy. These commercial factors can make the difference between what in Colibrys we define as 'creativity' and 'innovation'. The successful exploitation of an idea in the marketplace is the only true 'innovation' and differentiates winners from losers in today's marketplace. The commercial environment for nearly all technology companies today is extremely difficult. External factors such as the collapse of the internet bubble, the consequential rapid correction in the telecoms industry and resulting price pressures, the volatility of the worlds stock markets, and finally a collapse in confidence in corporate governance have all collectively taken their toll. For an emerging early-medium stage tech start up and even established (Small Medium size Enterprises) SMEs this is proving a real test of their financial strength. Commercial survival has replaced ambitious growth plans; financial breakeven has replaced IPOs and over-priced trade-sales. Any vision of the right Business model must take the current economic climate into consideration, not just an identification of a need for a product or service in the marketplace. This paper aims to explore these themes in more detail in particular with respect to Silicon MEMS manufacturing Business models.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189784","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189784","","Business;Communication industry;Environmental economics;Intellectual property;Internet;Micromechanical devices;Risk management;Silicon;Technological innovation;Telecommunications","micromechanical devices;risk management","Si-based MEMS;business models;creativity;global macro economic factors;innovation;intellectual property conflicts;market resistance;market specific forces;market strategy;microsystems commercialisation;political forces;risk assessment","","0","","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
"Particle separation and concentration control for digital microfluidic systems","Sung Kwon Cho; Chang-Jin Kim","Mech. & Aerosp. Eng. Dept., California Univ., Los Angeles, CA, USA","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","686","689","This paper proposes a concept of separation and concentration control of particles in droplets for eventual digital microfluidic systems. The concept is confirmed by facilitating electrophoresis of particles within droplets that are driven by electrowetting on dielectric (EWOD) and is aimed to take advantage of the simplicity of digital operation for complex systems.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189842","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189842","","Aerospace engineering;Control systems;Dielectric liquids;Digital control;Electrodes;Electrokinetics;Fabrication;Merging;Microfluidics;Telephony","drops;electrophoresis;microfluidics;particle separators;wetting","concentration control;digital microfluidic systems;electrophoresis;electrowetting on dielectric;particle separation;particles within droplets","","8","3","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
"Coronary artery stents microfabricated from planar metal foil: design, fabrication, and mechanical testing","Takahata, K.; Gianchandani, Y.B.","Electr. Eng. & Comput. Sci. Dept., Michigan Univ., Ann Arbor, MI, USA","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","462","465","This paper presents a new approach to the design and manufacture of coronary artery stents, which permits the use of planar batch fabrication technologies. Stent samples with different wall patterns have been fabricated from 50-μm thick stainless steel foil using micro-electro-discharge machining, and expanded to tubular shapes by using angioplasty balloons. The stents exhibit diameter variations of <±4 %, almost zero radial recoil after deflation of the balloon, and longitudinal shrinkage of <3 % upon expansion. Loading tests reveal that the radial strengths match commercially available stents which have twice the wall thickness, while longitudinal compliance, at 0.02 m/N for a 4-mm long section of the stent, is >10× higher.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189786","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189786","","Angioplasty;Arteries;Blood vessels;Electrodes;Fabrication;Machining;Shape;Steel;Testing;Throughput","cardiology;foils;micromachining;prosthetics;stainless steel","4 mm;50 micron;angioplasty balloons;coronary artery stents;design;diameter variations;fabrication;longitudinal shrinkage;mechanical testing;micro-electro-discharge machining;microfabricated;planar metal foil;stainless steel foil;tubular shapes;wall patterns;zero radial recoil","","3","2","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
"Fabrication of a ZnO piezoelectric cantilever with a high-aspect-ratio nano tip","Lee, S.H.; Lee, S.S.; Jeon, Jong Up; Kwangchoon Ro","Pohang Univ. of Sci. & Technol., South Korea","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","72","75","This paper reports the fabrication process of a ZnO piezoelectric micro cantilever with a high- aspect-ratio (HAR) nano tip for the scanning probe microscopy (SPM). The HAR nano tip has 5 μm side length, over 15 μm height, and less than 30nm tip radius, which is built on the cantilevers with 200μm and 300μm length. The designed resonance frequency and spring constant of cantilever with 300μm length are 28.41kHz and 0.6986N/m, respectively. To prevent the distortion of data by the cantilever, the HAR nano tip is fabricated using deep RIE process and LPCVD poly-Si deposition. These steps protect nano tips during the whole process and minimize tip damage. To compensate residual stress, the multi-layered structure is used. It is composed of silicon nitride and poly silicon which have tensile and compressive stresses, respectively. And, to prevent ZnO breakdown and metal oxidation during anodic bonding process, internal metal patterns are isolated from the pyrex glass. After the boding process, they are connected with external electrodes through the via holes in pyrex glass.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189690","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189690","","Fabrication;Glass;Protection;Residual stresses;Resonance;Resonant frequency;Scanning probe microscopy;Silicon;Springs;Zinc oxide","II-VI semiconductors;internal stresses;micromechanical devices;piezoelectric materials;scanning probe microscopy;sputter etching;zinc compounds","15 micron;200 micron;28.41 kHz;30 nm;300 micron;5 micron;LPCVD poly-Si deposition;Si;ZnO;ZnO piezoelectric microcantilever;anodic bonding process;deep RIE process;high-aspect-ratio nano tip;residual stress;scanning probe microscopy;spring constant","","0","","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
"A power-free liquid driven method for micro mixing application","Chien-Fu Chen; Shih-Chi Kuo; Chin-Chou Chu; Fan-Gang Tseng","Inst. of Appl. Mech., Nat. Taiwan Univ., Taipei, Taiwan","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","100","103","This paper proposes a novel method to perform micro mixing without any active devices such as pumps, valves, or external energies like electrostatic, or magnetic fields, which may have negative interactions with working fluids. In this novel mixing device, surface tension force from the working fluid is the only energy resource employed passively to transport, merge, mix, and stop liquid automatically by the design of channel structure and surface properties. The fluidic channel was designed without sidewall and confined with only the bottom hydrophilic and top hydrophobic surface for later-on mixing process among channels, and with spiral channel shape for saving space and shortening channel distance to one another. Fabrication has been completed successfully, and the testing result demonstrated effective fluid flow in spiral channel by surface tension once the liquid is dropped on the entrance, as well as the mixing between two different liquids without extra actuation. This device can be applied to power-free μTAS or lab-on a-chip system.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189697","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189697","","Electrostatics;Energy resources;Fabrication;Magnetic fields;Magnetic liquids;Pumps;Shape;Spirals;Surface tension;Valves","microfluidics;mixing;surface tension","fluid flow;fluidic channel;lab-on a-chip system;micro mixing application;power-free μTAS;power-free liquid driven method;spiral channel;surface tension","","1","","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
"Active micro heat transport device using thermal pumping system","Yokoyama, Y.; Takeda, M.; Umemoto, T.; Ogushi, T.","Adv. Technol. R&D Center, Mitsubishi Electr. Corp., Hyogo, Japan","Micro Electro Mechanical Systems, 2003. MEMS-03 Kyoto. IEEE The Sixteenth Annual International Conference on","20030402","2003","","","108","111","We have developed a thermal pumping system for loop-type micro channels, realizing an active micro heat transport device capable of highly efficient cooling. The thermal pumping system makes use of the time change in the vapor pressure of the working fluid as the driving force for fluid circulation. Because it has no mechanically moving elements, it is highly reliable and moreover is effective in preventing deterioration in the heat transport rate due to miniaturization. We set up a system with two thermal pumps within one loop for efficient heat transportation. We fabricated a looped micro-channel, which has a width of 600 μm, a depth of 120 μm and a channel length of 220 mm. We confirmed a flow rate of 12.5 mm/s at the driving frequency of 1 Hz, enabling a heat transport of 0.16 W.","1084-6999","0-7803-7744-3","","10.1109/MEMSYS.2003.1189699","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189699","","Cooling;Frequency;Heat pumps;Maintenance;Research and development;Resistance heating;Telephony;Thermal force;Transportation;Valves","heat transfer;microfluidics","1 Hz;120 micron;220 mm;600 micron;active micro heat transport device;driving force;fluid circulation;loop-type micro channels;looped micro-channel;no mechanically moving elements;thermal pumping system;time change;vapor pressure;working fluid","","0","","","","","19-23 Jan. 2003","","IEEE","IEEE Conference Publications"
