"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB..LB.Micro+Electro+Mechanical+Systems%2C+2010.+MEMS+2010..RB.+AND+IEEE+23rd+International+Conference+on.RB.",2015/06/23 16:25:27
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Message from the co-chairs","","","Micro Electro Mechanical Systems (MEMS), 2010 IEEE 23rd International Conference on","20100408","2010","","","1","42","Welcome to the 23rd IEEE International Conference on Micro-Electro-Mechanical Systems (MEMS 2010) in Hong Kong S.A.R., China.","1084-6999","978-1-4244-5761-8","978-1-4244-5763-2","10.1109/MEMSYS.2010.5442581","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5442581","","","","","","0","","","","","24-28 Jan. 2010","","IEEE","IEEE Conference Publications"
"High-Fill-Factor Micromirror Array With Hidden Bimorph Actuators and Tip–Tilt-Piston Capability","Kemiao Jia; Samuelson, S.R.; Huikai Xie","Dept. of Electr. & Comput. Eng., Univ. of Florida, Gainesville, FL, USA","Microelectromechanical Systems, Journal of","20110531","2011","20","3","573","582","This paper presents the design, fabrication, packaging, and characterization of a novel high-fill-factor micromirror array (MMA) actuated by electrothermal bimorphs. In this paper, 4 × 4 MMA devices with an 88% area fill factor at normal incidence, 1.5 mm × 1.5 mm subaperture size, and single-crystal-silicon-supported mirror plates have been fabricated based on a single silicon-on-insulator wafer, without additional bonding/transfer processes. The bimorph actuators are hidden underneath the mirror plates, which are also protected by silicon walls. The MMA devices can directly be surface mounted onto driving circuit chips or printed circuit boards after fabrication. The subapertures can generate large tip-tilt-piston scanning and can individually be addressed. Static characterizations of the packaged devices show that each subaperture can achieve a piston stroke of ~310 μm and optical deflection angles greater than ±25° in both the x- and y-axes, all at 8-V dc. The preliminary laser-steering optical-phased-array capability of the obtained MMA device has also experimentally been demonstrated. This paper is based on the conference proceedings presented at the 23rd IEEE International Conference on Micro Electro Mechanical Systems (MEMS 2010), Hong Kong.","1057-7157","","","10.1109/JMEMS.2011.2127449","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5746491","Bimorph;flip-chip packaging;microelectromechanical systems (MEMS);micromirror;micromirror array (MMA);microoptoelectromechanical systems (MOEMS);optical phased array (OPA);surface mounting","Actuators;Apertures;Micromirrors;Optical device fabrication;Silicon","micro-optomechanical devices;microactuators;micromirrors;printed circuits;silicon-on-insulator","area fill factor;circuit chips;electrothermal bimorphs;hidden bimorph actuators;high-fill-factor micromirror array;laser-steering optical-phased-array capability;optical deflection angles;piston stroke;printed circuit boards;silicon-on-insulator wafer;single-crystal-silicon-supported mirror plates;surface mounting;tip-tilt-piston capability;voltage 8 V","","6","","22","","2011-04-07","June 2011","","IEEE","IEEE Journals & Magazines"
"Fabrication of carbon nanomechanical resonators with embedded single walled carbon nanotube stiffening layers","Seung Hoon Lee; Bumki Min; Se Il Park; Kwang-Cheol Lee; Lee, S.S.","Korea Adv. Inst. of Sci. & Technol., Daejeon, South Korea","Micro Electro Mechanical Systems (MEMS), 2010 IEEE 23rd International Conference on","20100408","2010","","","268","271","This study presents a new fabrication method for high frequency nanomechanical resonators by utilizing carbon layers with embedded single walled carbon-nanotube layers. The carbon layers, fabricated by pyrolysis of photo- or electron beam resists, showed low-density and moderate Young's modulus which is suitable to sensitive nanodevices. The carbon-nanotube layers underneath carbon layers enhanced conductivity and Young's modulus while maintaining low-density of carbon nanoresonators. These two layers are fashioned into doubly clamped nanomechanical beams by electron beam lithography and carbon dry etching processes. Dynamic behaviors such as resonant frequency and Q-factor are investigated using magnetomotive detection method.","1084-6999","978-1-4244-5761-8","978-1-4244-5763-2","10.1109/MEMSYS.2010.5442515","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5442515","","Carbon nanotubes;Conductivity;Dry etching;Electron beams;Fabrication;Lithography;Magnetic resonance;Q factor;Resists;Resonant frequency","Q-factor;Young's modulus;carbon nanotubes;electron beam lithography;etching;nanoelectromechanical devices;nanofabrication;nanolithography;photoresists;pyrolysis;resonators","C;Q-factor;Young modulus;carbon dry etching process;carbon nanomechanical resonator fabrication;doubly clamped nanomechanical beam;electron beam lithography;electron beam resists;embedded single walled carbon nanotube stiffening layer;high frequency nanomechanical resonator;magnetomotive detection method;photoresists;pyrolysis;resonant frequency","","1","","9","","","24-28 Jan. 2010","","IEEE","IEEE Conference Publications"
"Fiber-optic confocal microscope with an electrothermally-actuated, large-tunable-range microlens scanner for depth scanning","Lin Liu; Lei Wu; Zory, P.; Huikai Xie","Univ. of Florida, Gainesville, FL, USA","Micro Electro Mechanical Systems (MEMS), 2010 IEEE 23rd International Conference on","20100408","2010","","","827","830","We present a fiber-optic reflectance confocal microscope using a large-tunable-range MEMS microlens scanner for automatic axial scan. The tunable microlens is actuated by an electrothermal actuator that is capable of scanning up to 0.9 mm at less than 6.3 V. The lateral shift and tilt of the microlens are about 10 Â¿m and 0.4Â°, respectively. 2-D cross-sectional reflectance confocal images of micro-particles in polymer and rat skin have been obtained with the lateral and axial resolutions of about 1.2 Â¿m and 38 Â¿m, respectively.","1084-6999","978-1-4244-5761-8","978-1-4244-5763-2","10.1109/MEMSYS.2010.5442280","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5442280","","Actuators;Electrothermal effects;Image resolution;Lenses;Micromechanical devices;Microoptics;Microscopy;Polymers;Reflectivity;Skin","actuators;fibre optic sensors;microlenses;micromechanical devices;optical microscopes;optical scanners;polymers","MEMS microlens scanner;automatic axial scan;depth scanning;electrothermal actuator;fiber optic reflectance confocal microscope;lateral shift;microparticles;polymer;rat skin;tunable microlens","","5","","11","","","24-28 Jan. 2010","","IEEE","IEEE Conference Publications"
"Four-part differential leukocyte count using μflow cytometer","Wendian Shi; Kasdan, H.L.; Fridge, A.; Yu-Chong Tai","California Inst. of Technol., Pasadena, CA, USA","Micro Electro Mechanical Systems (MEMS), 2010 IEEE 23rd International Conference on","20100408","2010","","","1019","1022","This paper reports the four-part differential leukocyte count (DLC) of human blood using a MEMS microflow (μflow) cytometer. It is achieved with a two-color laser-induced fluorescence (LIF) detection scheme. Four types of leukocytes including neutrophils, eosinophils, lymphocytes and monocytes are identified in blood samples, which are stained by fluorescein isothiocyanate (FITC) and propidium iodide (PI). The DLC results show good correlation with the count from a commercial hematology analyzer. The whole system is also implemented into a portable instrument for space application.","1084-6999","978-1-4244-5761-8","978-1-4244-5763-2","10.1109/MEMSYS.2010.5442382","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5442382","","Cells (biology);Extraterrestrial measurements;Fluorescence;Humans;Instruments;Iris;Microfluidics;Micromechanical devices;Proteins;White blood cells","bioMEMS;bioluminescence;biomedical measurement;biosensors;blood;cellular biophysics;fluorescence;microfluidics","bioMEMS;eosinophils;fluorescein isothiocyanate;four-part differential leukocyte count;hematology analyzer;human blood;lymphocytes;microflow cytometer;monocytes;neutrophils;propidium iodide;two-color laser-induced fluorescence detection","","2","","6","","","24-28 Jan. 2010","","IEEE","IEEE Conference Publications"
"Dielectrophoresis-based liposome delivery to a planar lipid membrane for efficient membrane protein reconstitution","Osaki, T.; Takeuchi, S.","Kanagawa Acad. of Sci. & Technol., Kawasaki, Japan","Micro Electro Mechanical Systems (MEMS), 2010 IEEE 23rd International Conference on","20100408","2010","","","931","934","This work presents a strategy that realizes efficient incorporation of membrane proteins in liposomes into a planar bilayer lipid membrane by using dielectrophoretic (DEP) force. The device consists of a chamber and a channel separated by a Â¿m-sized aperture that suspends a planar bilayer membrane. Applying an AC electric field across the membrane, the DEP force concentrates at the bilayer area therefore attracts the liposomes. We also observed fusion of liposomes autonomously occurs into the lipid membrane under the DEP effect. This DEP-based fusion method will be highly applicable to membrane protein study.","1084-6999","978-1-4244-5761-8","978-1-4244-5763-2","10.1109/MEMSYS.2010.5442360","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5442360","","Apertures;Biomembranes;Dielectrophoresis;Electric fields;Electrodes;Frequency;Lipidomics;Microscopy;Petroleum;Protein engineering","bioelectric phenomena;biomembrane transport;electrophoresis;lipid bilayers;molecular biophysics;proteins","AC electric field;dielectrophoresis;dielectrophoretic force;fusion method;liposome delivery;membrane protein reconstitution;planar bilayer lipid membrane","","0","","6","","","24-28 Jan. 2010","","IEEE","IEEE Conference Publications"
"PMUT array design for a handwriting input system","Wenjun Liao; Tianling Ren; Yang, Yi; Xiangming Kong; Yiping Zhu; Ligang Wang; Yufeng Wang; Gujin Miao; Litian Liu","Inst. of Microelectron., Tsinghua Univ., Beijing, China","Micro Electro Mechanical Systems (MEMS), 2010 IEEE 23rd International Conference on","20100408","2010","","","639","642","The novel handwriting input system (HIS) has been designed with the ferroelectrics-based micro-acoustic array, which has been fabricated using silicon based micro-machining process. This array is composed of two acoustic dipoles. It can increase output acoustic power effectively while maintaining omni-direction.","1084-6999","978-1-4244-5761-8","978-1-4244-5763-2","10.1109/MEMSYS.2010.5442325","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5442325","","Acoustic arrays;Array signal processing;Diodes;Equations;Handwriting recognition;Optical receivers;Transmitters;Ultrasonic transducer arrays;Voltage;Writing","handwriting recognition;interactive devices;ultrasonic transducer arrays","HIS;PMUT array design;acoustic dipoles;ferroelectrics based microacoustic array;handwriting input system;micromachining process","","1","","3","","","24-28 Jan. 2010","","IEEE","IEEE Conference Publications"
"A continuous cell separator based on buoyant force in dissimilar density fluid flows","Ae Gyoung Oh; Dong Woo Lee; Young-Ho Cho","Digital Nanolocomotion Center, Korea Adv. Inst. of Sci. & Technol., Daejeon, South Korea","Micro Electro Mechanical Systems (MEMS), 2010 IEEE 23rd International Conference on","20100408","2010","","","1023","1026","We present a continuous particle density separator to achieve density-dependent and size-independent particle separation based on the gravity and buoyancy on the particles in dissimilar density fluids. The previous particle separators, based on the size or dielectrophoretic property of particles, are suitable for size-dependent and density-independent particle separation; thus having difficulty to collect the same kind of particle having an identical density in size variations. Experimental study verifies the present device, flowing a diluted whole blood in dissimilar density fluids (upper fluid density, Â¿<sub>1</sub> is 1.0 g/ml and lower fluid density, Â¿<sub>2</sub> is 1.1 g/ml), by successfully extracting 82% Red Blood Cells (RBCs, Â¿<sub>b</sub> = 1.1-1.15 g/ml, d = 8-9 Â¿m) and 97% White Blood Cells (WBCs, Â¿<sub>a</sub> = 1.06-1.09 g/ml, d = 8-15 Â¿m) based on their densities, respectively. Therefore, the present particle density separator demonstrates the performance of separating RBCs and WBCs based on their density without size effect.","1084-6999","978-1-4244-5761-8","978-1-4244-5763-2","10.1109/MEMSYS.2010.5442383","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5442383","","Bonding;Dielectrophoresis;Fabrication;Fluid flow;Gravity;Microstructure;Particle separators;Silicon;USA Councils;White blood cells","biological techniques;cellular transport;flow separation;haemodynamics;particle separators;stratified flow;two-phase flow","blood flow;buoyant force;continuous cell separator;continuous particle density separator;dielectrophoretic property;dissimilar density fluid flows;gravitational force;particle separation;particle size;red blood cells;size effect;white blood cells","","1","","4","","","24-28 Jan. 2010","","IEEE","IEEE Conference Publications"
"Parylene membrane slot filter for the capture, analysis and culture of viable circulating tumor cells","Bo Lu; Tong Xu; Zheng, S.; Goldkorn, A.; Yu-Chong Tai","California Inst. of Technol., Pasadena, CA, USA","Micro Electro Mechanical Systems (MEMS), 2010 IEEE 23rd International Conference on","20100408","2010","","","935","938","This paper presents a method of capturing viable circulating tumor cells (CTC) from human whole blood using constant-pressure-driven filtration through a specially designed parylene-C membrane ""slot"" filter. More than 90% viable cancer cells could be recovered from whole blood using the slot filter, with minimal non-cancer blood cells left on the filter. The feasibility of the telomerase activity measurement of a single cancer cell taken from the filter after capture was proven. The on-filter and off-filter cultures of the captured cancer cells were also demonstrated.","1084-6999","978-1-4244-5761-8","978-1-4244-5763-2","10.1109/MEMSYS.2010.5442361","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5442361","","Biomembranes;Blood;Cancer;Cells (biology);Filtration;Humans;Immune system;Optical filters;Scanning electron microscopy;Tumors","biomedical measurement;blood;cancer;cellular biophysics;filters;filtration;membranes;tumours","cancer cells;constant-pressure-driven filtration;human whole blood;noncancer blood cells;off-filter culture;on-filter culture;parylene-C membrane slot filter;telomerase activity measurement;viable circulating tumor cells","","1","","9","","","24-28 Jan. 2010","","IEEE","IEEE Conference Publications"
"A MEMS-based fully-integrated wireless neurostimulator","Sung-Hoon Cho; Cauller, L.; Rosellini, W.; Jeong-Bong Lee","Dept. of Electr. Eng., Univ. of Texas at Dallas, Dallas, TX, USA","Micro Electro Mechanical Systems (MEMS), 2010 IEEE 23rd International Conference on","20100408","2010","","","300","303","We report design, fabrication and in-vivo animal testing of a MEMS-based wireless battery-free compact (3.1 Ã 1.5 Ã 0.3 mm) neurostimulator for the treatment of chronic pain. The neurostimulator consists of a spiral coil for inductive power coupling, Schottky diodes for rectification, an ASIC neurostimulator circuit chip, and biphasic platinum-iridium (PtIr) stimulation electrodes. The device is fully integrated and completely embedded in biocompatible SU-8 packaging. The wireless neurostimulator was implanted subcutaneously in a rat hind limb and stable and robust cortical responses during extended periods of wireless stimulation with as low as 21 dBm (125 mW) RF power at 394 MHz were recorded.","1084-6999","978-1-4244-5761-8","978-1-4244-5763-2","10.1109/MEMSYS.2010.5442507","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5442507","","Animals;Application specific integrated circuits;Circuit testing;Coils;Coupling circuits;Electrodes;Fabrication;Pain;Schottky diodes;Spirals","Schottky diodes;application specific integrated circuits;bioMEMS;microfabrication;neuromuscular stimulation","ASIC neurostimulator circuit chip;MEMS-based wireless battery-free compact neurostimulator;Schottky diodes;biocompatible SU-8 packaging;biphasic platinum-iridium stimulation electrodes;chronic pain;in-vivo animal testing;inductive power coupling;rat hind limb;spiral coil","","7","","8","","","24-28 Jan. 2010","","IEEE","IEEE Conference Publications"
