"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB..LB.Micro+Electro+Mechanical+Systems%2C+2013.+MEMS+2013..RB.+AND+IEEE+26th+International+Conference+on.RB.",2015/06/23 16:27:09
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Labs on chips for biomedical applications","van den Berg, A.","BIOS/Lab.-on-a-Chip Group, Univ. of Twente, Enschede, Netherlands","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","149","152","Lab on Chip devices have a great potential for medical applications as illustrated in three examples. First, a disposable, prefilled capillary electrophoresis chip for monitoring lithium in blood of manic depressive patients is discussed. In a second example, we present a simple chip for counting sperm cells in semen is presented that is used to determine male fertility. Finally, we present the realization of a blood-brain barrier on chip that establishes a versatile platform for drug screening and has the potential to greatly reduce and replace animal testing.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474199","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474199","","Biological system modeling;Blood;Drugs;Electrodes;Lithium;Microfluidics;Semiconductor device measurement","biomedical equipment;blood;brain;capillarity;cellular biophysics;drugs;electrophoresis;lab-on-a-chip","animal testing;biomedical applications;blood-brain barrier;disposable-prefilled capillary electrophoresis chip;drug screening;lab-on-chip devices;male fertility;manic depressive patients;semen;sperm cell counting","","0","","9","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
"Vertical and horizontal confocal imaging of single cells on magnetically handleable microplates","Teshima, T.; Aonuma, H.; Onoe, H.; Kanuka, H.; Takeuchi, S.","Inst. of Ind. Sci., Univ. of Tokyo, Tokyo, Japan","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","145","148","In this study, we purpose the microfabricated system to manipulate single host cells of parasites toward the analysis of invasion at single cell level. We fabricated the microplates made from Parylene and modified the shape and structure of surface by using lithography techniques. This device is able to not only control the shape and morphology of adhering host cells, but also handle them maintaining their adherent property. The ability to manipulate single adherent host cells reveals the unknown triggered key for parasite invasion. This method can be an attractive platform for the manipulation of host cells, the observation of invading microbes and the analysis of interaction between microbe and host cells.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474198","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474198","","Biomembranes;Cells (biology);Magnetic fields;Magnetic resonance imaging;Proteins;Shape;Substrates","adhesion;bioMEMS;biomagnetism;cellular biophysics;lithography;microfabrication;microorganisms;polymers;surface morphology","adhering host cells;horizontal confocal imaging;lithography;magnetically handleable microplates;microfabricated system;parasite invasion;parylene;single cell level invasion analysis;vertical confocal imaging","","0","","12","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
"Large power amplification of a piezoelectric energy harvester excited by random vibrations","Wang, Z.; Elfrink, R.; Vullers, R.J.M.; Van Acht, V.; Tutelaers, M.; Matova, S.; Oudenhoven, J.; van Schaijk, R.","Holst Centre, Imec, Eindhoven, Netherlands","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","106","109","This paper reports the method and results of amplifying the power output of a piezoelectric energy harvester excited by random vibrations. The amplification is achieved by applying a dual-mass-spring system. A maximum power amplification of 80 times has been experimentally demonstrated. The generated power output from a piezoelectric energy harvester, when excited by as-measured random vibrations, amounts to 28.9 μW. This is sufficient to operate a battery-free Tire Pressure Monitoring System (TPMS) for wireless sensing of pressure and temperature in car tires. Thus, the piezoelectric energy harvester with power amplification is proved to be a viable solution to replace batteries in the TPMS application.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474188","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474188","","Glass;Micromechanical devices;Resonant frequency;Structural beams;Temperature measurement;Vibrations;White noise","energy harvesting;piezoelectric transducers;springs (mechanical);tyres;vibrations","TPMS application;battery-free tire pressure monitoring system;car tires;dual-mass-spring system;maximum power amplification;piezoelectric energy harvester;power 28.9 muW;power output;random vibrations","","1","","4","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
"Resonant pressure sensor with on-chip temperature and strain sensors for error correction","Chia-Fang Chiang; Graham, A.B.; Lee, B.J.; Chae Hyuck Ahn; Ng, E.J.; O'Brien, G.J.; Kenny, T.W.","Stanford Univ., Stanford, CA, USA","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","45","48","Temperature and package stress induced errors pose a challenging obstacle for improving accuracy of strain-based resonant pressure sensors. This paper presents a multiple sensor solution where three resonators were built under a shared pressure sensor diaphragm. By manipulating the anchoring scheme and the location of the resonators, temperature and stress signals can be independently captured and used to compensate for the errors in the pressure signal. After compensation, the pressure sensor showed a 20× reduction in temperature dependency and a 2× reduction in stress dependency.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474172","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474172","","Frequency measurement;Pressure measurement;Resonant frequency;Stress;Temperature;Temperature measurement;Temperature sensors","diaphragms;error compensation;error correction;pressure sensors;resonators;strain sensors;stress analysis;temperature sensors","anchoring scheme;error compensation;error correction;on-chip temperature sensor;package stress;resonator;shared pressure sensor diaphragm;strain-based resonant pressure sensor;stress dependency;stress signal;temperature dependency;temperature signal;temperature stress","","1","","10","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
"High-speed electrostatic micro-hydraulics for sensing and actuation","Sadeghi, M.M.; Peterson, R.L.; Najafi, K.","Center for Wireless Integrated Micro Sensing & Syst. (WIMS), Univ. of Michigan, Ann Arbor, MI, USA","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","1191","1194","In this paper, we report a novel architecture for significant performance enhancement of previously introduced electrostatic micro-hydraulic structures. We develop a 2-D multi-physics model for analysis of our first generation electrostatic micro-hydraulic system (straight-wall architecture) used for sensing and actuation. Using this model, we design and fabricate a new sloped-wall device with a time constant 400× less than that of earlier designs, while maintaining other specification. The optimized electrostatic micro-hydraulic systems are successfully fabricated and tested. Micro-hydraulic structures of various geometries exhibit a measured bandwidth of 50 to 70 Hz, which corresponds to a sensor response time of about 18 ms.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474465","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474465","","Bandwidth;Capacitance;Electrodes;Electrostatics;Fluids;Sensors;Time factors","electrostatic actuators;hydraulic actuators;hydraulic systems;microactuators;microfabrication;microsensors","2D multiphysics model;bandwidth 50 Hz to 70 Hz;first generation electrostatic microhydraulic system;high-speed electrostatic microhydraulic structure;sloped-wall device;straight-wall architecture","","2","","8","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
"Transparent and flexible toluene sensor with enhanced sensitivity using adsorption catalyst-functionalized graphene","Jungwook Choi; Soonjae Pyo; Kyounghoon Lee; Hee-Jin Ko; Jongbaeg Kim","Sch. of Mech. Eng., Yonsei Univ., Seoul, South Korea","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","512","515","We have developed a highly sensitive, transparent and flexible toluene sensor using cobalt-metalloporphyrin (Co-MPP)-functionalized graphene as sensing material. The functionalization of MPP enhanced responsiveness (ΔR/R<sub>i</sub>) over 200% compared to pristine graphene toward 10 ppm of toluene molecules at room temperature, while it still revealed optical transmittance and mechanical flexibility.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474291","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474291","","Graphene;Positron emission tomography;Sensitivity;Sensors;Substrates;Temperature measurement","adsorption;catalysts;cobalt;gas sensors;graphene","C;Co;adsorption catalyst-functionalized graphene;cobalt-metalloporphyrin functionalized graphene;flexible toluene sensor;mechanical flexibility;optical transmittance;sensing material;temperature 293 K to 298 K;transparent toluene sensor","","0","","20","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
"Nano-fractal gas sensr integrated on micro hteater fabricated with suspension coating","Abasaki, M.; Souma, S.; Moronuki, N.; Sugiyama, M.","3D BEANS Center, BEANS Project, Tokyo, Japan","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","993","996","Semiconductor gas sensors are in widespread use for industrial applications. Some of them need heater for their operation. Downsizing of both of the sensor and heater is required with MEMS technology to make the power consumption lower. At the same time, the sensor should be produced as low cost and high productivity as possible. Thus, we apply suspension coating approach to the sensor element fabrication on Si micro heater. The element has different size of nano-pores, which was fabricated by mixing colloidal suspensions that contains different sizes of polystyrene micro-particles and SnO<sub>2</sub> nano-particles and then removing (oxidizing) polystyrene particles after the self-assembly. We here present a demonstration of such nano-fractal porous gas sensor fabrication and its evaluation.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474414","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474414","","Ethanol;Fabrication;Gas detectors;Heating;Resists;Scanning electron microscopy;Suspensions","coatings;fractals;gas sensors;microfabrication;nanofabrication;nanoparticles;nanosensors;porous semiconductors;semiconductor counters;suspensions","MEMS technology;microheater fabrication;mixing colloidal suspension coating approach;nanofractal porous gas sensor fabrication;nanoparticle;nanopore sizing;polystyrene microparticle;power consumption;self-assembly;semiconductor gas sensor","","0","","8","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
"Topology optimization method using multistep mapping from 2D photomask to 3D MEMS","Ozaki, T.; Nomura, T.; Fujitsuka, N.; Shimaoka, K.; Akashi, T.","Toyota Central R&D Labs. Inc., Toyota, Japan","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","405","408","We have developed a topology optimization method for designing a two-dimensional (2D) photomask. It employs micromachining-process-like multistep mapping to analytically improve the characteristics of a three-dimensional (3D) MEMS fabricated by the photomask. We used this method to design reinforcing ribs for an electrostatic micromirror to reduce deformation caused by internal residual stress. Employing a dot-array pattern as the initial topology, the optimization calculation converged after 300 iterations. It predicts a 79.1% reduction in the maximum displacement. To verify this result, micromirror structures were fabricated and their deformations were measured. The deformation was reduced by 87.1% in this experiment. The calculation results agree well with the experimental results, demonstrating the effectiveness of the proposed method.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474264","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474264","","Electrodes;Micromechanical devices;Optimization;Ribs;Strain;Stress;Topology","internal stresses;iterative methods;masks;micro-optomechanical devices;micromachining;micromirrors","2D photomask design;3D MEMS fabrication;deformation reduction;dot-array pattern;electrostatic micromirror;internal residual stress;micromachining process;micromirror structures;multistep mapping;optimization calculation;three-dimensional MEMS fabrication;topology optimization method;two-dimensional photomask design","","0","","13","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
"Miniaturized pumps and valves, based on conductive polimer actuators, for lab-on-chip application","Hiraoka, M.; Fiorini, P.; Vandecasteele, B.; Tanaka, H.; Podprocky, T.; van Put, S.; de Beeck, M.O.; Matsuno, T.; Yamashita, I.","Adv. Technol. Res. Labs., Panasonic Corp., Kyoto, Japan","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","1187","1190","We developed a new type of conductive polymer (CP) actuator, specifically designed for miniaturized pumps and valves for lab-on-a-chip (LoC) applications. CP films soaked in an electrolyte solution reversibly change their thickness upon bias application. A large stroke actuator was fabricated by stacking several CP layers, bonded together by means of epoxy dots. The CP deposition process was optimized for obtaining the low surface roughness required for stacking. The maximum strain of stacked actuators and of individual layers was identical (13%), indicating that the dot gluing process eliminates strain losses previously observed in multi-layers actuators. Pumps and valves were fabricated and mounted on a microfluidic chip.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474464","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474464","","Actuators;Electrodes;Films;Polymers;Strain;Valves","conducting polymers;lab-on-a-chip;microfluidics;micropumps;microvalves;resins;surface roughness","CP actuator;CP deposition process;CP films;CP layer stacking;LoC applications;conductive polymer actuators;dot gluing process;electrolyte solution;epoxy dots;lab-on-chip application;large-stroke actuator;microfluidic chip;miniaturized pumps;miniaturized valves;multilayer actuators;strain loss;surface roughness","","0","","5","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
"Micropatterned superhydrophobic textile for biofluidic transport","Xing, S.; Jiang, J.; Pan, T.","Univ. of California, Davis, Davis, CA, USA","Micro Electro Mechanical Systems (MEMS), 2013 IEEE 26th International Conference on","20130307","2013","","","1113","1116","Textile-enabled interfacial microfluidics, utilizes the capillary force generated by fibrous hydrophilic yarns (e.g., cotton) to drive biological reagents, has been extended to various biochemical analyses recently. However, the restricted capillary-driving mechanism persists to be a major challenge for continuous and facilitated biofluidic transport. In this abstract, we have first introduced a new interfacial microfluidic transport principle to automatically drive three-dimensional liquid flows on a micropatterned superhydrophobic textile (MST) platform in a controllable and continuous manner. Specifically, the MST system utilizes the surface tension-induced Laplace pressure to facilitate the liquid motion along the fabric, in addition to the capillary force existing in the fibrous structure. The surface tension-induced pressure as well as pumping speed can be highly controllable by the sizes of the stitching patterns of hydrophilic yarns and the confined liquid volume. The MST can be potentially applied to large volume and continuous biofluidic collection and removal.","1084-6999","978-1-4673-5654-1","","10.1109/MEMSYS.2013.6474445","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6474445","","Cotton;Fabrics;Liquids;Microfluidics;Resistance;Yarn","Laplace equations;bioMEMS;biochemistry;biotransport;capillarity;cotton fabrics;hydrophilicity;hydrophobicity;microchannel flow;surface tension;yarn","biochemical analysis;biofluidic collection;biofluidic removal;biofluidic transport;biological reagents;capillary force;confined liquid volume;cotton;fabric;fibrous hydrophilic yarns;hydrophilic yarns;interfacial microfluidic transport principle;liquid motion;micropatterned superhydrophobic textile;pumping speed;restricted capillary-driving mechanism;stitching patterns;surface tension-induced Laplace pressure;textile-enabled interfacial microfluidics;three-dimensional liquid flow","","0","","10","","","20-24 Jan. 2013","","IEEE","IEEE Conference Publications"
