"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DSOI+Conference%2C+1998.+Proceedings.%2C+1998+IEEE+International",2015/06/23 15:25:49
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"1998 IEEE International SOI Conference Proceedings (Cat No.98CH36199)","","","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","0_3","","The following topics were dealt with: SOI materials development; SOI devices; SOI circuit development; reliability and applications","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723039","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723039","","","SIMOX;monolithic integrated circuits;reliability;semiconductor devices;semiconductor technology;silicon-on-insulator","CMOS;SIMOX;SOI circuit development;SOI devices;SOI materials development;reliability","","0","","","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"Performance comparison of differential static CMOS circuit topologies in SOI technology","Tretz, C.; Chuang, C.T.; Terman, L.; Pelella, M.; Zukowski, C.","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","123","124","This paper examines the performance of differential static CMOS circuit topologies based on partially-depleted (PD) and dual-gate SOI devices. Both device types have L/sub eff/=0.15 /spl mu/m. The top and bottom gates of the dual-gate device are self-aligned to the source/drain, and the device has a fanned-out source/drain structure with low parasitic resistance. The dual-gate device current drive and transconductance are about 2.2 times that of a partially-depleted device at the same bias. We compared three differential static CMOS topologies: (a) standard CMOS logic; (b) push-pull cascode logic (PPCL), a low power high speed static logic topology; (c) complementary pass-transistor logic (CPL), known for its efficiency for device use and popular for fast arithmetic operations. We considered three cases: (a) partially-depleted device with standard bulk-like connection where the body is tied to the supply rail; (b) partially-depleted device with floating body (FB); (c) dual gate (DG) device where the bottom gate is driven with the top gate simultaneously. Based on a methodology described previously (Tretz et al. Proc. IEEE Midwest Symp. on Circuits and Systems, pp. 179-82, 1996), performance comparison of these topologies is sufficient to establish the relative performance of almost any other differential static CMOS topology, using the generic differential CMOS static gate concept. All differential static circuits can be described as a variation of the generic differential static gate comprised of pull-up and pull-down switches, cross-coupled elements, additional resistive loads, and active paths to V/sub dd//GND.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723142","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723142","","Arithmetic;CMOS logic circuits;Circuit topology;Circuits and systems;Immune system;Logic devices;Rails;Switches;Switching circuits;Transconductance","CMOS logic circuits;integrated circuit testing;logic testing;network topology;silicon-on-insulator","0.15 micron;SOI technology;Si-SiO/sub 2/;active ground paths;arithmetic operations;bulk-like connection;complementary pass-transistor logic;cross-coupled elements;differential static CMOS circuit topologies;differential static CMOS topology;differential static circuits;dual-gate SOI devices;dual-gate device current drive;dual-gate device transconductance;fanned-out source/drain structure;generic differential CMOS static gate;generic differential static gate;parasitic resistance;partially-depleted SOI devices;partially-depleted device;partially-depleted floating body device;pull-down switches;pull-up switches;push-pull cascode logic;resistive loads;source/drain self-aligned gates;standard CMOS logic;static logic topology;supply rail-tied body","","2","8","7","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"Evaluation of the performance and reliability of a 1M SRAM on fully-depleted SOI","Brady, F.; Keshavan, B.; Rockett, L.","Lockheed Martin Semicond. Technol. Center, Manassas, VA, USA","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","129","130","Summary form only given. Although there has been a fair amount of work published on fully-depleted SOI, little has been published on the capability of complex ULSI circuits fabricated with this technology. In this paper, we discuss the performance of a 1M SRAM fabricated on fully depleted SOI and compare it to the same design built with an epi/bulk process. Reliability effects are also examined. The 1M SRAM used was a design optimized for a radiation-hardened 3.3 V/0.5 /spl mu/m bulk production process. This radiation-hardened design has a cell size of 89 /spl mu/m/sup 2/ and a chip size of 11.6/spl times/12.0 mm. There are over 7 million transistors on the chip. This 1M SRAM design, unchanged, was built on fully-depleted SOI substrates. Fully-depleted SOI requires no body ties for SEU hardening, making a direct design mapping viable. The SOI version of this 1M SRAM was built without the cross-coupled intracell polysilicon resistors that are used in the bulk design to enhance SEU hardness.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723145","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723145","","Contracts;Electric breakdown;Isolation technology;Random access memory;Resistors;Silicon;Space vector pulse width modulation;Stress;Tellurium;Voltage","SRAM chips;ULSI;integrated circuit design;integrated circuit reliability;integrated circuit testing;radiation hardening (electronics);silicon-on-insulator","0.5 micron;1 Mbit;11.6 mm;12 mm;3.3 V;SEU hardening;SEU hardness;SRAM design;SRAM performance;SRAM reliability;Si-SiO/sub 2/;ULSI circuits;body ties;cell size;chip size;cross-coupled intracell polysilicon resistors;direct design mapping;epi/bulk process;fully-depleted SOI;fully-depleted SOI SRAM;fully-depleted SOI substrates;optimized SRAM design;radiation-hardened bulk production process;radiation-hardened design;reliability effects","","0","1","","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"600 V single-chip power conversion system based on thin layer silicon-on-insulator","Letavic, T.; Arnold, E.; Simpson, M.; Peters, E.; Aquino, R.; Egloff, R.; Wong, S.; Mukherjee, S.","Res. Lab., Philips Electron.North America Corp., Briarcliff Manor, NY, USA","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","133","134","Summary form only given. An integrated 600 V power conversion circuit is described based on smart power technology which combines novel lateral high-voltage RESURF transistor structures and a merged bipolar/CMOS/DMOS process flow on thin-layer SOI substrates. A modular process flow provides for the integration of half-bridge power stages along with level shifting and lowand medium-voltage control. This opens new application areas for thin-layer SOI, such as lighting electronics, power modules, motor control, etc., and is a significant development for the integration of power conversion systems.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723147","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723147","","CMOS logic circuits;CMOS technology;Circuit topology;Fabrication;Logic devices;Medium voltage;Power conversion;Power integrated circuits;Silicon on insulator technology;Surface waves","BIMOS integrated circuits;integrated circuit design;power convertors;power integrated circuits;silicon-on-insulator","600 V;Si-SiO/sub 2/;half-bridge power stage integration;integrated power conversion circuit;lateral high-voltage RESURF transistor structures;level shifting control;lighting electronics;low-voltage control;medium-voltage control;merged bipolar/CMOS/DMOS process flow;modular process flow;motor control;power conversion system integration;power modules;single-chip power conversion system;smart power technology;thin layer SOI application areas;thin layer silicon-on-insulator;thin-layer SOI substrates","","1","1","2","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"A simple and advanced neural circuit element by using an SOI insulated-gate pn junction device","Omura, Y.","Dept. of Electron., Kansai Univ., Osaka, Japan","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","105","106","Neural logic devices and circuits have been extensively studied, and recently, a /spl nu/MOS transistor and its logic circuits were proposed (Shibata and Ohmi, 1991). However, a /spl nu/MOS transistor which shows a neuron-like operation (sum of products) does not reflect a synaptic operation flexibly. The author has previously proposed a synaptic logic element by using an SOI insulated-gate p-n junction device called a lubistor (Omura, Appl. Phys. Lett. vol. 40, vol. 6, pp. 528-9, 1982), and recently demonstrated important functions (Omura, Ext. Abstr. of Int. Conf. on Solid State Dev. and Mat., pp. 140-1, 1997). This paper describes a new, simple, advanced neural circuit element and simulation results of circuit operations.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723133","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723133","","Anodes;CMOS logic circuits;Circuit simulation;Insulation;Logic devices;Low voltage;MOSFETs;Pulse inverters;Voltage control;Weight control","circuit simulation;integrated circuit design;logic design;logic simulation;neural chips;p-n junctions;silicon-on-insulator","SOI insulated-gate p-n junction device;SOI insulated-gate p-n junction lubistor device;SOI insulated-gate pn junction device;Si-SiO/sub 2/;flexible synaptic operation;neural circuit element;neural circuit simulation;neural logic circuits;neural logic devices;neuron-like operation;nu-MOS transistor;nu-MOS transistor logic circuits;sum of products operation;synaptic logic element","","0","1","4","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"SOI CMOS with high-performance passive components for analog, RF, and mixed signal design","Stuber, M.; Megahed, M.; Lee, J.J.; Kobayashi, T.; Domyo, H.","Peregrine Semicond. Corp., San Diego, CA, USA","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","99","100","Summary form only given. Peregrine Semiconductor's UTSi/sup R/ silicon-on-sapphire (SOS) CMOS process is unique because it has a fully insulating substrate. This enables the design of higher performance resistors, capacitors, and inductors. The UTSi process consists of a thin (100 nm) ""improved"" silicon epitaxial layer on single crystal sapphire with dual polysilicon capacitors and three layers of Al metallization. All processing is standard CMOS processing for high manufacturability and reliability. The UTSi technology takes advantage of the sapphire substrate to improve resistor and inductor characteristics for high-performance analog and RF applications. Resistors with low parasitic capacitance, low TCR, and low voltage coefficients simplify the design of analog circuits. Highly linear double-poly capacitors also enable higher performance analog and RF design. The presence of high-Q inductors and capacitors and excellent isolation of the insulating substrate allow fully integrated MMICs to be designed in UTSi technology. These characteristics make UTSi an ideal technology for analog, RF integration, and mixed-signal products.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723130","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723130","","CMOS process;Capacitors;Inductors;Insulation;Integrated circuit technology;Isolation technology;Radio frequency;Resistors;Silicon on insulator technology;Substrates","CMOS integrated circuits;analogue integrated circuits;capacitors;field effect MMIC;inductors;integrated circuit design;integrated circuit interconnections;integrated circuit metallisation;integrated circuit reliability;mixed analogue-digital integrated circuits;resistors;silicon-on-insulator","100 nm;Al;CMOS processing;RF design;SOI CMOS;Si-Al/sub 2/O/sub 3/;UTSi SOS CMOS process;UTSi process;UTSi silicon-on-sapphire CMOS process;UTSi technology;analog circuits;analog design;capacitors;dual polysilicon capacitors;fully insulating substrate;fully integrated MMICs;high-Q capacitors;high-Q inductors;inductor characteristics;inductors;insulating substrate isolation;linear double-poly capacitors;manufacturability;mixed signal design;mixed-signal products;multilayer Al metallization;parasitic capacitance;passive components;reliability;resistor TCR;resistor characteristics;resistor voltage coefficients;resistors;sapphire substrate;silicon epitaxial layer;single crystal sapphire","","3","11","4","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"Control of the size and spatial location of voids in silicon by helium and hydrogen implantation","Roberds, B.E.; Rudolph, A.; Whang, E.J.; Doyle, B.S.","Intel Corp., Santa Clara, CA, USA","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","33","34","Summary form only given. There has been recent interest in the study of implanted helium and/or hydrogen induced voids in silicon. Much of this interest has stemmed from the ion-cutting techniques originally developed by Bruel (Electron. Lett. vol. 31, p. 1201, 1995). Although most of the literature on this topic has centered on the ion-cutting aspects, a few studies have concentrated on topics such as internal surface science, electronic properties, and quantum/photonic effects. Very little work has been done on controlling the size, density, and placement of these voids. In this work, we investigate the effects of annealing, co-implants, and patterned implants to study the effects on size and placement of stable voids in silicon. For the first time, we show here that void regions can be placed in precise (<0.5 /spl mu/m) locations and that void size is controllable with the appropriate annealing and implant schedules. This work provides a better understanding of the void-dislocation interactions involved and the processes of void nucleation and growth.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723097","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723097","","Annealing;Electrons;Helium;Histograms;Hydrogen;Implants;Materials science and technology;Physics;Silicon on insulator technology;Size control","annealing;dislocation interactions;elemental semiconductors;helium;hydrogen;ion implantation;nucleation;silicon;voids (solid)","Si;Si:H;Si:H,He;Si:He;annealing;annealing schedule;co-implants;electronic properties;helium implantation;helium/hydrogen co-implantation;hydrogen implantation;implant schedule;implanted helium induced voids;implanted hydrogen induced voids;internal surface science;ion-cutting techniques;patterned implants;photonic effects;quantum effects;silicon;stable voids;void density;void growth;void nucleation;void placement;void regions;void size;void size control;void spatial location control;void-dislocation interactions","","0","2","5","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"Control of off-state current in scaled PD/SOI CMOS digital circuits","Pelella, M.M.; Fossum, J.G.; Krishnan, S.","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","147","148","A recent study of the scalability of partially depleted (PD) SOI CMOS technology (Chau et al. IEEE IEDM Tech. Dig., p. 591, Dec. 1997) led to the conclusion that it was no better than bulk-Si CMOS for sub-0.25 /spl mu/m digital applications, irrespective of its inherent advantages, because of the higher threshold voltage (V/sub T/) needed to limit the off-state current (I/sub off/) of the nMOSFET, which tends to be high because of the drain (V/sub DS/)-induced floating-body (FB) effect (i.e. the kink effect) in addition to the barrier lowering (DIBL). In this paper, we give a physically insightful analysis of the FB effect on I/sub off/ based on the scaled PD/SOI CMOS technology described by Chau et al. which contradicts the negative assessment of the scalability of SOI digital ICs. Device and circuit simulations of operation at high chip temperatures (55-85/spl deg/C) that are typical for high-performance circuits show that the FB effect can be naturally ameliorated, and that previously proven techniques for controlling FB effects are also effective in limiting I/sub off/. Furthermore, we show that the temperature coefficient of the body-source voltage (V/sub BS/) is strongly dependent on the recombination current (I/sub R/) of the junctions, and the impact on circuit performance of an increased I/sub R/ is shown to be negligible.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723154","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723154","","CMOS digital integrated circuits;CMOS technology;Circuit optimization;Circuit simulation;Digital circuits;MOSFET circuits;Scalability;Temperature control;Temperature dependence;Threshold voltage","CMOS digital integrated circuits;MOSFET;circuit simulation;electric current;electron-hole recombination;integrated circuit design;integrated circuit modelling;silicon-on-insulator;thermal analysis","0.25 micron;55 to 85 C;FB effect;SOI digital ICs;Si-SiO/sub 2/;body-source voltage temperature coefficient;bulk-Si CMOS;chip temperatures;circuit performance;circuit simulations;device simulations;digital applications;drain-induced barrier lowering;drain-induced floating-body effect;junction recombination current;kink effect;nMOSFET;off-state current;off-state current control;partially depleted SOI CMOS technology;scalability;scaled PD/SOI CMOS digital circuits;scaled PD/SOI CMOS technology;threshold voltage","","3","6","4","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"Suppression of Si etching during hydrogen annealing of silicon-on-insulator","Sato, N.; Ito, M.; Nakayama, J.; Yonehara, T.","Canon Inc., Kanagawa, Japan","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","17","18","Generally, polishing is employed as the final treatment of silicon-on-insulator (SOI) at the expense of SOI thickness reduction, because surface microroughness affects the gate oxide integrity. Hydrogen annealing of SOI wafers (Sato and Yonehara, 1994) was originated to replace the polishing, and was traced by several groups. This novel method is advantageous in that there is no thickness reduction in principle. However, in view of the Si etching during hydrogen annealing, various etching rates have been reported in the literature, leading to the question of how much Si is consumed or how much SOI thickness reduction is suppressed. In this paper, Si etching during hydrogen annealing is investigated by using ELTRAN wafers, which are fabricated by transferring epitaxial layers on porous Si on to handle wafers. The lowest reported etching rate to date is achieved.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723080","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723080","","Annealing;Atomic measurements;Etching;Fluid flow;Furnaces;Hydrogen;Silicon on insulator technology;Temperature dependence;Thickness measurement","annealing;dielectric thin films;etching;hydrogen;integrated circuit reliability;integrated circuit testing;integrated circuit yield;silicon-on-insulator;surface topography","ELTRAN wafers;H/sub 2/;SOI surface treatment;SOI thickness reduction;SOI thickness reduction suppression;SOI wafers;Si;Si consumption;Si etching suppression;Si-SiO/sub 2/;epitaxial layer transfer;etching rate;gate oxide integrity;handle wafers;hydrogen annealing;polishing;polishing process replacement;porous Si;silicon-on-insulator;surface microroughness","","0","15","11","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"Effect of body structure on analog performance of SOI NMOSFET's","Lee, J.-H.; Kim, O.; Shin, H.-C.; Park, Y.-J.","Sch. of Electr. Eng., Wonkwang Univ., Chonpuk, South Korea","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","61","62","Summary form only given. Recently, SOI devices have been applied to high performance mixed analog/digital or analog circuits. SOI devices with a modified structure were investigated for analog applications (Chan et al, 1995). We have studied the effect of body structure on analog performance of SOI NMOSFETs. The body structures are lateral body-floating (without body contact), lateral body-tied, and vertical body-tied, respectively. Three device structures are fabricated on the same wafer by wafer bonding and etch-back technology. Key analog parameters such as g/sub m/r/sub o/ and 1/f noise are measured and compared. The lateral body-tied device shows the lowest 1/f noise spectral density. The vertical body-tied SOI device has the best g/sub m/r/sub o/ characteristics at V/sub DS/ of 3 V and I/sub D/ of 10 /spl mu/A. We also showed the g/sub m/r/sub o/ characteristics of vertical body-tied SOI devices with different boron implantation dose for doping of the buried polysilicon body electrode.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723111","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723111","","Boron;Circuit noise;Current measurement;Electric variables measurement;Electrodes;Immune system;MOSFET circuits;Noise measurement;Semiconductor device noise;Wafer bonding","1/f noise;MOS analogue integrated circuits;MOSFET;buried layers;etching;semiconductor device noise;semiconductor device testing;silicon-on-insulator;wafer bonding","1/f noise;1/f noise spectral density;10 muA;3 V;SOI NMOSFETs;SOI devices;Si-SiO/sub 2/;Si:B;analog circuits;analog parameters;analog performance;body structure;body structure effects;boron implantation dose;buried polysilicon body electrode doping;device structures;lateral body-floating structure;lateral body-tied device;lateral body-tied structure;mixed analog/digital circuits;vertical body-tied SOI device;vertical body-tied structure;wafer bonding/etch-back technology","","0","15","3","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
"Kinetics of splitting in the Smart-Cut/sup R/ process","Aspar, B.; Lagahe, C.; Moriceau, H.; Soubie, A.; Bruel, M.; Auberton-Herve, A.J.; Barge, T.; Maleville, C.","Centre d'Etudes Nucleaires de Grenoble, France","SOI Conference, 1998. Proceedings., 1998 IEEE International","20020806","1998","","","137","138","The Smart-Cut/sup R/ process is based on proton implantation and wafer bonding (Bruel, Electron. Lett. vol. 31, no. 14, pp. 1201-2, 1995). Proton implantation enables delamination of a thin layer from a thick substrate to be achieved, whereas the wafer bonding technique enables different multilayer structures to be achieved by transferring the delaminated layer to a second substrate. One of the best known current applications of Smart Cut/sup R/ is the silicon on insulator structure. The Smart-Cut process is suitable for different kinds of applications and the principle of this process can be applied to various materials (Si, SiC, GaAs, etc.) (Bruel, 1995; Di Cioccio et al. ibid, vol. 32, no. 12, pp. 1144-5, 1996; Jalaguier et al. ibid, vol. 34, no. 4, pp. 408-9, 1998). In this paper, the physical mechanisms involved in the delamination process are discussed based on the study of activation energies necessary to obtain splitting.","1078-621X","0-7803-4500-2","","10.1109/SOI.1998.723149","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723149","","Annealing;Conductivity;Diffusion bonding;Electrons;Hydrogen;Kinetic theory;Microcavities;Silicon;Temperature control;Wafer bonding","annealing;delamination;ion implantation;silicon-on-insulator;wafer bonding","GaAs;Si;Si-SiO/sub 2/;SiC;Smart-Cut materials;Smart-Cut process;Smart-Cut process applications;annealing;delaminated layer transfer;delamination process mechanisms;multilayer structures;proton implantation;silicon on insulator structure;splitting activation energies;splitting kinetics;thin layer delamination;wafer bonding","","0","2","8","","","5-8 Oct. 1998","05 Oct 1998-08 Oct 1998","IEEE","IEEE Conference Publications"
