"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28p_Publication_Title%3AHardware%2FSoftware+Codesign+and+System+Synthesis+.LB.CODES.PLS.ISSS.RB.%2C+2010+IEEE%2FACM%2FIFIP+International+Conference+on%29",2015/07/23 13:39:09
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An introduction to the SystemC synthesis subset standard","Coussy, P.; Takach, A.; McNamara, M.; Meredith, M.","Univ. de Bretagne-Sud, Lorient, France","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","183","184","High-level synthesis (HLS) offers the prospect of improving the productivity digital system design and the quality of the resulting implementations. Designing at higher levels of abstraction is a natural way for coping with system design complexity, for verifying earlier in the design process and for increasing design reuse. OSCI's synthesis working group (SWG) has led the effort of defining the synthesis subset for SystemC that is suitable for HLS. Draft version 1.3 of the document was released for public review in August 2009. While still in draft form, the released document provides guidance to both tool providers and users on the subset that is being proposed and the ability to provide feedback to the SWG on the draft. This tutorial will provide a brief introduction and three case studies on the use of HLS and the current SystemC synthesis subset draft for hardware design of digital systems.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751498","High-level synthesis","Hardware design languages;Resource management","computational complexity;digital systems;high level synthesis","OSCI synthesis working group;SystemC synthesis subset standard;hardware design;high level synthesis;productivity digital system design;system design complexity","","0","","7","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
"A holistic approach to Network-on-Chip synthesis","Leary, G.; Chatha, K.S.","Dept. of CSE, Arizona State Univ., Tempe, AZ, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","213","222","Application specific Network-on-Chip (NoC) architectures have emerged as a leading technology to address the communication woes of multi-processor System-on-Chip architectures. Synthesis approaches for custom NoC must address several requirements including cumulative bandwidth and transaction level (TL) communication requirements, multiple application use-cases, deadlock avoidance, and router port bandwidth and arity constraints. In this paper we present a holistic algorithm for NoC synthesis which is able to address all these requirements together in an integrated manner. The approach is able to generate designs that consume minimum dynamic power consumption, and at most twice the number of routers (and leakage power) as an optimal solution. In terms of performance the technique is able to generate NoC designs with very low average communication latencies (verified by actual simulations) and equally low standard deviation (jitter) while utilizing simple best effort routers. We evaluated the effectiveness and quality of the proposed technique by comparisons with two existing approaches. Extensive experimental results are presented for synthetic/realistic multiple use case applications, cumulative/transaction traffic requirements, increasing application bandwidth requirements, and different port arity constraints.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751504","Best Effort;Deadlock Avoidance;Multiple Use-Cases;Network-on-Chip;Port Arity;Synthesis","Bandwidth;Complexity theory;Computer architecture;Libraries;Power demand;System recovery;Topology","network routing;network synthesis;network-on-chip","NoC architectures;bandwidth requirements;cumulative-transaction traffic requirements;deadlock avoidance;holistic approach;leakage power;minimum dynamic power consumption;multiprocessor system-on-chip architectures;network-on-chip synthesis;port arity constraints;router port bandwidth;transaction level communication requirements","","0","","10","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
"Hardware/software co-design for high performance computing: Challenges and opportunities","Hu, X.S.; Murphy, R.C.; Dosanjh, S.; Olukotun, K.; Poole, S.","Dept. of Comput. Sci. & Eng., Univ. of Notre Dame, Notre Dame, IN, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","63","64","This special session aims to introduce to the hardware/software codesign community challenges and opportunities in designing high performance computing (HPC) systems. Though embedded system design and HPC system design have traditionally been considered as two separate areas of research, they in fact share quite some common features, especially as CMOS devices continue along their scaling trends and the HPC community hits hard power and energy limits. Understanding the similarities and differences between the design practices adopted in the two areas will help bridge the two communities and lead to design tool developments benefiting both communities.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751525","High performance computing;hardware/software codesign","Communities;Computer architecture;Hardware;High performance computing;Program processors;System analysis and design","embedded systems;hardware-software codesign","CMOS device;HPC system design;embedded system design;hardware-software codesign;high performance computing;tool development","","0","","6","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
"System-level reliability modeling for MPSoCs","Yun Xiang; Chantem, T.; Dick, R.P.; Hu, X.S.; Li Shang","EECS Dept., Univ. of Michigan, Ann Arbor, MI, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","297","306","The reliability of multi-processor systems-on-chip (MPSoCs) is affected by several inter-dependent system-level and physical effects. Accurate and fast reliability modeling is a primary challenge in the design and optimization of reliable MPSoCs. This paper presents a reliability modeling framework that integrates device-, component-, and system-level models. This framework contains modules for electromigration, time-dependent dielectric breakdown, stress migration, and variable-amplitude thermal cycling. A new statistical reliability distribution is proposed for accurate characterization of components containing too few devices for an extreme value distribution to be appropriate. A hierarchical system-level survival lattice based Monte Carlo technique is used to estimate the temporal fault distributions of MPSoCs that use arbitrary static and dynamic reliability-enhancing redundancy schemes. Physical process variation, which may have a significant impact on MPSoC reliability, is considered in the model. The proposed modeling technique has 5% average error in mean time to failure and reduces simulation time by nearly 3 orders of magnitude relative to a non-hierarchical Monte Carlo technique.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751514","Performance;Reliability","Equations;Mathematical model","Monte Carlo methods;electric breakdown;electromigration;multiprocessing systems;reliability;system-on-chip","Monte Carlo technique;electromigration;hierarchical system level survival lattice;multiprocessor systems-on-chip;physical process variation;stress migration;system level reliability modeling;temporal fault distributions;time dependent dielectric breakdown;variable amplitude thermal cycling","","3","","30","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
"From ESL 2010 to ESL 2015","Jeremiassen, T.; Kogel, T.; Takach, A.; Martin, G.; Donlin, A.; Chatha, K.","","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","61","62","In 2010, a wave of consolidation swept over the Electronic System Level (ESL) design industry. It brought ESL providers together with mainstream EDA houses and created opportunities for new ESL ventures. This paper contains short summaries of presentations in a special session focusing on the future of ESL. The session has two goals: the first is to present the state of the art in ESL tools and practice and, second, share a vision of the technical challenges that the next generation of ESL companies should address. The session includes a mix of perspectives from both ESL solution vendors and end-users and touches all all four ESL use cases: software virtual platforms, performance analysis, high level synthesis and verification.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751524","ESL;SystemC;TLM","Adaptation model;Computer architecture;Hardware;Performance analysis;Prototypes;Software;System-on-a-chip","logic design;system-on-chip;virtual prototyping","ESL 2010;ESL 2015;ESL solution vendors;electronic system level design industry;performance analysis;software virtual platforms","","0","","","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
"Improving platform-based system synthesis by satisfiability modulo theories solving","Reimann, F.; Glass, M.; Haubelt, C.; Eberl, M.; Teich, J.","Univ. of Erlangen-Nuremberg, Erlangen, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","135","144","Due to the ever increasing system complexity, deciding whether a given platform is sufficient to implement a set of applications under given constraints becomes a serious bottleneck in platform-based design. As a remedy, the work at hand proposes a novel automatic platform-based system synthesis procedure, inspired by techniques developed in the context of automatic system verification known as Satisfiability Modulo Theories. It tightly couples the computation of a feasible allocation and binding with nonfunctional constraint checking where, in contrast to existing approaches, not only linear constraints but even nonlinear constraints are supported. This allows to efficiently prove whether there exists a feasible implementation of a set of applications on the given platform with respect to both, functional and nonfunctional constraints. Moreover, an approach for early learning based on feasibility checking of partial implementations is proposed that can significantly improve the synthesis runtime, especially in case the selected platform imposes stringent constraints on the implementation. The effectiveness of this approach is shown for an automotive ECU network design that requires Modular Performance Analysis to ensure nonfunctional nonlinear timing constraints.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751492","Algorithms;Design","Complexity theory;Decision trees;Encoding;Program processors;Resource management;Timing","computability;computational complexity;program verification","automatic platform-based system synthesis;automatic system verification;automotive ECU network;modular performance analysis;nonfunctional constraints;nonfunctional nonlinear timing constraints;nonlinear constraints;satisfiability modulo theories solving;system complexity","","2","","23","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
"A task remapping technique for reliable multi-core embedded systems","Chanhee Lee; Hokeun Kim; Hae-woo Park; Sungchan Kim; Hyunok Oh; Soonhoi Ha","Seoul Nat. Univ., Seoul, South Korea","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","307","316","With the continuous scaling of semiconductor technology, the life-time of circuit is decreasing so that processor failure becomes an important issue in MPSoC design. A software solution to tolerate run-time processor failure is to migrate tasks from the failed processors to the live processors when failure occurs. Previous works on run-time task migration usually aim to minimize the migration overhead with or without a given latency constraint. For streaming applications, however, it is more important to minimize the throughput degradation than the migration overhead or the latency. Hence, we propose a task remapping technique to minimize the throughput degradation assuming that the migration overhead can be amortized safely. The target multi-core system assumed in this paper consists of processor pools and each pool consists of homogeneous processors. The proposed technique is based on an intensive compile-time analysis for all possible failure scenarios. It involves the following steps; (1) Determine the static mapping of tasks onto the live processors, aiming to minimize the throughput degradation: (2) Find an optimal processor-to-processor mapping to minimize the task migration overhead: and (3) Store the resultant task remapping information that includes task mapping and processor-to-processor mapping results. Since the task remapping information is pre-computed at compile-time for all possible failure scenarios, it should be efficiently represented and stored. At run-time, we simply remap the tasks following the compile-time decision. We examine the scalability of the proposed technique on both space and run-time overhead for compile-time analysis varying the number of failed processors. Through intensive experiments, we show that the proposed technique outperforms the previous works with respect to application throughput.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751515","Multi-core embedded systems;reliability;static task mapping","Computer architecture;Degradation;Embedded systems;Encoding;Processor scheduling;Reliability;Throughput","embedded systems;fault tolerant computing;multiprocessing systems;program compilers;system-on-chip","MPSoC design;compile time analysis;homogeneous processors;multicore embedded system relibility;optimal processor-to-processor mapping;processor failure;processor pool;semiconductor technology;task remapping technique","","2","","24","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
"Unconventional fabrics, architectures, and models for future multi-core systems","Marculescu, R.; Teuscher, C.; Pande, P.P.","Dept. of Electr. & Comput. Eng., Carnegie Mellon Univ., Pittsburgh, PA, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","327","328","Massive level of integration is making modern multi-core chips all-pervasive in several domains. Hence, high performance, robustness, and low power are crucial for the widespread adoption of such platforms. However, achieving all these goals forces us to re-think the basis of designing multi-core systems at nanoscale, starting with the very substrate we need to use to implement such systems in the future, particularly for nanowire (or carbon nanotube) based on-chip interconnect obtained through self-assembly techniques. Due to the lack of control over these processes, such interconnects are expected to be largely unstructured. While large unstructured networks are easy to fabricate, they require unconventional architectures and communication paradigms. For instance, by getting inspiration from many natural systems with network-based architectures, the future multi-core systems at nanoscale are expected to be hierarchical and heterogeneous in nature, as many powerful features such as increased performance, better resource utilization, and an increased robustness against failures of many natural networks come precisely from their heterogeneity, unstructuredness, and hierarchical nature. As such, an important performance limitation of multi-core chips designed with regular network architectures arises from planar metal interconnect-based multi-hop links, where the data transfer between two distant blocks can cause high latency and power consumption.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751517","Multi-core;architecture;interconnect;networks-on-chip;routing;self-assembly;workload","Measurement;Metals;Multicore processing;Optimization;System-on-a-chip;Wireless communication","multiprocessing systems;multiprocessor interconnection networks;nanowires","data transfer;multicore system;nanowire based onchip interconnect;network based architecture;planar metal interconnect based multihop links;power consumption;selfassembly technique","","0","","7","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
"Demand-based block-level address mapping in large-scale NAND flash storage systems","Zhiwei Qin; Yi Wang; Duo Liu; Zili Shao","Dept. of Comput., Hong Kong Polytech. Univ., Kowloon, China","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","173","182","The increasing capacity of NAND flash memory leads to large RAM footprint on address mapping in the Flash Translation Layer (FTL) design. This paper proposes a novel Demand-based block-level Address mapping scheme with two-level Caching mechanism (DAC) for large-scale NAND flash storage systems. The objective is to reduce RAM footprint without sacrificing too much system response time. In our technique, the block-level address mapping table is stored in fixed pages (called translation pages) in the flash memory. Considering temporal locality that workloads exhibit, we maintain one cache in RAM to store the on-demand block-level address mapping information. Meanwhile, by exploring both spatial locality and access frequency of workloads with another two caches, the second-level cache is designed to cache selected translation pages into RAM. In such a way, address mapping information for both sequential accesses and most-frequently-accessed translation pages can be found in the cache, and therefore, the system response time can be improved. We conduct experiments on a mixture of real-world and synthetic traces. The experimental results show that our technique can significantly reduce the RAM footprint while the average response time is kept well under control. Moreover, our technique shows big improvement on wear-leveling compared with the previous work.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751497","Block-Level Mapping;NAND Flash;Two-Level Cache","Digital video broadcasting","NAND circuits;cache storage;flash memories;integrated circuit design;random-access storage","NAND flash storage systems;RAM footprint;access frequency;caching mechanism;demand-based block-level address mapping;flash memory;flash translation layer design;spatial locality","","3","","29","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
"Towards a synthesis semantics for SystemC channels","Gruttner, K.; Kleen, H.; Oppenheimer, F.; Rettberg, A.; Nebel, W.","OFFIS - Inst. for Inf. Technol., Oldenburg, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2010 IEEE/ACM/IFIP International Conference on","20110415","2010","","","163","172","In this paper we propose a synthesis semantics for SystemC™ channels, which contribute to a clear separation between computation (algorithm) and communication, whereas communication related parts are modelled through either primitive or hierarchical channels. We present a synthesisable replacement for SystemC primitive channels that allows deterministic access scheduling and user-constrained refinement for HW/HW and HW/SW communication. We demonstrate the feasibility of our approach through synthesis and exploration of a communication intensive packet switch design under consideration of different configurations and communication refinements.","","978-1-6055-8905-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5751496","Design","Encoding;Hardware;Indexes;Protocols;Schedules;Semantics;Synchronization","C++ language;hardware-software codesign;semantic networks;telecommunication channels","HW/HW communication;HW/SW communication;SystemC channels;deterministic access scheduling;packet switch design;synthesis semantics;user-constrained refinement","","1","","31","","","24-29 Oct. 2010","","IEEE","IEEE Conference Publications"
