"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4294967269%26matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design+Automation+Conference+.LB.DAC.RB.%29+AND+2012%29",2015/06/23 14:47:08
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A new uncertainty budgeting based method for robust analog/mixed-signal design","Jin Sun; Gupta, P.; Roveda, J.","Orora Design Technol., Inc., Issaquah, WA, USA","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","529","535","This paper proposes a novel methodology for robust analog/mixed-signal IC design by introducing a notion of budget of uncertainty. This method employs a new conic uncertainty model to capture process variability and describes variability-affected circuit design as a set-based robust optimization problem. For a pre-specified yield requirement, the proposed method conducts uncertainty budgeting by associating performance yield with the size of uncertainty set for process variations. Hence the uncertainty budgeting problem can be further translated into a tractable robust optimization problem. Compared with the existing robust design flow based on ellipsoid model, this method is able to produce more reliable design solutions by allowing varying size of conic uncertainty set at different design points. In addition, the proposed method addresses the limitation that the size of ellipsoid model is calculated solely relying on the distribution of process parameters, while neglecting the dependence of circuit performance upon these design parameters. The proposed robust design framework has been verified on various analog/mixed-signal circuits to demonstrate its efficiency against ellipsoid model. An up to 24% reduction of design cost has been achieved by using the uncertainty budgeting based method.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241557","Budget of Uncertainty;Performance Yield;Process Variations;Robust Design;Uncertainty Set","Circuit optimization;Ellipsoids;Integrated circuit modeling;Robustness;Stochastic processes;Uncertainty","integrated circuit design;integrated circuit yield;mixed analogue-digital integrated circuits","conic uncertainty model;conic uncertainty set;design cost reduction;design solution reliability;ellipsoid model;performance yield;process parameter distribution;process variability;robust analog-mixed-signal IC design;robust design framework;set-based robust optimization problem;uncertainty budgeting;variability-affected circuit design","","0","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
"Recovery-based design for variation-tolerant SoCs","Kozhikkottu, V.; Dey, S.; Raghunathan, A.","","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","826","833","Parameter variations have emerged as a significant threat to continued CMOS scaling in the nanometer regime. Due to increasing performance penalties associated with worst-case design, recovery based design has emerged as a promising approach for dealing with the impact of variations. Previous work has applied recovery based design at the circuit and micro-architecture levels of abstraction. In this work, we address the problem of designing variation-tolerant SoCs using the recovery based design paradigm. We demonstrate that a monolithic implementation of recovery based design fails to scale for large SoCs. We propose the concept of recovery islands, wherein each island consists of one or more SoC components that can recover independent of the rest of the SoC, and demonstrate how our proposal can be easily realized via minor changes to a traditional SoC design flow. We study the tradeoffs involved in applying recovery based design at the system level. We demonstrate that it is critical to account for (i) the inherent diversity of the error-voltage profiles among various components in an SoC, and (ii) the impact of error recovery in a component on overall system performance. We then propose a systematic recovery-based SoC design methodology that partitions a given SoC into recovery islands and also computes the optimal operating points for each island, taking into account the various system level trade-offs involved. We evaluate our framework on three different SoC designs, an 802.11b MAC processor, an MPEG encoder and a Wireless Video Capture system and demonstrate an average of 32% energy savings over conventional designs.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241601","Low Power Design;System-on-chip;Variation Aware Design;Variation Tolerance","Clocks;Delay;Error analysis;System performance;System-on-a-chip;Voltage control","integrated circuit design;recovery;system-on-chip","802.11b MAC processor;CMOS scaling;MPEG encoder;SoC components;error recovery impact;error-voltage profiles;parameter variations;recovery islands;systematic recovery-based SoC design methodology;variation-tolerant SoC design;wireless video capture system;worst-case design","","0","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
"A chip-package-board co-design methodology","Hsu-Chieh Lee; Yao-Wen Chang","Grad. Inst. of Electron. Eng., Nat. Taiwan Univ., Taipei, Taiwan","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","1082","1087","In today's IC production, the design processes of chips, packages, and boards are typically separate from each other. The lack of information from other domains causes signicant design convergence problems and greatly reduces design quality. In this paper, we propose the first chip-package-board codesign methodology that provides true bidirectional information interactions among the three design domains. The codesign adopts a two-pass flow of board-package-chip followed by chip-package-board routing interactions to facilitate the overall design integration. Experimental results show that our codesign flow succeeds in the routing for all test cases, while a traditional flow and two board-driven flows fail all cases.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241639","PCB routing;Physical design;co-design;flip-chip routing","Algorithm design and analysis;Arrays;Chip scale packaging;Cost function;Layout;Routing;Terminology","electronic design automation;integrated circuit design;integrated circuit packaging;network routing;printed circuit design","IC production;bi-directional information;chip-package-board codesign methodology;chip-package-board routing interactions;design processes;two-pass flow","","0","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
"Rule agnostic routing by using design fabrics","Suto, G.","Core CAD Technol., Intel Corp., Hillsboro, OR, USA","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","471","475","Moore's law requires the shrinking of physical dimensions of the transistors to roughly half their area every two years. This poses a tremendous challenge on how to print and manufacture these ever-shrinking physical components that make up the transistors and the interconnect - generation after process generation. One aspect of this challenge is that the process rules are exploding in complexity - directly translating into physical design EDA (Electronic Design Automation) tool complexity. Traditional design rules governed the spacing, overlap or alignment of any two layout objects from this set: diffusion, poly, via cut, wire, etc. In this work we propose a solution that relies on grids (aka. Fabrics), models the design rules on those grids and presents them to the EDA tools in such a way that it minimizes the complexity cost on the tools' side. In an ideal situation, the proposed solution can completely decouple the tools from the process rules, i.e. even if the tools don't change at all, they'll still be able to support new process nodes.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241548","API;Abstraction;Design rules;Fabrics;Grids","Fabrics;Layout;Payloads;Routing;Solid modeling;Wires","circuit complexity;electronic design automation;integrated circuit interconnections;integrated circuit layout;network routing;vias","Moore's law;complexity cost minimization;design fabrics;design rules;electronic design automation tool;grid-based model;interconnect generation;layout objects alignment;layout objects overlap;layout objects spacing;physical design EDA tool complexity;process generation;process rules;rule agnostic routing","","1","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
"Design tools for artificial nervous systems","Scheffer, L.K.","Howard Hughes Med. Inst., Howard, WI, USA","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","717","722","Electronic and biological systems both perform complex information processing, but they use very different techniques. Though electronics has the advantage in raw speed, biological systems have the edge in many other areas. They can be produced, and indeed self-reproduce, without expensive and finicky factories. They are tolerant of manufacturing defects, and learn and adapt for better performance. In many cases they can self-repair damage. These advantages suggest that biological systems might be useful in a wide variety of tasks involving information processing. So far, all attempts to use the nervous system of a living organism for information processing have involved selective breeding of existing organisms. This approach, largely independent of the details of internal operation, is used since we do not yet understand how neural systems work, nor exactly how they are constructed. However, as our knowledge increases, the day will come when we can envision useful nervous systems and design them based upon what we want them to do, as opposed to variations on what has been already built. We will then need tools, corresponding to our Electronic Design Automation tools, to help with the design. This paper is concerned with what such tools might look like.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241584","Biological systems;Design Automation;Neurons","Animals;Chemicals;Logic gates;Neurons","artificial intelligence;bioinformatics;electronic design automation;neurophysiology","artificial nervous systems;biological systems;complex information processing;electronic design automation tools;electronic systems;internal operation details;living organism;manufacturing defects;neural systems;selective organisms breeding;self-repair damage","","0","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
"Automated feature localization for hardware designs using coverage metrics","Malburg, J.; Finder, A.; Fey, G.","Univ. of Bremen, Bremen, Germany","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","941","946","Due to the increasing complexity modern System on Chip designs are developed by large design teams. In addition, existing design blocks are re-used such that the knowledge about these parts of the design entirely depends on the quality of the documentation. For a single designer it is almost impossible to have detailed knowledge about all blocks and their interaction. We introduce a simulation-based automation technique to support design understanding. Based on use cases provided by the designer and on their coverage information, the proposed technique identifies parts of the source code that are relevant for a certain functional feature. In two case studies the technique is shown to be at least as exact as reading the documentation with two important advantages: the automated approach is fast and more precise than the existing documentation for the inspected designs.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241617","Design Understanding;Feature Localization;Simulation","Color;Documentation;Hardware;Hardware design languages;Measurement;Prototypes;Software","electronic design automation;integrated circuit design;system-on-chip","automated feature localization;coverage metrics;documentation quality;functional feature;hardware designs;inspected designs;simulation-based automation technique;source code identification;system-on-chip designs","","1","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
"The DAC 2012 routability-driven placement contest and benchmark suite","Viswanathan, N.; Alpert, C.; Sze, C.; Zhuo Li; Yaoguang Wei","IBM Corp., Austin, TX, USA","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","774","782","Existing routability-driven placers mostly employ rudimentary and often crude congestion models that fail to account for the complexities in modern designs, e.g., the impact of non-uniform wiring stacks, layer directives, partial and/or complete routing blockages, etc. In addition, they are hampered by congestion metrics that do not accurately score or represent design congestion. This is in large part due to the non-availability of public designs depicting industrial wiring stacks and other complexities affecting design routability. The aim of the DAC 2012 routability-driven placement contest is to address these issues, by way of the following: (a) release challenging benchmark designs that are derived from modern industrial ASICs, and contain information to perform both placement and routing, (b) present a new congestion metric, as well as an accurate congestion analysis framework to evaluate and compare the routability of various placement algorithms. We hope that a set of challenging benchmarks, along with a standard, publicly available evaluation framework will further advance research in routability-driven placement.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241593","Benchmarks;Congestion Analysis;Physical Design;Placement;Routing","Benchmark testing;Measurement;Nickel;Pins;Routing;Wiring","application specific integrated circuits;integrated circuit design;network routing","benchmark design;congestion metrics;crude congestion model;design congestion;design routability;industrial wiring stacks;modern industrial ASIC;routability driven placement","","3","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
"Considering diagnosis functionality during automatic system-level design of automotive networks","Eberl, M.; Glas, M.; Teich, J.; Abelein, U.","Univ. of Erlangen-Nuremberg, Erlangen, Germany","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","205","213","Today, design automation approaches for automotive E/E-architectures focus solely on application functionality, neglecting firmware-related functionalities like diagnostic tests that are of utmost importance for quality features such as dependability or maintenance. However, the latter are typically considered dispensable since they do not provide direct service to the user. This paper proposes a novel approach for integrating optional diagnosis functionality into a holistic design space exploration of automotive E/E-architectures at system-level. Opposed to application functionality, hardware-diagnostics dig deep into the hardware-structures and, hence, require specific tailoring for the employed resources. A case study with Software-Based Self-Tests representing advanced diagnosis functionality gives evidence of the viability and efficiency of the proposed approach, highlighting the importance of a holistic consideration of application as well as firmware-related functionality.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241512","Automotive;Design Space Exploration;Diagnosis","Automotive engineering;Built-in self-test;Hardware;Logic gates;Monitoring;Resource management;Routing","automotive electronics;firmware;mechanical engineering computing;testing;vehicle dynamics","application functionality;automatic system-level design;automotive E/E-architectures;automotive networks;dependability feature;design automation;design space exploration;diagnostic tests;firmware-related functionalities;maintenance feature;optional diagnosis functionality;software-based self-tests","","0","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
"Design exploration of energy-performance trade-offs for wireless sensor networks","Beretta, I.; Rincon, F.; Khaled, N.; Grassi, P.R.; Rana, V.; Atienza, D.","ESL, Ecole Polytech. Fed. de Lausanne, Lausanne, Switzerland","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","1043","1048","Wireless sensor networks (WNSs) are gradually evolving from a promising technology to a well-established reality in a large set of different domains. In order to fulfill the requirements of the specific scenario, a WSN must provide the right tradeoff between performance and lifetime, which is heavily determined by the network design. However, although the complexity of WSNs is increasing, the design space exploration is often carried out manually without the support of a general analytical methodology. In this paper, we advocate a model-based approach as an efficient and scalable way to explore the energy-performance tradeoffs during the design. In particular, we show that it is possible to define systemlevel models to describe wide classes of WSNs, providing a quick and accurate network evaluation. As a proof of concept, we propose a general model that describes the main characteristics of a class of WSNs for human health monitoring, and we apply it to a real case study. The results show that the energy-performance estimation error of the model never exceeds 1.74% compared to real data, while the evaluation time is reduced by up to 6 orders of magnitude with respect to an accurate network simulation.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241633","Cross-layer design;Model-based design;System-level modeling;Wireless body sensor networks;Wireless sensor networks","Delay;Discrete wavelet transforms;Energy consumption;IEEE 802.15 Standards;Media Access Protocol;Wireless sensor networks","biomedical communication;patient monitoring;wireless sensor networks","WSN;design exploration;design space exploration;energy-performance estimation error;energy-performance trade-offs;energy-performance tradeoffs;general analytical methodology;human health monitoring;model-based approach;network design;network evaluation;wireless sensor networks","","0","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
"Guiding a physical design closure system to produce easier-to-route designs with more predictable timing","Zhuo Li; Alpert, C.J.; Gi-Joon Nam; Sze, C.; Viswanathan, N.; Zhou, N.Y.","Austin Res. Lab., IBM, Austin, TX, USA","Design Automation Conference (DAC), 2012 49th ACM/EDAC/IEEE","20120719","2012","","","465","470","Physical synthesis has emerged as one of the most important tools in design closure, which starts with the logic synthesis step and generates a new optimized netlist and its layout for the final signoff process. As stated in [1], “it is a wrapper around traditional place and route, whereby synthesis-based optimization are interwoven with placement and routing.” A traditional physical synthesis tool generally focuses on design closure with Steiner wire model. It optimizes timing/area/power with the assumption that each net can be routed with optimal Steiner tree. However, advanced design rules, more IP and hierarchical design styles for super-large billion-gate designs, serious buffering problems from interconnect scaling and metal layer stacks make routing a much more challenging problem [2]. This paper discusses a series of techniques that may relieve this problem, and guide the physical design closure system to produce not only easier to route designs, but also better timing quality. Open challenges are also overviewed at the end.","0738-100X","978-1-4503-1199-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6241547","Physical Synthesis;Timing Driven Routing","Logic gates;Metals;Optimization;Routing;Timing;Wires","interconnections;logic design;network routing;network synthesis;trees (mathematics)","Steiner wire model;easier-to-route designs;interconnect scaling;logic synthesis;optimal Steiner tree;physical design closure system;synthesis-based optimization","","0","","","","","3-7 June 2012","","IEEE","IEEE Conference Publications"
