"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB..QT.Publication+Title.QT.%3ADesign+Automation+Conference+.LB.DAC.RB.%2C+2013+50th+ACM%2FEDAC%2FIEEE.RB.",2015/07/17 18:49:50
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Taming the complexity of coordinated place and route","Jin Hu; Myung-Chul Kim; Markov, I.L.","","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","7","IC performance, power dissipation, size, and signal integrity are now dominated by interconnects. However, with ever-shrinking standard cells, blind minimization of interconnect during placement causes routing failures. Hence, we develop Coordinated Placeand-Route (CoPR) with (i) a Lightweight Incremental Routing Estimation (LIRE) frequently invoked during placement, (ii) placement techniques that address three types of routing congestion, and (iii) an interface to congestion estimation that supports new types of incrementality. LIRE comprehends routing obstacles and nonuniform routing capacities, and relies on a cache-friendly, fully incremental routing algorithm. Our implementation extends and improves our winning entry at the ICCAD 2012 Contest.","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560743","","Benchmark testing;Complexity theory;Estimation;Layout;Optimization;Routing;Runtime","failure analysis;integrated circuit interconnections;network routing","CoPR complexity;IC performance;LIRE;coordinated place-and-route complexity;ever-shrinking standard cells;fully incremental routing algorithm;interconnect blind minimization;lightweight incremental routing estimation;placement techniques;power dissipation;routing congestion;routing failures","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"Routability-driven placement for hierarchical mixed-size circuit designs","Meng-Kai Hsu; Yi-Fang Chen; Chau-Chin Huang; Tung-Chieh Chen; Yao-Wen Chang","Grad. Inst. of Electron. Eng., Nat. Taiwan Univ., Taipei, Taiwan","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","6","A wirelength-driven placer without considering routability could introduce irresolvable routing-congested placements. Therefore, it is desirable to develop an effective routability-driven placer for modern mixed-size designs employing hierarchical methodologies for faster turnaround time. This paper presents a novel two-stage technique to effectively identify design hierarchies and guide placement for better wirelength and routability. To optimize wirelength and routability simultaneously during placement, a new analytical net-congestion-optimization technique is also proposed. Compared with the participating teams for the 2012 ICCAD Design Hierarchy Aware Routability-driven Placement Contest, our placer can achieve the best quality (both the average overflow and wirelength) and the best overall score (by additionally considering running time).","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560744","Physical Design;Placement;Routability","Algorithm design and analysis;Circuit synthesis;Estimation;Lead;Mathematical model;Optimization;Routing","integrated circuit design;network routing;optimisation","hierarchical mixed-size circuit designs;net-congestion-optimization technique;routability-driven placement;wirelength-driven placer","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"High-performance hardware monitors to protect network processors from data plane attacks","Chandrikakutty, H.; Unnikrishnan, D.; Tessier, R.; Wolf, T.","Dept. of Electr. & Comput. Eng., Univ. of Massachusetts, Amherst, MA, USA","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","6","The Internet represents an essential communication infrastructure that needs to be protected from malicious attacks. Modern network routers are typically implemented using embedded multi-core network processors that are inherently vulnerable to attack. Hardware monitor subsystems, which can verify the behavior of a router's packet processing system at runtime, can be used to identify and respond to an ever-changing range of attacks. While hardware monitors have primarily been described in the context of general-purpose computing, our work focuses on two important aspects that are relevant to the embedded networking domain: We present the design and prototype implementation of a high-performance monitor that can track each processor instruction with low memory overhead. Additionally, our monitor is capable of defending against attacks on processors with a Harvard architecture, the dominant contemporary network processor organization. We demonstrate that our monitor architecture provides no network slowdown in the absence of an attack and provides the capability to drop attack packets without otherwise affecting regular network traffic when an attack occurs.","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560673","","Automata;Benchmark testing;Doped fiber amplifiers;Hardware;Monitoring;Program processors;Security","Internet;computer architecture;embedded systems;microprocessor chips;multiprocessing systems","Harvard architecture;Internet;attack packets;data plane attacks;dominant contemporary network processor organization;embedded multicore network processors;embedded networking domain;general-purpose computing;high performance hardware monitors;malicious attacks;memory overhead;network routers;network traffic;processor instruction","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"Underpowering NAND flash: Profits and perils","Hung-Wei Tseng; Grupp, L.M.; Swanson, S.","Dept. of Comput. Sci. & Eng., Univ. of California, San Diego, La Jolla, CA, USA","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","6","MLC Flash memory is getting more popular in computer systems ranging from sensor networks and embedded systems to large-scale server systems. However, MLC flash has many reliability concerns, including the potential for corruption due to supply voltage fluctuations. This paper characterizes MLC flash when the chip is underpowered (i.e., power fading and voltage droops). We demonstrate that underpowering flash can cause serious errors, but also help saving up to 45% of operation energy without incurring failure.","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560755","","Abstracts;Face;Solids","NAND circuits;flash memories","MLC flash memory;computer systems;embedded systems;large-scale server systems;multilevel cell;perils;power fading;profits;sensor networks;underpowering NAND flash;voltage droops","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"Simultaneous multithreading support in embedded distributed memory MPSoCs","Garibotti, R.; Ost, L.; Busseuil, R.; Kourouma, M.; Adeniyi-Jones, C.; Sassatelli, G.; Robert, M.","LIRMM, Univ. of Montpellier II, Montpellier, France","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","7","Scalability and programmability are important issues in large homogeneous MPSoCs. Such architectures often rely on explicit message-passing among processors, each of which possessing a local private memory. This paper presents a low-overhead hardware/software distributed shared memory approach that makes such architectures multithreading-capable. The proposed solution is implemented into an open-source message-passing MPSoC through developing a POSIX-like thread API, which shows excellent scalability using application kernels used for benchmarking in shared-memory systems. This approach efficiently draws strengths from the on-chip distributed private memory that opens the way to exposing the multithreading programmability/capabilities of that component as a general-purpose accelerator.","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560676","Distributed memory organization;Multithreading;NoC-based MPSoCs;Programmability","Bandwidth;Clocks;Computer architecture;Instruction sets;Multithreading;Protocols","application program interfaces;distributed shared memory systems;embedded systems;message passing;multi-threading;network-on-chip;public domain software;software reliability","NoC-based MPSoC;POSIX-like thread API;application kernels;embedded distributed memory MPSoC;general-purpose accelerator;homogeneous MPSoC;local private memory;low-overhead hardware distributed shared memory approach;multithreading programmability;on-chip distributed private memory;open-source message-passing MPSoC;shared-memory systems;simultaneous multithreading support;software distributed shared memory approach","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"A transmission gate physical unclonable function and on-chip voltage-to-digital conversion technique","Chakraborty, R.; Lamech, C.; Acharyya, D.; Plusquellic, J.","","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","10","A physical unclonable function (PUF) is an embedded integrated circuit (IC) structure that is designed to leverage naturally occurring variations to produce a random bitstring. In this paper, we evaluate a PUF which leverages resistance variations which occur in transmission gates (TGs) of ICs. We also investigate a novel on-chip technique for converting the voltage drops produced by TGs into a digital code, i.e., a voltage-to-digital converter (VDC). The analysis is carried out on data measured from chips subjected to temperature variations over the range of -40°C to +85°C and voltage variations of +/- 10% of the nominal supply voltage. The TG PUF and VDC produce high quality bitstrings that perform exceptionally well under statistical metrics including stability, randomness and uniqueness.","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560652","Hardware security;process variations;unique identifier","Arrays;Noise;Semiconductor device measurement;System-on-chip;TV;Voltage measurement;Wires","integrated circuit design","TG PUF;VDC;digital code;embedded IC structure;embedded integrated circuit structure;on-chip voltage-to-digital conversion technique;quality bitstrings;resistance variations;statistical metrics;temperature -40 degC to 85 degC;temperature variation;transmission gate physical unclonable function;voltage drops;voltage variation","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"New ERA: New efficient reliability-aware wear leveling for endurance enhancement of flash storage devices","Ming-Chang Yang; Yuan-Hao Chang; Che-Wei Tsao; Po-Chun Huang","Inst. of Inf. Sci., Taipei, Taiwan","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","6","As the program/erase (P /E) cycles of flash memory keep decreasing, improving the lifetime/endurance of flash memory has become a fundamental issue in the design of flash devices. This work is motivated by the observation that flash blocks endured the same P/E cycles usually have different bit error rates. In contrast to the existing wear-leveling techniques that try to distribute erases to flash blocks as evenly as possible, we propose an efficient reliability-aware wear-leveling scheme to distribute block erases based on the bit error rates of blocks so as to even out the error rate among flash blocks, to maximize the number of good blocks, and thus to ultimately prolong the lifetime of flash storage devices. The experiments were conducted based on representative realistic workloads to evaluate the efficacy of the proposed scheme, for which the results are very encouraging.","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560756","endurance;flash memory;reliability;wear leveling","Abstracts;Bit error rate;Epitaxial growth;Epitaxial layers;Performance evaluation;Reliability","durability;error statistics;flash memories;reliability;wear resistance","bit error rates;efficient reliability aware wear leveling;flash memory endurance enhancement;flash storage device design;reliability aware wear leveling scheme;wear leveling technique","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"APPLE: Adaptive Performance-Predictable Low-Energy caches for reliable hybrid voltage operation","Maric, B.; Abella, J.; Valero, M.","","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","8","Semiconductor technology evolution enables the design of resource-constrained battery-powered ultra-low-cost chips required for new market segments such as environment, urban life and body monitoring. Caches have been shown to be the main energy and area consumer in those chips. This paper proposes simple, hybrid-operation (high Vcc, ultra-low Vcc), single-Vcc domain Adaptive Performance-Predictable Low-Energy (APPLE) L1 cache designs based on replacing energy-hungry SRAM cells by more energy-efficient and smaller cells enhanced with extra cache lines set up in an adapted victim cache to still enable strong performance guarantees. APPLE caches are proven to largely outperform existing solutions in terms of energy and area efficiency.","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560677","Cache;Faults;Low Energy;Predictable Performance","Benchmark testing;Fault tolerance;Fault tolerant systems;Reliability engineering;SRAM cells;Transistors","SRAM chips;cache storage;integrated circuit reliability;semiconductor device reliability","APPLE caches;adaptive performance-predictable low-energy caches;energy-efficient;energy-hungry SRAM cells;hybrid voltage operation;resource-constrained battery-powered ultra-low-cost chips;semiconductor technology","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"A method to abstract RTL IP blocks into C++ code and enable high-level synthesis","Bombieri, N.; Hung-Yi Liu; Fummi, F.; Carloni, L.","Dip. Inf., Univ. di Verona, Verona, Italy","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","9","We present a method to automatically generate a synthesizable C++ specification from the given RTL design of an IP block, by abstracting away most of its micro-architectural characteristics while preserving its functionality. The goal is twofold: recover the IP block specification for system-level design, and enable the derivation of more optimized implementations through high-level synthesis.The C++ specification can be generated with different interfaces thus allowing the IP model to be reused across different system platforms. Experimental results show that the proposed approach not only enhances the reusability of the recovered IP block but also unveils a richer design space to explore.","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560749","RTL IP reuse;System-level Design","Clocks;Discrete cosine transforms;Dynamic scheduling;Hardware design languages;IP networks;Space exploration;Transform coding","C++ language;electronic engineering computing;integrated circuit design;microprocessor chips","C++ code;RTL IP blocks;enable high-level synthesis;microarchitectural characteristics;reusability;synthesizable C++ specification;system-level design","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"On the potential of 3D integration of inductive DC-DC converter for high-performance power delivery","Carlo, S.; Wen Yueh; Mukhopadhyay, S.","Sch. of ECE, Georgia Inst. of Technol., Atlanta, GA, USA","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","8","This paper studies the potential and challenges of integrating an inductor based DC-DC converter based voltage regulator module (VRM) as a separate die with processor for high-performance power delivery network (PD ). The frequency domain analysis of PD considering the converter shows 3D integration of VRM improves PD impedance but the effectiveness depends on the converter design and whether the LC filter is integrated on-board, on-package, or on-die with the die-stack. The methodologies to co-design the converter with PD and packaging scenarios are discussed and implications on PD impedance and power losses are studied to maximally exploit the advantage of 3D stacking.","0738-100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560772","3D Integration;DC-DC Converter;Power Delivery","Bandwidth;Frequency conversion;Impedance;Inductors;Packaging;Regulators;System-on-chip","DC-DC power convertors;LC circuits;filters;frequency-domain analysis;inductors;integrated circuit design;integrated circuit packaging;losses;modules;three-dimensional integrated circuits;voltage regulators","3D integration;3D stacking;LC filter;PD;VRM;die-stack;frequency domain analysis;high-performance power delivery network;inductive DC-DC converter design;on-board integration;on-die integration;on-package integration;power loss;voltage regulator module","","0","","","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
