"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4294967269%26matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design+Automation+Conference+.LB.DAC.RB.%29+AND+2014%29",2015/06/23 14:47:52
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An HDL-based system design methodology for multistandard RF SoC's","Atac, A.; Zhimiao Chen; Lei Liao; Yifan Wang; Schleyer, M.; Ye Zhang; Wunderlich, R.; Heinen, S.","Integrated Analog Circuit & RF Syst., RWTH Aachen Univ., Aachen, Germany","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Multistandard SoC's including advanced RF and analog circuitry with digital blocks are pervasive in modern IC's. However, the system design and verification methodologies that capture the complexity of multistandard RF SoC's are still limited. In this paper, an HDL design methodology is introduced for multistandard RF SoC's, which covers all the design layers from system design, to automatic extraction of the models from circuits and a systematic top level verification. The offered HDL based design methodology combines top down and bottom up design approaches, and brings the design and verification closer by reflecting the circuits to models automatically via an Automatic Parameter Extraction (APX) tool. System or block level verification is obtained with models automatically by overnight runs, without the need for extra test benches or designer interaction. This enables short term detection of functional errors or performance losses. A first time tape out of a multimode Bluetooth transceiver SoC is designed and fabricated in 8 months by using the offered methodology. The accuracy of the system level simulations show a very good match with the measurement results after fabrication. The test SoC is fabricated with 0.13 ?m CMOS technology.","","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881494","Bluetooth;Bluetooth Low Energy;RF SoC;SoC;SoC design;SoC verification;analog modeling;system methodology","Design methodology;Hardware design languages;Integrated circuit modeling;Radio frequency;Receivers;System-on-chip;Transistors","Bluetooth;CMOS integrated circuits;hardware description languages;integrated circuit design;integrated circuit testing;system-on-chip;transceivers","APX tool;CMOS technology;HDL-based system design methodology;IC;analog circuitry;automatic parameter extraction tool;digital block;hardware description language;multimode Bluetooth transceiver SoC;multistandard RF SoC;size 0.13 mum;systematic top block level verification;time 8 month","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"The first EDA MOOC: Teaching design automation to planet earth","Rutenbar, R.A.","Dept. of Comput. Sci., Univ. of Illinois at Urbana-Champaign, Urbana, IL, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Massive Open Online Courses (MOOCs) can deliver advanced course material at planetary scale, combining internet-based video content delivery, and cloud-based assignments. From March to May 2013, I taught the world's first EDA MOOC, entitled VLSI CAD: Logic to Layout, based on roughly 20 years of experience teaching electronic design automation in a conventional face-to-face classroom setting. Over 17,000 participants registered for this MOOC. This paper summarizes my experience with teaching EDA at planetary scale: how we covered ASIC synthesis, verification, layout, and timing; how we built cloud resources to enable students to experiment with open-source tools; how we designed software projects and deployed cloud-based auto-graders to support realistic EDA tool projects. The paper also discusses what MOOCs could mean to the dynamism of the EDA community.","","","","10.1145/2593069.2593230","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881540","ASIC;CAD;EDA;Layout;Logic;MOOC;VLSI","Boolean functions;Data structures;Design automation;Layout;Materials;Software;Very large scale integration","application specific integrated circuits;cloud computing;courseware;distance learning;educational courses;electronic design automation;electronic engineering education;public domain software","ASIC synthesis;EDA community;MOOC;VLSI CAD;advanced course material;cloud-based assignments;electronic design automation;internet-based video content;massive open online courses;open-source tools;planet earth;planetary scale;teaching design automation","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Metasynthesis for Designing Automotive SoCs","Ecker, W.; Velten, M.; Zafari, L.; Goyal, A.","Syst.-Level & Verification, Infineon Technol., Munich, Germany","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Designing Automotive SoCs requires product specific support of one or more different design targets as different degrees of safety, reliability, very low power, or high current support as well as different design features as multi-core, sensor-on-chip, or system-in-package. Considering that wide design space, it's clear that EDA industry that is focusing on generic applicable tools leaves a wide field for automation unsupported. This paper presents a novel approach to system synthesis named Metasynthesis. It proposes a new highly flexible methodology based on synthesizing system synthesis tools. These synthesized tools finally make the synthesis step from a description above implementation level, e.g. requirements, specification, or a domain specific description to implementation level, e.g. C, SystemVerilog-RTL or schematic. The name “Meta”-Synthesis was chosen in the sense of a synthesis tool “beyond” another synthesis tool or as already said a synthesis tool synthesizing another synthesis tool. The term “Meta” also reflects the underlying metamodeling technique. Even if the approach requires additional effort in building the system synthesis tool, it helps to shorten overall design time, since building the tool is highly automated due to the presented Metasynthesis approach. Also the input views are fast to make since they can be kept simple and compact. The Metasynthesis approach was proven so far in over 90 different automotive SoC and other applications gaining productivity improvements of 95% considering single design steps and gaining up to 70% effort reduction for the complete implementation of automotive SoCs. Some designers report, that they generate up to 80% of the chip's overall RTL code with synthesized tools.","","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881398","code generation;design productivity;metamodeling;metasynthesis;system level synthesis","Analytical models;Automotive engineering;Biological system modeling;Buildings;Libraries;Metamodeling;System-on-chip","electronic design automation;integrated circuit design;system-on-chip","Metasynthesis;automotive SoC design;metamodeling technique;system synthesis tool","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Early-stage power grid design: Extraction, modeling and optimization","Cheng Zhuo; Houle Gan; Wei-Kai Shih","Intel Corp., Hillsboro, OR, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Many prior works have discussed the power grid design and optimization in the post-layout stage, when design change is inevitably expensive and difficult. In contrast, during the early stage of a development cycle, designers have more flexibility to improve the design quality. However, there are several fundamental challenges at early-stage when design database is NOT complete, including extraction, modeling and optimization. This paper tackles these fundamental issues of early-stage power grid design. The proposed methods have been silicon-validated on 32nm on-market chips and successfully applied to a 22nm design for its early stage power grid design. The findings from such practices reveal that, for sub-32nm chips, intrinsic on-die capacitance and power gate scheme may have more significant impact than expected on power integrity, and need to be well addressed at early stage.","","","","10.1145/2593069.2593129","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881406","","Couplings;Logic gates;Metals;Optimization;Power grids;Rails;Wires","design engineering;optimisation;power grids","design quality improvement;development cycle;early-stage power grid design;intrinsic on-die capacitance;on-market chips;post-layout stage;power gate scheme;power integrity","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Ontology-guided conceptual analysis of design specifications","Shankar, A.; Singh, B.; Wolff, F.; Papachristou, C.","Case Western Reserve Univ., Cleveland, OH, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","The integration of reusable IP blocks/cores is a common process in system-on-chip design and involves manually comparing/mapping IP specifications against system requirements. The informal nature of specification limits its automatic analysis. Existing techniques fail to utilize the underlying conceptual information embedded in specifications. In this paper, we present a methodology for specification analysis, which involves concept mining of specifications to generate domain ontologies. We employ a semi-supervised expert system with semantic analysis capability to create a collaborative framework for cumulative knowledge acquisition. Our system then uses the generated ontologies to perform component retrieval, drop-in-replacement analysis and design vs. test-plan comparisons. We demonstrate our approach by evaluating several IP specifications.","","","","10.1145/2593069.2593175","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881361","Component Retrieval;Conceptual Analysis;Ontology;Ontology Generation;Semantic Web;Specification Mining","Algorithm design and analysis;Data mining;IP networks;Indexes;Inspection;Ontologies;Semantics","data mining;expert systems;information retrieval;logic design;ontologies (artificial intelligence);system-on-chip","IP specification comparison;IP specification mapping;Internet protocol;component retrieval;concept mining;conceptual information;cumulative knowledge acquisition;design specifications;domain ontologies;drop-in-replacement analysis;ontology-guided conceptual analysis;reusable IP blocks;reusable IP cores;semi-supervised expert system;specification analysis;system-on-chip design","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Design methodologies for 3D mixed signal integrated circuits: A practical 12-bit SAR ADC design case","Wulong Liu; Guoqing Chen; Xue Han; Yu Wang; Yuan Xie; Huazhong Yang","Dept. of E.E, Tsinghua Univ., Beijing, China","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Three-dimensional (3D) integration technology has been proposed as a promising technology to provide small footprint, reduced wire-length, and the capability of heterogeneous integration. In particular, 3D IC is a good candidate to address the design issues in conventional analog/digital mixed-signal IC designs. In this work, we focus on modeling and analyzing the impacts of through silicon vias (TSVs) on mixed-signal ICs. Based on the analysis, a set of design methodologies for 3D mixed-signal ICs are proposed. The design methodologies are verified with a case study, in which a 12-bit successive approximation register analog-to-digital converter (SAR ADC) is re-designed by partitioning it into three stacked layers for 3D integration. The experimental results show that, compared to the traditional 2D counterpart, our 3D SAR ADC with optimized TSV placement can achieve significant area and power reduction, and performance improvement. Specifically, due to the isolation of substrate noise disturbance in our 3D design, the signal-to-noise-plus-distortion ratio (SNDR) is improved from 68.74 dB to 74.12 dB.","","","","10.1145/2593069.2593122","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881493","","Abstracts;Couplings;Performance evaluation;Resistance;Silicon;Substrates;Through-silicon vias","analogue-digital conversion;flip-flops;logic partitioning;mixed analogue-digital integrated circuits;three-dimensional integrated circuits","3D IC;3D SAR ADC;3D integration technology;3D mixed signal integrated circuits;SAR ADC design case;SNDR;analog mixed-signal IC designs;analog-to-digital converter;digital mixed-signal IC designs;heterogeneous integration;optimized TSV placement;power reduction;signal-to-noise-plus-distortion ratio;storage capacity 12 bit;substrate noise disturbance;successive approximation register;through silicon vias","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Exploring the heterogeneous design space for both performance and reliability","Ubal, R.; Schaa, D.; Mistry, P.; Xiang Gong; Ukidave, Y.; Zhongliang Chen; Schirner, G.; Kaeli, D.","Dept. of Electr. & Comput. Eng., Northeastern Univ., Boston, MA, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","As we move into a new era of heterogeneous multi-core systems, our ability to tune the performance and understand the reliability of both hardware and software becomes more challenging. Given the multiplicity of different design trade-offs in hardware and software, and the rate of introduction of new architectures and hardware/-software features, it becomes difficult to properly model emerging heterogeneous platforms. In this paper we present a new methodology to address these challenges in a flexible and extensible framework. We describe the design of a framework that supports a range of heterogeneous devices to be evaluated based on different performance/reliability criteria. We address heterogeneity both in hardware and software, providing a flexible framework that can be easily adapted and extended as new elements in the SoC stack continue to evolve. Our framework enables modeling at different levels of abstraction and interfaces to existing tools to compose hybrid modeling environments. We also consider the role of software, providing a flexible and modifiable compiler stack based on LLVM. We provide examples that highlight both the flexibility of this framework and demonstrate the utility of the tools.","","","","10.1145/2593069.2596680","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881508","","Computer architecture;Graphics processing units;Hardware;Kernel;Software reliability","integrated circuit design;multiprocessing systems;program compilers;software performance evaluation;software reliability;system-on-chip","LLVM;SoC stack;compiler stack;design trade-offs;hardware reliability;heterogeneous design space;heterogeneous multicore systems;hybrid modeling environments;performance criteria;reliability criteria;software reliability;system-on-chip","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Ultra-low power design of wearable cardiac monitoring systems","Braojos, R.; Mamaghanian, H.; Dias, A.; Ansaloni, G.; Atienza, D.; Rincon, F.J.; Murali, S.","Embedded Syst. Lab., EPFL, Lausanne, Switzerland","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","This paper presents the system-level architecture of novel ultra-low power wireless body sensor nodes (WBSNs) for real-time cardiac monitoring and analysis, and discusses the main design challenges of this new generation of medical devices. In particular, it highlights first the unsustainable energy cost incurred by the straightforward wireless streaming of raw data to external analysis servers. Then, it introduces the need for new cross-layered design methods (beyond hardware and software boundaries) to enhance the autonomy of WBSNs for ambulatory monitoring. In fact, by embedding more onboard intelligence and exploiting electrocardiogram (ECG) specific knowledge, it is possible to perform real-time compressive sensing, filtering, delineation and classification of heartbeats, while dramatically extending the battery lifetime of cardiac monitoring systems. The paper concludes by showing the results of this new approach to design ultra-low power wearable WBSNs in a real-life platform commercialized by SmartCardia. This wearable system allows a wide range of applications, including multi-lead ECG arrhythmia detection and autonomous sleep monitoring for critical scenarios, such as monitoring of the sleep state of airline pilots.","","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881344","Bio-Medical Signal Processing;Wearable Embedded Systems;Wireless Body Sensor Nodes","Biomedical monitoring;Computer architecture;Electrocardiography;Monitoring;Real-time systems;Wireless communication;Wireless sensor networks","biomedical electronics;body sensor networks;compressed sensing;electrocardiography;low-power electronics;medical signal detection;medical signal processing;signal classification","ECG specific knowledge;SmartCardia;WBSN autonomy;ambulatory monitoring;battery lifetime;cross layered design methods;electrocardiogram;heartbeat classification;heartbeat delineation;medical devices;onboard intelligence embedding;real time cardiac monitoring;real time compressive sensing;signal filtering;system level architecture;ultralow power WBSN;ultralow power design;wearable cardiac monitoring systems;wireless body sensor nodes;wireless data streaming","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"A design methodology for compositional high-level synthesis of communication-centric SoCs","Di Guglielmo, G.; Pilato, C.; Carloni, L.P.","Dept. of Comput. Sci., Columbia Univ., New York, NY, USA","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","Systems-on-chip are increasingly designed at the system level by combining synthesizable IP components that operate concurrently while interacting through communication channels. CAD-tool vendors support this System-Level Design approach with high-level synthesis tools and libraries of interface primitives implementing the communication protocols. These interfaces absorb timing differences in the hardware-component implementations, thus enabling compositional design. However, they introduce also new challenges in terms of functional correctness and performance optimization. We propose a methodology that combines performance analysis and optimization algorithms to automatically address the issues that SoC designers may accidentally introduce when assembling components that are specified at the system level.","","","","10.1145/2593069.2593071","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881455","High-Level Synthesis;SystemC","Computational modeling;Hardware;Labeling;Optimization;Protocols;System recovery;System-on-chip","logic design;optimisation;system-on-chip","CAD-tool vendor;IP component;communication-centric SoC;compositional high-level synthesis;functional correctness;hardware-component implementation;performance optimization;system-level design;system-on-chip","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
"Design methods for augmented reality in-vehicle infotainment systems","Qing Rao; Grunler, C.; Hammori, M.; Chakrabort, S.","R&D, Daimler AG, Sindelfingen, Germany","Design Automation Conference (DAC), 2014 51st ACM/EDAC/IEEE","20140821","2014","","","1","6","We have experienced rapid development of augmented reality (AR) systems and platforms in the automotive industry. However, to bring AR into production cars, we still face a range of challenges to design an AR system that meets vehicle specific requirements. Based on our experience with an AR prototype car, we analyze the influence of augmented reality on the design of the in-vehicle electric/electronic (E/E) architecture.","","","","10.1145/2593069.2602973","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881399","Augmented Reality;E/E Architecture Design;In-Vehicle Infotainment","Augmented reality;Automotive engineering;Cameras;Computer architecture;Prototypes;Radar tracking;Vehicles","augmented reality;automobile industry;automotive electrics;automotive electronics;design engineering;entertainment;prototypes","AR prototype car;augmented reality in-vehicle infotainment systems;augmented reality platforms;automotive industry;in-vehicle electric-electronic architecture;production cars;vehicle specific requirements","","0","","","","","1-5 June 2014","","IEEE","IEEE Conference Publications"
