"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DEmbedded+Software+.LB.EMSOFT.RB.%2C+2011+Proceedings+of+the+International+Conference+on",2015/07/23 14:11:49
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Hard-real-time scheduling of data-dependent tasks in embedded streaming applications","Bamakhrama, M.; Stefanov, T.","Leiden Inst. of Adv. Comput. Sci., Leiden Univ., Leiden, Netherlands","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","195","204","Most of the hard-real-time scheduling theory for multiprocessor systems assumes independent periodic or sporadic tasks. Such a simple task model is not directly applicable to modern embedded streaming applications. This is because a modern streaming application is typically modeled as a directed graph where nodes represent actors (i.e. tasks) and edges represent data-dependencies. The actors in such graphs have data-dependency constraints and do not necessarily conform to the periodic or sporadic task models. Therefore, in this paper we investigate the applicability of hard-real-time scheduling theory for periodic tasks to streaming applications modeled as acyclic Cyclo-Static Dataflow (CSDF) graphs. In such graphs, the actors are data-dependent, however, we analytically prove that they (i.e. the actors) can be scheduled as implicit-deadline periodic tasks. As a result, a variety of hard-real-time scheduling algorithms for periodic tasks can be applied to schedule such applications with a certain guaranteed throughput. We compare the throughput resulting from such scheduling approach to the maximum achievable throughput of an application for a set of 19 real streaming applications. We find that in more than 80% of the cases, the throughput resulting from our approach is equal to the maximum achievable throughput.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064526","Real-time multiprocessor scheduling;streaming applications","Equations;Processor scheduling;Program processors;Schedules;Scheduling;Silicon;Vectors","data flow graphs;directed graphs;multiprocessing systems;processor scheduling","acyclic cyclo-static dataflow graphs;data-dependent task;directed graph;embedded streaming;hard-real-time scheduling;independent periodic task;multiprocessor system;sporadic task","","6","","28","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Task synchronization and allocation for many-core real-time systems","Pi-Cheng Hsiu; Der-Nien Lee; Tei-Wei Kuo","Res. Center for Inf. Technol. Innovation, Acad. Sinica, Taipei, Taiwan","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","79","88","With the emergence of many-core systems, managing blocking costs effectively will soon become a critical issue in the design of real-time systems. In contrast to previous works on multicore real-time task scheduling algorithms and synchronization protocols, this paper proposes a dedicated-core framework to separate the executions of application tasks and (system) services over cores such that blocking among tasks can be better explored and managed. The rationale behind the framework is that we can exploit the characteristics of many-core systems to resolve the challenges raised by the systems themselves. We define three core minimization problems with respect to the constraints on core configurations, and present corresponding task allocation algorithms with optimal, approximate, and heuristic solutions. The results of simulations conducted to evaluate the proposed framework provide further insights into task scheduling in many-core real-time systems.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064514","Many-core systems;real-time scheduling;task allocation;task synchronization","Approximation algorithms;Minimization;Protocols;Real time systems;Resource management;Silicon;Synchronization","multiprocessing systems;real-time systems;scheduling;task analysis","core minimization problems;dedicated-core framework;many-core systems;multicore real-time task scheduling algorithms;task synchronization","","2","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Precise control flow reconstruction using Boolean logic","Reinbacher, T.; Brauer, J.","Embedded Comput. Syst. Group, Vienna Univ. of Technol., Vienna, Austria","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","117","126","This paper presents a SAT-based method for control flow graph reconstruction from executable code. The key idea of the technique is to express the semantics of each basic block in a program using Boolean logic, followed by inferring pre- and postconditions for each block through interleaved forward and backward analysis. In particular, the technique relies on register-wise value-set abstractions, which are subsequently refined using alternating forward and backward analyses. Experimental evidence shows that this approach, despite being sound, recovers the control flow graph precisely for different real-world benchmarks.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064518","Abstract interpretation;SAT solving;binary code;control flow recovery;refinement;static analysis","","Boolean functions;computability;flow graphs;program verification","Boolean logic;SAT based method;control flow graph reconstruction;executable code;precise control flow reconstruction;register wise value set abstractions","","0","","35","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Demand bound server: Generalized resource reservation for hard real-time systems","Kumar, P.; Jian-Jia Chen; Thiele, L.","Comput. Eng. & Networks Lab., ETH Zurich, Zurich, Switzerland","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","233","242","Servers have been proposed to implement resource reservations on shared resources. Such reservations isolate the temporal behavior of tasks sharing the shared resources, thereby providing performance guarantees to tasks independent of other tasks. In existing work, resource reservation has been synonymous to utilization (also called bandwidth) on the resource, i.e., we can reserve only a constant fraction of the resource utilization via a server. Such reservation schemes are not suited to serve interrupt-like tasks: tasks that occur seldom but require quick service or tasks with jitter. With this motivation, we present a generalized server algorithm, called Demand Bound Server (DBS), whose offered service is characterized by the demand bound function (dbf) of the task it serves. We show that schedulability of DBS tightly follows that of EDF, and if schedulable a DBS provides a performance guarantee as requested by the dbf of the task. We present an implementation of DBS when the dbf is a shifted-periodic curve and characterize its overhead. We also present efficient composition operations on DBS that widen the class of implemented servers to tightly serve tasks arising in most practical settings.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064531","Composition;Real-Time Systems;Servers;Timing Isolation","Calculus;Dynamic scheduling;Heuristic algorithms;Real time systems;Satellite broadcasting;Servers;Timing","real-time systems;resource allocation","demand bound function;demand bound server;generalized resource reservation;generalized server algorithm;hard real-time system;interrupt-like task;resource utilization;schedulability;shifted-periodic curve;task sharing","","0","","18","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"On under-determined dynamical systems","Maler, O.","VERIMAG, Univ. of Grenoble, Grenoble, France","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","89","96","Under-determined dynamical systems are those that need additional information in order to produce simulation traces. This information may correspond to initial conditions, parameter values or dynamic external influences. The paper discusses this issue and surveys some common approaches to reconcile this fact with the practice of simulation.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064515","Hybrid systems;Simulation;Timed systems;Verification","Biological system modeling;Computational modeling;Equations;Heuristic algorithms;Mathematical model;Numerical models;Trajectory","digital simulation","quasimathematical model;simulation traces;under-determined dynamical system","","0","","12","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Safety-assured development of the GPCA infusion pump software","Baek Gyu Kim; Ayoub, A.; Sokolsky, O.; Insup Lee; Jones, P.; Yi Zhang; Jetley, R.","Comput. & Inf. Sci. Dept., Univ. of Pennsylvania, Philadelphia, PA, USA","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","155","164","This paper presents our effort of using model-driven engineering to establish a safety-assured implementation of Patient-Controlled Analgesic (PCA) infusion pump software based on the generic PCA reference model provided by the U.S. Food and Drug Administration (FDA). The reference model was first translated into a network of timed automata using the UPPAAL tool. Its safety properties were then assured according to the set of generic safety requirements also provided by the FDA. Once the safety of the reference model was established, we applied the TIMES tool to automatically generate platform-independent code as its preliminary implementation. The code was then equipped with auxiliary facilities to interface with pump hardware and deployed onto a real PCA pump. Experiments show that the code worked correctly and effectively with the real pump. To assure that the code does not introduce any violation of the safety requirements, we also developed a testbed to check the consistency between the reference model and the code through conformance testing. Challenges encountered and lessons learned during our work are also discussed in this paper.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064522","PCA infusion pump;code synthesis;formalization;model-based engineering;timed automata;verification","Automata;Drugs;Principal component analysis;Reservoirs;Safety;Software;Testing","automata theory;medical computing;program verification","GPCA infusion pump software;PCA pump;TIMES tool;UPPAAL tool;US Food and Drug Administration;conformance testing;generic PCA reference model;model-driven engineering;patient-controlled analgesic;safety-assured development;timed automata","","1","1","18","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Real-time communication analysis for networks with two-stage arbitration","Diemer, J.; Rox, J.; Negrean, M.; Stein, S.; Ernst, R.","Inst. of Comput. & Network Eng., Tech. Univ. Braunschweig, Braunschweig, Germany","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","243","252","Current on-chip and macro networks use multi-stage arbitration schemes which independently assign different resources such as crossbar inputs and outputs to individual traffic streams. To use these networks in real-time systems, their worst-case behavior must be proved analytically in order to ensure the required timing guarantees. Current analysis approaches, however, do not capture the multi-stage arbitration accurately. In this paper, we propose an analysis that maps the multi-stage arbitration to a schedulability analysis of multiprocessors with shared resources. This allows the exploitation of knowledge about the worst-case behavior of the individual traffic streams, which is required to provide non-symmetric guarantees. Using this scheduling analysis approach, a detailed analysis solution for a common multi-stage arbitration scheme (iSLIP) is presented. Finally, we evaluate the proposed approach experimentally and compare it to previous work.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064532","Algorithms;Theory","Schedules;Switches","multiprocessing systems;multistage interconnection networks;network-on-chip;processor scheduling;real-time systems","crossbar inputs;crossbar outputs;iSLIP;individual traffic streams;knowledge exploitation;macro networks;multiprocessors;multistage arbitration schemes;nonsymmetric guarantees;on-chip networks;real-time communication analysis;real-time systems;schedulability analysis;scheduling analysis approach;shared resources;timing guarantees;two-stage arbitration;worst-case behavior","","0","","34","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Computing semi-algebraic invariants for polynomial dynamical systems","Jiang Liu; Naijun Zhan; Hengjun Zhao","State Key Lab. of Comp. Sci., China","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","97","106","In this paper, we consider an extended concept of invariant for polynomial dynamical systems (PDSs) with domain and initial condition, and establish a sound and complete criterion for checking semi-algebraic invariants (SAIs) for such PDSs. The main idea is encoding relevant dynamical properties as conditions on the high order Lie derivatives of polynomials occurring in the SAI. A direct consequence of this criterion is a relatively complete method of SAI generation based on template assumption and semi-algebraic constraint solving. Relative completeness means if there is an SAI in the form of a predefined template, then our method can indeed find one.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064516","Invariant;Polynomial dynamical system;Semi-algebraic set","Mathematical model;Polynomials;Safety;Software;Trajectory;Vectors","Lie algebras;encoding;formal verification;polynomials","PDS;SAI generation;encoding;high order Lie derivatives;polynomial dynamical systems;semialgebraic constraint solving;semialgebraic invariants;template assumption","","0","","34","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Relating average and discounted costs for quantitative analysis of timed systems","Alur, R.; Trivedi, A.","Univ. of Pennsylvania, Philadelphia, PA, USA","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","165","174","Quantitative analysis and controller synthesis problems for reactive real-time systems can be formalized as optimization problems on timed automata, timed games, and their probabilistic extensions. The limiting average cost and the discounted cost are two standard criteria for such optimization problems. In theory of finite-state probabilistic systems, a number of interesting results are available relating the optimal values according to these two different performance objectives. These results, however, do not directly apply to timed systems due to the infinite state-space of clock valuations. In this paper, we present some conditions under which the existence of the limit of optimal discounted cost objective implies the the existence of limiting average cost to the same value. Using these results we answer an open question posed by Fahrenberg and Larsen, and give simpler proofs of some known decidability results on (probabilistic) timed automata. We also show the determinacy and decidability of average-time games on timed automata, and expected average-time games on probabilistic timed automata.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064523","Blackwell optimality;Quantitative Analysis;Tauberian Theorems;Timed Automata","Automata;Clocks;Cost accounting;Games;Markov processes;Optimization;Probabilistic logic","control engineering computing;control system synthesis;game theory;optimisation;probabilistic automata;real-time systems","controller synthesis;discounted costs;finite-state probabilistic systems;optimization;probabilistic extensions;quantitative analysis;reactive real-time systems;timed automata;timed games;timed systems","","0","","29","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Model-checking behavioral programs","Harel, D.; Lampert, R.; Marron, A.; Weiss, G.","Weizmann Inst. of Sci., Rehovot, Israel","Embedded Software (EMSOFT), 2011 Proceedings of the International Conference on","20111031","2011","","","279","288","System specifications are often structured as collections of scenarios and use-cases that describe desired and forbidden sequences of events. A recently proposed behavioral programming approach, which evolved from the visual language of live sequence charts (LSCs), calls for coding software modules in alignment with such scenarios. We present a methodology and a supporting model-checking tool for verifying behavioral Java programs, without having to first translate them into a specific input language for the model checker. Our method facilitates early discovery of conflicting or under-specified scenarios, which can often be resolved by adding new scenarios rather than by changing existing code. Also, counterexamples provided by the tool are themselves event sequences that can serve directly for refinements and corrections. Our tool reduces the size of the execution state-space using an abstraction that focuses on behaviorally interesting states and treats transitions between them as atomic.","","978-1-4503-0714-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064536","Behavioral Programming;Java","Context modeling;Games;Java;Programming;Safety;Software engineering;Synchronization","Java;formal specification;program verification;software tools","behavioral Java program verification;execution state-space;live sequence charts;model-checking behavioral program;model-checking tool;software module coding;system specification;visual language","","0","","32","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
