"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB.Embedded+Software+.LB.EMSOFT.RB.%2C+2013+International+Conference+on.RB.",2015/07/23 14:10:24
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Message from the program co-chairs","Ernst, Rolf; Sokolsky, Oleg","Technical University of Braunschweig, Germany","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","1","Welcome to EMSOFT 2013, the 13th International Conference on Embedded Software, held in Montreal, Quebec, Canada, on September 29 – October 4, 2013.","","","","10.1109/EMSOFT.2013.6658575","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658575","","","","","","0","","","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Time-aware relational abstractions for hybrid systems","Mover, S.; Cimatti, A.; Tiwari, A.; Tonetta, S.","FBK, Trento, Italy","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","10","Hybrid Systems model both discrete switches and continuous dynamics and are suitable to represent embedded systems where discrete controllers interact with a physical plant. Relational abstraction is a new approach for verifying hybrid systems. In relational abstraction, the continuous dynamics in each location of the hybrid system is abstracted by a binary relation that relates the current value of the continuous variables with all future values of the variables that are reachable after a time elapse (continuous) transition. The abstract system is an infinite-state system, which can be verified using k-induction or abstract interpretation. Existing techniques for computing relational abstractions are time-agnostic: they do not construct any relationship between the state variables and the time elapsed during the continuous evolution. Time-agnostic abstractions cannot verify timing properties. We present a technique to compute a time-aware relational abstraction for verifying (timing-related) safety properties of cyber-physical systems. We show the effectiveness of the new abstraction on several case studies on which the previous techniques fail.","","","","10.1109/EMSOFT.2013.6658592","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658592","Abstraction;Formal Methods;Hybrid Systems;Verification","Abstracts;Automata;Eigenvalues and eigenfunctions;Encoding;Equations;Mathematical model;Safety","continuous systems;control engineering computing;discrete systems;formal verification;reachability analysis","abstract interpretation;abstract system;binary relation;continuous dynamics;continuous transition;continuous variables;cyber-physical systems;discrete controllers;discrete switch;embedded systems;hybrid system verification;hybrid systems;infinite-state system;k-induction;physical plant;time elapse transition;time-agnostic abstraction;time-aware relational abstraction;timing properties;timing-related safety property verification","","0","","35","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Organization","","","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","1","Provides a listing of current committee members and society officers.","","","","10.1109/EMSOFT.2013.6658576","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658576","","","","","","0","","","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"[Copyright notice]","","","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","1","","","","","10.1109/EMSOFT.2013.6658574","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658574","","","","","","0","","","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Bit-precise formal verification of discrete-time MATLAB/Simulink Models using SMT Solving","Herber, P.; Reicherdt, R.; Bittner, P.","Tech. Univ. Berlin, Berlin, Germany","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","10","Matlab/Simulink is widely used for model-based development of embedded systems. In particular, safety-critical applications are increasingly designed in Matlab/Simulink. At the same time, formal verification techniques for Matlab/Simulink are still rare and existing ones do not scale well. In this paper, we present an automatic transformation from discrete-time Matlab/Simulink to the input language of UCLID. UCLID is a toolkit for system verification based on SMT solving. Our approach enables us to use a combination of bounded model checking and inductive invariant checking for the automatic verification of Matlab/Simulink models. To demonstrate the practical applicability of our approach, we have successfully verified the absence of one of the most common errors, i. e. variable over- or underflow, for an industrial design from the automotive domain.","","","","10.1109/EMSOFT.2013.6658586","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658586","Formal Verification;Matlab/Simulink;Model Analysis","Computational modeling;MATLAB;Mathematical model;Model checking;Semantics;Vectors","automotive engineering;formal verification;safety-critical software","SMT solving;UCLID;automatic verification;automotive domain;bit-precise formal verification;bounded model checking;discrete-time MATLAB-Simulink Model;embedded systems;formal verification technique;inductive invariant checking;industrial design;input language;model-based development;safety-critical application;system verification;variable overflow;variable underflow","","0","","20","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Limited preemptive scheduling of non-independent task sets","Baldovin, A.; Mezzetti, E.; Vardanega, T.","Dept. of Math., Univ. of Padua, Padua, Italy","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","10","Preemption is a key factor against architectural coupling in concurrent systems. The whole verification process of real-time systems postulates composability in multiple dimensions, including time. As coupling wrecks composability, the design of real-time systems really needs preemption. However preemption effects complicate feasibility analysis or make it more pessimistic. Hence methods that limit preemptions without affecting feasibility are attractive. State-of-the-art approaches to limited preemption, however, do not treat resource sharing with the importance that it deserves. The placement of non-preemptive regions - and their interactions with shared resources - should not become a design problem, but rather stay as an implementation level feature that does not backtrack to the design space. In this paper we present a refinement to the state-of-the-art limited preemption model that addresses the interaction with resource sharing, and discuss a kernel implementation that uses run-time knowledge to warrant safe and efficient overlaps between critical sections and non-preemptive regions. Experimental results prove the effectiveness of the proposed solution.","","","","10.1109/EMSOFT.2013.6658596","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658596","Limited preemption;Scheduling;Shared resources","Abstracts","concurrency control;real-time systems;scheduling","composability;concurrent systems;kernel implementation;limited preemptive scheduling;nonindependent task sets;nonpreemptive regions;real-time systems;run-time knowledge;whole verification process","","0","","30","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"A generalized software framework for accurate and efficient management of performance goals","Hoffmann, H.; Maggio, M.; Santambrogio, M.D.; Leva, A.; Agarwal, A.","Univ. of Chicago, Chicago, IL, USA","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","10","A number of techniques have been proposed to provide runtime performance guarantees while minimizing power consumption. One drawback of existing approaches is that they work only on a fixed set of components (or actuators) that must be specified at design time. If new components become available, these management systems must be redesigned and reimplemented. In this paper, we propose PTRADE, a novel performance management framework that is general with respect to the components it manages. PTRADE can be deployed to work on a new system with different components without redesign and reimplementation. PTRADE's generality is demonstrated through the management of performance goals for a variety of benchmarks on two different Linux/x86 systems and a simulated 128-core system, each with different components governing power and performance tradeoffs. Our experimental results show that PTRADE provides generality while meeting performance goals with low error and close to optimal power consumption.","","","","10.1109/EMSOFT.2013.6658597","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658597","Adaptive Systems;Power-aware Computing;Self-aware Computing","Actuators;Benchmark testing;Heart beat;Power demand;Runtime","Linux;power aware computing;software performance evaluation","Linux-x86 systems;PTRADE;generalized software framework;performance goal management;performance management framework;power consumption minimization;run-time performance;simulated 128-core system","","2","","47","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"DIME: Time-aware dynamic binary instrumentation using rate-based resource allocation","Arafa, P.; Kashif, H.; Fischmeister, S.","Dept. of Electr. & Comput. Eng., Univ. of Waterloo, Waterloo, ON, Canada","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","10","Program analysis tools are essential for understanding programs, analyzing performance, and optimizing code. Some of these tools use code instrumentation to extract information at runtime. The instrumentation process can alter program behavior such as timing behavior and memory consumption. Time-sensitive programs, however, must meet specific timing constraints and thus require that the instrumentation process, for instance, bounds the timing overhead. Time-aware instrumentation techniques try to honor the timing constraints of such programs. All previous techniques, however, support only static source-code instrumentation methods. Hence, they become impractical beyond microcontroller code for instrumenting large programs along with all their library dependencies. In this work, we propose DIME, a time-aware dynamic binary instrumentation technique that adds an adjustable bound on the timing overhead to the program under analysis. We implement DIME using the dynamic instrumentation framework, Pin. Quantitative evaluation of the three implementation alternatives shows an average reduction of the instrumentation overhead by 12, 7, and 3 folds compared to native Pin. Instrumenting the VLC media player and a laser beam stabilization experiment demonstrate the practicality and scalability of DIME.","","","","10.1109/EMSOFT.2013.6658603","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658603","Instrumentation;Profiling;Tracing","Data mining;Instruments;Resource management;Runtime;Switches;Timing;Tin","program diagnostics;resource allocation;reverse engineering","DIME technique;Pin dynamic instrumentation framework;VLC media player;code optimization;information extraction;laser beam stabilization experiment;memory consumption;microcontroller code;program analysis tools;program behavior;program understanding;rate-based resource allocation;static source-code instrumentation methods;time-aware dynamic binary instrumentation;time-sensitive programs;timing behavior;timing constraints;timing overhead","","0","","39","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Synthesis of fixed-point programs","Darulova, E.; Kuncak, V.; Majumdar, R.; Saha, I.","EPFL, Lausanne, Switzerland","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","10","Several problems in the implementations of control systems, signal-processing systems, and scientific computing systems reduce to compiling a polynomial expression over the reals into an imperative program using fixed-point arithmetic. Fixed-point arithmetic only approximates real values, and its operators do not have the fundamental properties of real arithmetic, such as associativity. Consequently, a naive compilation process can yield a program that significantly deviates from the real polynomial, whereas a different order of evaluation can result in a program that is close to the real value on all inputs in its domain. We present a compilation scheme for real-valued arithmetic expressions to fixed-point arithmetic programs. Given a real-valued polynomial expression t, we find an expression t' that is equivalent to t over the reals, but whose implementation as a series of fixed-point operations minimizes the error between the fixed-point value and the value of t over the space of all inputs. We show that the corresponding decision problem, checking whether there is an implementation t' of t whose error is less than a given constant, is NP-hard. We then propose a solution technique based on genetic programming. Our technique evaluates the fitness of each candidate program using a static analysis based on affine arithmetic. We show that our tool can significantly reduce the error in the fixed-point implementation on a set of linear control system benchmarks. For example, our tool found implementations whose errors are only one half of the errors in the original fixed-point expressions.","","","","10.1109/EMSOFT.2013.6658600","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658600","","Benchmark testing;Control systems;Equations;Genetic programming;Input variables;Software;Upper bound","fixed point arithmetic;polynomials","NP-hard problem;affine arithmetic;compilation scheme;decision problem;fixed-point arithmetic programs;fixed-point expression;fixed-point program synthesis;genetic programming;linear control system;real-valued arithmetic expressions;real-valued polynomial expression;static analysis","","2","","25","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
"Tutorial","Zilic, Z.","Dept. ECE, McGill Univ., Montreal, QC, Canada","Embedded Software (EMSOFT), 2013 Proceedings of the International Conference on","20131111","2013","","","1","8","These tutorials discuss the following: methodologies and tools for embedded multisensory systems based on ARM Cortex M processors; AADLv2: an architecture description language for the analysis and generation of embedded systems; cross-layer reliability modeling and optimization for embedded systems under process variations; and mixed-criticality systems.","","","","10.1109/EMSOFT.2013.6658578","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658578","","Computer architecture;Embedded systems;Hardware;Program processors;Reliability;Unified modeling language","embedded systems;microprocessor chips;performance evaluation;specification languages","AADLv2 language;ARM Cortex M processors;architecture description language;cross-layer reliability modeling;embedded multisensory systems;embedded systems analysis;embedded systems generation;embedded systems optimization;mixed-criticality systems;process variations","","0","","11","","","Sept. 29 2013-Oct. 4 2013","","IEEE","IEEE Conference Publications"
