"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DComputer-Aided+Design+.LB.ICCAD.RB.%2C+2011+IEEE%2FACM+International+Conference",2015/06/23 15:08:06
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Variation-aware electromigration analysis of power/ground networks","Di-an Li; Marek-Sadowska, M.","Dept. of Electr. & Comput. Eng., Univ. of California, Santa Barbara, CA, USA","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","571","576","Due to shrinking wire dimensions, higher current density, and process variations, electromigration (EM) has become a major reliability problem. The existing backend design flows use the maximum allowed current density as the only practical guidance to prevent EM. There is a need for tools capable of performing comprehensive EM analyses. In this paper, we first explain why current density alone does not determine wire's susceptibility to EM. We introduce our variation-aware EM analysis tool, VEMA, for power/ground networks, which are typically the EM-critical parts of a chip. Our tool considers two types of variations: circuit-level and wire geometry-level. VEMA reports distributions of wire lifetimes for circuit-level variations. Compared to existing EM analyzer SysRel, VEMA filters out EM-immortal wires more efficiently and provides detailed feedback for EM violation corrections. VEMA also provides information of geometry-level tolerance for EM-mortal wires.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105387","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105387","Electromigration;lifetime distribution;power/ground network;process variation;variation tolerance","Current density;Finite element methods;Integrated circuit modeling;Metals;Solid modeling;Stress;Wires","current density;electromigration;integrated circuit reliability;microprocessor chips;wires (electric)","EM analyzer SysRel;EM-critical parts;EM-immortal wires;VEMA filters;chip;circuit-level;current density;geometry-level tolerance;power/ground networks;reliability problem;shrinking wire dimensions;variation aware electromigration;wire geometry-level;wire susceptibility","","1","","9","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
"Formal verification of phase-locked loops using reachability analysis and continuization","Althoff, M.; Yaldiz, S.; Rajhans, A.; Xin Li; Krogh, B.H.; Pileggi, L.","Dept. of Electr. & Comput. Eng., Carnegie Mellon Univ., Pittsburgh, PA, USA","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","659","666","We present an approach for verifying locking of charge-pump phase-locked loops by performing reachability analysis on a behavioral model of the circuit. Bounded uncertain parameters in the behavioral model make it possible to represent all possible behaviors of more detailed models. The dynamics of the behavioral model is hybrid (i.e., discrete and continuous) due to the switching of charge pumps that drive the analog control circuits. A unique feature of phase-locked loops compared to most other hybrid systems is that they require thousands of switchings in the continuous dynamics to converge sufficiently close to a limit cycle. This makes reachability analysis a challenging task since switches in the dynamics are expensive to compute and result in conservative overapproximations. We solve this problem by overapproximating the effects of the switching conditions with uncertain parameters in linear continuous models, a method we call continuization. Using efficient reachability algorithms for discrete-time linear systems, locking is verified over the complete range of possible initial states of a charge-pump PLL designed in 32nm CMOS SOI technology in comparable time required for Monte Carlo simulations of the same behavioral model.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105400","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105400","","Charge pumps;Computational modeling;Integrated circuit modeling;Phase frequency detector;Phase locked loops;Reachability analysis;Switches","CMOS integrated circuits;Monte Carlo methods;charge pump circuits;electronic engineering computing;formal verification;phase locked loops;silicon-on-insulator","CMOS SOI technology;Monte Carlo simulations;analog control circuits;charge-pump PLL;circuit behavioral model;conservative overapproximations;continuization;discrete-time linear systems;formal verification;linear continuous models;phase-locked loops;reachability analysis;size 32 nm;switching conditions","","13","","28","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
"Model order reduction of fully parameterized systems by recursive least square optimization","Zheng Zhang; Elfadel, I.M.; Daniel, L.","Res. Lab. of Electron., Massachusetts Inst. of Technol.Massachusetts, MA, USA","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","523","530","This paper presents an approach for the model order reduction of fully parameterized linear dynamic systems. In a fully parameterized system, not only the state matrices, but also can the input/output matrices be parameterized. The algorithm presented in this paper is based on neither conventional moment-matching nor balanced-truncation ideas. Instead, it uses “optimal (block) vectors” to construct the projection matrix, such that the system errors in the whole parameter space are minimized. This minimization problem is formulated as a recursive least square (RLS) optimization and then solved at a low cost. Our algorithm is tested by a set of multi-port multi-parameter cases with both intermediate and large parameter variations. The numerical results show that high accuracy is guaranteed, and that very compact models can be obtained for multi-parameter models due to the fact that the ROM size is independent of the number of parameters in our approach.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105380","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105380","","Equations;Integrated circuit modeling;Mathematical model;Numerical models;Optimization;Read only memory;Vectors","least squares approximations;matrix algebra;minimisation;reduced order systems;vectors","ROM size;fully parameterized linear dynamic systems;input-output matrices;minimization problem;model order reduction;multiport multiparameter cases;optimal vectors;projection matrix;recursive least square optimization;state matrices","","2","","23","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
"Low-power multiple-bit upset tolerant memory optimization","Seokjoong Kim; Guthaus, M.R.","Dept. of CE, Univ. of California Santa Cruz, Santa Cruz, CA, USA","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","577","581","In this paper, we propose a framework for analyzing Soft Error Rates (SER) including Multiple-Bit Upsets (MBU). Then, using this framework, we optimize the soft error tolerant voltage (V<sub>tol</sub>) and interleaving distance (ID) of low-power, error-tolerant memories. Experimental results show that the total power can be reduced by an average of 30.5% with V<sub>tol</sub> optimization and an average of 40.9% by simultaneously considering V<sub>tol</sub> and ID together when compared to worst-case design practices.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105388","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105388","","Arrays;Error analysis;Error correction codes;Optimization;Power demand;Random access memory;Transient analysis","Monte Carlo methods;radiation hardening (electronics)","Monte Carlo;SER;error-tolerant memories;interleaving distance;low-power multiple-bit upset tolerant memory optimization;mobile embedded systems;multiple-bit upsets;soft error rates;soft error tolerant voltage;worst-case design practices","","2","","25","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
"Hybrid CMOS/Magnetic Process Design Kit and application to the design of high-performances non-volatile logic circuits","Prenat, G.; Dieny, B.; Nozieres, J.; DiPendina, G.; Torki, K.","Spintec, CEA/INAC, Grenoble, France","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","240","245","Spintronics (or spin-electronics) is a continuously expending area of research and development at the merge between magnetism and electronics. It aims at taking advantage of the quantum characteristic of the electrons, i.e. its spin, to create new functionalities and new devices. Spintronic devices comprise magnetic layers which serve as spin polarizers or analyzers separated by non-magnetic layers through which the spin-polarized electrons are transmitted. Typically, they rely on the Magneto Resistive (MR) effects, which consists in a dependence of the electrical resistance upon the magnetic configuration. These devices can be used to conceive innovative non-volatile memories, high-perfomances logic circuits, RF oscillators or field/current sensors. This paper describes a full Magnetic Process Design Kit (MPDK) allowing to efficiently design such CMOS/magnetic hybrid circuits. The latter can help circumventing some of the limits of CMOS-only microelectronics.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105334","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105334","","CMOS integrated circuits;Magnetic circuits;Magnetic tunneling;Magnetization;Nonvolatile memory;Switches;Transistors","CMOS logic circuits;magnetic circuits;magnetoelectronics;radiofrequency oscillators;random-access storage","CMOS-only microelectronics;RF oscillator;Spintronic device;current sensor;electron quantum characteristics;high-performance nonvolatile logic circuit;hybrid CMOS-magnetic process design kit;innovative nonvolatile memory;magnetic configuration;magnetic layer;magneto resistive effect;nonmagnetic layer;spin-polarized electron","","0","","17","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
"A robust architecture for post-silicon skew tuning","Kao, M.Y.C.; Kun-Ting Tsai; Shih-Chieh Chang","Dept. of Comput. Sci., Nat. Tsing Hua Univ., Hsinchu, Taiwan","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","774","778","Clock skew minimization is important in VLSI design field. Due to the presence of Process, Voltage, and Temperature (PVT) variations, the Post-Silicon Skew Tuning (PST) technique with the ability of tolerating PVT variations has brought a broad discussion. A PST architecture can dynamically minimize the clock skew even after a chip is manufactured. However, testing the variation tolerance ability of a PST architecture is very difficult because the clock skew does not directly affect the functionality of a design. In addition, creating PVT variation in the traditional testing environment is not easy. Unlike most previous works which focus on the implementation and the performance issues of a PST architecture, the objective of this paper is to propose efficient test mechanisms and verify the variation tolerance ability. In addition, we also propose a novel structure to increase the robustness of a PST architecture in case of a manufacturing fault. Our experiment shows that with little overhead, we can achieve robustness.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105417","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105417","Adjustable Delay Buffer;Phase Detector;Post-Silicon Tuning","Clocks;Delay;Fault tolerance;Fault tolerant systems;Logic gates;Synchronization;Testing","VLSI;clocks;integrated circuit design","VLSI design;clock skew minimization;performance issue;post silicon skew tuning;process variation;temperature variation;voltage variation","","1","","9","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
"MGR: Multi-level global router","Yue Xu; Chu, C.","Dept. of Electr. & Comput. Eng., Iowa State Univ., Ames, IA, USA","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","250","255","Global routing faces an increasing problem size and urgent demand on improvement in solution quality. Despite of the recent developments of global routers, there exist only two types of choices: slow 3D routers with good solution quality or efficient 2D routers with relatively poor solution quality. We propose a multi-level 3D global router called MGR to fill the gap. MGR resorts to an efficient multi-level framework to reroute nets in the congested region on the 3D grid graph. Routing on the coarsened grid graph speeds up the global router while 3D routing introduces less vias. The powerful multi-level rerouting framework wraps three innovative routing techniques together: adaptive resource reservation in coarsening process, a new 3-terminal maze routing algorithm and network flow based solution propagation in uncoarsening process. As a result, MGR can achieve the solution quality close to 3D routers with comparable runtime of 2D routers.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105336","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105336","","Estimation;Joining processes;Metals;Routing;Runtime;Steiner trees;Three dimensional displays","network routing;resource allocation","2D routers;3-terminal maze routing;3D grid graph;MGR;adaptive resource reservation;coarsened grid graph;congested region;multilevel 3D global router;multilevel rerouting framework;network flow;slow 3D routers","","6","","13","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
"Fast poisson solver preconditioned method for robust power grid analysis","Jianlei Yang; Yici Cai; Qiang Zhou; Jin Shi","Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","531","536","Robust and efficient algorithms for power grid analysis are crucial for both VLSI design and optimization. Due to the increasing size of power grids IR drop analysis has become more computationally challenging both in runtime and memory consumption. This work presents a fast Poisson solver preconditioned method for unstructured power grid with unideal boundary conditions. In fact, by taking the advantage of analytical formulation of power grids this analytical preconditioner can be considered as sparse approximate inverse technique. By combining this analytical preconditioner with robust conjugate gradient method, we demonstrate that this approach is totally robust for extremely large scale power grid simulations. Experimental results have shown that iterations of our proposed method will hardly increase with grid size increasing once the pads density and the range of metal resistances value distribution have been decided. We demonstrated that this approach solves an unstructured power grid with 2.56M nodes in only 1/3 iterations of classical ICCG solver, and achieves almost 20X speedups over the classical ICCG solver on runtime.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105381","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105381","Fast Poisson Solver;Power Grid;Preconditioning","Equations;Mathematical model;Matrix decomposition;Metals;Power grids;Resistance;Robustness","VLSI;conjugate gradient methods;integrated circuit design;power grids","VLSI design;VLSI optimization;fast Poisson solver preconditioned method;memory consumption;power grids IR drop analysis;robust conjugate gradient method;robust power grid analysis;sparse approximate inverse technique;unideal boundary conditions;unstructured power grid","","5","","14","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
"Mitigating FPGA interconnect soft errors by in-place LUT inversion","Naifeng Jing; Ju-Yueh Lee; Weifeng He; Zhigang Mao; Lei He","Sch. of Microelectron., Shanghai Jiao Tong Univ., Shanghai, China","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","582","586","Modern SRAM-based FPGAs (Field Programmable Gate Arrays) use multiplexer-based unidirectional routing, and SRAM configuration cells in these multiplexers contribute to the majority of soft errors in FPGAs. In this paper, we formulate an In-Placed inVersion (IPV) on LUT (Look-Up Table) logic polarities to reduce the Soft Error Rate (SER) at chip level, and reveal a locality and NP-Hardness of the IPV problem. We then develop an exact algorithm based on the binary integer linear programming (ILP) and also a heuristic based on the simulated annealing (SA), both enabled by the locality. We report results for the 10 largest MCNC combinational benchmarks synthesized by ABC and then placed and routed by VPR. The results show that IPV obtains close to 4× chip level SER reduction on average and SA is highly effective by obtaining the same SER reduction as ILP does. A recent work IPD has the largest LUT level SER reduction of 2.7× in literature, but its chip level SER reduction is merely 7% due to the dominance of interconnects. In contrast, SA-based IPV obtains nearly 4× chip level SER reduction and runs 30× faster. Furthermore, combining IPV and IPD leads to a chip level SER reduction of 5.3×. This does not change placement and routing, and does not affect design closure. To the best of our knowledge, our work is the first in-depth study on SER reduction for modern multiplexer-based FPGA routing by in-placed logic re-synthesis.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105389","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105389","Fault Mitigation;Interconnect;Logic Polarity;Logic Re-synthesis;Routing;SER;SRAM-based FPGA;Soft Errors","Algorithm design and analysis;Circuit faults;Field programmable gate arrays;Integrated circuit interconnections;Routing;Runtime;Table lookup","SRAM chips;circuit optimisation;computational complexity;field programmable gate arrays;integer programming;integrated circuit interconnections;linear programming;multiplexing equipment;simulated annealing;table lookup","FPGA interconnect soft error mitigation;IPV problem;MCNC combinational benchmarks;NP-hardness problem;SRAM-based FPGA;binary integer linear programming;chip level SER reduction;field programmable gate arrays;in-place LUT inversion;in-placed inversion;in-placed logic re-synthesis;look-up table logic polarity;multiplexer-based FPGA routing;multiplexer-based unidirectional routing;simulated annealing;soft error rate","","2","","17","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
"Massively parallel programming models used as hardware description languages: The OpenCL case","Owaida, M.; Bellas, N.; Antonopoulos, C.D.; Daloukas, K.; Antoniadis, C.","Dept. of Comput. & Commun. Eng., Univ. of Thessaly, Volos, Greece","Computer-Aided Design (ICCAD), 2011 IEEE/ACM International Conference on","20111215","2011","","","326","333","The problem of automatically generating hardware modules from high level application representations has been at the forefront of EDA research during the last few years. In this paper, we introduce a methodology to automatically synthesize hardware accelerators from OpenCL applications. OpenCL is a recent industry supported standard for writing programs that execute on multicore platforms and accelerators such as GPUs. Our methodology maps OpenCL kernels into hardware accelerators, based on architectural templates that explicitly decouple computation from memory communication whenever this is possible. The templates can be tuned to provide a wide repertoire of accelerators that meet user performance requirements and FPGA device characteristics. Furthermore, a set of high- and low-level compiler optimizations is applied to generate optimized accelerators. Our experimental evaluation shows that the generated accelerators are tuned efficiently to match the applications memory access pattern and computational complexity, and to achieve user performance requirements. An important objective of our tool is to expand the FPGA development user base to software engineers, thereby expanding the scope of FPGAs beyond the realm of hardware design.","1092-3152","978-1-4577-1399-6","978-1-4577-1398-9","10.1109/ICCAD.2011.6105349","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105349","Electronic Design Automation;Embedded Systems;FPGA;OpenCL;Reconfigurable Computing","Computational modeling;Field programmable gate arrays;Hardware;Kernel;Optimization;Pipelines;Synchronization","computational complexity;field programmable gate arrays;graphics processing units;hardware description languages;multiprocessing systems;optimising compilers;parallel programming","EDA research;FPGA development;FPGA device characteristics;GPU;OpenCL case;applications memory access pattern;architectural templates;compiler optimizations;computational complexity;hardware accelerator synthesis;hardware description languages;hardware modules;high level application representations;multicore platforms;parallel programming models","","3","","17","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
