"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DComputer-Aided+Design+.LB.ICCAD.RB.%2C+2013+IEEE%2FACM+International+Conference",2015/06/23 15:08:52
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Diagnosing root causes of system level performance violations","Lingyi Liu; Xuanyu Zhong; Xiaotao Chen; Vasudevan, S.","Dept. of ECE, Univ. of Illinois at Urbana-Champaign, Urbana, IL, USA","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","295","302","Diagnosing performance violations is one of the biggest challenges in transaction level modeling of systems. In this paper, we propose a methodology to localize root causes of latency or throughput violations. We present a concurrent pattern mining approach to infer frequent patterns from transaction traces to localize root causes. We apply three categories of domain knowledge from the violation and models to filter the irrelevant transaction traces and increase the effectiveness of the mining results. We provide three culprit scenarios to mining algorithm by including transaction traces relevant to the corresponding culprit scenario. The mined concurrent patterns then belong to that culprit scenario. We provide a case study for diagnosing performance violations of an experimental platform and show that our domain knowledge can reduce the number of transaction traces by up to 92.8%. The concurrent pattern mining pinpoints the root cause to one of fewer than 10 patterns among 100000 transaction traces.","1092-3152","","","10.1109/ICCAD.2013.6691135","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691135","","Context;Data mining;Databases;Protocols;Throughput;Time-domain analysis;Time-varying systems","data mining;performance evaluation;transaction processing","concurrent pattern mining approach;domain knowledge categories;system level performance violation root cause diagnosis;throughput violations;transaction level modeling;transaction traces","","0","","23","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
"Automatic concolic test generation with virtual prototypes for post-silicon validation","Kai Cong; Fei Xie; Li Lei","Dept. of Comput. Sci., Portland State Univ., Portland, OR, USA","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","303","310","Post-silicon validation is a crucial stage in the system development cycle. To accelerate post-silicon validation, high-quality tests should be ready before the first silicon prototype becomes available. In this paper, we present a concolic testing approach to generation of post-silicon tests with virtual prototypes. We identify device states under test from concrete executions of a virtual prototype based on the concept of device transaction, symbolically execute the virtual prototype from these device states to generate tests, and issue the generated tests concretely to the silicon device. We have applied this approach to virtual prototypes of three network adapters to generate their tests. The generated test cases have been issued to both virtual prototypes and silicon devices. We observed significant coverage improvement with generated test cases. Furthermore, we detected 20 inconsistencies between virtual prototypes and silicon devices, each of which reveals a virtual prototype or silicon device defect.","1092-3152","","","10.1109/ICCAD.2013.6691136","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691136","","Concrete;Engines;Prototypes;Registers;Silicon devices;Software;Testing","automatic test pattern generation;elemental semiconductors;silicon;virtual prototyping","Si;automatic concolic test generation;device states;device transaction;generated test cases;network adapters;post-silicon tests;post-silicon validation;silicon devices;silicon prototype;system development cycle;virtual prototypes","","1","","30","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
"Improving platform energy-chip area trade-off in near-threshold computing environment","Hao Wang; Sinkar, A.A.; Nam Sung Kim","Univ. of Wisconsin-Madison, Madison, WI, USA","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","318","325","Recent studies on near-threshold computing (NTC) investigated an optimum supply voltage which yields minimum energy per operation (E<sub>min</sub>), and proposed various optimization techniques at the device, circuit, and architecture levels to further minimize E<sub>mn</sub>. However, most of these studies often overlooked the significance of (i) energy consumption of off-chip memory accesses; (ii) energy loss of voltage regulators (VRs); and (iii) the cost of chip area in NTC environment. In this paper, we first demonstrate the increasing significance of (i) and (ii) in NTC environment with a comprehensive set of device, circuit, and architectural-level models. Second, we explore technology optimization to improve the trade-off between platform energy and chip area considering (iii) in NTC environment. The experimental results show that our optimized technology achieves 4% to 21% energy reduction for various chip area constraints, achieving significant improvement in trade-off between platform energy and chip area for a wide range of parallel benchmarks.","1092-3152","","","10.1109/ICCAD.2013.6691138","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691138","","Analytical models;Benchmark testing;Energy consumption;Energy efficiency;Memory management;Optimization;Throughput","energy consumption;parallel processing;power aware computing;voltage regulators","NTC environment;architectural-level models;architecture level optimization techniques;circuit level optimization techniques;circuit-level models;device level optimization techniques;device-level models;energy reduction;minimum energy per operation;near-threshold computing environment;off-chip memory access energy consumption;optimum supply voltage;parallel benchmarks;platform energy-chip area trade-off;voltage regulator energy loss","","1","","24","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
"Incremental Multiple-Scan Chain Ordering for ECO Flip-Flop insertion","Kahng, A.B.; Ilgweon Kang; Nath, S.","ECE Depts., UC San Diego, La Jolla, CA, USA","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","705","712","Testability of ECO logic is currently a significant bottleneck in the SOC implementation flow. Front-end designers sometimes require large functional ECOs close to scheduled tapeout dates or for later design revisions. To avoid loss of test coverage, ECO flip-flops must be added into existing scan chains with minimal increase to test time and minimal impact on existing routing and timing slack. We address a new Incremental Multiple-Scan Chain Ordering problem formulation to automate the tedious and time-consuming process of scan stitching for large functional ECOs. We present a heuristic with clustering, incremental clustering and ordering steps to minimize the maximum chain length (test time), routing congestion, and disturbance to existing scan chains. Test times for our incremental scan chain solutions are reduced by 5.3%, and incremental wirelength costs are reduced by 45.71%, compared to manually-solved industrial testcases.","1092-3152","","","10.1109/ICCAD.2013.6691192","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691192","","Iron;Optimization;Routing;Timing;Upper bound;Vectors;Vehicles","boundary scan testing;flip-flops;network routing","ECO flip-flop insertion;ECO logic;SOC implementation flow;design revisions;front-end designers;incremental multiple-scan chain ordering;maximum chain length;routing congestion;routing slack;scan stitching;scheduled tapeout dates;test coverage;test time;timing slack","","0","","27","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
"Depth controlled symmetric function fanin tree restructure","Hua Xiang; Reddy, L.; Trevillyan, L.; Puri, R.","IBM T.J. Watson Res. Center, Yorktown Heights, NY, USA","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","585","591","A symmetric-function fanin tree (SFFT) is a fanout-free cone of logic that computes a symmetric function such as AND, OR and XOR. These trees are usually created during logic synthesis, when there is no knowledge of the tree gate locations. Because of this, large SFFTs present a challenge to placement algorithms. The consequence is that the tree placements are generally far from optimal, leading to wiring congestion, excess buffering, and timing problems. [10] proposed a fanin-tree restructure algorithm to reduce the SFFT wirelength. However, [10] was based on Steiner trees and might cause serious timing problems due to the high Steiner tree depth. In this paper, we extend the SFFT tree identification algorithm to allow both positive and negative tree inputs. Contrary to the Steiner-tree based approach, we propose a new tree restructure flow to build SFFTs from bottom to top level by level at the physical design stage. The tree restructure algorithm is in a transaction mode so that only improved trees are accepted, and the new tree won't cause any placement legal issue. A new partitioning algorithm is proposed to serve for gate creation. In addition, various optimization techniques are developed to reduce tree wirelength On tested designs, the total tree wirelength is reduced by 31% with similar tree gates and tree depths.","1092-3152","","","10.1109/ICCAD.2013.6691176","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691176","","Algorithm design and analysis;Clustering algorithms;Logic gates;Partitioning algorithms;Steiner trees;Timing;Vegetation","buffer circuits;logic design;logic gates;optimisation;trees (mathematics);wiring","AND;OR;SFFT;SFFT tree identification algorithm;SFFT wirelength reduction;Steiner tree depth;XOR;depth controlled symmetric function fanin tree restructure;excess buffering;logic fanout-free cone;logic synthesis;negative tree inputs;optimization techniques;physical design stage;placement algorithms;positive tree inputs;symmetric function;timing problems;tree depths;tree gates;tree placements;tree restructure algorithm;wiring congestion","","0","","10","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
"PROTON: An automatic place-and-route tool for optical Networks-on-Chip","Boos, A.; Ramini, L.; Schlichtmann, U.; Bertozzi, D.","","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","138","145","Optical Networks-on-Chip (ONoCs) are considered a promising way of improving power and bandwidth limitations in next generation multi- and many-core integrated systems. Today, most related research acknowledges the key role of the physical layer in assessing ONoC topologies (e.g., insertion loss), but overlooks the placement and routing stage in the design process, hence applying physical design considerations to topology logic schemes. Such a mismatch is fundamentally due to the lack of mature CAD tools for placement and routing of optical NoCs. The objective of this work is to bridge this gap: We propose PROTON, a fast tool for automatic placement and routing of ONoC topologies, which can support designers in quantifying the degradation of design quality metrics when moving from topology logic schemes to their physical implementation. This gap is especially relevant for Wavelength-Routed ONoCs (WRONoCs), where logic schemes typically make unrealistic assumptions about the placement of initiators and targets. For this reason, we put PROTON to work with the most promising WRONoC topologies and explore their physical design space given the placement and routing constraints of a 3D stacked system. We also compare automatically generated layouts with handcrafted ones reported in the literature for the same topologies and target system, and prove an insertion loss improvement by up to 150x. With PROTON the exploration of the physical design space of ONoC topologies is possible as well as their scalability analysis considering the layout.","1092-3152","","","10.1109/ICCAD.2013.6691109","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691109","","Network topology;Optical interconnections;Optical waveguides;Propagation losses;Protons;Routing;Topology","CAD;integrated optics;network routing;network-on-chip;optical engineering computing;optical logic;three-dimensional integrated circuits","3D stacked system;PROTON;automatic place-and-route tool;design process;insertion loss improvement;optical networks-on-chip;routing stage;scalability analysis;topology logic;wavelength routed ONoC","","1","","22","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
"Aging-aware logic synthesis","Ebrahimi, M.; Oboril, F.; Kiamehr, S.; Tahoori, M.B.","Dept. of Dependable & Nano-Comput., Karlsruhe Inst. of Technol., Karlsruhe, Germany","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","61","68","As CMOS technology scales down into the nanometer regime, designers have to add pessimistic timing margins to the circuit as guardbands to avoid timing violations due to various reliability effects, in particular accelerated transistor aging. Since aging is workload-dependent, the aging rates of different paths are non-uniform, and hence, design time delay-balanced circuits become significantly unbalanced after some operational time. In this paper, an aging-aware logic synthesis approach is proposed to increase circuit lifetime with respect to a specific guardband. Our main objective is to optimize the design timing with respect to post-aging delay in a way that all paths reach the assigned guardband at the same time. In this regard, in an iterative process, after computing the post-aging delays, the lifetime is improved by putting tighter timing constraints on paths with higher aging rate and looser constraints on paths which have less post-aging delay than the desired guarband. The experimental results shows that the proposed approach improves circuit lifetime in average by more than 3X with negligible impact on area. Our approach is implemented on top of a commercial synthesis toolchain, and hence scales very well.","1092-3152","","","10.1109/ICCAD.2013.6691098","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691098","","Aging;Clocks;Delays;Logic gates;Optimization;Transistors","CMOS logic circuits;circuit optimisation;iterative methods;logic design","accelerated transistor aging;aging-aware logic synthesis approach;design timing optimization;guardbands;iterative process;pessimistic timing margins;post-aging delay;reliability effects;time delay-balanced circuit design;timing violations","","3","","37","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
"Executive committee","","","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","1","6","Provides a listing of current committee members and society officers.","1092-3152","","","10.1109/ICCAD.2013.6691083","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691083","","","","","","0","","","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
"Low-power timing closure methodology for ultra-low voltage designs","Wen-Pin Tu; Chung-Han Chou; Shih-Hsu Huang; Shih-Chieh Chang; Yow-Tyng Nieh; Chien-Yung Chou","Dept. of Electron. Eng., Chung Yuan Christian Univ., Chung Li, Taiwan","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","697","704","As the supply voltage is down to the ultra-low voltage (ULV) level, timing closure becomes a serious challenge in the use of multiple power modes. Due to a wide voltage range, a very huge clock skew may occur among different power modes. To reduce this huge clock skew, the conventional power-mode-aware clock tree often suffers from a huge overhead on power consumption. Moreover, at the ULV level, since the setup time and the hold time of each register dramatically increase, the number of timing violations also increases greatly. However, the existing minimum padding technique cannot fix hold time violations in multiple power modes. Based on those two observations, in this paper, we propose a low-power timing closure methodology, which incorporates the synthesis of clock tree and data path, for multipower-mode ULV designs. Our low-power timing closure methodology has two main approaches. First, we use multiple power modes to build a power-mode-aware clock tree for reducing clock skew with very small power consumption. Second, we propose the first multi-power-mode minimum padding technique to fix all the hold time violations in all the power modes simultaneously. Experimental results consistently show that the integration of both approaches yields the best results.","1092-3152","","","10.1109/ICCAD.2013.6691191","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691191","","Clocks;Delays;Power demand;Registers;Time factors;Wires","clocks;low-power electronics","low-power timing closure methodology;minimum padding technique;multiple power modes;power-mode-aware clock tree;supply voltage;ultra-low voltage designs;wide voltage range","","0","","14","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
"A high-performance triple patterning layout decomposer with balanced density","Bei Yu; Yen-Hung Lin; Luk-Pat, G.; Duo Ding; Lucas, K.; Pan, D.Z.","ECE Dept., Univ. of Texas at Austin, Austin, TX, USA","Computer-Aided Design (ICCAD), 2013 IEEE/ACM International Conference on","20131223","2013","","","163","169","Triple patterning lithography (TPL) has received more and more attentions from industry as one of the leading candidate for 14nm/11nm nodes. In this paper, we propose a high performance layout decomposer for TPL. Density balancing is seamlessly integrated into all key steps in our TPL layout decomposition, including density-balanced semi-definite programming (SDP), density-based mapping, and density-balanced graph simplification. Our new TPL decomposer can obtain high performance even compared to previous state-of-the-art layout decomposers which are not balanced-density aware, e.g., by Yu et al. (ICCAD'11), Fang et al. (DAC'12), and Kuang et al. (DAC'13). Furthermore, the balanced-density version of our decomposer can provide more balanced density which leads to less edge placement error (EPE), while the conflict and stitch numbers are still very comparable to our non-balanced-density baseline.","1092-3152","","","10.1109/ICCAD.2013.6691114","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691114","","Color;Layout;Lithography;Partitioning algorithms;Programming;Runtime;Vectors","graph theory;integrated circuit layout;lithography;mathematical programming","EPE;density balanced semidefinite programming;density-balanced graph simplification;density-based mapping;edge placement error;high-performance triple patterning layout decomposer;size 11 mm;size 14 mm;triple patterning lithography","","6","","20","","","18-21 Nov. 2013","","IEEE","IEEE Conference Publications"
