"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DNetworks-on-Chip+.LB.NOCS.RB.%2C+2010+Fourth+ACM%2FIEEE+International+Symposium+on",2015/07/17 18:43:14
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A Low-Latency and Memory-Efficient On-chip Network","Daneshtalab, M.; Ebrahimi, M.; Liljeberg, P.; Plosila, J.; Tenhunen, H.","Dept. of Inf. Technol., Univ. of Turku, Turku, Finland","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","99","106","Using multiple SDRAMs in MPSoCs and NoCs to increase memory parallelism is very common nowadays. In-order delivery, resource utilization, and latency are the most critical issues in such architectures. In this paper, we present a novel network interface architecture to cope with these issues efficiently. The proposed network interface exploits a resourceful reordering mechanism to handle the in-order delivery and to increase the resource utilization. A brilliant memory controller is efficiently integrated into this network interface to improve the memory utilization and reduce both memory and network latencies. In addition, to bring compatibility with existing IP cores the proposed network interface utilizes AXI transaction based protocol. Experimental results with synthetic test cases demonstrate that the proposed architecture gives significant improvements in average network latency (12%), average memory access latency (19%), and average memory utilization (22%).","","978-1-4244-7085-3","978-1-4244-7086-0","10.1109/NOCS.2010.19","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507556","","Access protocols;Delay;Information technology;Network interfaces;Network-on-a-chip;Resource management;Routing;Scalability;System-on-a-chip;Testing","DRAM chips;multiprocessing systems;network interfaces;network-on-chip","AXI transaction based protocol;in-order delivery;latency;memory parallelism;multiple SDRAMs;multiprocessing system-on-chip;network interface architecture;network-on-chip;on-chip network;resource utilization;resourceful reordering mechanism","","18","","26","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
"Steering Committee","","","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","xiii","xiii","Provides a listing of current committee members.","","978-1-4244-7085-3","","10.1109/NOCS.2010.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507574","","","","","","0","","","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
"A 128 x 128 x 24Gb/s Crossbar Interconnecting 128 Tiles in a Single Hop and Occupying 6% of Their Area","Passas, G.; Katevenis, M.; Pnevmatikatos, D.","Inst. of Comput. Sci. (ICS), Found. for Res. & Technol. (FORTH), Heraklion, Greece","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","87","95","We describe the implementation of a 128×128 crossbar switch in 90 nm CMOS standard-cell ASIC technology. The crossbar operates at 750 MHz and is 32-bits for a port capacity above 20Gb/s, while fitting in a silicon area as small as 6.6 mm<sup>2</sup> by filling it at the 90% level (control not included). Next, we arrange 128 1 mm<sup>2</sup> ""user tiles"" around the crossbar, forming a 150 mm<sup>2</sup> die, and we connect all tiles to the crossbar via global links that run on top of SRAM blocks that we assume to occupy three fourths of each user tile. Including the overhead of repeaters and pipeline registers on the global links, the area cost of the crossbar is 6% of the total tile area. Thus, we prove that crossbars are dense enough and can be connected ""for free"" for valencies exceeding by far the few tens of ports, that were believed to be the practical limit up to now, and reaching above one hundred ports. Applications include Combined Input-Qutput Queued switch chips for Internet routers and data-center interconnects and the replacement of mesh-type NoC for many-core chips.","","978-1-4244-7085-3","978-1-4244-7086-0","10.1109/NOCS.2010.37","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507559","","Application specific integrated circuits;CMOS technology;Filling;Level control;Pipelines;Random access memory;Repeaters;Silicon;Switches;Tiles","CMOS integrated circuits;SRAM chips;application specific integrated circuits;integrated circuit interconnections;network-on-chip;pipeline arithmetic;queueing theory","CMOS standard-cell ASIC technology;Internet routers;SRAM blocks;combined input-output queued switch chips;crossbar switch;data-center interconnects;frequency 750 MHz;global links;many-core chips;mesh-type NoC;pipeline registers;size 90 nm","","6","","16","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
"Temperature-Aware Delay Borrowing for Energy-Efficient Low-Voltage Link Design","Wolpert, D.; Bo Fu; Ampadu, P.","Dept. of Electr. & Comput. Eng., Univ. of Rochester, Rochester, NY, USA","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","107","114","This paper presents a new technique that takes advantage of the differing temperature dependences in low-voltage interconnect links and higher voltage transceivers. The link and transceiver are dynamically retimed as the system temperature changes. This delay borrowing enables the link to maintain a frequency requirement despite temperature-induced frequency variations in excess of 200%, and enables the link to operate at lower voltages than possible with a non-temperature aware link. In addition to improved tolerance of environmental variations, the proposed approach achieves energy savings of up to 40% in a commercial 65 nm technology, including the energy overhead of the temperature-aware system. Further, the delay borrowing system is shown to decrease temperature-induced delay variations by 85%.","","978-1-4244-7085-3","978-1-4244-7086-0","10.1109/NOCS.2010.20","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507557","Temperature;delay borrowing;energy-efficient;interconnect;low voltage","Delay systems;Energy efficiency;Frequency;Inverters;Low voltage;Network-on-a-chip;Power dissipation;Temperature dependence;Transceivers;USA Councils","power supply circuits","energy savings;energy-efficient low-voltage link design;low-voltage interconnect links;temperature-aware delay borrowing;temperature-induced frequency variations","","4","","41","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
"Additional reviewers","","","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","xiv","xiv","The conference offers a note of thanks and lists its reviewers.","","978-1-4244-7085-3","","10.1109/NOCS.2010.9","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507575","","","","","","0","","","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
"Design of High-Radix Clos Network-on-Chip","Yu-Hsiang Kao; Alfaraj, N.; Ming Yang; Chao, H.J.","Dept. of Electr. & Comput. Eng., Polytech. Inst. of New York Univ., Brooklyn, NY, USA","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","181","188","Many high-radix Network-on-Chip (NOC) topologies have been proposed to improve network performance with an ever-growing number of processing elements (PEs) on a chip. We believe Clos Network-on-Chip (CNOC) is the most promising with its low average hop counts and good load-balancing characteristics. In this paper, we propose (1) a high-radix router architecture with Virtual Output Queue (VOQ) buffer structure and Packet Mode Dual Round-Robin Matching (PDRRM) scheduling algorithm to achieve high speed and high throughput in CNOC, (2) a heuristic floor-planning algorithm to minimize the power consumption caused by the long wires. Experimental results show that the throughput of a 64-node 3-stage CNOC under uniform traffic increases from 62% to 78% by replacing the baseline routers with PDRRM VOQ routers. We also compared CNOC with other NOC topologies, and found that using the new design techniques, CNOC has the highest throughput, lowest zero-load latency, and best power efficiency.","","978-1-4244-7085-3","978-1-4244-7086-0","10.1109/NOCS.2010.27","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507549","","Delay;Energy consumption;Heuristic algorithms;Network topology;Network-on-a-chip;Round robin;Scheduling algorithm;Throughput;Traffic control;Wires","circuit layout;logic design;network topology;network-on-chip","CNOC;NOC topology;PDRRM scheduling;VOQ buffer structure;heuristic floor-planning algorithm;high-radix clos network-on-chip;high-radix router architecture;packet mode dual round-robin matching;virtual output queue","","5","","20","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
"A Network Congestion-Aware Memory Controller","Dongki Kim; Sungjoo Yoo; Sunggu Lee","Dept. of Electron. & Electr. Eng., Pohang Univ. of Sci. & Technol. (POSTECH), Pohang, South Korea","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","257","264","Network-on-chip and memory controller become correlated with each other in case of high network congestion since the network port of memory controller can be blocked due to the (back-propagated) network congestion. We call such a problem network congestion-induced memory blocking. In order to resolve the problem, we present a novel idea of network congestion-aware memory controller. Based on the global information of network congestion, the memory controller performs (1) congestion-aware memory access scheduling and (2) congestion-aware network entry control of read data. The experimental results obtained from a 5×5 tile architecture show that the proposed memory controller presents up to 18.9% improvement in memory utilization.","","978-1-4244-7085-3","978-1-4244-7086-0","10.1109/NOCS.2010.36","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507585","Memory;congestion;memory access scheduling;network-on-chip","Control systems;Degradation;Delay;Embedded system;Laboratories;Network-on-a-chip;Routing;Scheduling;Switches;System performance","network-on-chip;scheduling;storage management","backpropagated network congestion;memory access scheduling;memory blocking;memory controller;network entry control;network-on-chip","","7","","24","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
"[Title page iii]","","","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","iii","iii","Conference proceedings title page.","","978-1-4244-7085-3","","10.1109/NOCS.2010.2","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507581","","","","","","0","","","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
"Ultra Fine-Grained Run-Time Power Gating of On-chip Routers for CMPs","Matsutani, H.; Koibuchi, M.; Ikebuchi, D.; Usami, K.; Nakamura, H.; Amano, H.","Univ. of Tokyo, Tokyo, Japan","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","61","68","This paper proposes an ultra fine-grained run-time power gating of on-chip router, in which power supply to each router component (e.g., VC queue, crossbar MUX, and output latch) can be individually controlled in response to the applied workload. As only the router components which are just transferring a packet are activated, the leakage power of the on-chip network can be reduced to the near-optimal level. However, a certain amount of wakeup latency is required to activate the sleeping components, and the application performance will be degraded. In this paper, we estimate the wakeup latency for each component based on circuit simulations using a 65 nm process. Then we propose four early wakeup methods to overcome the wakeup latency. The proposed router with the early wakeup methods is evaluated in terms of the application performance, area, and leakage power. As a result, it reduces the leakage power by 78.9%, at the expense of the 4.3% area and 4.0% performance when we assume a 1 GHz operation.","","978-1-4244-7085-3","978-1-4244-7086-0","10.1109/NOCS.2010.16","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507560","Network-on-Chip;low power;power gating;router","Communication switching;Costs;Degradation;Delay;Energy consumption;Latches;Network-on-a-chip;Power supplies;Runtime;Virtual colonoscopy","multiprocessing systems;network-on-chip;optimisation;power aware computing","CMP;chip multiprocessors;circuit simulations;onchip network;onchip routers;ultra fine grained runtime power gating","","10","","14","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
"Impact of Half-Duplex and Full-Duplex DMA Implementations on NoC Performance","Palumbo, F.; Pani, D.; Pilia, A.; Raffo, L.","DIEE Dept. of Electr. & Electron. Eng., Univ. of Cagliari, Cagliari, Italy","Networks-on-Chip (NOCS), 2010 Fourth ACM/IEEE International Symposium on","20100712","2010","","","249","256","NoCs performance are usually explored stand-alone, overlooking the impact of the higher communication levels in the ISO OSI micro network stack. Nevertheless, since CPUs have to be relieved of communication management, higher communication levels such as DMA engines necessarily influence the communication performance. In this paper, we investigate how two different DMA implementations, full-duplex and half-duplex, can bias the behavior of a NoC designed for MPP architectures. From our studies, it turned out that a full-duplex DMA is more effective in preventing possible deadlock situations. Moreover, a deep performance analysis of a state-of-the-art NoC, in terms of transactions completion time, queuing time and injection delay, confirms the impact of the DMA in NoC-based MPP platforms, showing the advantages of a full-duplex approach.","","978-1-4244-7085-3","978-1-4244-7086-0","10.1109/NOCS.2010.35","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507541","DMA performance bias;deadlock prevention;full-duplex DMA;half-duplex DMA;hybrid switching NoC","Computer architecture;Delay effects;Engines;ISO;Network-on-a-chip;Open systems;Performance analysis;Queueing analysis;System recovery;Tiles","file organisation;network-on-chip;open systems;parallel processing","ISO OSI micro network stack;NoC performance;completion time transaction;direct memory access;full duplex DMA implementations;half duplex DMA implementation;massively parallel processors;networks on chip;queuing time","","0","","17","","","3-6 May 2010","","IEEE","IEEE Conference Publications"
