http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28p_Publication_Title%3ANetworks+on+Chip+.LB.NoCS.RB.%2C+2011+Fifth+I,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Reconfiguration of a 3GPP-LTE telecommunication application on a 22-core NoC-based system-on-chip,"Clermidy, F.; Cassiau, N.; Coste, N.; Dutoit, D.; Fantini, M.; Ktenas, D.; Lemaire, R.; Stefanizzi, L.","CEA/LETI, MINATEC Center, Grenoble, France","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,261,262,"The MAGALI chip is a 65nm digital baseband dedicated to advanced telecommunication applications. Based on a 15-router mesh Network-on-Chip - NoC, it embeds 22 Processing Elements - PE performing the different functions of a complex baseband in a programmable manner. The NoC framework is based on asynchronous routers which provide a complete Globally Asynchronous Locally Synchronous - GALS framework. Thanks to this structure, each PE is a synchronous island with a programmable frequency. On the architectural side, the NoC supports fast reconfiguration thanks to a distributed scheme. In this demonstration, we propose to show the reconfiguration capabilities of the MAGALI chip on three modes of a 3GPP-LTE receiver part, by switching on-the-fly between these three modes. The resulting transmission quality with different levels of upcoming signal noises is shown.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948576,3GPP-LTE;Asynchronous Network-on-Chip;reconfiguration,Baseband;Computer architecture;Decoding;Field programmable gate arrays;MIMO;OFDM,3G mobile communication;Long Term Evolution;asynchronous circuits;network routing;network-on-chip;reconfigurable architectures,22-core NoC-based system-on-chip;3GPP-LTE telecommunication application;GALS framework;MAGALI chip;PE;asynchronous router;globally asynchronous locally synchronous framework;on-the-fly switching;processing element;programmable frequency;reconfiguration architecture;router mesh network-on-chip;size 65 nm,,4,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
NoCs simulation framework for OMNeT++,"Ben-Itzhak, Y.; Zahavi, E.; Cidon, I.; Kolodny, A.","Electr. Eng. Dept., Technion - Israel Inst. of Technol., Haifa, Israel","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,265,266,"As chip density keeps doubling every process generation, the use of Network-on-Chip becomes the prevalent architecture of SoC, MPSoC and large scale CMP designs. To that end, diverse NoC solutions are developed by the industry and the research community in order to meet heterogeneous on-chip communication requirements. Consequently, there is a growing need to rely on a simulation tools in order to explore, evaluate and optimize these new NoC architectures and topologies. The simulation platform is based on OMNeT++. It provides an open-source, modular, scalable, extendible and fully parameterizable framework for modeling NoC. In this demo we describe the structure of this framework.",,,978-1-4503-0720-8,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948578,Networks-on-Chip;NoC Simulator,Computational modeling;Computer architecture;Conferences;System-on-a-chip;Throughput;Topology;Traffic control,circuit simulation;network topology;network-on-chip,MPSoC;NoC architecture;NoC simulation;NoC topology;OMNeT++;chip density;heterogeneous on-chip communication;large scale CMP design;network-on-chip;open-source framework,,0,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
Two-hop Free-space based optical interconnects for chip multiprocessors,"Abousamra, A.; Melhem, R.; Jones, A.","Comput. Sci. Dept., Univ. of Pittsburgh, Pittsburgh, PA, USA","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,89,96,"Many resources are shared among the cores of chip-multiprocessors (CMPs), in particular on-chip caches and memory systems. Efficient intra-chip communication is necessary for efficient resource sharing and the performance of such systems, especially in future CMPs with hundreds or thousands of cores. Current Free-space optical networks-on-chip (NoCs) provide the potential to avoid the reduced wire performance and degraded signal integrity facing electronic networks. However, current proposals utilize fixed direction lasers and mirrors to realize one-hop all-to-all connectivity, which results in difficulties scaling to larger numbers of processors. In this paper we present two-hop optical strategies that provide better performance over the one-hop strategy while improving on both the required resources and scalability for future large scale CMPs.",,,978-1-4503-0720-8,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948587,Network-on-chip;NoC;free-space;multicolor;optical interconnect,Bandwidth;Image color analysis;Optical buffering;Optical receivers;Optical transmitters;Vertical cavity surface emitting lasers,mirrors;network-on-chip;optical interconnections,chip multiprocessor;electronic network;fixed direction laser;free-space optical networks-on-chip;intra-chip communication;memory system;mirror;on-chip cache;optical interconnect;resource sharing;two-hop optical strategy,,0,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
Complex network inspired fault-tolerant NoC architectures with wireless links,"Ganguly, A.; Wettin, P.; Chang, K.; Pande, P.","Dept. of Comput. Eng., Rochester Inst. of Technol., Rochester, NY, USA","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,169,176,"The Network-on-Chip (NoC) paradigm has emerged as a scalable interconnection infrastructure for modern multi-core chips. However, with growing levels of integration, the traditional NoCs suffer from high latency and energy dissipation in on-chip data transfer due to conventional metal/dielectric based interconnects. Three-dimensional integration, on-chip photonic, RF and wireless links have been proposed as radical low-power and low-latency alternatives to the conventional planar wire-based designs. Wireless NoCs with Carbon Nanotube (CNT) antennas are shown to outperform traditional wire based NoCs by several orders of magnitude in power dissipation and latency. However such transformative technologies will be prone to high levels of faults and failures due to various issues related to manufacturing and integration. On the other hand, several naturally occurring complex networks such as colonies of microbes and the internet are known to be inherently fault-tolerant against high rates of failures and harsh environments. This paper proposes to adopt such complex network based architectures to minimize the effect of wireless link failures on the performance of the NoC. Through cycle accurate simulations it is shown that the wireless NoC architectures inspired by natural complex networks perform better than their conventional wired counterparts even in the presence of a high degree of faults.",,,978-1-4503-0720-8,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948559,Fault-Tolerance;Small-World;Wireless Links,Antennas;Complex networks;Routing;Switches;Throughput;Topology;Wireless communication,circuit reliability;complex networks;fault tolerance;network-on-chip,RF links;carbon nanotube antennas;complex network;fault-tolerant NoC architectures;multi-core chips;network-on-chip;on-chip photonic;wireless links,,2,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
Efficient routing implementation in complex systems-on-chip,"Cano, J.; Flich, J.; Duato, J.; Coppola, M.; Locatelli, R.","Parallel Archit. Group, Univ. Politec. de Valencia, Vale&#x0300;ncia, Spain","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,1,8,"In application-specific SoCs, the irregularity of the topology ends up in a complex implementation of the routing algorithm, usually relying on routing tables implemented with memory structures. As system size increases, the routing table increases in size with non-negligible impact on power, area and latency overheads. In this paper we present a routing implementation for application-specific SoCs able to implement in an efficient manner (without requiring routing tables and using a small logic block in every switch) a routing algorithm in these irregular networks. The mechanism relies on a tool that maps the initial irregular topology of the SoC system into a logical regular structure where the mechanism can be applied. We provide details on the mapping tool as well the proposed routing mechanism. Evaluation results show the effectiveness of the mapping tool as well as the low area and timing requirements of the mechanism. With the mapping tool and the routing mechanism complex irregular SoC topologies can now be supported without the use of routing tables.",,,978-1-4503-0720-8,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948564,Networks-on-Chip;Routing;Systems-on-Chip,Algorithm design and analysis;Network topology;Routing;Switches;System recovery;System-on-a-chip;Topology,network topology;system-on-chip,SoC topologies;application-specific SoC;complex systems-on-chip;memory structures;routing tables,,1,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
A comprehensive Networks-on-Chip simulator for error control explorations,"Qiaoyan Yu; Meilin Zhang; Ampadu, P.","Dept. of Electr. & Comput. Eng., Univ. of Rochester, Rochester, NY, USA","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,263,264,"Error control is imperative for reliable Networks-on-Chip (NoCs) design. In this demo session, we will present a CAD tool-a flexible and parallel NoC simulator. Our simulator evaluates the impact of different error control mechanisms on NoC performance and energy consumption in various noise and traffic injection scenarios. Our message passing interface language-based simulator can be executed on multiprocessors or server clusters. Multiple built-in blocks provide flexibility to evaluate different error control methods.",,,978-1-4503-0720-8,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948577,Networks-on-chip;PARSEC;fault tolerant;permanent error;simulator;transient error,Benchmark testing;Design automation;Error correction;Servers;System-on-a-chip;Traffic control;Transient analysis,CAD;application program interfaces;integrated circuit reliability;message passing;microprocessor chips;network-on-chip,CAD tool;NoC design reliability;comprehensive networks-on-chip simulator;energy consumption;error control explorations;message passing interface language-based simulator;multiprocessors;noise scenarios;parallel NoC simulator;server clusters;traffic injection scenarios,,0,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
BLOCON: A Bufferless Photonic Clos network-on-chip architecture,"Yu-Hsiang Kao; Chao, H.J.","Dept. of Electr. & Comput. Eng., Polytech. Inst. of New York Univ., Brooklyn, NY, USA","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,81,88,"On-chip photonic waveguides have been proposed as a feasible replacement for the long interconnects that cause speed and power bottlenecks. Along with recent advancements in nanophotonic technologies, we believe that combining on-chip waveguides with high-radix Network on Chip (NoC) topologies is a promising way to improve NoC performance. In this paper, we propose the BLOCON (BufferLess phOtonic ClOs Network) to exploit silicon photonics. We propose a scheduling algorithm named Sustained and Informed Dual Round-Robin Matching (SIDRRM) to solve the output contention problem, and a path allocation scheme named Distributed and Informed Path Allocation (DIPA) to solve the Clos network routing problem. In the simulation results, we show that with SIDRRM and DIPA, BLOCON improves the delay and power performance of the compared electrical and photonic NoC architectures over synthetic traffic patterns and SPLASH-2 traces.",,,978-1-4503-0720-8,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948586,Clos network;Network-on-chip;silicon photonics,Photonics;Power lasers;Resource management;Ring lasers;Scheduling algorithm;System-on-a-chip;Throughput,delays;integrated circuit interconnections;nanophotonics;network routing;network-on-chip;waveguides,BLOCON;Clos network routing problem;DIPA;SIDRRM;bufferless photonic Clos network-on-chip architecture;delay;distributed and informed path allocation;nanophotonic technology;on-chip photonic waveguide;path allocation scheme;scheduling algorithm;silicon photonic;sustained and informed dual round-robin matching,,3,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
A vertical bubble flow network using inductive-coupling for 3-D CMPs,"Matsutani, H.; Take, Y.; Sasaki, D.; Kimura, M.; Ono, Y.; Nishiyama, Y.; Koibuchi, M.; Kuroda, T.; Amano, H.","Univ. of Tokyo, Tokyo, Japan","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,49,56,"A wireless 3-D NoC architecture for CMPs, in which the number of processor and cache chips stacked in a package can be changed after the chip fabrication, is proposed by using the inductive coupling technology that can connect more than two known-good-dies without wire connections. Each chip has data transceivers for uplink and downlink in order to communicate with its neighboring chips in the package. These chips form a single vertical ring network so as to fully exploit the flexibility of the wireless approach that enables us to add, remove, and swap the chips in the ring. To avoid protocol and structural deadlocks in the ring network, we use the bubble flow control which is more flexible and efficient compared to the conventional VC-based deadlock avoidance. We implemented a real 3-D chip that has on-chip routers and inductive-coupling data transceivers using a 65nm process in order to show the feasibility of our proposal. The vertical bubble flow control is compared with the conventional VC-based approach and vertical bus in terms of the throughput, hardware amount, and application performance using a full system CMP simulator. The results show that the proposed vertical bubble flow network outperforms the VC-based approach by 7.9%-12.5% with a 33.5% smaller router area.",,,978-1-4503-0720-8,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948582,3-D ICs;On-chip networks;inductive-coupling;many-core,Computer architecture;Couplings;Downlink;System recovery;System-on-a-chip;Transceivers;Wireless communication,CMOS logic circuits;chip scale packaging;circuit simulation;integrated circuit interconnections;microprocessor chips;multiprocessor interconnection networks;network routing;network topology;network-on-chip;radio transceivers;three-dimensional integrated circuits,3D CMP;bubble flow control;cache chips;chip fabrication;chip multiprocessors;data transceiver;full system CMP simulator;inductive coupling technology;integrated circuit packaging;multiprocessor interconnection;on-chip router;size 65 nm;three-dimensional network-on-chip;vertical bubble flow network;vertical ring network;wireless 3D NoC architecture,,3,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
Exploring partitioning methods for 3D Networks-on-Chip utilizing adaptive routing model,"Ebrahimi, M.; Daneshtalab, M.; Liljeberg, P.; Plosila, J.; Tenhunen, H.","Dept. of Inf. Technol., Univ. of Turku, Turku, Finland","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,73,80,"Three-Dimensional (3D) integration is a solution to the interconnect bottleneck in Two-Dimensional (2D) Multi-Processor System on Chip (MPSoC). 3D IC design improves performance and decreases power consumption by replacing long horizontal interconnects with shorter vertical ones. As the multicast communication is utilized commonly in various parallel applications, the performance can be significantly improved by supporting of multicast operations at the hardware level. In this paper, we propose a set of partitioning approaches each with a different level of efficiency. In addition, we present an advantageous method named Recursive Partitioning (RP) in which the network is recursively partitioned until all partitions contain comparable number of nodes. By this approach, the multicast traffic is distributed among several subsets and the network latency is considerably decreased. We also present Minimal Adaptive Routing (MAR) algorithm for the unicast and multicast traffic in 3D-mesh Networks-on-Chip (NoCs). The idea behind the MAR algorithm is utilizing the Hamiltonian path to provide a set of alternative paths.",,,978-1-4503-0720-8,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948585,Algorithms;Design;Performance,Algorithm design and analysis;Partitioning algorithms;Protocols;Routing;System recovery;Three dimensional displays;Unicast,integrated circuit design;network routing;network-on-chip;recursive estimation;system-on-chip;three-dimensional integrated circuits,3D IC design;3D-mesh network-on-chip;Hamiltonian path;MAR algorithm;adaptive routing model;minimal adaptive routing algorithm;multicast communication;multicast traffic;recursive partitioning;three-dimensional integration;two-dimensional multiprocessor system on chip,,2,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
Curbing energy cravings in networks: A cross-sectional view across the micro-macro boundary,"Ganguly, A.; Kundu, P.; Bose, P.","Dept. of Comput. Eng., Rochester Inst. of Technol., Rochester, NY, USA","Networks on Chip (NoCS), 2011 Fifth IEEE/ACM International Symposium on",20110711,2011,,,241,246,"The soaring power dissipation of computing infrastructures has effectively become a key performance bottleneck. At the same time, thermal issues arising from power hungry devices result in compromising reliability of such systems. At present, the processor cores within a chip multiprocessor (CMP) are interconnected using on-chip networks. At the same time, the emerging era of cloud computing and the associated large-scale distributed computing model are stretching the limits of computer networking. Hence, as an essential and pervasive fabric that binds all computing machinery, there is an underlying network that appears with varying scale and characteristics. In this paper, we take a look at methodologies for better management of the power budget across the cross-section of computing systems traversing the boundary between micro-level on-chip networks to macro-level cloud computing. We discuss methodologies for power and thermal management both at micro and macro scales and explore the role of one in reducing the power budget of the other.",,,978-1-4503-0720-8,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948570,Cloud Computing;Data Center;Interconnect;Network-on-Chip,Network topology;Photonics;Power dissipation;Servers;System-on-a-chip;Three dimensional displays;Wireless communication,cloud computing;low-power electronics;microprocessor chips;network-on-chip;power aware computing;thermal management (packaging),chip multiprocessor;computer networking;computing infrastructure;cross-sectional view;curbing energy craving;distributed computing model;macro-level cloud computing;micro-level on-chip network;micro-macro boundary;pervasive fabric;power budget management;processor cores;soaring power dissipation;system reliability;thermal issue;thermal management,,0,,,,,1-4 May 2011,,IEEE,IEEE Conference Publications
