"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB..QT.Publication+Title.QT.%3ANetworks+on+Chip+.LB.NoCS.RB.%2C+2014+Seventh+IEEE%2FACM+International+Symposium+on.RB.",2015/07/17 18:46:56
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Hermes: Architecting a top-performing fault-tolerant routing algorithm for Networks-on-Chips","Iordanou, C.; Soteriou, V.; Aisopos, K.; Kakoulli, E.","Dept. of Electr. Eng., Comput. Eng. & Inf., Cyprus Univ. of Technol., Nicosia, Cyprus","Networks-on-Chip (NoCS), 2014 Eighth IEEE/ACM International Symposium on","20150115","2014","","","178","179","Networks-on-Chips (NoCs) are experiencing escalating susceptibility to wear-out and reduced reliability, with the risk of becoming the key point of failure in an entire multicore chip. In this paper we propose Hermes, a highly-robust, distributed fault-tolerant routing algorithm, whose performance degrades gracefully with increasing faulty NoC link counts. Hermes is a deadlock-free hybrid routing algorithm, utilizing load-balanced routing on fault-free paths, while providing pre-reconfigured escape routes in the vicinity of faults. An initial experimental evaluation shows that Hermes improves network throughput by up to 2.2× when compared against the existing state-of-the-art.","","","","10.1109/NOCS.2014.7008782","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008782","","Broadcasting;Network topology;Ports (Computers);Routing;System recovery;Throughput;Topology","fault tolerant computing;network routing;network-on-chip","Hermes;deadlock-free hybrid routing algorithm;distributed fault-tolerant routing algorithm;fault-free paths;faulty NoC link counts;load-balanced routing;multicore chip;networks-on-chips;prereconfigured escape routes","","0","","8","","","17-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"A novel non-minimal/minimal turn model for highly adaptive routing in 2D NoCs","Kumar, M.; Laxmi, V.; Gaur, M.S.; Daneshtalab, M.; Pankaj; Seok-Bum Ko; Zwolinski, M.","Malaviya Nat. Inst. of Technol., Jaipur, India","Networks-on-Chip (NoCS), 2014 Eighth IEEE/ACM International Symposium on","20150115","2014","","","184","185","Networks-on-Chip (NoCs) are emerging as a promising communication paradigm to overcome bottleneck of traditional bus-based interconnects for current micro-architectures (MCSoC and CMP). One of the current issues in NoC routing is the use of acyclic Channel Dependency Graph (CDG) for deadlock freedom. This requirement forces certain routing turns to be prohibited, thus, reducing the degree of adaptiveness. In this paper, we propose a novel non-minimal turn model which allows cycles in CDG provided that Extended Channel Dependency Graph (ECDG) remains acyclic. The proposed turn model reduces number of restrictions on routing turns, hence able to provide path diversity through additional minimal and non-minimal routes between source and destination.","","","","10.1109/NOCS.2014.7008785","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008785","Networks-on-Chip;deadlock freedom;degree of adaptiveness;non-minimal paths;routing","Adaptation models;Adaptive systems;Glass;Nickel;Routing;Solid modeling;System recovery","integrated circuit interconnections;logic design;network routing;network-on-chip","2D NoCs;ECDG;acyclic channel dependency graph;bus-based interconnects;deadlock freedom;extended channel dependency graph;highly adaptive routing;microarchitectures;networks-on-chips;nonminimal turn model","","0","","5","","","17-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"Design of a low power NoC router using Marching Memory Through type","Yasudo, R.; Kagami, T.; Amano, H.; Nakase, Y.; Watanabe, M.; Oishi, T.; Shimizu, T.; Nakamura, T.","Keio Univ., Yokohama, Japan","Networks-on-Chip (NoCS), 2014 Eighth IEEE/ACM International Symposium on","20150115","2014","","","111","118","Power consumption of Network-on-Chip (NoC) is becoming more important in many core processors. Input buffers utilized in routers consume a significant part of the total power of NoCs. In order to reduce this power consumption, a novel power efficient memory called Marching Memory Through type (MMTH) is introduced. By connecting transparent latches in tandem, MMTH achieves high speed operation with a low power consumption. MMTH, however, requires a certain overhead at read operation, and hence we propose a latency reduction scheme based on the look-ahead routing. The proposed router was designed in Renesas's 40nm process and compared with a standard router using conventional register-based FIFOs in terms of the network performance, application performance, and power consumption. The result of evaluation shows that the proposed router reduces the power consumption by 42.4% on average at 2GHz and the expense of only 0.5-2.0% performance overhead.","","","","10.1109/NOCS.2014.7008769","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008769","","Clocks;Delays;Latches;Ports (Computers);Power demand;Random access memory;Routing","buffer circuits;flip-flops;multiprocessing systems;network routing;network-on-chip","MMTH;Renesas process;frequency 2 GHz;input buffers;latency reduction scheme;look-ahead routing;low power NoC router;many core processors;marching memory through type;network-on-chip;power consumption;register-based FIFOs;size 40 nm;transparent latches","","0","","29","","","17-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"Quadrisection-based task mapping on many-core processors for energy-efficient on-chip communication","Michael, N.; Yao Wang; Suh, G.E.; Tang, A.","Sch. of Electr. & Comput. Eng., Cornell Univ., Ithaca, NY, USA","Networks on Chip (NoCS), 2013 Seventh IEEE/ACM International Symposium on","20130715","2013","","","1","2","Network-on-chip (NoC) promises better scalability and power efficiency compared to traditional on-chip interconnects. But in order to fully exploit the benefits offered by the new paradigm, especially as the number of cores in the network increases, challenging resource management questions need to be addressed. Of particular interest and the subject of our study is the question of how to map applications to processors (network nodes) in a NoC so as to minimize the dynamic power consumption of the NoC.","","978-1-4673-6491-1","978-1-4673-6492-8","10.1109/NoCS.2013.6558409","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6558409","","Benchmark testing;Computer architecture;Program processors;Routing;System-on-chip;Topology;Very large scale integration","integrated circuit interconnections;multiprocessing systems;network-on-chip;power consumption","NoC;dynamic power consumption minimization;energy-efficient on-chip communication;many-core processor;network node;network-on-chip;on-chip interconnect;power efficiency;quadrisection-based task mapping;resource management;scalability","","0","","7","","","21-24 April 2013","","IEEE","IEEE Conference Publications"
"An analytical model for worst-case reorder buffer size of multi-path minimal routing NoCs","Gaoming Du; Miao Li; Zhonghai Lu; Minglun Gao; Chunhua Wang","Inst. of VLSI Design, Hefei Univ. of Technol., Hefei, China","Networks-on-Chip (NoCS), 2014 Eighth IEEE/ACM International Symposium on","20150115","2014","","","49","56","Reorder buffers are often needed in multi-path routing networks-on-chips (NoCs) to guarantee in-order packet delivery. However, the buffer sizes are usually over-dimensioned, due to lack of worst-case analysis, leading to unnecessary larger area overhead. Based on network calculus, we propose an analysis framework for the worst-case reorder buffer size in multi-path minimal routing NoCs. Experiments with synthetic traffic and an industry case show that our method can effectively explore the traffic splitting space, as well as the mapping effects in terms of reorder buffer size with a maximum improvement of 36.50%.","","","","10.1109/NOCS.2014.7008761","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008761","","Analytical models;Calculus;Delays;Mathematical model;Out of order;Routing;Table lookup","buffer circuits;network routing;network-on-chip","NoCs;in-order packet delivery;multipath minimal routing;network calculus;networks-on-chips;reorder buffer size;synthetic traffic;traffic splitting space;worst-case analysis","","0","","18","","","17-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"FMEA-based analysis of a Network-on-Chip for mixed-critical systems","Rambo, E.A.; Tschiene, A.; Diemer, J.; Ahrendts, L.; Ernst, R.","Inst. of Comput. & Network Eng., Tech. Univ. Braunschweig, Braunschweig, Germany","Networks-on-Chip (NoCS), 2014 Eighth IEEE/ACM International Symposium on","20150115","2014","","","33","40","Network-on-Chip-based multi- and many-core architectures show high potential for use in safety-critical real-time applications, such as Flight Management Systems, considering their superior efficiency. For such use however, safety standards require proof that the architecture meets the specified security goals. This usually involves a Failure Mode and Effects Analysis (FMEA) to reveal the effects of all potential failures. Moreover, the Network-on-Chip (NoC) is a shared component and plays central role in a mixed-critical system, which must guarantee the isolation between tasks, that may have distinct criticality levels. We present an FMEA-based system-level analysis for NoCs designed for mixed-critical systems. It comprises FMEA, error effects classification regarding duration and isolation violation, and technology independent probability assessment. The analysis gives effective insight into fault-related weaknesses of the NoC, and enables considerable improvements to the NoC's resilience with minimal overhead. We apply it to a typical packet-switched NoC and present the results. Although developed for safety critical applications, the approach can be applied to improve the robustness of general systems.","","","","10.1109/NOCS.2014.7008759","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008759","","Circuit faults;Fabrics;Fault tolerance;Fault tolerant systems;Ports (Computers);Registers;Routing","failure analysis;logic design;network-on-chip","FMEA-based analysis;NoC;failure mode and effects analysis;fault-related weakness;mixed-critical systems;network-on-chip;packet switching;system-level analysis","","0","","26","","","17-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"ICARO: Congestion isolation in networks-on-chip","Escamilla, J.V.; Flich, J.; Garcia, P.J.","Grupo de Arquitecturas Paralelas, Univ. Politec. de Valencia, Valencia, Spain","Networks-on-Chip (NoCS), 2014 Eighth IEEE/ACM International Symposium on","20150115","2014","","","159","166","The growing demand of computing power and the emerging trend towards heterogeneity lead to integrate more and more cores and specialized modules into a single chip. As the number of cores per chip increases, the network interconnecting them must satisfy the growing communication needs. However, several factors as aggressive traffic patterns, power-saving and fault-tolerance mechanisms may lead to oversubscribed resources in the network, thereby generating congestion and so degrading the overall network performance. In this paper we propose ICARO, a mechanism to dynamically isolate the traffic flows contributing to congestion making use of dedicated virtual networks. In this way, ICARO prevents the head-of-line blocking effect derived from congestion, thereby improving overall network performance. We analyze thoroughly our proposal, especially from the robustness point of view, showing that it effectively manages to identify and isolate congested flows, improving network performance up to 82% with respect to previous proposals.","","","","10.1109/NOCS.2014.7008775","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008775","","Measurement;Nickel;Ports (Computers);Proposals;Registers;Routing;Switches","fault tolerance;isolation technology;network-on-chip","aggressive traffic flow patterns;computing power;congestion isolation;dedicated virtual networks;fault-tolerance mechanisms;head-of-line blocking effect;network interconnection;networks-on-chip;overall network performance improvement;oversubscribed resources;power-saving;single chip","","0","","23","","","17-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"An efficient Network-on-Chip (NoC) based multicore platform for hierarchical parallel genetic algorithms","Yuankun Xue; Zhiliang Qian; Guopeng Wei; Bogdan, P.; Chi-Ying Tsui; Marculescu, R.","Univ. of Southern California, Los Angeles, CA, USA","Networks-on-Chip (NoCS), 2014 Eighth IEEE/ACM International Symposium on","20150115","2014","","","17","24","In this work, we propose a new Network-on-Chip (NoC) architecture for implementing the hierarchical parallel genetic algorithm (HPGA) on a multi-core System-on-Chip (SoC) platform. We first derive the speedup metric of an NoC architecture which directly maps the HPGA onto NoC in order to identify the main sources of performance bottlenecks. Specifically, it is observed that the speedup is mostly affected by the fixed bandwidth that a master processor can use and the low utilization of slave processor cores. Motivated by the theoretical analysis, we propose a new architecture with two multiplexing schemes, namely dynamic injection bandwidth multiplexing (DIBM) and time-division based island multiplexing (TDIM), to improve the speedup and reduce the hardware requirements. Moreover, a task-aware adaptive routing algorithm is designed for the proposed architecture, which can take advantage of the proposed multiplexing schemes to further reduce the hardware overhead. We demonstrate the benefits of our approach using the problem of protein folding prediction, which is a process of importance in biology. Our experimental results show that the proposed NoC architecture achieves up to 240X speedup compared to a single island design. The hardware cost is also reduced by 50% compared to a direct NoC-based HPGA implementation.","","","","10.1109/NOCS.2014.7008757","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008757","","Bandwidth;Computer architecture;Genetic algorithms;Hardware;Multiplexing;Sociology;Statistics","genetic algorithms;multiprocessing systems;network routing;network-on-chip;time division multiplexing","DIBM;NoC architecture;NoC-based HPGA implementation;TDIM;dynamic injection bandwidth multiplexing;hierarchical parallel genetic algorithm;multicore SoC platform;multicore system-on-chip platform;network-on-chip architecture;performance bottlenecks;protein folding prediction;slave processor cores;speedup metric;task-aware adaptive routing algorithm;time-division based island multiplexing","","0","","14","","","17-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"Message from the chairs","Bertozzi, Davide; Benini, Luca; Yalamanchili, Sudhakar; Henkel, Joerg","University of Ferrara, Italy","Networks-on-Chip (NoCS), 2014 Eighth IEEE/ACM International Symposium on","20150115","2014","","","1","2","Welcome to the 8<sup>th</sup> IEEE/ACM International Symposium on Networks-on-Chip (NOCS). NOCS is the premier event dedicated to interdisciplinary research on Networks-on-Chip innovations. It is a unique venue that brings together scientists and engineers from diverse, but inter-related research communities, including computer architecture, general networking, circuits and systems, embedded systems, and design automation.","","","","10.1109/NOCS.2014.7008751","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008751","","","","","","0","","","","","17-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"STORM: A Simple Traffic-Optimized Router Microarchitecture for Networks-on-Chip","Rasheed, S.; Gratz, P.V.; Shakkottai, S.; Jiang Hu","Dept. of Electr. & Comput. Eng., Texas A&M Univ., College Station, TX, USA","Networks-on-Chip (NoCS), 2014 Eighth IEEE/ACM International Symposium on","20150115","2014","","","176","177","Networks-on-Chip (NoCs) offer a scalable means of on-chip communication for future many-core chips. This work explores NoC router microarchitectures which leverage traffic pattern biases and imbalances to reduce latency and improve throughput. It introduces STORM, a new, low-latency, fair, highth-roughput NoC router design, customized for the traffic seen in a two-dimensional mesh network employing dimension-order routing. Compared to a baseline NoC router with equivalent buffer resources, STORM offers single cycle operation and reduced cycle time (17% less than the baseline on 45nm CMOS). This design yields a higher overall network saturation throughput (13% higher than the baseline) in an 8x8 2D mesh network for uniform random traffic. STORM also reduces packet latencies under realistic workloads by 36% on average.","","","","10.1109/NOCS.2014.7008781","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008781","","Computer architecture;Microarchitecture;Ports (Computers);Resource management;Storms;Switches;Throughput","circuit optimisation;integrated circuit design;network routing;network-on-chip;telecommunication traffic","2D mesh network;CMOS;NoC router design;NoC router microarchitectures;STORM;dimension-order routing;equivalent buffer resources;many-core chips;network saturation throughput;networks-on-chip;on-chip communication;packet latencies;simple traffic-optimized router microarchitecture;size 45 nm;traffic pattern biases","","0","","8","","","17-19 Sept. 2014","","IEEE","IEEE Conference Publications"
