"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DComputer-Aided+Design+.LB.ICCAD.RB.%2C+2001+IEEE%2FACM+International+Conference",2015/06/23 15:02:59
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"IEEE/ACM International Conference on Computer Aided Design. ICCAD 2001. IEEE/ACM Digest of Technical Papers [Front Cover and Table of Contents]","","","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","i","","Presents the table of contents/splash page of the proceedings record.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968589","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968589","","","binary decision diagrams;circuit CAD;circuit optimisation;field programmable gate arrays;high level synthesis;integrated circuit design;integrated circuit interconnections;integrated circuit modelling;low-power electronics;nanotechnology;production testing;program compilers;reduced order systems;reliability;scheduling;timing","BDDs;FPGAs;analog macromodeling;analog synthesis;architecture oriented scheduling;combinational optimization;compiler techniques;dynamic verification;high-level synthesis;interconnect planning;manufacturing test;model order reduction;nanotechnology;physical synthesis;power analysis;power saving techniques;reliability optimization;sequential synthesis;signal integrity;substrate coupling;system-level exploration;timing","","0","","","","","4-8 Nov. 2001","04 Nov 2001-08 Nov 2001","IEEE","IEEE Conference Publications"
"Author index","","","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","657","659","The author index contains an entry for each author and coauthor included in the proceedings record.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968731","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968731","","Indexes","","","","0","","","","","4-8 Nov. 2001","","IEEE","IEEE Conference Publications"
"System-level exploration for Pareto-optimal configurations in parameterized systems-on-a-chip","Givargis, T.; Vahid, F.; Henkel, J.","Center for Embedded Comput. Syst., California Univ., Irvine, CA, USA","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","25","30","Provides a technique for efficiently exploring the configuration space of a parameterized system-on-a-chip (SOC) architecture to find all Pareto-optimal configurations. These configurations represent the range of meaningful power and performance tradeoffs that are obtainable by adjusting parameter values for a fixed application mapped onto the SOC architecture. The approach extensively prunes the potentially large configuration space by taking advantage of parameter dependencies. The authors have successfully incorporated the technique into the parameterized SOC tuning environment (Platune) and applied it to a number of applications.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968593","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968593","","Circuit simulation;Computer architecture;Computer science;Embedded computing;Embedded system;Energy consumption;Laboratories;National electric code;Space exploration;System-on-a-chip","Pareto distribution;application specific integrated circuits;circuit CAD;circuit optimisation;circuit tuning;integrated circuit design;network parameters","Pareto-optimal configurations;Platune;SOC architecture;configuration space;fixed application;low-power system design;parameter dependencies;parameter values;parameterized system-on-a-chip architecture;power-performance tradeoffs;system-level exploration;tuning environment","","6","3","","","","4-8 Nov. 2001","04 Nov 2001-08 Nov 2001","IEEE","IEEE Conference Publications"
"Recursive bipartitioning of BDDs for performance driven synthesis of pass transistor logic circuits","Shelar, R.S.; Sapatnekar, S.S.","Dept. of Electr. & Comput. Eng., Minnesota Univ., Minneapolis, MN, USA","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","449","452","In this paper, we address the problem of performance oriented synthesis of pass transistor logic (PTL) circuits using a binary decision diagram (BDD) decomposition technique. We transform the BDD decomposition problem into a recursive bipartitioning problem and solve the latter using a max-flow min-cut technique. We use the area and delay cost of the PTL implementation of the logic function to guide the bipartitioning scheme. Using recursive bipartitioning and a one-hot multiplexer circuit, we show that our PTL implementation has logarithmic delay in the number of inputs, under certain assumptions. The experimental results on benchmark circuits are promising, since they show the significant delay reductions with small or no area overheads as compared to previous approaches.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968674","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968674","","Binary decision diagrams;Boolean functions;CMOS logic circuits;Circuit synthesis;Cost function;Data structures;Delay;Logic circuits;Multiplexing;Permission","binary decision diagrams;circuit CAD;delays;directed graphs;high level synthesis;integrated circuit design;integrated logic circuits","BDD decomposition problem;PTL circuits;area cost;binary decision diagram;delay cost;delay reductions;logarithmic delay;logic function;max-flow min-cut technique;one-hot multiplexer circuit;pass transistor logic circuits;performance oriented synthesis;recursive bipartitioning problem","","3","2","","","","4-8 Nov. 2001","04 Nov 2001-08 Nov 2001","IEEE","IEEE Conference Publications"
"Interconnect resource-aware placement for hierarchical FPGAs","Singh, A.; Parthasarathy, G.; Marek-Sadowska, M.","Dept. of Electr. & Comput. Eng., California Univ., Santa Barbara, CA, USA","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","132","136","Utilizes Rent's rule as an empirical measure for efficient clustering and placement of circuits on hierarchical FPGAs. We show that careful matching of design complexity and architecture resources of hierarchical FPGAs can have a positive impact on the overall device area. We propose a circuit placement algorithm based on Rent's parameter and show that our clustering and placement techniques can improve the overall device routing area by as much as 21% for the same array size, when compared to a state-of-art FPGA placement and routing tool.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968609","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968609","","Clustering algorithms;Computer architecture;Cost function;Delay;Field programmable gate arrays;Integrated circuit interconnections;Logic devices;Routing;Steiner trees;Tree graphs","circuit layout CAD;delays;field programmable gate arrays;integrated circuit interconnections;integrated circuit layout;logic CAD;logic gates;network routing","Rent's rule;architecture resources;array size;circuit placement algorithm;clustering;design complexity;empirical measure;hierarchical FPGAs;interconnect resource-aware placement;overall device area","","4","27","","","","4-8 Nov. 2001","04 Nov 2001-08 Nov 2001","IEEE","IEEE Conference Publications"
"Analysis of substrate thermal gradient effects on optimal buffer insertion","Ajami, A.H.; Banerjee, K.; Pedram, M.","Dept. of Electr. Eng. Syst., Univ. of Southern California, Los Angeles, CA, USA","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","44","48","Studies the effects of the substrate thermal gradients on the buffer insertion techniques. Using a non-uniform temperature-dependent distributed RC interconnect delay model, the buffer insertion problem is analyzed and design guidelines are provided to ensure the near-optimality of the signal performance in the presence of the thermal gradients. In addition, the effect of temperature-dependent driver resistance on the buffer insertion is studied. Experimental results show that neglecting thermal gradients in the substrate and the interconnect lines can result in non-optimal solutions when using standard buffer insertion techniques and that these effects intensify with technology scaling.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968596","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968596","","Current density;Delay;Guidelines;Integrated circuit interconnections;Power dissipation;Signal analysis;Temperature dependence;Thermal management;Topology;Wire","ULSI;buffer circuits;circuit optimisation;circuit simulation;delays;integrated circuit design;integrated circuit interconnections;integrated circuit modelling;thermal analysis","buffer insertion problem;design guidelines;distributed RC interconnect model;interconnect lines;nonuniform temperature-dependent delay model;optimal buffer insertion;signal performance;substrate thermal gradient effects;technology scaling;temperature-dependent driver resistance;thermal gradients","","10","4","","","","4-8 Nov. 2001","04 Nov 2001-08 Nov 2001","IEEE","IEEE Conference Publications"
"A trajectory piecewise-linear approach to model order reduction and fast simulation of nonlinear circuits and micromachined devices","Rewienski, M.; White, J.","Dept. of Electr. Eng. & Comput. Sci., MIT, Cambridge, MA, USA","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","252","257","In this paper we present an approach to the nonlinear model reduction based on representing the nonlinear system with a piecewise-linear system and then reducing each of the pieces with a Krylov projection. However, rather than approximating the individual components as piecewise-linear and then composing hundreds of components to make a system with exponentially many different linear regions, we instead generate a small set of linearizations about the state trajectory which is the response to a 'training input'. Computational results and performance data are presented for a nonlinear circuit and a micromachined fixed-fixed beam example. These examples demonstrate that the macromodels obtained with the proposed reduction algorithm are significantly more accurate than models obtained with linear or the recently developed quadratic reduction techniques. Finally, it is shown that the proposed technique is computationally inexpensive, and that the models can be constructed 'on-the-fly', to accelerate simulation of the system response.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968627","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968627","","Acceleration;Capacitors;Circuit simulation;Computational modeling;Nonlinear circuits;Nonlinear equations;Nonlinear systems;Piecewise linear techniques;Reduced order systems;Resistors","circuit simulation;digital simulation;micromechanical devices;nonlinear network analysis;piecewise linear techniques;reduced order systems","Krylov projection;fast simulation;linearizations;macromodels;micromachined devices;micromachined fixed-fixed beam;model order reduction;nonlinear circuits;nonlinear model reduction;state trajectory;system response simulation;trajectory piecewise-linear approach","","25","1","","","","4-8 Nov. 2001","04 Nov 2001-08 Nov 2001","IEEE","IEEE Conference Publications"
"Efficient canonical form for Boolean matching of complex functions in large libraries","Ciric, J.; Sechen, C.","Synplicity Inc., Sunnyvale, CA, USA","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","610","617","A new algorithm is developed which transforms the truth table or implicant table of a Boolean function into a canonical form under any permutation of inputs. The algorithm is used for Boolean matching for large libraries that contain cells with large numbers of inputs and implicants. The minimum cost canonical form is used as a unique identifier for searching for the cell in the library. The search time is nearly constant if a hash table is used for storing the cells' canonical representations in the library. Experimental results on more than 100,000 gates confirm the validity and feasible run-time of the algorithm.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968724","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968724","","Binary decision diagrams;Boolean functions;Costs;Data structures;Input variables;Libraries;Logic testing;Network synthesis;Runtime;Sufficient conditions","Boolean algebra;cellular arrays;circuit CAD;formal verification;logic CAD;logic gates;software libraries","Boolean function;Boolean matching;canonical form;cell libraries;complex functions;feasible run-time;hash table;implicant table;logic gates;logic synthesis;logic verification;truth table","","2","","","","","4-8 Nov. 2001","04 Nov 2001-08 Nov 2001","IEEE","IEEE Conference Publications"
"Induction-based gate-level verification of multipliers","Ying-Tsai Chang; Kwang-Ting Cheng","Dept. of Electr. & Comput. Eng., California Univ., Santa Barbara, CA, USA","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","190","193","We propose a method based on unrolling the inductive definition of binary number multiplication to verify gate-level implementations of multipliers. The induction steps successively reduce the size of the multiplier under verification. Through induction, the verification of an n-bit multiplier is decomposed into n equivalence checking problems. The resulting equivalence checking problems could be significantly sped up by simple structural analysis. This method could be generalized to the verification of more general arithmetic circuits and the equivalence checking of complex datapaths.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968617","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968617","","Adders;Arithmetic;Boolean functions;Circuits;Data structures;Hardware;Manuals;Polynomials;Timing;Very large scale integration","formal verification;integrated circuit design;integrated logic circuits;logic design;multiplying circuits","arithmetic circuits;binary number multiplication;complex datapath equivalence checking;equivalence checking problems;induction steps;induction-based gate-level verification;inductive definition;multiplier decomposition;multiplier gate-level implementations;multiplier size;multiplier verification;multipliers;structural analysis","","4","2","","","","4-8 Nov. 2001","04 Nov 2001-08 Nov 2001","IEEE","IEEE Conference Publications"
"Accurate CMOS bridge fault modeling with neural network-based VHDL saboteurs","Shaw, D.; Al-Khalili, D.; Rozon, C.","Gennum Corp., Burlington, Ont., Canada","Computer Aided Design, 2001. ICCAD 2001. IEEE/ACM International Conference on","20020807","2001","","","531","536","This paper presents a new bridge fault model that is based on a multiple layer feedforward neural network and implemented within the framework of a VHDL saboteur cell. Empirical evidence and experimental results show that it satisfies a prescribed set of bridge fault model criteria better than existing approaches. The new model computes exact bridged node voltages and propagation delay times with due attention to surrounding circuit elements. This is significant since, with the exception of full analog simulation, no other technique attempts to model the delay effects of bridge defects. Yet, compared to these analog simulations, the new approach is orders of magnitude faster and achieves reasonable accuracy; computing bridged node voltages with an average error near 0.006 volts and propagation delay times with an average error near 14 ps.","1092-3152","0-7803-7247-6","","10.1109/ICCAD.2001.968700","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=968700","","Bridge circuits;Circuit faults;Circuit simulation;Computational modeling;Delay effects;Feedforward neural networks;Neural networks;Propagation delay;Semiconductor device modeling;Voltage","CMOS integrated circuits;circuit simulation;fault simulation;feedforward neural nets;hardware description languages;integrated circuit testing;learning (artificial intelligence)","CMOS IC;VHDL saboteur cell;bridge defects;bridge fault model;bridge node voltage;bridged node voltages;delay effects;fault simulation;multiple layer feedforward neural network;neural network;propagation delay times;training","","1","","","","","4-8 Nov. 2001","04 Nov 2001-08 Nov 2001","IEEE","IEEE Conference Publications"
