"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4294967269%26matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design+Automation+Conference+.LB.DAC.RB.%29+AND+2004%29",2015/06/23 14:44:00
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Predictable design of low power systems by pre-implementation estimation and optimization","Nebel, W.","Oldenburg Univ., Germany","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","12","17","Each year tens of billions of Dollars are wasted by the microelectronics industry because of missed deadlines and delayed design projects. These delays are partially due to design iterations many of which could have been avoided if the low level ramifications of high level design decisions, at the architecture- and algorithmic-level would have been known before the time consuming and tedious RT- and lower level implementation started. In this contribution we present a system-level design flow and respective EDA support tools for low power designs. We analyze the requirements for such a design technology, which shifts more responsibility to the system architect. We exemplify this approach with a design flow for low power systems. The architecture of an algorithm-level power estimation tool is presented together with some use cases based on an EDA product which has been commercially developed from the research results of several collaborative projects funded by the Commission of the European Community.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337531","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337531","","Algorithm design and analysis;Costs;Delay effects;Delay estimation;Design engineering;Design optimization;Electronic design automation and methodology;Microelectronics;Power systems;Process design","circuit optimisation;electronic design automation;low-power electronics;systems analysis","algorithmic-level;architecture-level;design iteration;high level design decision;low power system design;microelectronics industry;optimization;power estimation tool;preimplementation estimation;system-level design flow","","1","","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
"RF design methodologies bridging system-IC-module design","Mullen, R.A.","Cadence Design Syst. Inc., San Jose, CA, USA","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","491","498","There has been a long-standing need to link the RF design domains into a connected, common design environment. Such a methodology is possible through implementing system-level behavioral models with different levels of abstraction that can be modelled or co-simulated at the IC circuit level. At module or board design, it is possible to link and simulate multiple chips with board-level components and parastics in an RFIC design environment. With today's more complex IC designs that are heading toward nanometer-scaled semiconductor processes, there is a desire to further understand the many subtle physical IC characteristics, such as layout and substrate parasitics, RF transistor models, IR drops, electromigration, elctromagnetics, and modelling of on-chip spiral inductors. Designers have entered into an era where they could benefit from a balance between analog, digital, and DSP design all in a fast and automated RFIC design environment. We present RF design methodologies that can bridge between system, IC, and module design, providing an efficient, thorough design flow using advanced EDA tools.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337625","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337625","","Circuit simulation;Design methodology;Electromigration;Integrated circuit layout;Integrated circuit modeling;Radio frequency;Radiofrequency integrated circuits;Semiconductor process modeling;Spirals;Substrates","electronic design automation;integrated circuit design;radiofrequency integrated circuits;system-on-chip","EDA tools;IC circuit level;IR drops;RF design methodology;RF transistor models;electromagnetics;electromigration;nanometer-scaled semiconductor processes;on-chip spiral inductors;system-IC-module design;system-level behavior model","","0","3","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
"ASP-DAC 2004: Asia and South Pacific Design Automation Conference 2004 (IEEE Cat. No.04EX753)","","","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","0_1","","The following topics are dealt with: SoC low power design; floorplanning; analog circuit modelling; delay test; embedded system application; RF design methodology; logic synthesis; system-level design; system design verification; open architecture test system; buffered tree construction; microprocessor design; embedded software; power grid analysis; buffer planning; task scheduling; reconfigurable design; hardware software codesign; system-level architecture; cross-talk noise analysis; Boolean function.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337511","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337511","","","Boolean functions;VLSI;analogue circuits;buffer storage;circuit layout CAD;computer architecture;embedded systems;formal verification;hardware-software codesign;integrated circuit layout;microprocessor chips;radiofrequency integrated circuits;system-on-chip","Boolean function;RF design methodology;SoC low power design;analog circuit modelling;buffer planning;buffered tree construction;cross-talk noise analysis;delay test;embedded software;embedded system application;floorplanning;hardware software codesign;logic synthesis;microprocessor design;open architecture test system;power grid analysis;system design verification;system-level architecture;system-level design;task scheduling","","0","","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
"Design methodology for SoC architectures based on reusable virtual cores","Muraoka, M.; Nishi, H.; Morizawa, R.K.; Yokota, H.; Hamada, H.","Semicon. Technol. Acad. Res. Center, Yokohama, Japan","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","256","262","The design reuse methodology, which has been developed at the VCDS project, is a SoC design methodology to reduce the SoC design time using high level design intellectual properties named as virtual cores (VCores). We propose the VCore based design methodology to synthesize the SoC architecture from the system level specification. This synthesis methodology generates an initial architecture that consists of a CPU, buses, I/Os peripherals, and RTOS (real time operating system), and makes tradeoffs between hardware and software on assigned software VCores and hardware VCores models to the architecture. The results of an architecture level design experiment using the proposed methodology shows that the partial automation of the communication refinement process, allied with design reuse, accelerates the architecture synthesis, thus reducing the design time required to design an architecture.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337576","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337576","","Computer architecture;Control system synthesis;Design methodology;Hardware;Intellectual property;Operating systems;Real time systems;Software performance;Software reusability;System-level design","formal specification;hardware-software codesign;integrated circuit design;operating systems (computers);system-on-chip","CPU;I/O peripherals;SoC architecture;communication refinement process;intellectual properties;real time operating system;reusable virtual core model;system level specification","","0","","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
"Application of UML for hardware design based on design process model","Damasevicius, R.; Stuikys, V.","Software Eng. Dept., Kaunas Univ. of Technol., Lithuania","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","244","249","We address a problem of reusing and customizing soft IP components by introducing a concept of design process-a series of common, well-defined and well-proven domain-specific actions and methods performed to achieve a certain design aim. We especially examine system-level design processes that are aimed at designing a hardware system by integrating soft IPs at a high level of abstraction. We combine this concept with object-oriented hardware design using UML and metaprogramming paradigm for describing generation of domain code.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337574","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337574","","Application software;Design methodology;Hardware design languages;Humans;Microelectronics;Object oriented modeling;Process design;Productivity;Software engineering;Unified modeling language","hardware description languages;industrial property;object-oriented methods;specification languages","UML;metaprogramming;object-oriented hardware design;soft IP components;system-level design process","","6","","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
"Design diagnosis using Boolean satisfiability","Smith, A.; Veneris, A.; Viglas, A.","Dept. of ECE, Toronto Univ., Ont., Canada","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","218","223","Recent advances in Boolean satisfiability have made it an attractive engine for solving many digital VLSI design problems such as verification, model checking, optimization and test generation. Fault diagnosis and logic debugging have not been addressed by existing satisfiability-based solutions. We attempt to bridge this gap by proposing a satisfiability-based solution to these problems. The proposed formulation is intuitive and easy to implement. It shows that satisfiability captures significant problem characteristics and it offers different trade-offs. It also provides new opportunities for satisfiability-based diagnosis tools and diagnosis-specific satisfiability algorithms. Theory and experiments validate the claims and demonstrate its potential.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337569","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337569","","Circuit faults;Debugging;Design optimization;Engines;Failure analysis;Fault diagnosis;Hardware design languages;Logic design;Testing;Very large scale integration","Boolean algebra;VLSI;circuit CAD;computability;fault diagnosis;integrated circuit design;logic testing","Boolean satisfiability;VLSI design diagnosis;design optimization;design verification;fault diagnosis;logic debugging;model checking;satisfiability-based solutions;test generation","","31","1","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
"Mixed-clock issue queue design for energy aware, high-performance cores","Rapaka, V.S.P.; Talpes, E.; Marculescu, D.","Mentor Graphics Corp., Wilsonville, OR, USA","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","380","383","Globally-asynchronous, locally-synchronous (GALS) design style has started to gain interest recently as a possible solution to the increased design complexity, power and thermal costs, as well as an enabler for allowing fine grain speed and voltage management. Due to its inherent complexity, a possible driver application for such a design style is the case of superscalar, out-of-order processors. We propose a novel mixed-clock issue queue design, and compares and contrasts this new implementation with existing synchronous or mixed-clock versions of issue queues, used in standalone mode or in conjunction with mixed-clock FIFO (first-in, first-out) buffers for inter-domain synchronization. Both transistor level, SPICE simulation, as well as cycle-accurate, microarchitectural analysis, show that cores using mixed-clock issue queues are able to provide better energy-performance operating points when compared to their synchronous or asynchronous FIFO-based counterparts.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337603","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337603","","Clocks;Delay;Electronic mail;Frequency synchronization;Graphics;Logic;Out of order;Signal design;Thermal management;Threshold voltage","SPICE;microprocessor chips;pipeline processing;power electronics;synchronisation","FIFO buffer;SPICE simulation;globally-asynchronous locally-synchronous design;high performance microprocessor;microarchitectural analysis;mixed-clock issue queue design;out-of-order processor;superscalar processor;synchronization","","2","","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
"An SoC architecture and its design methodology using unifunctional heterogeneous processor array","Yuyama, Y.; Aramoto, M.; Kobayashi, K.; Onodera, H.","Kyoto University","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","737","742","We propose a heterogeneous processor architecture and its design methodology to shonen the design period of the SOC. It enables fast implementation of a system LSI including an embedded CPU and peripheral functional blocks. Each functional block of the system under design is implemented to a customized processor, instead of a peripheral hardwired logic. We customize processors by deleting unneccesarry funclionalities, without adding new features. This eables rapid and bug-free design. Although area, power and performance of the proposed architecture are a little bit inferior to those of hardwired logics, the design period of the processor is considerably minimized. since the ROM pattern (software) and the layout pattern (customized processor, i.e. hardware) can be independently designed in parallel.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337691","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337691","","Application specific processors;Computer architecture;Computer bugs;Design methodology;Hardware;Informatics;Large scale integration;Logic design;Read only memory;Software performance","","","","1","","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
"Concept and extraction method of ESD-critical parameters for function-based layout-level ESD protection circuit design verification","Zhan, R.Y.; Feng, H.G.; Wu, Q.; Guan, X.K.; Chen, G.; Me, H.L.; Wang, A.Z.","Illinois Institute of Technology","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","710","712","On-chip ESD (electrostatic discharging) protection is a challenging IC design problem New CAD tools are essential to ESD protection design prediction and verification at full chip level. This paper reports a novel concept and extraction method of ESD-critical parameters for function-based layout-level ESD protection circuit design verification, which has been used to develop the first intelligent CAD tool of such kind. Design examples in 0.35μm BiCMOS are presented.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337685","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337685","","BiCMOS integrated circuits;Circuit synthesis;Clamps;Design automation;Electrostatic discharge;Integrated circuit layout;Protection;Radio frequency;Radiofrequency integrated circuits;Stress","","","","1","2","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
"Embedded software generation from system level design languages","Haobo Yu; Domer, R.; Gajski, D.","Center for Embedded Comput. Syst., California Univ., Irvine, CA, USA","Design Automation Conference, 2004. Proceedings of the ASP-DAC 2004. Asia and South Pacific","20041004","2004","","","463","468","To meet the challenge of increasing design complexity, designers are turning to system level design languages (SLDLs) to model systems at a higher level of abstraction. We present a method of automatically generating embedded software from system specification written in SLDL. Several refinement steps and intermediate models are introduced in our software generation flow. We demonstrate the effectiveness of the proposed method by a tool which can generate efficient ANSI C code from system models written in SLDL.","","0-7803-8175-0","","10.1109/ASPDAC.2004.1337620","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1337620","","Design methodology;Digital signal processing;Dynamic scheduling;Embedded computing;Embedded software;Embedded system;Power system modeling;Productivity;System-level design;Turning","C language;automatic programming;embedded systems;formal specification;program compilers;software tools;specification languages;systems analysis","ANSI C code;design complexity;embedded software generation;system level design languages;system models;system specification","","9","1","","","","27-30 Jan. 2004","","IEEE","IEEE Conference Publications"
