"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DComputer+Architecture%2C+2005.+ISCA+%2705.++32nd+International+Symposium+on",2015/06/23 15:49:50
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Computing architectural vulnerability factors for address-based structures","Biswas, A.; Racunas, P.; Cheveresan, R.; Emer, J.; Mukherjee, S.S.; Rangan, R.","FACT Group, Intel Corp., Hudson, MA, USA","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","532","543","Processor designers require estimates of the architectural vulnerability factor (AVF) of on-chip structures to make accurate soft error rate estimates. AVF is the fraction of faults from alpha particle and neutron strikes that result in user-visible errors. This paper shows how to use a performance model to calculate the AVF of address-based structures, using a data cache, a data translation buffer, and a store buffer as examples. We describe how to perform a detailed breakdown of lifetime components (e.g., fill-to-read, read-to-evict) of bits in these structures into ACE (required for architecturally correct execution), un-ACE (unnecessary for ACE), and unknown components. This lifetime analysis produces best estimate AVFs for these three structures' data arrays of 6%, 36%, and 4%, respectively. We then present a new technique, hamming-distance-one analysis, and show that it predicts surprisingly low best estimate AVFs of 0.41%, 3%, and 7.7% for the structures' tag arrays. Finally, using our lifetime analysis framework, we show how two AVF reduction techniques - periodic flushing and incremental scrubbing - can reduce the AVF by converting ACE lifetime components into un-ACE without affecting performance significantly.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.18","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431584","","Buffer storage;CADCAM;Computer aided manufacturing;Computer architecture;Computer errors;Computer science;Data analysis;Hamming distance;Statistics;Sun","computer architecture;error handling;system recovery","ACE lifetime component;address-based structure;architectural vulnerability factor;architecturally correct execution;data cache;data translation buffer;fill-to-read;hamming-distance-one analysis;incremental scrubbing;lifetime analysis framework;lifetime component breakdown;on-chip structure;periodic flushing;processor designer;read-to-evict;soft error rate estimate;store buffer;structure data array;structure tag array;user-visible error","","66","1","14","","","4-8 June 2005","","IEEE","IEEE Conference Publications"
"Virtualizing transactional memory","Rajwar, R.; Herlihy, M.; Konrad Lai","Microarchit. Res. Lab., Intel Corp., Santa Clara, CA, USA","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","494","505","Writing concurrent programs is difficult because of the complexity of ensuring proper synchronization. Conventional lock-based synchronization suffers from well-known limitations, so researchers have considered nonblocking transactions as an alternative. Recent hardware proposals have demonstrated how transactions can achieve high performance while not suffering limitations of lock-based mechanisms. However, current hardware proposals require programmers to be aware of platform-specific resource limitations such as buffer sizes, scheduling quanta, as well as events such as page faults, and process migrations. If the transactional model is to gain wide acceptance, hardware support for transactions must be virtualized to hide these limitations in much the same way that virtual memory shields the programmer from platform-specific limitations of physical memory. This paper proposes virtual transactional memory (VTM), a user-transparent system that shields the programmer from various platform-specific resource limitations. VTM maintains the performance advantage of hardware transactions, incurs low overhead in time, and has modest costs in hardware support. While many system-level challenges remain, VTM takes a step toward making transactional models more widely acceptable.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.54","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431581","","Computer architecture;Delay;Hardware;Microarchitecture;Programming profession;Proposals;Read-write memory;Scheduling;Switches;Yarn","digital storage;memory architecture;multiprocessing programs;storage allocation;virtual storage","concurrent programs;conventional lock-based synchronization;hardware transaction;lock-based mechanism;nonblocking transaction;physical memory;platform-specific resource limitation;synchronization complexity;transaction hardware support;transactional memory virtualization;user-transparent system;virtual memory;virtual transactional memory","","51","27","26","","","4-8 June 2005","","IEEE","IEEE Conference Publications"
"Adaptive mechanisms and policies for managing cache hierarchies in chip multiprocessors","Speight, E.; Shafi, H.; Lixin Zhang; Rajamony, R.","Novel Syst. Archit. Group, IBM Res., Austin, TX, USA","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","346","356","With the ability to place large numbers of transistors on a single silicon chip, manufacturers have begun developing chip multiprocessors (CMPs) containing multiple processor cores, varying amounts of level 1 and level 2 caching, and on-chip directory structures for level 3 caches and memory. The level 3 cache may be used as a victim cache for both modified and clean lines evicted from on-chip level 2 caches. Efficient area and performance management of this cache hierarchy is paramount given the projected increase in access latency to off-chip memory. This paper proposes simple architectural extensions and adaptive policies for managing the L2 and L3 cache hierarchy in a CMP system. In particular, we evaluate two mechanisms that improve cache effectiveness. First, we propose the use of a small history table to provide hints to the L2 caches as to which lines are resident in the L3 cache. We employ this table to eliminate some unnecessary clean write backs to the L3 cache, reducing pressure on the L3 cache and utilization of the on-chip bus. Second, we exam-ine the performance benefits of allowing write backs from L2 caches to be placed in neighboring, on-chip L2 caches rather than forcing them to be absorbed by the L3 cache. This not only reduces the capacity pressure on the L3 cache but also makes subsequent accesses faster since L2-W-L2 cache transfers have typically lower latencies than accesses to a large L3 cache array. We evaluate the performance improvement of these two designs, and their combined effect, on four commercial workloads and observe a reduction in the overall execution time of up to 13%.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431569","","Delay;Hardware;History;Manufacturing processes;Memory management;Project management;Silicon;Surface-mount technology;System-on-a-chip;Yarn","cache storage;capacity management (computers);microprocessor chips;performance evaluation;storage management;system buses","access latency;adaptive mechanisms;cache array;cache hierarchy;chip multiprocessors;multiple processor cores;off-chip memory;on-chip bus;on-chip directory structures;single silicon chip","","13","19","14","","","4-8 June 2005","","IEEE","IEEE Conference Publications"
"Victim replication: maximizing capacity while hiding wire delay in tiled chip multiprocessors","Zhang, M.; Asanovic, K.","MIT Comput. Sci. & Artificial Intelligence Lab., Cambridge, MA, USA","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","336","345","In this paper, we consider tiled chip multiprocessors (CMP) where each tile contains a slice of the total on-chip L2 cache storage and tiles are connected by an on-chip network. The L2 slices can be managed using two basic schemes: 1) each slice is treated as a private L2 cache for the tile; 2) all slices are treated as a single large L2 cache shared by all tiles. Private L2 caches provide the lowest hit latency but reduce the total effective cache capacity, as each tile creates local copies of any line it touches. A shared L2 cache increases the effective cache capacity for shared data, but incurs long hit latencies when L2 data is on a remote tile. We present a new cache management policy, victim replication, which combines the advantages of private and shared schemes. Victim replication is a variant of the shared scheme which attempts to keep copies of local primary cache victims within the local L2 cache slice. Hits to these replicated copies reduce the effective latency of the shared L2 cache, while retaining the benefits of a higher effective capacity for shared data. We evaluate the various schemes using full-system simulation of both single-threaded and multi-threaded benchmarks running on an 8-processor tiled CMP. We show that victim replication reduces the average memory access latency of the shared L2 cache by an average of 16% for multi-threaded benchmarks and 24% for single-threaded benchmarks, providing better overall performance than either private or shared schemes.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.53","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431568","","Artificial intelligence;Cache storage;Clocks;Computer science;Delay;Laboratories;Throughput;Tiles;Wire;Yarn","benchmark testing;cache storage;delays;microprocessor chips;multi-threading;performance evaluation;program slicing;shared memory systems;storage management","average memory access latency;cache capacity;cache management policy;cache storage;multithreaded benchmarks;on-chip network;single-threaded benchmarks;tiled chip multiprocessors;victim replication;wire delay","","68","8","27","","","4-8 June 2005","","IEEE","IEEE Conference Publications"
"32nd International Symposium on Computer Architecture - Title Page","","","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","i","iii","Conference proceedings title page.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.4","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431534","","","","","","0","","","","","8-8 June 2005","","IEEE","IEEE Conference Publications"
"Disk drive roadmap from the thermal perspective: a case for dynamic thermal management","Gurumurthi, S.; Anand Sivasubramaniam; Natarajan, V.K.","Dept. of Comput. Sci. & Eng., Pennsylvania State Univ., University Park, PA, USA","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","38","49","The importance of pushing the performance envelope of disk drives continues to grow, not just in the server market but also in numerous consumer electronics products. One of the most fundamental factors impacting disk drive design is the heat dissipation and its effect on drive reliability, since high temperatures can cause off-track errors, or even head crashes. Until now, drive manufacturers have continued to meet the 40% annual growth target of the internal data rates (IDR) by increasing RPMs, and shrinking platter sizes, both of which have counter-acting effects on the heat dissipation within a drive. As this paper shows, we are getting to a point where it is becoming very difficult to stay on this roadmap. This paper presents an integrated disk drive model that captures the close relationships between capacity, performance and thermal characteristics over time. Using this model, we quantify the drop off in IDR growth rates over the next decade if we are to adhere to the thermal envelope of drive design. We present two mechanisms for buying back some of this IDR loss with dynamic thermal management (DTM). The first DTM technique exploits any available thermal slack, between what the drive was intended to support and the currently lower operating temperature, to ramp up the RPM. The second DTM technique assumes that the drive is only designed for average case behavior, thus allowing higher RPMs than the thermal envelope, and employs dynamic throttling of disk drive activities to remain within this envelope.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.24","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431544","","Computer aided software engineering;Computer crashes;Computer science;Disk drives;Engineering management;Storage area networks;Temperature;Thermal engineering;Thermal management;Thermal management of electronics","cooling;disc drives;thermal management (packaging)","IDR growth rate;consumer electronics product;disk drive roadmap;drive reliability;dynamic thermal management;dynamic throttling;heat dissipation;internal data rate;shrinking platter size","","14","37","49","","","4-8 June 2005","","IEEE","IEEE Conference Publications"
"Optimizing replication, communication, and capacity allocation in CMPs","Chishti, Z.; Powell, M.D.; Vijaykumar, T.N.","Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","357","368","Chip multiprocessors substantially increase capacity pressure on the on-chip memory hierarchy while requiring fast access. Neither private nor shared caches can provide both large capacity and fast access in CMPs. We observe that compared to symmetric multiprocessors (SMPs), CMPs change the latency capacity tradeoff in two significant ways. We propose three novel ideas to exploit the changes: (1) Through placing copies close to requestors allows fast access for read-only sharing, the copies also reduce the already-limited on-chip capacity in CMPs. We propose controlled replication to reduce capacity pressure by not making extra copies in some cases, and obtaining the data from an existing on-chip copy. This option is not suitable for SMPs because obtaining data from another processor is expensive and capacity is not limited to on-chip storage. (2) Unlike SMPs, CMPs allow fast on-chip communication between processors for read-write sharing. Instead of incurring slow access to read-write shared data through coherence misses as do SMPs, we propose in situ communication to provide fast access without making copies or incurring coherence misses. (3) Accessing neighbor's caches is not as expensive in CMPs as it is in SMPs. We propose capacity stealing in which private data that exceeds a core's capacity is placed in a neighboring cache with less capacity demand. To incorporate our ideas, we use a hybrid of private, per-processor tag arrays and a shared data array. Because the shared data is slow, we employ non-uniform access and distance associativity from previous proposals to hold frequently-accessed data in regions close to the requestor. We extend the previously-proposed non-uniform access with replacement and placement using distance associativity (NuRAPID) ro CMPs, and call our cache CMP-NuRAPID. Our result show that for a 4-core CMP with 8 MB cache, CMP-NuRAPID improves performance by 13% over a shared cache and 8% over private caches for three commercial multithreaded workloads.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.39","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431570","","Costs;Delay effects;Pressure control;Proposals;Wire","cache storage;microprocessor chips;multi-threading;parallel processing;read-only storage;shared memory systems;storage allocation","CMP-NuRAPID;capacity allocation;chip multiprocessors;coherence misses;commercial multithreaded workloads;distance associativity;latency capacity tradeoff;on-chip communication;on-chip memory hierarchy;on-chip storage;per-processor tag arrays;read-only sharing;read-write sharing;replication;shared caches;shared data array;symmetric multiprocessors","","59","1","31","","","4-8 June 2005","","IEEE","IEEE Conference Publications"
"Improving program efficiency by packing instructions into registers","Hines, S.; Green, J.; Tyson, G.; Whalley, D.","Comput. Sci. Dept., Florida State Univ., Tallahassee, FL, USA","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","260","271","New processors, both embedded and general purpose, often have conflicting design requirements involving space, power, and performance. Architectural features and compiler optimizations often target one or more design goals at the expense of the others. This paper presents a novel architectural and compiler approach to simultaneously reduce power requirements, decrease code size, and improve performance by integrating an instruction register file (IRF) into the architecture. Frequently occurring instructions are placed in the IRF. Multiple entries in the IRF can be referenced by a single packed instruction in ROM or LI instruction cache. Unlike conventional code compression, our approach allows the frequent instructions to be referenced in arbitrary combinations. The experimental results show significant improvements in space and power, as well as some improvement in execution time when using only 32 entries. These advantages make packing instructions into registers an effective approach for improving overall efficiency.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.32","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431562","","Costs;Design optimization;Encoding;Energy consumption;Instruction sets;Logic;Optimizing compilers;Process design;Read only memory;Registers","cache storage;computer architecture;embedded systems;instruction sets;optimising compilers","LI instruction cache;ROM;architectural features;code compression;compiler optimizations;instruction register file;registers;single packed instruction","","5","1","25","","","4-8 June 2005","","IEEE","IEEE Conference Publications"
"Microarchitecture of a high radix router","Kim, J.; Dally, W.J.; Towles, B.; Gupta, A.K.","Comput. Syst. Lab., Stanford Univ., CA, USA","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","420","431","Evolving semiconductor and circuit technology has greatly increased the pin bandwidth available to a router chip. In the early 90s, routers were limited to 10Gb/s of pin bandwidth. Today 1Tb/s is feasible, and we expect 20Tb/s of I/O bandwidth by 2010. A high-radix router that provides many narrow Dalports is more effective in converting pin band-width to reduced latency and reduced cost than the alternative of building a router with a few wide ports. However, increasing the radix (or degree) of a router raises several challenges as internal switches and allocators scale as the square of the radix. This paper addresses these challenges by proposing and evaluating alternative microarchitectures for high radix routers. We show that the use of a hierarchical switch organization with per-virtual-channel buffers in each subswitch enables an area savings of 40% compared to a fully buffered crossbar and a throughput increase of 20-60% compared to a conventional crossbar implementation.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.35","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431575","","Bandwidth;Buildings;Costs;Delay;Laboratories;Microarchitecture;Multiprocessor interconnection networks;Research and development;Switches;Throughput","buffer storage;microprocessor chips;pipeline arithmetic;telecommunication network routing;telecommunication switching","allocators;buffered crossbar;circuit technology;hierarchical switch organization;high radix router;internal switches;microarchitecture;per-virtual-channel buffers;pin bandwidth;router chip;semiconductor technology","","33","1","","","","4-8 June 2005","","IEEE","IEEE Conference Publications"
"32nd International Symposium on Computer Architecture - Table of contents","","","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on","20050620","2005","","","v","viii","Presents the table of contents of the proceedings.","1063-6897","0-7695-2270-X","","10.1109/ISCA.2005.3","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431536","","","","","","0","","","","","4-8 June 2005","","IEEE","IEEE Conference Publications"
