"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DComputer+Architecture%2C+2006.+ISCA+%2706.",2015/06/23 15:54:42
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"33rd International Symposium on Computer Architecture - Cover","","","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","c1","c1","Presents the front cover of the proceedings.","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.2","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635926","","","","","","0","","","","","17-21 June 2006","","IEEE","IEEE Conference Publications"
"Cooperative Caching for Chip Multiprocessors","Jichuan Chang; Sohi, G.S.","Dept. of Comput. Sci., Wisconsin Univ., Madison, WI","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","264","276","This paper presents CMP cooperative caching, a unified framework to manage a CMP's aggregate on-chip cache resources. Cooperative caching combines the strengths of private and shared cache organizations by forming an aggregate ""shared"" cache through cooperation among private caches. Locally active data are attracted to the private caches by their accessing processors to reduce remote on-chip references, while globally active data are cooperatively identified and kept in the aggregate cache to reduce off-chip accesses. Examples of cooperation include cache-to-cache transfers of clean data, replication-aware data replacement, and global replacement of inactive data. These policies can be implemented by modifying an existing cache replacement policy and cache coherence protocol, or by the new implementation of a directory-based protocol presented in this paper. Our evaluation using full-system simulation shows that cooperative caching achieves an off-chip miss rate similar to that of a shared cache, and a local cache hit rate similar to that of using private caches. Cooperative caching performs robustly over a range of system/cache sizes and memory latencies. For an 8-core CMP with 1MB L2 cache per core, the best cooperative caching scheme improves the performance of multithreaded commercial workloads by 5-11% compared with a shared cache and 4-38% compared with private caches. For a 4-core CMP running multiprogrammed SPEC2000 workloads, cooperative caching is on average 11% and 6% faster than shared and private cache organizations, respectively","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.17","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635958","","Access protocols;Added delay;Aggregates;Cooperative caching;Costs;Proposals;Resource management;Robustness;Wire","cache storage;microprocessor chips;multi-threading;multiprocessing systems;protocols","CMP cooperative caching;accessing processors;cache coherence protocol;cache organizations;cache replacement policy;cache-to-cache transfers;chip multiprocessors;directory-based protocol;memory latency;multiprogrammed SPEC2000 workloads;multithreaded commercial workloads;off-chip miss rate;on-chip cache resources;on-chip references;private caches;replication-aware data replacement","","54","15","35","","","0-0 0","","IEEE","IEEE Conference Publications"
"Bulk Disambiguation of Speculative Threads in Multiprocessors","Ceze, L.; Tuck, J.; Torrellas, J.; Torrellas, J.","Illinois Univ., Urbana-Champaign, IL","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","227","238","Transactional memory (TM), thread-level speculation (TLS), and checkpointed multiprocessors are three popular architectural techniques based on the execution of multiple, cooperating speculative threads. In these environments, correctly maintaining data dependences across threads requires mechanisms for disambiguating addresses across threads, invalidating stale cache state, and making committed state visible. These mechanisms are both conceptually involved and hard to implement. In this paper, we present bulk, a novel approach to simplify these mechanisms. The idea is to hash-encode a thread's access information in a concise signature, and then support in hardware signature operations that efficiently process sets of addresses. Such operations implement the mechanisms described. Bulk operations are inexact but correct, and provide substantial conceptual and implementation simplicity. We evaluate Bulk in the context of TLS using SPECint2000 codes and TM using multithreaded Java workloads. Despite its simplicity, Bulk has competitive performance with more complex schemes. We also find that signature configuration is a key design parameter","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.13","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635955","","Access protocols;Hardware;Java;Multithreading;US Department of Energy;Yarn","Java;checkpointing;file organisation;multi-threading;multiprocessing systems","SPECint2000 codes;bulk disambiguation;bulk operations;checkpointed multiprocessors;hardware signature operations;hash-encode;multithreaded Java;speculative threads;thread-level speculation;transactional memory","","51","10","27","","","0-0 0","","IEEE","IEEE Conference Publications"
"Ensemble-level Power Management for Dense Blade Servers","Ranganathan, P.; Leech, P.; Irwin, D.; Chase, J.","Hewlett Packard, Palo Alto, CA","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","66","77","One of the key challenges for high-density servers (e.g., blades) is the increased costs in addressing the power and heat density associated with compaction. Prior approaches have mainly focused on reducing the heat generated at the level of an individual server. In contrast, this paper proposes power efficiencies at a larger scale by leveraging statistical properties of concurrent resource usage across a collection of systems (""ensemble""). Specifically, we discuss an implementation of this approach at the blade enclosure level to monitor and manage the power across the individual blades in a chassis. Our approach requires low-cost hardware modifications and relatively simple software support. We evaluate our architecture through both prototyping and simulation. For workloads representing 132 servers from nine different enterprise deployments, we show significant power budget reductions at performances comparable to conventional systems","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.20","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635941","","Blades;Compaction;Computer architecture;Costs;Energy management;Hardware;Monitoring;Power system management;Software prototyping;Virtual prototyping","cooling;low-power electronics;network servers;thermal management (packaging)","concurrent resource usage;dense blade servers;ensemble-level power management","","59","12","22","","","0-0 0","","IEEE","IEEE Conference Publications"
"Reducing Startup Time in Co-Designed Virtual Machines","Hu, S.; Smith, J.E.","Dept. of Comput. Sci., Wisconsin Univ., Madison, WI","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","277","288","A co-designed virtual machine allows designers to implement a processor via a combination of hardware and software. Dynamic binary translation converts code written for a conventional (legacy) ISA into optimized code for an underlying implementation-specific ISA. Because translation is done dynamically, an important consideration in such systems is the startup time for performing the initial translations. Beginning with a previously proposed co-designed VM that implements the x86 ISA, we study runtime binary translation overhead effects. The co-designed x86 virtual machine is based on an adaptive translation system that uses a basic block translator for initial emulation and a superblock translator for hotspot optimization. We analyze and model VM startup performance via simulation. We observe that non-hotspot emulation via basic block translation is the major part of the startup overhead. To reduce startup translation overhead, we follow the co-designed hardware/software philosophy and propose hardware assists to dramatically accelerate basic block translations. By combining hardware assists with balanced translation strategies, the co-designed translation system reduces runtime overhead significantly and demonstrates very competitive startup performance when compared with conventional processors running a set of Windows application benchmarks","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.33","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635959","","Acceleration;Adaptive systems;Analytical models;Emulation;Hardware;Instruction sets;Performance analysis;Runtime;Virtual machining;Virtual manufacturing","hardware-software codesign;optimising compilers;program interpreters;virtual machines","Windows application benchmarks;adaptive translation system;basic block translator;codesigned virtual machines;dynamic binary translation;hotspot optimization;optimized code;runtime binary translation;runtime overhead;startup translation overhead;superblock translator","","1","","28","","","0-0 0","","IEEE","IEEE Conference Publications"
"Flexible Snooping: Adaptive Forwarding and Filtering of Snoops in Embedded-Ring Multiprocessors","Strauss, K.; Xiaowei Shen; Torrellas, J.","Dept. of Comput. Sci., Illinois Univ., Urbana-Champaign, IL","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","327","338","A simple and low-cost approach to supporting snoopy cache coherence is to logically embed a unidirectional ring in the network of a multiprocessor, and use it to transfer snoop messages. Other messages can use any link in the network. While this scheme works for any network topology, a naive implementation may result in long response times or in many snoop messages and snoop operations. To address this problem, this paper proposes flexible snooping algorithms, a family of adaptive forwarding and filtering snooping algorithms. In these algorithms, a node receiving a snoop request may either forward it to another node and then perform the snoop, or snoop and then forward it, or simply forward it without snooping. The resulting design space offers trade-offs in number of snoop operations and messages, response time, and energy consumption. Our analysis using SPLASH-2, SPECjbb, and SPECweb workloads finds several snooping algorithms that are more cost-effective than current ones. Specifically, our choice for a high-performance snooping algorithm is faster than the currently fastest algorithm while consuming 9-17% less energy; our choice for an energy-efficient algorithm is only 3-6% slower than the previous one while consuming 36-42% less energy","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.21","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635963","","Adaptive filters;Algorithm design and analysis;Broadcasting;Computer science;Delay;Energy consumption;Filtering algorithms;Hardware;Network topology;Protocols","cache storage;multiprocessing systems;multiprocessor interconnection networks;telecommunication network topology","SPECjbb;SPECweb workloads;SPLASH-2;adaptive forwarding;embedded-ring multiprocessors;flexible snooping algorithms;high-performance snooping algorithm;network topology;snoop messages;snoopy cache coherence","","4","1","26","","","0-0 0","","IEEE","IEEE Conference Publications"
"Author index","","","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","391","391","The author index contains an entry for each author and coauthor included in the proceedings record.","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.11","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635969","","","","","","0","","","","","17-21 June 2006","","IEEE","IEEE Conference Publications"
"Computer architecture research and future microprocessors: Where do we go from here?","Patt, Y.","University of Texas at Austin","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","2","2","The document was not made available for publication as part of the conference proceedings.","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.15","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635935","","","","","","0","","","","","17-21 June 2006","","IEEE","IEEE Conference Publications"
"33rd International Symposium on Computer Architecture - Table of contents","","","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","v","ix","Presents the table of contents of the proceedings.","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.3","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635929","","","","","","0","","","","","17-21 June 2006","","IEEE","IEEE Conference Publications"
"SODA: A Low-power Architecture For Software Radio","Yuan Lin; Hyunseok Lee; Woh, M.; Harel, Y.; Mahlke, S.; Mudge, T.; Chakrabarti, C.; Flautner, K.","Adv. Comput. Archit. Lab., Michigan Univ., Ann Arbor, MI","Computer Architecture, 2006. ISCA '06. 33rd International Symposium on","20060710","2006","","","89","101","The physical layer of most wireless protocols is traditionally implemented in custom hardware to satisfy the heavy computational requirements while keeping power consumption to a minimum. These implementations are time consuming to design and difficult to verify. A programmable hardware platform capable of supporting software implementations of the physical layer, or software defined radio, has a number of advantages. These include support for multiple protocols, faster time-to-market, higher chip volumes, and support for late implementation changes. The challenge is to achieve this without sacrificing power. In this paper, we present a design study for a fully programmable architecture, SODA, that supports software defined radio - a high-end signal processing application. Our design achieves high performance, energy efficiency, and programmability through a combination of features that include single-instruction multiple-data (SIMD) parallelism, and hardware optimized for 16bit computations. The basic processing element is an asymmetric processor consisting of a scalar and SIMD pipeline, and a set of distributed scratchpad memories that are fully managed in software. Results show that a four processor design is capable of meeting the throughput requirements of the W-CDMA and 802.11a protocols, while operating within the strict power constraints of a mobile terminal","1063-6897","0-7695-2608-X","","10.1109/ISCA.2006.37","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635943","","Computer architecture;Energy consumption;Hardware;Physical layer;Physics computing;Signal design;Signal processing;Software radio;Time to market;Wireless application protocol","parallel architectures;pipeline processing;software radio","SIMD parallelism;SIMD pipeline;asymmetric processor;distributed scratchpad memories;fully programmable architecture;high-end signal processing;low-power architecture;scalar pipeline;single-instruction multiple-data parallelism;software radio","","23","","26","","","0-0 0","","IEEE","IEEE Conference Publications"
