"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DMicro+Electro+Mechanical+Systems%2C+2008.+MEMS+2008.+IEEE+21st+International+Conference+on",2015/06/23 16:23:42
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Piezoresistive effect in top-down fabricated silicon nanowires","Reck, K.; Richter, J.; Hansen, O.; Thomsen, E.V.","Tech. Univ. of Denmark, Lyngby","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","717","720","We have designed and fabricated silicon test chips to investigate the piezoresistive properties of both crystalline and polycrystalline nanowires using a top-down approach, in order to comply with conventional fabrication techniques. The test chip consists of 5 silicon nanowires and a reference resistor, each with integrated contacts for electrical 4-point measurements. We show an increase in the piezoresistive effect of 633% compared to bulk silicon. Preliminary temperature measurements indicate a larger temperature dependence of silicon nanowires, compared to bulk silicon. An increase of up to 34% compared to bulk polysilicon is observed in polysilicon nanowires with decreasing dimensions.","1084-6999","978-1-4244-1792-6","978-1-4244-1793-3","10.1109/MEMSYS.2008.4443757","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443757","","Contacts;Crystallization;Electric variables measurement;Fabrication;Nanowires;Piezoresistance;Resistors;Semiconductor device measurement;Silicon;Testing","electron beam lithography;nanolithography;nanowires;piezoresistance;silicon","EBL;bulk polysilicon;e-beam lithography;electrical four-point measurements;piezoresistive effect;silicon test chips;top-down fabricated silicon nanowires","","13","2","9","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
"Silicon nanowire coupled micro-resonators","Arellano, N.; Quevy, E.P.; Provine, J.; Maboudian, R.; Howe, R.T.","Univ. of California, Berkely","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","721","724","This paper describes a microelectromechanical resonator interface to a nanomechanical structure. Our approach to microresonator-nanowire integration employs silicon nanowires as mechanical tuning elements, which perturb the frequency response of the resonator system. Two coupling configurations were designed and tested, the first with a nanowire beam coupled to the maximum displacement points of clamped-clamped microresonators and the second with a coupling beam attached 1.5 mum away from the anchors of the bending mode resonators. A focused-ion-beam (FIB) tool was used to tune the frequency response of the coupled systems. Finally a nanowire coupled bandpass filter with a 3 dB bandwidth about 120 kHz at 17.9 MHz was demonstrated.","1084-6999","978-1-4244-1792-6","978-1-4244-1793-3","10.1109/MEMSYS.2008.4443758","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443758","","Electrodes;Etching;Frequency response;Microcavities;Micromechanical devices;Nanostructures;Optical coupling;Optical resonators;Radio frequency;Silicon","band-pass filters;focused ion beam technology;frequency response;micromechanical resonators;nanowires;silicon","bandwidth 120 kHz;bending mode resonators;clamped-clamped microresonators;focused-ion-beam tool;frequency 17.9 MHz;frequency response;mechanical tuning elements;microelectromechanical resonator interface;microresonator-nanowire integration;microresonators;nanomechanical structure;nanowire coupled bandpass filter;silicon nanowire","","4","1","7","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
"[Copyright notice]","","","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","lxxv","lxxv","","1084-6999","978-1-4244-1792-6","","10.1109/MEMSYS.2008.4443577","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443577","","","","","","0","","","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
"Activation of CNT nano-to-micro contact via electrical breakdown","Jiang, Y.; Zhang, M.Q.H.; Kawano, T.; Cho, C.Y.; Lin, L.","Univ. of California at Berkeley, Berkeley","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","725","728","The ""healing"" of nano-to-micro electrical contact between a single carbon nanotube (CNT) and silicon micro structure has been demonstrated using the technique of electrical breakdown. Experimental results show that the resistance of an in-situ synthesized CNT was ""healed"" from an original value of infinite to 7 MOmega. The experimental breakdown voltage is 10 V and the electrical field is estimated as 5times10<sup>7</sup> V/cm for a 2 nm-thick native oxide layer, which is consistent with the analytical breakdown value. This process helps improving the resistance of nano-to-micro contacts and increase device yield by activating seemingly non-functional CNTs in nano electromechanical systems (NEMS).","1084-6999","978-1-4244-1792-6","978-1-4244-1793-3","10.1109/MEMSYS.2008.4443759","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443759","","Assembly;Carbon nanotubes;Contact resistance;Electric breakdown;Electric resistance;Electrodes;Mechanical sensors;Micromechanical devices;Sensor phenomena and characterization;Silicon","carbon nanotubes;electric breakdown;electrical contacts;micromechanical devices;silicon","C;CNT nano-to-micro contact;NEMS;carbon nanotube;electrical breakdown;nano electromechanical systems;silicon micro structure;size 2 nm;voltage 10 V","","0","","11","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
"CMOS based sensors: From a sample to real products","Mayer, F.","Sensirion Inc., Zurich","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","1","5","Sensirion [1] is a high-tech sensor company with headquarters in Switzerland. Based on technological concepts developed in the mid 90 s at ETH Zurich, Sensirion was founded in 1998. Product development started in the same year. Today, Sensirion is a high-tech sensor company, with a highly skilled team of more than 120 employees. About 50% of the manpower is concentrated in R&D. Sensirion successfully manufactures millions of MEMS sensors each year for a wide range of industrial, consumer, medical, and automotive applications. Sensirion is the industry leader for chip based humidity & temperature sensors, mass flow measurement and control devices for gases and liquids, and differential pressure sensors.","1084-6999","978-1-4244-1792-6","978-1-4244-1793-3","10.1109/MEMSYS.2008.4443578","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443578","","Automotive applications;CMOS technology;Fluid flow measurement;Gas industry;Humidity;Industrial control;Manufacturing industries;Micromechanical devices;Product development;Temperature sensors","CMOS integrated circuits;flow measurement;flow sensors;humidity sensors;microsensors;pressure sensors;temperature sensors","CMOS based sensors;MEMS sensors;Sensirion;Switzerland;automotive application;chip based humidity sensor;chip based temperature sensor;control devices;differential pressure sensor;high-tech sensor company;industrial application;mass flow measurement;product development","","0","","15","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
"Linear tuning of the resonant frequency in tilting oscillators by an axially loaded suspension flexure","Shmilovich, T.; Krylov, S.","Tel Aviv Univ., Tel Aviv","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","657","660","In this work we present a novel approach for fine linear tuning of resonant frequency in tilting oscillators and investigate, both theoretically and experimentally, the main features and functionality of the tuning mechanism. The operation principle of the tuning mechanism is based on the application of an axial force to a cantilever-like suspension flexure, built in such a way that the real pivot is replaced by a virtual one, which provides a center of rotation. The axial force is provided by an electrostatic transducer realized in the framework of the single layer multiple close-gap electrodes actuation concept. Devices with three different types of suspensions were fabricated and characterized. Experimental and theoretical results collectively show that the suggested approach can be efficiently implemented for resonant frequency tuning in tilting devices.","1084-6999","978-1-4244-1792-6","978-1-4244-1793-3","10.1109/MEMSYS.2008.4443742","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443742","","Electrodes;Electrostatic actuators;Fabrication;Laboratories;Oscillators;Resonance;Resonant frequency;Torque;Transducers;Tuning","bending;circuit tuning;electrostatic devices;micromechanical devices;oscillators;transducers","axial force;axially loaded suspension flexure;cantilever-like suspension flexure;electrostatic transducer;linear tuning;micro oscillators;resonant frequency tuning;single layer multiple close-gap electrodes actuation concept;tilting oscillators;tuning mechanism","","0","","5","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
"High precision fluidic alignment of carbon nanotubes using magnetic attraction on a metal catalyst","Shim, J.S.; Yeo-Heung Yun; Rust, M.J.; Jaephil Do; Shanov, V.; Schulz, M.J.; Ahn, Chong H.","Univ. of Cincinnati, Cincinnati","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","729","732","Precise self-assembly of carbon nanotubes (CNTs) by magnetic attraction on a catalyst and alignment by fluidic shear forces is reported in this work. The solution containing dispersed nanotubes was flowed in a microchannel and external magnetic field was applied by a permanent magnet for attracting a metal catalyst located at the end of the CNT. The assembly procedure and electrical characterization of the assembled nanotubes are presented and results are discussed. This work can provide a potential breakthrough for creating massively parallel CNT circuits for high performance nano electronic devices or nano biosensors.","1084-6999","978-1-4244-1792-6","978-1-4244-1793-3","10.1109/MEMSYS.2008.4443760","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443760","","Assembly;Carbon nanotubes;Circuits;Electrodes;Magnetic fields;Magnetic forces;Magnetic materials;Nickel;Permanent magnets;Semiconductor nanotubes","biosensors;carbon nanotubes;magnetic fields;microchannel flow;nanobiotechnology;nanoelectronics;self-assembly","C;carbon nanotubes;dispersed nanotubes;electrical characterization;fluidic shear forces;high precision fluidic alignment;magnetic attraction;magnetic field;metal catalyst;microchannel;nano biosensors;nano electronic devices;permanent magnet;self-assembly","","1","","12","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
"A surface acoustic wave dynamics control device by grating structure","Miyashita, M.; Onuki, T.; Nagasawa, S.; Kuwano, H.","Tohoku Univ., Sendai","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","661","664","We have developed the dynamic controlling system of surface acoustic wave (SAW) using micro electromechanical structures, using a plate with periodic convex structures as a mechanical switch of the SAW's resonant condition. The effects of the geographical change on the substrate surface by the active control were investigated using the numerical analysis. And we verified the effect of spectrum shaping by the engraved grating structure, and the controlling effect of the resonant condition with the control plate on the grating structure experimentally.","1084-6999","978-1-4244-1792-6","978-1-4244-1793-3","10.1109/MEMSYS.2008.4443743","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443743","","Acoustic waves;Control systems;Gratings;Numerical analysis;Periodic structures;Resonance;Shape control;Surface acoustic wave devices;Surface acoustic waves;Switches","microswitches;numerical analysis;periodic structures;physical instrumentation control;surface acoustic wave devices","dynamic controlling system;engraved grating structure;mechanical switch;micro electromechanical structures;periodic convex structures;spectrum shaping;surface acoustic wave dynamics control device","","0","","1","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
"Identification and management of diffusion pathways in polysilicon encapsulation for MEMS devices","Bongsang Kim; Candler, R.N.; Melamud, R.; Yoneoka, S.; Hyung Kyu Lee; Yama, G.; Kenny, T.W.","Stanford Univ., Stanford","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","104","107","Hermeticity and diffusion behaviors of 'epi-seal' wafer-scale polysilicon thin-film encapsulation were investigated by monitoring quality factor of MEMS resonator inside the encapsulation. Various gas species were examined in a 400degC furnace, identifying hydrogen and helium as diffusive gas species and showing argon and nitrogen to be non-diffusive under these conditions. Also, a series of devices with modifications of encapsulation geometry were tested and silicon dioxide layer was identified as the diffusion pathway through the encapsulation. These experimental results and diffusion pathway models enable design optimization and new process development aiming at true hermiticity of wafer-scale thin-film encapsulation for MEMS devices.","1084-6999","978-1-4244-1792-6","978-1-4244-1793-3","10.1109/MEMSYS.2008.4443603","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443603","","Argon;Encapsulation;Furnaces;Helium;Hydrogen;Microelectromechanical devices;Micromechanical devices;Nitrogen;Q factor;Transistors","Q-factor;argon;diffusion;encapsulation;helium;hydrogen;micromechanical resonators;nitrogen;silicon;silicon compounds;wafer level packaging","MEMS devices;MEMS resonator;SiO<sub>2</sub>;design optimization;diffusion pathways;hermeticity;polysilicon thin-film encapsulation;process development;quality factor monitoring;silicon dioxide layer;temperature 400 C;wafer-scale thin-film encapsulation","","3","","6","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
"Catalyst enhanced micro scale batch assembly","Baskaran, R.; Ji Hao Hoo; Bowen Cheng; Bo&#x0308;hringer, K.F.","Univ. of Washington, Seattle","Micro Electro Mechanical Systems, 2008. MEMS 2008. IEEE 21st International Conference on","20080128","2008","","","1069","1072","We enhance the efficiency of assembly of microparts in batch dry assembly methods studied previously by our group. Here we study the system dynamics with the addition of a few non-participating millimeter scale parts that act as 'catalysts'. We present experimental results that show 25-50% reduction in acceleration needed to trigger part motion and up to 4 times increase in concentration of parts in motion due to addition of catalysts. We adapt a model from chemical kinetic theory to understand our system behavior.","1084-6999","978-1-4244-1792-6","978-1-4244-1793-3","10.1109/MEMSYS.2008.4443844","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4443844","","Acceleration;Chemical processes;Chemical products;Energy barrier;Fluid flow;Kinetic theory;Liquids;Polymers;Robotic assembly;Surface tension","acceleration;batch processing (industrial);microassembling;vibrations","acceleration reduction;batch dry assembly methods;catalyst enhanced microscale batch assembly;chemical kinetic theory;microparts assembly efficiency;system behavior;system dynamics","","4","","7","","","13-17 Jan. 2008","","IEEE","IEEE Conference Publications"
