"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Micro+Electro+Mechanical+Systems%2C+2009.+MEMS+2009.%29+AND+IEEE+22st+International+Conference+on%29",2015/06/23 16:24:53
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Notice of Violation of IEEE Publication Principles<BR>An Application of MEMS Sensors in Inertial Navigation System","Baoping Xiao; Chang Xu; Lijun Xu","Mechatron. Eng. Inst., China Jiliang Univ., Hangzhou","Industrial and Information Systems, 2009. IIS '09. International Conference on","20090626","2009","","","360","363","Notice of Violation of IEEE Publication Principles<BR><BR>""An Application of MEMS Sensors in Inertial Navigation Systems""<BR>by Baoping Xiao, Chang Xu, and Lijun Xu<BR>in the Proceedings of the 2009 Second International Conference on Industrial and Information Systems, April 2009, pp 360-363<BR><BR>After careful and considered review of the content and authorship of this paper by a duly constituted expert committee, this paper has been found to be in violation of IEEE's Publication Principles.<BR><BR>This paper is a near verbatim copy of the work cited below. The original text and figures were copied without attribution (including appropriate references to the original author(s) and/or paper title) and without permission.<BR><BR>Due to the nature of this violation, reasonable effort should be made to remove all past references to this paper, and future references should be made to the following article:<BR><BR>""MEMS Inertial Navigation System""<BR>by Jordan Crittenden and Parker Evans,<BR>as a Student Project: ECE4910, May 2008<BR> http://courses.cit.cornell.edu/eceprojectsland/STUDENTPROJ/2007to2008/pae26_jsc59/index.html<BR><BR>In this article, a simple inertial navigation system using micro-electro mechanical systems (MEMS) sensors is introduced. The sensors include a three axis accelerometer (ADXL330) and a two axis gyroscope (IDG300), and they are processed by a micro controller and external floating point unit to estimate current state. With the developed system modest results are obtained.","","978-0-7695-3618-7","","10.1109/IIS.2009.81","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5116373","ADXL330;IDG300;MEMS sensor;accelerometer;inertial navigation system","","accelerometers;gyroscopes;inertial navigation;microsensors","ADXL330;IDG300;MEMS sensors;external floating point unit;inertial navigation system;micro-electro mechanical systems sensors;three axis accelerometer;two axis gyroscope","","1","","6","","","24-25 April 2009","","IEEE","IEEE Conference Publications"
"MEMS Epiphany","Vigna, B.","RF & Sensors Product Div., STMicroelectronics, Milan","Micro Electro Mechanical Systems, 2009. MEMS 2009. IEEE 22nd International Conference on","20090327","2009","","","1","6","This paper addresses the key drivers of the ""MEMS Epiphany,"" i.e. the successful interplay between the technology push and design-driven innovation strategies for MEMS (micro-electromechanical systems) success in the consumer market. Before 2005, MEMS were known only by technology experts and were not yet ready for the high-volume consumer market. Only the marriage of a technological breakthrough in the MEMS world, pioneered by STMicroelectronics, and the creation and delivery of new applications for end users, driven by Nintendo and Apple, paved the way for the MEMS Epiphanies. This paper will focus on the technological challenges that STMicroelectronics faced to enable this historical landmark in the ""MEMS Consumerization"" era. And it will also discuss briefly the next possible MEMS Epiphanies in relation to new products and applications.","1084-6999","978-1-4244-2977-6","978-1-4244-2978-3","10.1109/MEMSYS.2009.4805304","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4805304","","Accelerometers;Actuators;Automotive engineering;Biomedical imaging;Humans;Micromechanical devices;Mobile handsets;Pressure measurement;Toy industry;Wireless sensor networks","accelerometers;automotive electronics;consumer electronics;microsensors;pressure sensors;wireless sensor networks","Apple;MEMS;Nintendo;STMicroelectronics;accelerometers;automotive market;consumer market;consumerization;micro-electromechanical systems;pressure sensor;wireless sensor network","","2","","8","","","25-29 Jan. 2009","","IEEE","IEEE Conference Publications"
"Molecular Muscle based Nano-Electro-Mechanical-Systems (NEMS)","Juluri, B.K.; Kumar, A.S.; Liu, Yi; Tao Ye; Ying-Wei Yang; Flood, A.H.; Lei Fang; Stoddart, J.F.; Weiss, P.S.; Huang, T.J.","Pennsylvania State Univ., University Park, PA","Micro Electro Mechanical Systems, 2009. MEMS 2009. IEEE 22nd International Conference on","20090327","2009","","","595","598","Created by a bottom-up approach based on self-assembly and molecular recognition, molecular motors and muscles such as bistable rotaxanes are recognized as promising actuation materials for Micro/Nano Electro-Mechanical-Systems (MEMS/NEMS). In this work, we report a hybrid NEMS actuation device based on electrochemical activation of surface-bound bistable rotaxanes (molecular muscles). This NEMS actuator consists of a micro-cantilever coated with a self-assembled monolayer of redox-active palindromic bistable [3]rotaxane R<sup>8+</sup> molecules, and when subjected to oxidizing and reducing electrochemical potential undergoes controllable and reversible bending. This work represents an important step towards the practical realization of artificial molecular muscle based actuators for various NEMS/MEMS applications.","1084-6999","978-1-4244-2977-6","978-1-4244-2978-3","10.1109/MEMSYS.2009.4805452","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4805452","","Actuators;Biological materials;Chemicals;Electrons;Fabrication;Micromechanical devices;Muscles;Nanoelectromechanical systems;Piezoelectric materials;Skeleton","micromechanical devices;nanoelectromechanical devices;self-assembly","bistable rotaxanes;electrochemical activation;molecular motors;molecular muscle;molecular recognition;nano-electro-mechanical-systems;self-assembly","","0","","12","","","25-29 Jan. 2009","","IEEE","IEEE Conference Publications"
"Low Actuation Voltage SPDT RF MEMS K Band Switch using a Single Gold Membrane","Robin, R.; Millet, O.; Segueni, K.; Buchaillot, L.","DelfMEMS SAS, Villeneuve-d''Ascq","Micro Electro Mechanical Systems, 2009. MEMS 2009. IEEE 22nd International Conference on","20090327","2009","","","872","875","This paper presents a SPDT (single pole double throw) system for K band applications using RF MEMS (radio-frequency microelectromechanical systems) switch. The switch is based on a single anchorless gold membrane which is simply supported. It achieves large deflections of 4 mum at a low actuaction voltage (7.5 V simulated and 12 V demonstrated) and with a high reliability. New mechanical testing results, showing good agreements with simulations, and RF measurements of the structure, using a wide band coplanar waveguides (CPW) to microstrip (MS) transition, will be shown.","1084-6999","978-1-4244-2977-6","978-1-4244-2978-3","10.1109/MEMSYS.2009.4805522","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4805522","","Biomembranes;Coplanar waveguides;Gold;Low voltage;Mechanical variables measurement;Microelectromechanical systems;Radio frequency;Radiofrequency microelectromechanical systems;Switches;Testing","coplanar waveguides;mechanical testing;microstrip transitions;microswitches","RF measurements;low actuation voltage SPDT RF MEMS K-band switch;mechanical testing;microstrip transition;radio-frequency microelectromechanical systems switch;single anchorless gold membrane;single pole double throw system;wide band coplanar waveguide","","1","","5","","","25-29 Jan. 2009","","IEEE","IEEE Conference Publications"
"A New High-Sensitivity Package-Leak Testing Method for MEMS Sensors","Fujiyoshi, M.; Nonomura, Y.; Senda, H.","Toyota Central R&D Labs., Inc., Aichi","Micro Electro Mechanical Systems, 2009. MEMS 2009. IEEE 22nd International Conference on","20090327","2009","","","737","740","A new high-sensitivity package-leak testing method has been developed for micro electro mechanical system (MEMS) sensors such as a vibrating angular-rate sensor housed in a vacuum package. Procedures of the method to obtain high leak-rate resolution are as follows. (1) A package filled with helium gas is kept in a small and closed chamber to accumulate helium gas leaking out of the package. (2) The chamber is chilled with liquid-N<sub>2</sub> after the accumulation to reduce background gases except the helium gas. (3) The helium gas is transported to a mass spectrometer in a short time and recorded as a transient waveform. The leak-rate resolution of 1times10<sup>-17</sup> Pamiddotm<sup>3</sup>/s was obtained. This resolution was 10<sup>5</sup> times superior to that of the conventional method.","1084-6999","978-1-4244-2977-6","978-1-4244-2978-3","10.1109/MEMSYS.2009.4805488","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4805488","","Gases;Helium;Mass spectroscopy;Mechanical sensors;Mechanical systems;Micromechanical devices;Packaging;Sensor systems;System testing;Vacuum systems","electronics packaging;helium;mass spectrometers;microsensors","He;MEMS sensor;angular-rate sensor;high-sensitivity package-leak testing method;leak-rate resolution;mass spectrometer;microelectromechanical system sensor;vacuum package","","0","","5","","","25-29 Jan. 2009","","IEEE","IEEE Conference Publications"
"Tunable Scanning Fiber Optic MEMS-Probe for Endoscopic Optical Coherence Tomography","Aljasem, K.; Seifert, A.; Zappe, H.","Dept. of Microsyst. Eng., Univ. of Freiburg, Freiburg","Micro Electro Mechanical Systems, 2009. MEMS 2009. IEEE 22nd International Conference on","20090327","2009","","","1003","1006","A novel 3D probe for endoscopic optical coherence tomography (OCT) based on tunable and movable MEMS components is presented. A tunable micro-lens and a 2D scanning micro-mirror are integrated into a probe to enable two-dimensional movement with simultaneous dynamic focusing of a beam onto a target. The tunable system is based on a pneumatically actuated micro-lens for the axial movement of the focus position concomitantly with the depth scan of the OCT, whereas an electrostatically actuated micro-mirror is integrated to obtain the 2D lateral scan of the beam. High resolution imaging at high scan rates is expected for the entire scan depth using this concept. Probe design, assembly, and integration into an OCT system are discussed.","1084-6999","978-1-4244-2977-6","978-1-4244-2978-3","10.1109/MEMSYS.2009.4805555","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4805555","","Assembly systems;Biomedical optical imaging;Focusing;High-resolution imaging;Micromechanical devices;Optical devices;Optical fibers;Optical imaging;Probes;Tomography","endoscopes;fibre optic sensors;microlenses;micromechanical devices;optical tomography","2D scanning micromirror;3D probe;MEMS-probe;endoscopic optical coherence tomography;fiber optic probe;pneumatically actuated microlens;tunable microlens;tunable scanning probe","","2","","5","","","25-29 Jan. 2009","","IEEE","IEEE Conference Publications"
"Novel MEMS Apparatus for in Situ Thermo-Mechanical Tensile Testing of Materials at the Micro- and Nano-Scale","Han, J.; Uchic, M.D.; Saif, T.","Univ. of Illinois at Urbana-Champaign, Urbana, IL","Micro Electro Mechanical Systems, 2009. MEMS 2009. IEEE 22nd International Conference on","20090327","2009","","","80","83","We present, for the first time, a MEMS-based test methodology that potentially enables elevated-temperature mechanical tensile testing of nano- and micro-scale samples within a SEM or TEM (T > 500degC). Importantly, the test methodology allows for the samples to be fabricated separately from the MEMS-apparatus, a significant advancement from other test devices developed by some of the present authors [1]. Therefore the test methodology should be applicable to the study of a wide range of materials. Other advancements found in the methodology include a co-fabricated force calibration device, and a built-in thermocouple sensor to measure the stage temperature close to the sample.","1084-6999","978-1-4244-2977-6","978-1-4244-2978-3","10.1109/MEMSYS.2009.4805324","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4805324","","Calibration;Force measurement;Force sensors;Materials testing;Micromechanical devices;Temperature measurement;Temperature sensors;Thermal force;Thermal sensors;Thermomechanical processes","mechanical testing;micromechanical devices;scanning electron microscopy;thermomechanical treatment;transmission electron microscopy","MEMS;SEM;TEM;built-in thermocouple sensor;cofabricated force calibration device;elevated-temperature mechanical tensile testing;in situ thermomechanical tensile testing;test methodology","","0","","5","","","25-29 Jan. 2009","","IEEE","IEEE Conference Publications"
"MEMS-Based Batch-Mode Micro-Electro-Discharge Machining using Microelectrode Arrays Actuated by Hydrodynamic Force","Chaitanya, C.R.A.; Takahata, Kenichi","Univ. of British Columbia, Vancouver, BC","Micro Electro Mechanical Systems, 2009. MEMS 2009. IEEE 22nd International Conference on","20090327","2009","","","705","708","This paper reports a batch-mode micro-electro-discharge machining technique that is enabled by the actuation of the suspended microelectrode arrays fabricated on the workpiece using the flow of the machining fluid. The electrode devices are microfabricated to be the double-layer construction that has 25-mum-thick copper electrodes with custom patterns on the bottom of the 18-mum-thick planar structures suspended above the workpiece surfaces. The built-in capacitance of the electrode device is utilized to construct a resistance-capacitance pulse generation/timing circuit. The suspended planar electrodes are advanced into the workpiece material with the hydrodynamic force while sustaining high-frequency discharge pulses, removing the workpiece material. Arrays of microstructures with 26-mum depth were machined in stainless steel using the machining voltage of 90 V. The dynamic behavior of the built-in capacitance of the double-layer electrode devices with the actuation was experimentally evaluated.","1084-6999","978-1-4244-2977-6","978-1-4244-2978-3","10.1109/MEMSYS.2009.4805480","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4805480","","Capacitance;Circuits;Copper;Electrodes;Hydrodynamics;Machining;Microelectrodes;Pulse generation;Surface discharges;Timing","hydrodynamics;microactuators;microelectrodes;micromachining","MEMS;batch mode;hydrodynamic force;micro electro discharge machining;microactuators;microelectrode arrays;microelectrodischarge machining","","1","","10","","","25-29 Jan. 2009","","IEEE","IEEE Conference Publications"
"Microfluidics within a SwagelokÂ®: A MEMS-on-Tube Assembly","Unnikrishnan, S.; Jansen, H.V.; Berenschot, J.W.; Mogulkoc, B.; Elwenspoek, M.C.","MESA+ Inst. for Nanotechnol., Univ. of Twente, Enschede","Micro Electro Mechanical Systems, 2009. MEMS 2009. IEEE 22nd International Conference on","20090327","2009","","","324","327","A novel packaging cum interfacing technique for microfluidic devices is reported. Unlike the conventional approach towards packaging in which the MEMS is first developed and finally packaged, a reverse approach is shown here that integrates the package with the MEMS either at the beginning or within the fabrication process. This new method employs standard glass tubes as substrates on which microfluidic components are fabricated. The tubular-substrate directly translates into a package and an interface, leading to `plug-n-play' devices. Maintaining the total size of the MEMS device within the circumference of the glass tube enables this MEMS-on-tube assembly to be encapsulated within standard Swagelok<sup>reg</sup> connectors.","1084-6999","978-1-4244-2977-6","978-1-4244-2978-3","10.1109/MEMSYS.2009.4805384","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4805384","","Assembly;Connectors;Fabrication;Glass;Microelectromechanical devices;Microfluidics;Micromachining;Micromechanical devices;Packaging;Substrates","glass;microfluidics;packaging;substrates","MEMS-on-tube assembly;Swagelok connectors;glass tubes;microfluidic components;microfluidic devices;packaging cum interfacing;plug-n-play devices;substrates","","0","","9","","","25-29 Jan. 2009","","IEEE","IEEE Conference Publications"
"The Effects of Thermal Oxidation of a MEMS Resonator on Temperature Drift and Absolute Frequency","van der Avoort, C.; van Wingerden, J.; van Beek, J.T.M.","NXP Semicond. Res., Eindhoven","Micro Electro Mechanical Systems, 2009. MEMS 2009. IEEE 22nd International Conference on","20090327","2009","","","654","656","The dependency of the resonance frequency on temperature, in short temperature drift, of Si resonators is the major contributor to frequency inaccuracy of MEMS based oscillators. The temperature dependency can be reduced through thermal oxidation of the resonator (Melamud et al., 2007). However, in this paper it is concluded that thickness control of the oxidation layer has a major influence on the absolute frequency, besides on the temperature drift, and as such dominates the frequency spread of a MEMS resonator after production including oxidation. This is a result of the large difference in Young's modulus of Si and SiO<sub>2</sub> and the added mass due to oxidation. The overall frequency range in operation - including both thermal drift range and spread in absolute frequency - can even deteriorate, rather than improve, through thermal oxidation, depending on the accuracy at which the oxide thickness is controlled.","1084-6999","978-1-4244-2977-6","978-1-4244-2978-3","10.1109/MEMSYS.2009.4805467","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4805467","","Micromechanical devices;Optical resonators;Oscillators;Oxidation;Resonance;Resonant frequency;Silicon;Temperature dependence;Thickness control;Vibration measurement","micromechanical resonators;oscillators;oxidation;oxygen compounds;silicon compounds","MEMS based oscillators;MEMS resonator;SiO<sub>2</sub>;Young modulus;on temperature drift and absolute frequency;resonance frequency;thermal oxidation","","1","2","5","","","25-29 Jan. 2009","","IEEE","IEEE Conference Publications"
