"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DCompilers%2C+Architectures+and+Synthesis+for+Embedded+Systems+.LB.CASES.RB.%2C+2011",2015/06/23 15:20:58
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Enabling Parametric Feasibility Analysis in real-time calculus driven performance evaluation","Simalatsar, A.; Ramadian, Y.; Passerone, R.; Lampka, K.; Perathoner, S.; Thiele, L.","EPFL, Lausanne, Switzerland","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","155","164","This paper advocates a rigorously formal and compositional style for obtaining key performance and/or interface metrics of systems with real-time constraints. We propose a hierarchical approach that couples the independent and different by nature frameworks of Modular Performance Analysis with Real-time Calculus (MPARTC) and Parametric Feasibility Analysis (PFA). Recent work on Real-time Calculus (RTC) has established an embedding of state-based component models into RTC-driven performance analysis for dealing with more expressive component models. However, with the obtained analysis infrastructure it is possible to analyze components only for a fixed set of parameters, e. g., fixed CPU speeds, fixed buffer sizes etc., such that a big space of parameters remains unstudied. In this paper, we overcome this limitation by integrating the method of parametric feasibility analysis in an RTC-based modeling environment. Using the PFA tool-flow, we are able to find regions for component parameters that maintain feasibility and worst-case properties. As a result, the proposed analysis infrastructure produces a broader range of valid design candidates, and allows the designer to reason about the system robustness.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062041","Feasibility areas;System-level Design;Tool integration;Worst-case Analysis","Automata;Clocks;Gold;Synchronization","formal specification;object-oriented programming;process algebra;program diagnostics;reasoning about programs;software metrics;software performance evaluation","CPU speed;PFA tool-flow;RTC-based modeling environment;analysis infrastructure;buffer size;component analysis;compositional;interface metrics;modular performance analysis with real-time calculus;parametric feasibility analysis;real-time calculus driven performance evaluation;real-time constraint;state-based component models;system robustness","","1","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"A novel thread scheduler design for polymorphic embedded systems","Krishnamurthy, V.; Ponpandi, S.D.; Tyagi, A.","Dept. of Comput. Sci., Iowa State Univ., Ames, IA, USA","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","75","84","The complexity of current day embedded systems is steadily on the rise due to innovative content consumption applications. Embedded systems have to be adaptable and scalable to meet the unique resource demands of such applications to deliver satisfactory performance. Effective sharing of system resources by content consumption applications is imperative for user satisfaction. In this paper, we address the challenge of coming up with a design for an efficient scheduler for Multiple Application and Multi-threaded polymorphic embedded system with user satisfaction as its objective function. Randomly generated application graphs serve as benchmarks to evaluate the performance of the proposed polymorphic scheduler framework. We also discuss the impact of our scheduler on the user satisfaction of a multimedia application as a real world case study. The performance enhancements obtained using the proposed greedy polymorphic thread scheduling algorithm are demonstrated by comparison against classical approaches such as First Come First Serve(FCFS) and priority scheduling schemes.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062033","Morphisms;Sigmoid;User satisfaction","Computer architecture;Embedded systems;Hardware;Instruction sets;Measurement;Throughput","embedded systems;multi-threading;multimedia systems;scheduling;user interfaces","content consumption application;first come first serve scheduling scheme;multimedia application;multiple application embedded system;multithreaded embedded system;polymorphic embedded system;priority scheduling scheme;randomly generated application graph;thread scheduler design;user satisfaction","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"A unified approach to eliminate memory accesses early","Islam, M.M.; Stenstrom, P.","Software Platforms, Mechatron., Volvo Technol. Corp., Sweden","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","55","64","This paper introduces the notion of silent loads to classify load accesses that can be satisfied by already available values of the physical register file and proposes a new architectural concept to exploit such loads. The paper then unifies different approaches of eliminating memory accesses early by contributing with a new architectural scheme. We show that our unified approach covers previously proposed techniques of exploiting forwarded and small-value loads in addition to silent loads. Forwarded loads obtain values through load-to-load and store-to-load forwarding whereas small-value loads return small values that can be coded with 8 bits or less. We find that 22%, 31% and 24% of all dynamic loads are forwarded, small-value and silent, respectively. We demonstrate that the prevalence of such loads is mostly inherent in applications. We establish that a hypothetical scheme that encompasses all the categories can eliminate as many as 42% of all dynamic loads and about 18% of all committed stores. Finally, we contribute with a new architectural technique to implement the unified scheme. We show that our proposed scheme reduces execution time to provide noticeable speedup and reduces overall energy dissipation with very low area overhead.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062031","Forwarded Load;Silent Load;Silent Store;Small-Value Load","Art;Memory management;Pipelines;Program processors;Radio frequency;Registers;Static VAr compensators","memory architecture;power aware computing;storage management","architectural scheme;dynamic loads;early memory access elimination;energy dissipation reduction;forwarded loads;load access classification;load-to-load forwarding;physical register file;silent loads;small-value loads;store-to-load forwarding;unified scheme","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Realizing near-true voltage scaling in variation-sensitive L1 caches via fault buffers","Mahmood, T.; Soontae Kim","Dept. of Comput. Sci., Korea Adv. Inst. of Sci. & Technol., Daejeon, South Korea","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","85","94","Voltage scaling can be applied to cache memories to reduce their energy consumptions. However, reduced supply voltage to the cache memories increases defective SRAM cells due to process variations, which will decrease their yields and performance nullifying the benefits of voltage scaling. To mitigate this problem, we propose a fault buffer-based scheme for L1 caches. Faults are identified and isolated at the granularity of individual words in the L1 caches. Actively used faulty cache words are allocated in the fault buffers dynamically. The fault buffers are organized as multiple banks for low cost implementation and can be reconfigured dynamically to reflect varying performance demands of programs. This dynamic scheme is shown to be more energy- and area-efficient than, and to be performing comparably to the previously proposed static schemes.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062034","L1 cache;Process variation;Voltage scaling","Arrays;Fault tolerance;Fault tolerant systems;Random access memory;Tagging;Transistors","cache storage;fault tolerant computing;power aware computing","defective SRAM cells;energy consumption;fault buffer based scheme;faulty cache word;near-true voltage scaling;variation sensitive L1 cache memory","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"An efficient heuristic for instruction scheduling on clustered VLIW processors","Xuemeng Zhang; Hui Wu; Jingling Xue","Sch. of Comput. Sci. & Eng., Univ. of New South Wales, Sydney, NSW, Australia","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","35","44","Clustering is a well-known technique for improving the scalability of classical VLIW processors. A clustered VLIW processor consists of multiple clusters, each of which has its own register file and functional units. This paper presents a novel phase coupled priority-based heuristic for scheduling a set of instructions in a basic block on a clustered VLIW processor. Our heuristic converts the instruction scheduling problem into the problem of scheduling a set of instructions with a common deadline. The priority of each instruction vi is the l<sub>max</sub>(v<sub>i</sub>)-successor-tree-consistent deadline which is the upper bound on the latest completion time of vi in any feasible schedule for a relaxed problem where the precedence-latency constraints between vi and all its successors, as well as the resource constraints are considered. We have simulated our heuristic, UAS heuristic and Integrated heuristic on the 808 basic blocks taken from the MediaBench II benchmark suite using six processor models. On average, for the six processor models, our heuristic improves 25%, 25%, 33%, 23%, 26%, 27% over UAS heuristic, respectively, and 15%, 16%, 15%, 9%, 20%, 8% over Integrated heuristic, respectively.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062029","Clustered VLIW Processor;Instruction Scheduling;Inter-cluster Communication Latency;Inter-instructional Latency","Clustering algorithms;Educational institutions;Processor scheduling;Program processors;Registers;Schedules;VLIW","multiprocessing systems;processor scheduling;trees (mathematics)","MediaBench II benchmark suite;clustered VLIW processors;instruction scheduling problem;l<sub>max</sub>(v<sub>i</sub>)-successor-tree-consistent deadline;phase coupled priority-based heuristic;precedence-latency constraints;resource constraints;very long instruction word","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"[Title page]","","","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","c1","c1","The following topics are dealt with: compiling; runtime support; mobile platform; compiler smart; system software; memory architecture; cache reliability; safety; error tolerance; performance evaluation; accelerated computing; embedded computing and multicore computing.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062052","","","cache storage;memory architecture;mobile computing;multiprocessing systems;performance evaluation;program compilers","accelerated computing;cache reliability;compiler smart;compiling;embedded computing;error tolerance;memory architecture;mobile platform;multicore computing;performance evaluation;runtime support;safety;system software","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"System-level modeling and synthesis of flow-based microfluidic biochips","Minhass, W.H.; Pop, P.; Madsen, J.","DTU Inf., Tech. Univ. of Denmark, Lyngby, Denmark","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","225","233","Microfluidic biochips are replacing the conventional biochemical analyzers and are able to integrate the necessary functions for biochemical analysis on-chip. There are several types of microfluidic biochips, each having its advantages and limitations. In this paper we are interested in flow-based biochips, in which the flow of liquid is manipulated using integrated microvalves. By combining several microvalves, more complex units, such as micropumps, switches, mixers, and multiplexers, can be built. Although researchers have proposed significant work on the system-level synthesis of droplet-based biochips, which manipulate droplets on a two-dimensional array of electrodes, no research on system-level synthesis of flow-based biochips has been reported so far. The focus has been on application modeling and component-level simulation. Therefore, for the first time to our knowledge, we propose a system-level modeling and synthesis approach for flow-based biochips. We have developed a topology graph-based model of the biochip architecture, and we have used a sequencing graph to model the biochemical applications. We consider that the architecture of the biochip is given, and we are interested to synthesize an implementation, consisting of the binding of operations in the application to the functional units of the architecture, the scheduling of operations and the routing and scheduling of the fluid flows, such that the application completion time is minimized. We propose a List Scheduling-based heuristic for solving this problem. The proposed heuristic has been evaluated using two real-life case studies and a set of four synthetic benchmarks.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062048","Microfluidics;biochips;modeling;synthesis","Biological system modeling;Mixers;Reservoirs;Routing;Solid modeling;System-on-a-chip;Valves","graph theory;lab-on-a-chip;microfluidics;micropumps;microvalves","biochemical analysis on-chip;biochip architecture;component-level simulation;droplet-based biochips;flow-based microfluidic biochip;fluid flow routing;fluid flow scheduling;integrated microvalves;micropump;mixers;multiplexers;sequencing graph;switches;system-level modeling;system-level synthesis;topology graph-based model","","2","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"FFT-Cache: A Flexible Fault-Tolerant Cache architecture for ultra low voltage operation","BanaiyanMofrad, A.; Homayoun, H.; Dutt, N.","Center for Embedded Comput. Syst., Univ. of California, Irvine, CA, USA","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","95","104","Caches are known to consume a large part of total microprocessor power. Traditionally, voltage scaling has been used to reduce both dynamic and leakage power in caches. However, aggressive voltage reduction causes process-variation-induced failures in cache SRAM arrays, which compromise cache reliability. In this paper, we propose Flexible Fault-Tolerant Cache (FFT-Cache) that uses a flexible defect map to configure its architecture to achieve significant reduction in energy consumption through aggressive voltage scaling, while maintaining high error reliability. FFT-Cache uses a portion of faulty cache blocks as redundancy - using block-level or line-level replication within or between sets - to tolerate other faulty caches lines and blocks. Our configuration algorithm categorizes the cache lines based on degree of conflict of their blocks to reduce the granularity of redundancy replacement. FFT-Cache thereby sacrifices a minimal number of cache lines to avoid impacting performance while tolerating the maximum amount of defects. Our experimental results on SPEC2K benchmarks demonstrate that the operational voltage can be reduced down to 375mV, which achieves up to 80% reduction in dynamic power and up to 48% reduction in leakage power with small performance impact and area overhead.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062035","Fault-tolerant cache;Flexible fault remapping;Low power cache","Circuit faults;Computer architecture;Fault tolerant systems;Frequency division multiplexing;Random access memory;Redundancy","SRAM chips;cache storage;fault tolerant computing;memory architecture;redundancy","FFT cache;block level replication;cache SRAM arrays;cache reliability;configuration algorithm;fault tolerant cache architecture;flexible fault tolerant;line level replication;redundancy;voltage scaling","","2","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"Selective just-in-time compilation for client-side mobile JavaScript engine","Seong-Won Lee; Soo-Mook Moon","Sch. of Electr. Eng. & Comput. Sci., Seoul Nat. Univ., Seoul, South Korea","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","5","13","Smart phone's full web browsing requires a high-performance JavaScript engine because JavaScript execution takes a non-trivial portion of the loading time for many web sites. The current wisdom of speeding up JavaScript engine is simply turning on its just-in-time compilation (JITC), which compiles JavaScript code to machine code on the fly and executes it instead of interpretation. Unfortunately, we found that JITC actually increases the loading time tangibly for some JavaScript-heavy web pages compared to interpretation, while it can still reduce the running time for JavaScript benchmarks. We observed that the web page JavaScript behaves differently from the benchmark JavaScript in the sense that hot spots rarely exist. This would lower the reuse ratio of the compiled machine code, making the compilation overhead higher than its benefit. This is especially true for a JavaScript engine which compiles all executed functions at their first invocation, as the SFX engine in the WebKit. In order to overcome this problem, we introduce selective compilation to the SFX engine so as to compile only hot functions detected during interpretation. This reduces the slowdown of the SFX for web page JavaScript, while accelerating JavaScript benchmarks. However, selective compilation for web page JavaScript shows a different behavior from other environment, and we discuss it.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062026","JavaScript engines;SFX;hot spot detection;selective compilation","Benchmark testing;Browsers;Engines;HTML;Loading;Reactive power;Web pages","Java;Web sites;mobile computing;mobile handsets;program compilers","SFX engine;Web browsing;Web sites;WebKit;client side mobile Javascript engine;machine code;selective just-in-time compilation;smart phone","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
"CASES keynote: Automatic generation of hardware/software interfaces","Arvind","Comput. Sci. & Artificial Intell. Lab., Massachusetts Inst. of Technol., Cambridge, MA, USA","Compilers, Architectures and Synthesis for Embedded Systems (CASES), 2011 Proceedings of the 14th International Conference on","20111027","2011","","","1","1","Specialized hardware is necessary to reduce power consumption in mobile devices. Current design methodologies require an early partitioning of the application, allowing the hardware and software to be developed simultaneously, each adhering to a rigid interface contract. Early specification of detailed interface contracts is difficult and prevents the later migration of functionality across the interface. We address this problem using the Bluespec Codesign Language~(BCL) which permits the designer to specify the hardware-software partition in the source code, allowing the compiler to synthesize efficient software and hardware along with transactors for communication between the partitions. We will present preliminary results generated using our compiler for various hardware-software decompositions of several applications.","","978-1-4503-0713-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062024","Design","Companies;Computer aided software engineering;Computer science;Contracts;Hardware;Laboratories;Software","formal specification;hardware-software codesign;mobile computing;program compilers;source coding","Bluespec codesign language;compiler;hardware-software interfaces;interface contracts specification;mobile devices;source code;transactors","","0","","","","","9-14 Oct. 2011","","IEEE","IEEE Conference Publications"
