"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB..LB.Micro+Electro+Mechanical+Systems%2C+2012.+MEMS+2012..RB.+AND+IEEE+25th+International+Conference+on.RB.",2015/06/23 16:26:28
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Conception and fabrication of piezo-resistive ring-shaped AFM probes","Xiong, Z.; Walter, B.; Mairiaux, E.; Faucher, M.; Buchaillot, L.; Legrand, B.","NAM6 Group, Inst. d''Electron., de Microelectron. et de Nanotechnol.-IEMN, France","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","547","550","A new concept of Atomic Force Microscope (AFM) oscillating probes using electrostatic excitation and piezoresistive detection is presented. The probe is characterized by electrical methods in vacuum chamber and by mechanical methods in air. The frequency-mixing measurement technique is developed to reduce the parasitic signal level. These probes resonance frequencies are in the 1MHz range and the quality factor is measured about 53,000 in vacuum and 3,000 in air. The force resolution deduced from the measurements is about 8 pN/Hz<sup>0.5</sup>.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170180","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170180","","Force;Frequency measurement;Probes;Q factor;Resonant frequency;Silicon;Vibrations","atomic force microscopy;piezoresistive devices","atomic force microscope;electrical methods;electrostatic excitation;frequency 1 MHz;frequency mixing measurement;piezoresistive ring shaped AFM probes;vacuum chamber","","0","","11","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"Combinatory localized cytolysis with micron precision by acoustic transducer array for fast screening of drug induced cytoskeleton alteration","Lingtao Wang; Yi-Jia Li; Lin, A.; Youngki Choe; Gross, M.; Eun Sok Kim","Dept. of EE-Electrophys., Univ. of Southern California, Los Angeles, CA, USA","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","800","803","This paper reports combinatory localized-cytolysis by an array of MEMS ultrasonic transducers for fast screening of drug-induced cytoskeleton variation with fluorescence-stained cytolysis assay. An array of 6×6 Self Focused Acoustic transducers (SFATs) and disposable cell culture microwells were fabricated for the cytolysis and the fluorescence stain analysis. Cells were cultured in the microwells, and different drugs were applied to the cells to modify cell cytoskeletons. Multi-spot, localized cytolysis with micron precision was carried out with the SFAT array. Experimental results show that the SFAT array produced localized cytolysis with a focal spot of about 100-300 microns in diameter in multiple microwells, and the changes of the acoustic intensity threshold (AIT) for cytolysis were in accord with the alterations of the cytoskeleton induced by the drug treatments. Therefore, cytoskeleton-specific fast drug screening can be realized by observing the variation of the AIT. Since the SFAT array can lyse multiple cell samples within 3 minutes, it is easy to discern the lysed cells under fluorescent microscope, and the SFAT array system improves the efficiency and simplicity of the drug screening greatly.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170307","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170307","","Acoustics;Arrays;Biomembranes;Drugs;Fluorescence;Microscopy;Ultrasonic imaging","acoustic intensity;acoustic transducer arrays;bioMEMS;biomedical ultrasonics;bone;cellular biophysics;drugs;fluorescence;self-focusing;ultrasonic transducers","MEMS ultrasonic transducers;SFAT;Self Focused Acoustic transducers;acoustic intensity threshold;acoustic transducer array;cell cytoskeletons;combinatory localized cytolysis;disposable cell culture microwells;drug induced cytoskeleton alteration;drug treatments;fast screening;fluorescence-stained cytolysis assay;fluorescent microscope;micron precision;multispot localized cytolysis","","0","","10","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"[Copyright notice]","","","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","1","1","The following topics are dealt with: optical MEMS; RF MEMS; power MEMS; microactuators; bio microsystem; medical microsystem; chemical microsensors; microfluidic components; gyroscopes; nanomaterials; fabrication technology; and biosensors.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170077","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170077","","","biosensors;chemical sensors;gyroscopes;micro-optomechanical devices;microactuators;microfluidics;microsensors;nanostructured materials","RF MEMS;bio microsystem;biosensors;chemical microsensors;fabrication technology;gyroscopes;medical microsystem;microactuators;microfluidic components;nanomaterials;optical MEMS;power MEMS","","0","","","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"Shear force detector using piezo-resistive beams with sidewall-doping","Takahashi, H.; Nakai, A.; Matsumoto, K.; Shimoyama, I.","Inf. & Robot Technol. Res. Initiative, Univ. of Tokyo, Tokyo, Japan","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","599","602","This paper reports on a shear force detector using piezo-resistive beams with sidewall doping embedded in elastic body. These beams are formed using a 20 μm-thick device Si layer of an SOI (Silicon on Insulator) wafer. Shear force is measured by the resistance change due to the extension/compression of the sidewall. The size of the beams is 180 μm × 15 μm × 20 μm (length × width × thickness). Using these shear force detectors, a triaxial tactile sensor can be fabricated.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170259","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170259","","Detectors;Force;Immune system;Sensor phenomena and characterization;Stress;Tactile sensors","force measurement;force sensors;piezoresistive devices;silicon-on-insulator","SOI wafer;embedded elastic body;piezoresistive beam;shear force detector;shear force measurement;sidewall extension-compression;sidewall-doping;silicon on insulator wafer;triaxial tactile sensor","","4","","9","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"Design and fabriction of micro-viscometer using the propagation of acoustic waves in micro-channel","Sungjoon Choi; Hongseok Jang; Hongseok Lee; Jongkyu Park; Youngtaek Cha; Daeyoung Shin; Kangwon Lee","Korea Inst. of Ind. Technol. (KITECH), South Korea","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","804","807","A micro-viscometer for measuring viscosity changes in small amount of liquid in real time is designed and fabricated. The merits of the device are to use minimal liquid and to increase the sensitivity for measuring the viscosity. The micro-viscometer is composed of two chambers connected by several micro-channels. Each chamber has a unimorphic piezoelectric diaphragm for driving and sensing sound waves. The micro-channel plays a role as a waveguide and an attenuator of sound waves. Attenuation of sound wave is a function of the viscosity of the liquid. So, the output voltage of sensor is also changed as the viscosity of liquid is changed. After fabrication through micromachining, the device was tested on several viscous liquids, and then it was demonstrated that the device can play a role of a viscometer with high sensitivity. In this paper, we mainly discuss on the comparison between experimental results and newly simulated results.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170308","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170308","","Acoustic waves;Electrodes;Electron tubes;Sensors;Silicon on insulator technology;Viscosity","acoustic wave propagation;microchannel flow;microsensors;viscometers;viscosity measurement","acoustic wave propagation;micro-viscometer;microchannels;sound wave attenuation;sound waves;unimorphic piezoelectric diaphragm;viscosity measurement","","0","","3","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"Shear force sensor using a cantilever with liquid-embedded hinges","Sato, K.; Binh-Khiem, N.; Hosono, M.; Matsumoto, K.; Shimoyama, I.","Univ. of Tokyo, Tokyo, Japan","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","603","606","We propose a shear force sensor using standing piezoresistive cantilevers with liquid-embedded hinges. The hinges of the cantilevers are positioned in elastomer compartments filled with liquid, while the tip and the root of them are buried in the elastomer shell of the compartments. This design allows most of the cantilever body to freely deform when the compartment shell is deformed with shear forces. Consequently, the stress concentration that is often found in conventional design of such type of sensor is effectively eliminated. The sensor therefore endures larger loading. We measured the relationship between the displacement of the tip of the cantilevers and their change in resistivity, and calculated the sensitivity of the sensors. We confirmed that the proposed design improved the measurement force range of such piezoresistive-cantilever-based force sensors.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170260","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170260","","Fasteners;Force;Force measurement;Strain;Stress;Tactile sensors","cantilevers;elastomers;force measurement;force sensors;hinges;piezoelectric devices;piezoresistive devices;stress effects","cantilever body;elastomer compartment shell;elastomer shell;liquid-embedded hinge;measurement force;piezoresistive-cantilever-based force sensor sensitivity;shear force deformation;shear force sensor design;standing piezoresistive cantilever hinge;stress concentration","","0","","7","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"Silicon Germanium as a novel mask for silicon deep reactive ion etching","Serry, M.; Ibrahim, M.; Sedky, S.","American Univ. in Cairo, Cairo, Egypt","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","321","324","This paper reports on the use of p-type polycrystalline Silicon Germanium (poly-Si<sub>1-x</sub>Ge<sub>x</sub>) thin films as a new masking material for cryogenic silicon deep reactive ion etching (DRIE). The proposed masking material can be deposited at CMOS backend compatible temperatures and demonstrates high etching selectivity towards silicon (>;1:270). Moreover, SiGe etches 37 times faster than SiO<sub>2</sub> or SiN masks in SF<sub>6</sub>/O<sub>2</sub> plasma resulting in a major reduction in the processing time without the need for a dedicated etcher. Selectivity tests revealed that the etching selectivity of the SiGe mask towards silicon strongly depends on the Ge content, boron concentration and etching temperature. This was attributed to chemical and thermodynamic stability of the SiGe film, as well as the electronic properties of the mask.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170159","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170159","","Cryogenics;Etching;Films;Plasma temperature;Silicon;Silicon germanium","CMOS integrated circuits;Ge-Si alloys;masks;semiconductor materials;semiconductor thin films;sputter etching","CMOS backend compatible temperatures;Si<sub>1-x</sub>Ge<sub>x</sub>;boron concentration;cryogenic silicon deep reactive ion etching;electronic property;etching temperature;high etching selectivity;masking material;p-type polycrystalline silicon germanium thin films;thermodynamic stability","","0","","13","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"Double-layer hepatocyte tumor co-culture using hydrogel for drug effectivity and specificity analysis","Chin, L.K.; Luo, K.Q.; Park, W.; Je, M.; Tsai, J.; Kwong, D.L.; Liu, A.Q.","Sch. of Electr. & Electron. Eng., Nanyang Technol. Univ., Singapore, Singapore","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","808","811","This paper presents the formation of double-layer cellular tumor spheroid for the co-culture of hepatocyte (HepG2 cancer liver cell and LO2 normal liver cell) using alginate hydrogel. With the microfluidic chip, double-layer cellular tumor spheroid can be formed by the hydrogel droplet to mimic the in vivo environment in which the cancer cell is surrounded by normal cell. A microchip with concentration gradient generation and tumor spheroid trapping site is designed for anti-cancer drug analysis.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170309","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170309","","Cancer;Charge carrier processes;Drugs;Microfluidics;Minerals;Plugs;Tumors","cancer;cellular biophysics;drops;drugs;hydrogels;liver;microfluidics;tumours","HepG2 cancer liver cell;L02 normal liver cell;alginate hydrogel;anticancer drug analysis;double-layer cellular tumor spheroid;double-layer hepatocyte tumor coculture;drug effectivity;hydrogel droplet;microfluidic chip;specificity analysis;tumor spheroid trapping site","","0","","17","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"CMOS integrated silicon/glass-bonded 3D force/torque sensor","Handwerker, J.; Gieschke, P.; Baumann, M.; Paul, O.","Dept. of Microsyst. Eng. (IMTEK), Univ. of Freiburg, Freiburg, Germany","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","136","139","This paper reports on the design, processing, and characterization of a miniaturized three-dimensional force/torque (3D-FT) sensor with a load range of 10 N and 50 Nmm. The sensor consists of a CMOS sensor chip with a firmly attached, patterned Pyrex cap and a total size of only 4 × 3 × 1.5 mm<sup>3</sup>. The device is available in two designs with either one or four symmetrically placed posts. The cap is attached either by anodic bonding at the wafer level or by adhesive bonding using Cytop for single-chip processing. It concentrates the mechanical stress in the surface of the CMOS chip around the Pyrex posts. Locations of the stress sensors for maximum sensitivity and selectivity with respect to all six possible loads were determined by 3D finite-element (FE) simulations. The successful measurement of arbitrary 3D force and torque combinations is demonstrated.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170112","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170112","","Bonding;CMOS integrated circuits;Calibration;Force;Robot sensing systems;Sensitivity;Stress","CMOS integrated circuits;force sensors;glass;silicon;torque measurement","CMOS integrated silicon/glass bonded sensor;CMOS sensor chip;Cytop;finite element simulations;mechanical stress;miniaturized three dimensional force/torque sensor;single chip processing","","1","","9","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"Muscle fibers actuated by neural signals","Morimoto, Y.; Kato-Negishi, M.; Onoe, H.; Takeuchi, S.","Inst. of Ind. Sci., Univ. of Tokyo, Tokyo, Japan","Micro Electro Mechanical Systems (MEMS), 2012 IEEE 25th International Conference on","20120315","2012","","","866","869","We propose a method for constructing “neuron-muscle fibers” driven by signals from activated neurons. The fibers consist of stretched muscle fibers covered with highly aligned neurons, and the axons of neurons extend into muscle fibers and form neuromuscular junctions (NMJs). We successfully constructed the neuron-muscle fibers by culturing neural stem cells on stretched muscle fibers; the neural stem cells then differentiated into neurons and connected to muscle cells, forming NMJs. Furthermore, we found that the neuron-muscle fibers contract after treatment of glutamic acid that activates neurons to stimulate the muscle cells. We believe that our neuron-muscle fibers will be not only used as soft-robotic actuators controlled by neuronal signals, but also used in therapeutic and pharmacokinetic assays for NMJ disease models.","1084-6999","978-1-4673-0324-8","","10.1109/MEMSYS.2012.6170323","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170323","","Aggregates;Muscles;Neurons;Optical fiber devices;Stem cells;Substrates;Three dimensional displays","actuators;diseases;fibres;neuromuscular stimulation","NMJ disease models;glutamic acid;neural signals;neuromuscular junctions;neuron-muscle fiber actuation;pharmacokinetic assays;soft-robotic actuators;stretched muscle fibers;therapeutic assays","","0","","11","","","Jan. 29 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
