"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design%2C+Automation+.AND.+Test+in+Europe+Conference+.AND.+Exhibition+.LB.DATE.RB.%29+AND+2014%29",2015/06/23 14:58:56
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Over-approximating loops to prove properties using bounded model checking","Darke, P.; Chimdyalwar, B.; Venkatesh, R.; Shrotri, U.; Metta, R.","","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2015","20150423","2015","","","1407","1412","Bounded Model Checkers (BMCs) are widely used to detect violations of program properties up to a bounded execution length of the program. However when it comes to proving the properties, BMCs are unable to provide a sound result for programs with loops of large or unknown bounds. To address this limitation, we developed a new loop over-approximation technique LA. LA replaces a given loop in a program with an abstract loop having a smaller known bound by combining the techniques of output abstraction and a novel abstract acceleration, suitably augmented with a new application of induction. The resulting transformed program can then be fed to any bounded model checker to provide a sound proof of the desired properties. We call this approach, of LA followed by BMC, as LABMC. We evaluated the effectiveness of LABMC on some of the SV-COMP14 loop benchmarks, each with a property encoded into it. Well known BMCs failed to prove most of these properties due to loops of large, infinite or unknown bounds while LABMC obtained promising results. We also performed experiments on a real world automotive application on which the well known BMCs were able to prove only one of the 186 array accesses to be within array bounds. LABMC was able to successfully prove 131 of those array accesses to be within array bounds.","","978-3-9815-3704-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092611","","Acceleration;Arrays;Automation;Automotive applications;Benchmark testing;Europe;Model checking","program control structures;program verification","BMCs;LABMC;SV-COMP14 loop benchmarks;abstract acceleration;array bounds;bounded model checking;loop abstraction;loop over-approximation technique;output abstraction;program properties;software verification competition 2014","","0","","","","","9-13 March 2015","","IEEE","IEEE Conference Publications"
"Test and non-test cubes for diagnostic test generation based on merging of test cubes","Pomeranz, I.","Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA","Design, Automation and Test in Europe Conference and Exhibition (DATE), 2014","20140421","2014","","","1","4","Test generation by merging of test cubes supports test compaction and test data compression. This paper describes a new approach to the use of test cube merging for the generation of compact diagnostic test sets. For this the paper uses the new concept of non-test cubes. While a test cube for a fault f<sub>i0</sub> detects the fault, a non-test cube for a fault f<sub>i1</sub> prevents the fault from being detected. Merging a test cube for a fault f<sub>i0</sub> and a non-test cube for a fault f<sub>i1</sub> produces a diagnostic test cube that distinguishes the two faults. The paper describes a procedure for diagnostic test generation based on merging of test and non-test cubes. Experimental results demonstrate that compact diagnostic test sets are obtained.","","","","10.7873/DATE.2014.143","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800344","","Circuit faults;Educational institutions;Fault detection;Fault diagnosis;Merging;Test data compression;Vectors","automatic test pattern generation;fault diagnosis","compact diagnostic test set;diagnostic test generation;fault diagnosis;nontest cubes","","0","","10","","","24-28 March 2014","","IEEE","IEEE Conference Publications"
"Bit-Flipping Scan — A unified architecture for fault tolerance and offline test","Imhof, M.E.; Wunderlich, H.-J.","Inst. of Comput. Archit. & Comput. Eng., Univ. of Stuttgart, Stuttgart, Germany","Design, Automation and Test in Europe Conference and Exhibition (DATE), 2014","20140421","2014","","","1","6","Test is an essential task since the early days of digital circuits. Every produced chip undergoes at least a production test supported by on-chip test infrastructure to reduce test cost. Throughout the technology evolution fault tolerance gained importance and is now necessary in many applications to mitigate soft errors threatening consistent operation. While a variety of effective solutions exists to tackle both areas, test and fault tolerance are often implemented orthogonally, and hence do not exploit the potential synergies of a combined solution. The unified architecture presented here facilitates fault tolerance and test by combining a checksum of the sequential state with the ability to flip arbitrary bits. Experimental results confirm a reduced area overhead compared to a orthogonal combination of classical test and fault tolerance schemes. In combination with heuristically generated test sequences the test application time and test data volume are reduced significantly.","","","","10.7873/DATE.2014.206","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800407","ATPG;Bit-Flipping Scan;Compaction;Fault Tolerance;Satisfiability;Test","Circuit faults;Computer architecture;Fault tolerance;Fault tolerant systems;Latches;Logic gates;Registers","fault tolerance;integrated circuit reliability;integrated circuit testing","arbitrary bits;area overhead reduction;bit-flipping scan;checksum;digital circuits;fault tolerance schemes;heuristically generated test sequences;offline test;on-chip test infrastructure;orthogonal combination;production test;sequential state;soft error mitigation;technology evolution;test application time;test data volume;unified architecture","","0","","18","","","24-28 March 2014","","IEEE","IEEE Conference Publications"
"Automatic specification granularity tuning for design space exploration","Jiaxing Zhang; Schirner, G.","Dept. of Electr. & Comput. Eng., Northeastern Univ., Boston, MA, USA","Design, Automation and Test in Europe Conference and Exhibition (DATE), 2014","20140421","2014","","","1","6","Algorithm Design Environments (ADE), such as Simulink, have been shown to be efficient for development, analysis, and evaluation of algorithms. Recent tools propose to facilitate algorithm / architecture co-design by bridging the gap from ADE to System-Level Design Environments (SLDE) through automatic synthesis from algorithm models to SLDL specifications. With the wide range of block characteristic (from simple logic functions to complex kernels) in the algorithm model, however, it is challenging to select a suitable compositional granularity for SLD Language (SLDL) blocks in the synthesized specification. A high volume of SLDL blocks of little computation will increase the number of mapping possibilities, whereas large blocks with heavy computation on the other hand allow inter-block fusion reducing the computational demands in the overall specification yet sacrificing the mapping flexibility. In this paper, we introduce an automatic specification granularity tuning mechanism to determine the granularity in the synthesized specification model hierarchy guided by the computational demands of algorithm blocks. Our granularity selection significantly simplifies the early design space exploration as only a meaningful block decomposition is exposed in the synthesized specification. It leads to an overall system with less computational demands by leveraging the block fusion capabilities in the ADE. At the same time our granularity decision ensures that sufficient flexibility remains in the system for exploring heterogeneous mapping of the algorithm. Our results on real world examples show that specification models can be synthesized with 80% efficiency through block fusion with 70-90% fewer but coarser grained blocks.","","","","10.7873/DATE.2014.227","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800428","","Algorithm design and analysis;Computational modeling;Merging;Optimization;Software packages;Tuning;Unified modeling language","electronic design automation;multiprocessing systems;system-on-chip","ADE;SLDE;SLDL blocks;Simulink;algorithm design environments;architecture co-design;automatic specification granularity tuning mechanism;automatic synthesis;block decomposition;design space exploration;granularity decision;granularity selection;interblock fusion;mapping flexibility;synthesized specification model hierarchy;system level design language;system-level design environments","","0","","16","","","24-28 March 2014","","IEEE","IEEE Conference Publications"
"Sub-threshold logic circuit design using feedback equalization","Zangeneh, M.; Joshi, A.","Electr. & Comput. Eng. Dept., Boston Univ., Boston, MA, USA","Design, Automation and Test in Europe Conference and Exhibition (DATE), 2014","20140421","2014","","","1","6","Low energy has become one of the primary constraint in the design of digital VLSI circuits in recent years. Minimum-energy consumption can be achieved in digital circuits by operating in the sub-threshold regime. However, in this regime process variation can result in up to an order of magnitude variations in I<sub>on</sub>/I<sub>off</sub> ratios leading to timing errors, which can have a detrimental impact on the functionality of the sub-threshold circuits. These timing errors become more frequent in scaled technology nodes where process variations are highly prevalent. Therefore, mechanisms to mitigate these timing errors while minimizing the energy consumption in sub-threshold circuits are required. In this paper, we propose the use of a variable threshold feedback equalizer circuit with combinational logic blocks to mitigate the timing errors, which can then be leveraged to reduce the dominant leakage energy by scaling supply voltage or decreasing the propagation delay. At the fixed supply voltage, we can decrease the propagation delay of the critical path using equalizer circuits and, correspondingly decrease the leakage energy consumption. For a 8-bit carry lookahead adder designed in UMC 130 nm process, the operating frequency can be increased by 22.87% (on average), while reducing the leakage energy by 22.6% in the sub-threshold regime. Overall the feedback equalization technique provides up to 35.4% lower energy-delay product compared to the conventional non-equalized logic. Alternately, for a 8-bit carry lookahead adder, the proposed technique enables us to reduce the critical voltage (beyond which timing errors occur) from 300 mV (nominal design) to 270 mV (design with feedback circuit), and provides a 16.72% decrease in energy per operation while maintaining performance.","","","","10.7873/DATE.2014.121","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800322","","Adders;Equalizers;Logic gates;Propagation delay;Threshold voltage;Timing;Transistors","VLSI;adders;circuit feedback;combinational circuits;equalisers;integrated logic circuits;logic design;low-power electronics","UMC process;carry lookahead adder;combinational logic blocks;digital VLSI circuit design;dominant leakage energy;energy-delay product;minimum-energy consumption;propagation delay;size 130 nm;sub-threshold logic circuit design;supply voltage scaling;timing errors;variable threshold feedback equalizer circuit;voltage 300 mV to 270 mV;word length 8 bit","","0","","19","","","24-28 March 2014","","IEEE","IEEE Conference Publications"
"D2Cyber: A design automation tool for dependable cybercars","Munir, A.; Koushanfar, F.","Dept. of Electr. & Comput. Eng., Rice Univ., Houston, TX, USA","Design, Automation and Test in Europe Conference and Exhibition (DATE), 2014","20140421","2014","","","1","4","Next generation of automobiles (also known as cybercars) will increasingly incorporate electronic control units (ECUs) to implement various safety-critical functions such as x-by-wire (e.g., steer-by-wire (SBW), brake-by-wire). ISO 26262 specifies automotive safety integrity levels (ASILs) to signify the criticality associated with a function. Meeting a design's ASIL requirements at a minimum additional cost is a major challenge in cybercar design. In this paper, we propose D2Cyber - a design automation tool for cybercars that facilitates designers in selecting dependable designs by providing built-in models, easy to specify inputs, and easy to interpret outputs. D2Cyber considers the effects of temperature, electronics quality grade, and design lifetime in cybercar's design space exploration for determining a cost-effective solution and also advises on the attainable ASIL from a given design. We elaborate Markov models that form the basis of D2Cyber using SBW as a case study. We further provide evaluation insights obtained from D2Cyber.","","","","10.7873/DATE.2014.071","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800272","","Automotive engineering;FAA;Markov processes;Redundancy;Reliability engineering;Wheels","ISO standards;Markov processes;automobiles;electronic design automation;mobile robots;production engineering computing;road safety","ASIL;D2Cyber;ISO 26262 standard;Markov models;SBW;automobiles;automotive safety integrity levels;cost-effective solution;cybercar design space exploration;design automation tool;electronic control units;electronics quality grade;safety-critical functions","","0","","15","","","24-28 March 2014","","IEEE","IEEE Conference Publications"
"Mission profile aware IC design — A case study","Jerke, G.; Kahng, A.B.","Automotive Electron. Div., Robert Bosch GmbH, Reutlingen, Germany","Design, Automation and Test in Europe Conference and Exhibition (DATE), 2014","20140421","2014","","","1","6","Consistent consideration of mission profiles throughout a supply chain is essential for the development of robust electronic components. Consideration of mission profiles is still mainly a manual task today despite rapidly decreasing robustness margins in modern automotive semiconductor technologies. Mission profile awareness aids the automation of robustness aware design by formalizing and partially automating the generation, transformation, propagation and usage of all component-specific functional loads and environmental conditions for design implementation and validation. In addition, it aids the development of electronic components in yet immature technologies or in technologies with tight parameter variation bounds. This paper introduces the general concept, requirements and context of mission profile aware design. The general design approach is presented along with key differences and enhancements to existing design approaches. A case study focusing on mission profile usage and electromigration failure avoidance is presented to demonstrate various aspects of mission profile aware design.","","","","10.7873/DATE.2014.077","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800278","Electromigration;IC Design;Mission Profile;Mission Profile Aware Design;Reliability;Robustness;Validation;Verification","Automotive engineering;Current density;Electromigration;Integrated circuits;Robustness;Supply chains","electromigration;failure analysis;integrated circuit design;monolithic integrated circuits","automotive semiconductor technologies;electromigration failure avoidance;mission profile aware IC design;parameter variation bounds;robust electronic components;robustness aware design;supply chain","","0","","28","","","24-28 March 2014","","IEEE","IEEE Conference Publications"
"Testing PUF-based secure key storage circuits","Cortez, M.; Roelofs, G.; Hamdioui, S.; Di Natale, G.","Fac. of EE, Math. & CS, Delft Univ. of Technol., Delft, Netherlands","Design, Automation and Test in Europe Conference and Exhibition (DATE), 2014","20140421","2014","","","1","6","Design for test is an integral part of any VLSI chip. However, for secure systems extra precautions have to be taken to prevent that the test circuitry could reveal secret information. This paper addresses secure test for Physical Unclonable Function based systems. In particular it provides the testability analysis and a secure Built-In Self-Test (BIST) solution for Fuzzy Extractor (FE) which is the main component of PUF-based systems. The scheme targets high stuck-at-fault (SAF) coverage by performing scan-chain free functional testing, to prevent scan-chain abuse for attacks. The scheme reuses existing FE sub-blocks (for pattern generation and compression) to minimize the area overhead. The scheme is integrated in FE design and simulated; the results show that a SAF fault coverage of 95.1% can be realized with no more than 50k clock cycles at the cost of a negligible area overhead of only 2.2%. Higher fault coverage is possible to realize at extra cost.","","","","10.7873/DATE.2014.207","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800408","Extractor;Fuzzy;PUF-based;Scan-chain free test;Secure Testing;systems","Circuit faults;Clocks;Cryptography;Decoding;Error correction;Iron;Testing","VLSI;built-in self test;design for testability;fuzzy set theory;integrated circuit testing","BIST;FE sub-blocks;PUF-based secure key storage circuit testing;SAF;VLSI chip;built-in self-test;design for testability;fuzzy extractor;high stuck-at-fault;physical unclonable function based systems;scan-chain free functional testing;test circuitry","","0","","25","","","24-28 March 2014","","IEEE","IEEE Conference Publications"
"Model based hierarchical optimization strategies for analog design automation","Afacan, E.; Ay, S.; Fernandez, F.V.; Dundar, G.; Basckaya, F.","Dept. of Electr. & Electron. Eng., Bogazici Univ., Istanbul, Turkey","Design, Automation and Test in Europe Conference and Exhibition (DATE), 2014","20140421","2014","","","1","4","The design of complex analog circuits by using flat optimization-based approaches is inefficient, even impossible, due to the high number of design variables and the growth of the cost of performance evaluation with the circuit size. Over the past two decades, top-down hierarchical design approaches have been developed and applied. They are based on hierarchical circuit decomposition and specification transmission from top-level to lower level blocks. However, such specification transmission is usually performed with little knowledge on the feasibility of the specifications, leading, therefore, to costly redesign iterations. Even if the specification transmission is successful, there is no guarantee that it is optimal in terms of e.g., power consumption or area occupation. To palliate this problem, two novel model-based hierarchical synthesis methods are proposed in this paper: ModelBased Hierarchical Optimization (MBHO) and Improved ModelBased Hierarchical Optimization (IMBHO). They are based on the concurrent design at higher and lower hierarchical levels and appropriate communication between the different processes. Experimental results on a filter example comparing the new approaches and the conventional top-down design approach are provided.","","","","10.7873/DATE.2014.027","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800228","","Computational modeling;Cutoff frequency;Equations;Mathematical model;Optimization;Power demand","analogue circuits;electronic design automation;integrated circuit design;optimisation","analog circuits design;analog design automation;hierarchical circuit decomposition;model based hierarchical optimization strategies;specification transmission","","0","","12","","","24-28 March 2014","","IEEE","IEEE Conference Publications"
"Coarse-grained Bubble Razor to exploit the potential of two-phase transparent latch designs","Hayoung Kim; Dongyoung Kim; Jae-Joon Kim; Sungjoo Yoo; Sunggu Lee","Dept. of Electr. Eng., Pohang Univ. of Sci. & Technol. (POSTECH), Pohang, South Korea","Design, Automation and Test in Europe Conference and Exhibition (DATE), 2014","20140421","2014","","","1","6","Timing margin to cover process variation is one of the most critical factors that limit the amount of supply voltage reduction thereby power consumption. To remove too conservative timing margin, Bubble Razor was introduced to dynamically detect and correct errors in two-phase transparent latch designs [13]. However, it does not fully exploit the potential of two-phase transparent latch design, e.g. time borrowing. Thus, especially at low supply voltage where the effect of process variation becomes significant, the existing Bubble Razor can suffer from significant overhead in performance and power consumption due to too frequent occurrence of bubble generations. We present a design methodology for coarse-grained Bubble Razor which exploits the time-borrowing characteristic of two-phase transparent latch design. By selectively inserting error checkpoints, i.e., shadow latches and error management logic, in the circuit, time borrowing can be applied between error checkpoints thereby avoiding bubbles which could occur in the existing Bubble Razor design with a checkpoint at every latch on the critical path. We present a methodology to choose the grain size (the number of stages between error checkpoints) based on 3-sigma delay distribution. We also verify the benefits of coarse-grained Bubble Razor with a real microprocessor, Core-A design [15] using 20nm Predictive Technology Model (PTM) [16]. The proposed methodology offers 62% improvement in performance (MIPS) and 49% less energy consumption (per instruction) at 0.6V operation (zero frequency margin) over the original Bubble Razor scheme. In addition, it gives 25% area reduction in core design.","","","","10.7873/DATE.2014.379","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800580","","Clocks;Delays;Flip-flops;Grain size;Latches;Pipelines","bubbles;flip-flops;integrated circuit design;logic circuits;low-power electronics;microprocessor chips","3-sigma delay distribution;PTM;bubble generations;coarse-grained bubble razor;core-a design;energy consumption;error checkpoints;error management logic;grain size;microprocessor;power consumption;predictive technology model;process variation;shadow latches;size 20 nm;supply voltage reduction;time borrowing characteristic;timing margin;two-phase transparent latch designs;voltage 0.6 V;zero frequency margin","","0","","16","","","24-28 March 2014","","IEEE","IEEE Conference Publications"
