Source,Target
3,4
3,5
3,6
3,7
3,8
4,5
4,6
4,7
4,8
5,6
5,7
5,8
6,7
6,8
7,8
9,10
9,11
9,12
10,11
10,12
11,12
13,14
13,15
13,16
13,17
13,18
14,15
14,16
14,17
14,18
15,16
15,17
15,18
16,17
16,18
17,18
19,20
21,22
21,23
21,24
21,171
22,23
22,24
23,24
23,171
25,26
27,28
27,29
27,30
28,29
28,30
29,30
31,32
31,33
31,34
32,33
32,34
33,34
35,36
37,38
37,39
37,40
37,41
37,42
38,39
38,40
38,41
38,42
39,40
39,41
39,42
40,41
40,42
41,42
44,45
44,46
44,47
45,46
45,47
46,47
48,49
49,213
50,51
50,52
50,53
51,52
51,53
52,53
54,55
54,56
54,57
54,58
55,56
55,57
55,58
56,57
56,58
57,58
59,60
59,61
59,62
59,63
60,61
60,62
60,63
61,62
61,63
62,63
64,65
64,66
64,67
65,66
65,67
66,67
68,69
68,70
68,71
68,72
68,73
68,74
69,70
69,71
69,72
69,73
69,74
70,71
70,72
70,73
70,74
71,72
71,73
71,74
72,73
72,74
73,74
75,76
75,77
75,173
75,174
76,77
76,174
78,79
78,80
78,81
78,82
79,80
79,81
79,82
80,81
80,82
81,82
83,84
83,85
83,86
83,87
83,15
84,85
84,86
84,87
84,15
85,86
85,87
85,15
86,87
86,15
87,15
88,76
88,77
89,90
89,91
90,91
92,93
92,94
93,94
96,97
96,98
96,99
97,98
97,99
98,99
101,102
103,104
103,105
104,105
106,107
108,109
108,110
109,110
112,113
114,76
114,77
115,116
115,117
115,118
116,117
116,118
117,118
118,230
119,120
119,121
120,121
120,222
122,123
124,125
124,126
124,127
124,128
125,126
125,127
125,128
126,127
126,128
127,128
129,130
129,131
129,132
129,133
129,134
129,135
129,136
129,137
129,138
129,139
129,140
130,131
130,132
130,133
130,134
130,135
130,136
130,137
130,138
130,139
130,140
131,132
131,133
131,134
131,135
131,136
131,137
131,138
131,139
131,140
132,133
132,134
132,135
132,136
132,137
132,138
132,139
132,140
133,134
133,135
133,136
133,137
133,138
133,139
133,140
134,135
134,136
134,137
134,138
134,139
134,140
135,136
135,137
135,138
135,139
135,140
136,137
136,138
136,139
136,140
137,138
137,139
137,140
138,139
138,140
139,140
141,142
141,143
142,143
144,145
144,146
144,147
144,148
145,146
145,147
145,148
146,147
146,148
147,148
148,226
148,227
150,151
150,152
150,153
150,154
151,152
151,153
151,154
152,153
152,154
153,154
155,156
155,157
155,158
155,159
156,157
156,158
156,159
157,158
157,159
158,159
160,161
162,163
162,164
163,164
166,167
168,169
168,170
169,170
171,24
172,75
172,173
172,76
172,174
172,77
173,76
173,174
173,77
174,77
174,212
175,176
175,177
175,178
176,177
176,178
177,178
179,180
179,29
179,27
179,214
180,29
180,27
182,183
182,184
182,185
182,186
182,24
183,184
183,185
183,186
183,24
184,185
184,186
184,24
185,186
185,24
186,24
187,188
187,189
188,189
190,191
192,193
194,195
194,196
195,196
197,198
197,199
198,199
200,201
200,202
201,202
203,204
206,207
206,237
208,29
209,210
209,211
209,174
209,212
209,49
209,213
210,211
210,174
210,212
211,174
211,212
214,29
216,217
216,218
217,218
219,220
221,120
221,222
223,224
223,225
223,148
223,226
223,227
224,225
224,148
224,226
224,227
225,148
225,226
225,227
226,227
228,229
228,118
228,230
229,118
229,230
230,236
231,232
231,233
231,234
231,235
232,233
232,234
232,235
233,234
233,235
234,235
237,207
238,167
239,240
239,241
239,242
240,241
240,242
241,242
243,244
243,245
243,246
243,143
244,245
244,246
244,143
245,246
245,143
246,143
247,248
247,249
247,250
247,251
247,252
248,249
248,250
248,251
248,252
249,250
249,251
249,252
250,251
250,252
251,252
