Label;Id
2015/06/23 14:46:50;1
Authors;2
;3
Jandhyala, V.;4
Kestur, S.;5
Irick, K.;6
Sungho Park;7
Al Maashri, A.;8
Narayanan, V.;9
Chakrabarti, C.;10
Hung-Yi Liu;11
Diakonikolas, I.;12
Petracca, M.;13
Carloni, L.;14
Densmore, D.;15
Horowitz, M.;16
Krishnaswamy, S.;17
Xiling Shen;18
Arkin, A.;19
Winfree, E.;20
Voigt, C.;21
Burns, J.;22
Carpenter, G.;23
Kursun, E.;24
Puri, R.;25
Warnock, J.;26
Scheuermann, M.;27
Miranda, M.;28
Roussel, P.;29
Brusamarello, L.;30
Wirth, G.;31
Mingoo Seok;32
Dongsuk Jeon;33
Blaauw, D.;34
Sylvester, D.;35
Ramesh, S.;36
Gadkari, A.;37
Kadry, W.;38
Morad, R.;39
Goryachev, A.;40
Almog, E.;41
Krygowski, C.;42
Borkar, S.;43
Tong Xu;44
Peng Li;45
Boyuan Yan;46
Bing Shi;47
Srivastava, A.;48
Peng Wang;49
Meng-Kai Hsu;50
Yao-Wen Chang;51
Balabanov, V.;52
Chen-Wei Hsu;53
Jia-Lu Liao;54
Shan-Chien Fang;55
Chia-Chien Weng;56
Shi-Yu Huang;57
Wen-Tsan Hsieh;58
Jen-Chieh Yeh;59
Umeton, R.;60
Stracquadanio, G.;61
Sorathiya, A.;62
Papini, A.;63
Lio, P.;64
Nicosia, G.;65
Reviriego, P.;66
Maestro, Juan Antonio;67
Sanghyeon Baeg;68
Velamala, J.;69
LiVolsi, R.;70
Torres, M.;71
Yu Cao;72
Williamson, J.;73
Yinghai Lu;74
Li Shang;75
Hai Zhou;76
Xuan Zeng;77
Ren-Jie Lee;78
Hung-Ming Chen;79
Nishiguchi, N.;80
Yu-Tzu Tsai;81
Cheng-Chih Tsai;82
Cheng-An Chien;83
Ching-Hwa Cheng;84
Jiun-In Guo;85
Keng, B.;86
Veneris, A.;87
Jiawei Huang;88
Lach, J.;89
Inoue, S.;90
Kobayashi, S.;91
Chul-Hong Park;92
Pan, D.Z.;93
Lucas, K.;94
Fujita, M.;95
Bei Yu;96
Sheqin Dong;97
Yuchun Ma;98
Tao Lin;99
Yu Wang;100
Song Chen;101
Goto, S.;102
Fujiwara, H.;103
Fujiwara, K.;104
Tamamoto, H.;105
Wen Fan;106
Chiu-Sing Choy;107
Dong Qiu;108
Ting Yi;109
Zhiliang Hong;110
Chih-Hsiang Ho;111
Chao Lu;112
Mohapatra, D.;113
Roy, K.;114
Yung-Chang Chang;115
Ching-Te Chiu;116
Shih-Yin Lin;117
Chung-Kai Liu;118
Bobba, S.;119
Chakraborty, A.;120
Thomas, O.;121
Batude, P.;122
Ernst, T.;123
Faynot, O.;124
De Micheli, G.;125
Inoue, A.;126
Kyuong-Hwan Lim;127
Taewhan Kim;128
Yongho Lee;129
Goswami, D.;130
Schneider, R.;131
Chakraborty, S.;132
Meng-Fan Chang;133
Pi-Feng Chiu;134
Shyh-Shyuan Sheu;135
Wan-Ting Su;136
Jih-Sheng Shen;137
Pao-Ann Hsiung;138
Takahashi, M.;139
Jing-Jia Liou;140
Ying-Yen Chen;141
Chun-Chia Chen;142
Chung-Yen Chien;143
Kuo-Li Wu;144
Xiangyu Dong;145
Yuan Xie;146
Zhiliang Qian;147
Chi-ying Tsui;148
Ming-Chao Lee;149
Yu-Guang Chen;150
Ding-Kei Huang;151
Shih-Chieh Chang;152
Cheng Liu;153
Lei Zhang;154
Yinhe Han;155
Xiaowei Li;156
Kuan-Yu Lin;157
Hong-Ting Lin;158
Tsung-Yi Ho;159
Nakabayashi, T.;160
Sasaki, T.;161
Ohno, K.;162
Kondo, T.;163
Shuming Chen;164
Xiaowen Chen;165
Yi Xu;166
Jianghua Wan;167
Jianzhuang Lu;168
Xiangyuan Liu;169
Shenggang Chen;170
Yu-Han Yuan;171
Wei-Ming Chen;172
Hsi-Pin Ma;173
Chen, J.J.H.;174
Krecinic, F.;175
Jen-Hom Chen;176
Chen, R.P.S.;177
Lin, B.J.;178
Chi-Chen Peng;179
Chen Dong;180
Deming Chen;181
Shuo-Hung Chen;182
Hsiao-Mei Lin;183
Ching-Chou Hsieh;184
Chih-Tsun Huang;185
Yeh-Ching Chung;186
Fey, G.;187
Rui Zheng;188
Jounghyuk Suh;189
Cheng Xu;190
Hakim, N.;191
Bakkaloglu, B.;192
Nieberg, T.;193
Wing Chiu Tam;194
Blanton, S.;195
Krishnamurthy, R.;196
Mathew, S.;197
Sheikh, F.;198
Yoon Seok Yang;199
Bhagawat, P.;200
Gwan Choi;201
Rajavel, S.T.;202
Akoglu, A.;203
Javaid, H.;204
Shafique, M.;205
Parameswaran, S.;206
Henkel, J.;207
Kai-Ti Hsu;208
Sinha, S.;209
Yu-Chuan Pi;210
Chiang, C.;211
Mukherjee, P.;212
Fang, G.P.;213
Burt, R.;214
Duo Ding;215
Jhih-Rong Gao;216
Kun Yuan;217
Chippa, V.;218
Raghunathan, A.;219
Chakradhar, S.;220
Thiele, L.;221
Schor, Lars;222
Yang, Hoeseok;223
Bacivarov, I.;224
Hua Jiang;225
Riedel, M.;226
Parhi, K.;227
Bayrak, A.G.;228
Regazzoni, F.;229
Brisk, P.;230
Standaert, O.-X.;231
Ienne, P.;232
Xiaodong Liu;233
Yifan Zhang;234
Yeap, G.;235
Kose, S.;236
Friedman, E.G.;237
Donghwa Shin;238
Younghyun Kim;239
Naehyuck Chang;240
Pedram, M.;241
Aarestad, J.;242
Lamech, C.;243
Plusquellic, J.;244
Acharyya, D.;245
Agarwal, K.;246
De Paula, F.M.;247
Nahir, A.;248
Nevo, Z.;249
Orni, A.;250
Hu, A.J.;251
Zatt, B.;252
Sampaio, F.;253
Agostini, L.;254
Bampi, S.;255
Reimann, F.;256
Lukasiewycz, M.;257
Glass, M.;258
Haubelt, C.;259
Teich, J.;260
Bailis, P.;261
Reddi, V.J.;262
Gandhi, S.;263
Brooks, D.;264
Seltzer, M.;265
Broeders, H.;266
