Label;Id
2015/06/23 14:52:52;1
Authors;2
;3
Larsson, E.;4
Zebo Peng;5
Beck, T.;6
Teixeira, J.P.;7
Teixeira, I.M.;8
Pereira, C.E.;9
Dias, O.P.;10
Semiao, J.;11
Jerraya, A.;12
Zhining Huang;13
Malik, S.;14
Zhang, T.;15
Benini, L.;16
De Micheli, G.;17
Lechner, A.;18
Richardson, A.;19
Hermes, B.;20
Pomeranz, I.;21
Reddy, S.M.;22
Doboli, A.;23
Chandra, A.;24
Chakrabarty, K.;25
Siegmund, R.;26
Muller, D.;27
Corno, F.;28
Reorda, M.S.;29
Squillero, G.;30
Violante, M.;31
Ferrandi, F.;32
Ferrara, G.;33
Sciuto, D.;34
Fin, A.;35
Fummi, F.;36
Burdiek, B.;37
Baghdadi, A.;38
Lyonnard, D.;39
Zergainoh, N.-E.;40
Jerraya, A.A.;41
Svarstad, K.;42
Nicolescu, G.;43
Dessouky, M.;44
Kaiser, A.;45
Louerai, M.-M.;46
Greiner, A.;47
Nicolici, N.;48
Al-Hashimi, B.M.;49
Rona, M.;50
Krampl, G.;51
Wahl, M.G.;52
Ambler, Tony;53
Maass, C.;54
Rahman, M.;55
Dorsch, R.;56
Wunderlich, H.;57
Jianwen Zhu;58
Sungjoo Yoo;59
Benabdenbi, M.;60
Maroufi, W.;61
Marzouki, M.;62
del Rio, R.;63
de la Rosa, J.M.;64
Medeiro, F.;65
Perez-Verdu, B.;66
Rodriguez-Vazquez, A.;67
Xun Liu;68
Papaefthymiou, M.C.;69
da Silva, J.L., Jr.;70
Shamberger, J.;71
Ammer, M.J.;72
Guo, C.;73
Li, S.;74
Shah, R.;75
Tuan, T.;76
Sheets, M.;77
Rabaey, J.M.;78
Nikolic, B.;79
Sangiovanni-Vincentelli, A.;80
Wright, P.;81
Paschalis, A.;82
Gizopoulos, D.;83
Kranitis, N.;84
Psarakis, M.;85
Zorian, Y.;86
Gielen, G.;87
Worm, A.;88
Lamm, H.;89
Wehn, N.;90
Madrid, N.M.;91
Peralias, E.;92
Acosta, A.;93
Rueda, A.;94
Gerfers, F.;95
Manoli, Y.;96
Teica, E.;97
Radhakrishnan, R.;98
Vemuri, R.;99
Hashizume, M.;100
Ichimiya, M.;101
Yotsuyanagi, H.;102
Tamesada, T.;103
Heidbrink, H.-U.;104
Moya, J.M.;105
Moya, F.;106
Lopez, J.C.;107
Chatterjee, S.;108
Chatterjee, A.;109
Wilson, R.;110
Drozd, A.;111
Lobachev, M.;112
Tago, H.;113
Hashimoto, K.;114
Ikumi, N.;115
Nagamatsu, M.;116
Suzuoki, M.;117
Yamamoto, Y.;118
Quasem, M.S.;119
Gupta, S.K.;120
Qingjian Yu;121
Kuh, E.S.;122
Ruf, J.;123
Hoffmann, D.W.;124
Kropf, T.;125
Rosenstiel, W.;126
Demmeler, T.;127
Giusto, Paolo;128
Gi-Joon Nam;129
Sakallah, K.;130
Rutenbar, R.;131
Chiusano, S.;132
Di Carlo, S.;133
Prinetto, P.;134
Economakos, G.;135
Oikonomakos, P.;136
Panagopoulos, I.;137
Poulakis, I.;138
Papakonstantinou, G.;139
Jing Zeng;140
Abadir, M.S.;141
