Source,Target
3,4
5,6
5,7
6,7
8,9
8,10
8,11
9,10
9,11
9,112
10,11
12,13
12,14
13,14
15,16
15,17
15,18
16,17
16,18
17,18
19,20
19,21
19,22
19,23
20,21
20,22
20,23
21,22
21,23
22,23
24,25
27,28
29,30
29,31
29,55
30,31
32,33
32,34
32,35
32,36
32,37
32,38
32,39
33,34
33,35
33,36
33,37
33,38
33,39
34,35
34,36
34,37
34,38
34,39
35,36
35,37
35,38
35,39
36,37
36,38
36,39
37,38
37,39
37,100
38,39
40,41
40,42
40,43
41,42
41,43
42,43
44,45
44,46
44,47
44,48
45,46
45,47
45,48
46,47
46,48
47,48
49,50
49,51
50,51
51,99
51,37
51,100
53,54
53,55
53,56
54,55
54,56
55,56
57,58
59,60
59,61
59,62
59,63
59,64
60,61
60,62
60,63
60,64
61,62
61,63
61,64
62,63
62,64
63,64
65,66
67,68
67,69
68,69
70,51
71,72
71,73
71,74
72,73
72,74
73,74
75,76
75,77
75,78
75,79
76,77
76,78
76,79
77,78
77,79
78,79
80,81
80,82
80,83
81,82
81,83
82,83
84,85
84,86
85,86
87,88
87,89
88,89
90,91
90,92
91,92
93,94
93,95
94,95
96,97
96,98
96,51
96,99
96,37
96,100
97,98
97,51
97,99
97,37
97,100
98,51
98,99
98,37
98,100
99,37
99,100
102,103
104,105
106,37
107,108
107,109
107,110
107,86
108,109
108,110
108,86
109,110
109,86
110,86
111,9
111,112
113,114
113,40
113,43
114,40
114,43
115,116
115,117
116,117
118,119
118,120
118,121
119,120
119,121
120,121
122,123
122,124
122,125
122,126
122,127
123,124
123,125
123,126
123,127
124,125
124,126
124,127
125,126
125,127
126,127
128,129
128,130
128,131
128,132
128,133
128,134
129,130
129,131
129,132
129,133
129,134
130,131
130,132
130,133
130,134
131,132
131,133
131,134
132,133
132,134
133,134
135,136
137,138
139,136
140,141
142,143
142,144
142,145
143,144
143,145
144,145
146,147
148,73
150,151
152,153
152,154
152,155
152,156
152,157
152,132
152,130
153,154
153,155
153,156
153,157
153,132
153,130
154,155
154,156
154,157
154,132
154,130
155,156
155,157
155,132
155,130
156,157
156,132
156,130
157,132
157,130
158,159
160,161
160,121
161,121
162,163
164,165
166,167
166,168
166,169
166,170
166,171
166,172
166,173
167,168
167,169
167,170
167,171
167,172
167,173
168,169
168,170
168,171
168,172
168,173
169,170
169,171
169,172
169,173
170,171
170,172
170,173
171,172
171,173
172,173
174,175
174,176
174,177
175,176
175,177
176,177
