Label;Id
2015/06/23 16:21:11;1
Authors;2
Eun-Soo Hwang;3
Yong-Jun Kim;4
Byeong-Kwon Ju;5
Trautmann, A.;6
Ruther, P.;7
Paul, O.;8
Jagannathan, H.;9
Yaralioglu, G.G.;10
Ergun, A.S.;11
Khuri-Yakub, B.T.;12
Donald, B.R.;13
Levey, C.G.;14
McGray, C.D.;15
Rus, D.;16
Sinclair, M.;17
Neylon, S.;18
Sung Kwon Cho;19
Chang-Jin Kim;20
Takahata, K.;21
Gianchandani, Y.B.;22
Lee, S.H.;23
Lee, S.S.;24
Jeon, Jong Up;25
Kwangchoon Ro;26
Chien-Fu Chen;27
Shih-Chi Kuo;28
Chin-Chou Chu;29
Fan-Gang Tseng;30
Yokoyama, Y.;31
Takeda, M.;32
Umemoto, T.;33
Ogushi, T.;34
Tsuchiya, T.;35
Hirata, M.;36
Chiba, Norio;37
Udo, R.;38
Yoshitom, Y.;39
Ando, T.;40
Sato, K.;41
Takashima, K.;42
Higo, Yakichi;43
Saotome, Yasunori;44
Ogawa, H.;45
Ozaki, K.;46
Chujo, H.;47
Matsumoto, K.;48
Shimoyama, I.;49
Stark, B.H.;50
Yuhai Mei;51
Chunbo Zhang;52
Najafi, K.;53
Frederico, S.;54
Hibert, C.;55
Fritschi, R.;56
Fluckiger, P.;57
Renaud, P.;58
Ionescu, A.M.;59
McNamara, S.;60
Anderson, D.Z.;61
Bright, V.M.;62
Czaia, L.;63
Du, S.;64
Frader-Thompson, S.;65
McCarthy, B.;66
Squires, M.;67
Ikuta, K.;68
Ichikawa, H.;69
Suzuki, K.;70
Yamamoto, T.;71
Hongyu Yu;72
Eun Sok Kim;73
Takao, H.;74
Ishida, M.;75
Galayko, D.;76
Kaiser, A.;77
Buchaillot, L.;78
Collard, D.;79
Combi, C.;80
Tae Goo Kang;81
Young-Ho Cho;82
Chu, L.L.;83
Nelson, D.;84
Oliver, A.D.;85
Junseok Chae;86
Kulah, H.;87
Lam, K.B.;88
Mu Chiao;89
Liwei Lin;90
Chu, C.C.;91
Tsai, J.M.;92
Jerwei Hsieh;93
Weileun Fang;94
Chediak, J.A.;95
Luo, Z.;96
Seo, J.;97
Cheung, N.;98
Lee, Luke P.;99
Sands, T.D.;100
Lung-Jieh Yang;101
Jiun-Min Wang;102
Yu-Lin Huang;103
Dong Sung Kim;104
Seok Woo Lee;105
Tai Hun Kwon;106
Pei Yu Chiou;107
Zehao Chang;108
Wu, M.C.;109
Jang, Yoon-Taek;110
Choi, Chang-Hoon;111
Ahn, Jin-Ho;112
Lee, Yun-Hi;113
;114
Leichle, T.C.;115
Wenjing Ye;116
Allen, M.G.;117
Kuang-Hua Lin;118
Hui-Ting Hsu;119
Yu-Hsiang Chang;120
Ching-Chang Chieng;121
Yokokawa, R.;122
Takeuchi, S.;123
Kon, T.;124
Ohkura, R.;125
Edamatsu, M.;126
Sutoh, K.;127
Fujita, H.;128
Rongchun Zhou;129
Haixia Zhang;130
Yilong Hao;131
Dacheng Zhang;132
Yangyuan Wang;133
Pourkamali, S.;134
Abdolvand, R.;135
Ayazi, F.;136
Munechika, M.;137
Uezawa, H.;138
Oshima, A.;139
Konishi, S.;140
Sano, T.;141
Katayama, Makoto;142
Salo, T.;143
Vancura, T.;144
Brand, O.;145
Baltes, H.;146
Kwang-Cheol Lee;147
Eun-Chul Park;148
Yun-Suk Choi;149
Byeong-Il Kim;150
Jun-Bo Yoon;151
Euisik Yoon;152
Suzuki, T.;153
Mabuchi, K.;154
Kanai, M.;155
Ikeda, S.;156
Tanaka, J.;157
Jeung Sang Go;158
Nakanishi, H.;159
Shoji, S.;160
Oh, S.;161
Lee, Joon Sung;162
Jeong, K.H.;163
Ji, C.H.;164
Youngjoo Yee;165
Junghoon Choi;166
Oh, H.H.;167
Bu, Jong-Uk;168
Quevy, Emmanuel;169
Legrand, Bernard;170
Shih-Kang Fan;171
Hashi, C.;172
Kim, Chang-Jin &#x201c;173
CJ&#x201d;174
Onoe, H.;175
Che-Hsin Lin;176
Gwo-Bin Lee;177
Bao-Herng Hwei;178
Hao Zhang;179
Scheibner, D.;180
Mehner, J.;181
Reuter, D.;182
Gessner, T.;183
Dotzel, W.;184
Eui-Hyeok Eh;185
Choonsup Lee;186
Mueller, J.;187
Suzuki, Y.;188
Yu-Chong Tai;189
Wenhua Zhang;190
Baskaran, R.;191
Turner, K.L.;192
Tabata, O.;193
Kojima, H.;194
Kasatani, T.;195
Isono, Y.;196
Yoshida, R.;197
Li, Biao;198
Xiaosong Tang;199
Xie, Huimin;200
Zhang, Xin;201
Kim, J.H.;202
Lee, H.K.;203
Kim, B.I.;204
Jin-Wan Jeon;205
Vollmers, Karl;206
Anderson, R.;207
Nelson, B.J.;208
Pepin, J.;209
Pakula, L.S.;210
Yang, H.;211
Pham, H.T.M.;212
French, P.J.;213
Sarro, P.M.;214
Chia-Hua Chu;215
Long-Sun Huang;216
Jen-Yi Chen;217
I-Lien Lee;218
Peizen Chang;219
Gel, M.;220
Sasaki, Y.;221
Maegawa, L.;222
Maruo, S.;223
Kan Bun Cheng;224
Man Wong;225
Zohar, Y.;226
Messner, S.;227
Schaible, J.;228
Vollmer, J.;229
Sandmaier, H.;230
Zengerle, R.;231
Saif, Taher;232
Alaca, E.;233
Sehitoglu, Huseyin;234
Boland, J.;235
Yuan-Heng Chao;236
Tai, Y.C.;237
Neff, J.A.;238
Pak Kin Wong;239
Ulmanella, U.;240
Chih-Ming Ho;241
Yo Han Choi;242
Sanguk Son;243
Kawai, T.;244
Shih-Chang Lin;245
Cheng-En Ho;246
Yi-Chin Tsai;247
Haimei Huang;248
Kan, T.;249
Chih-Wei Wu;250
Chang, Jer-Haur;251
Sen-Yeu Yang;252
Lee, Chih-Kung;253
Fu-Chun Huang;254
Chia-Sheng Liao;255
Chia-Yen Lee;256
Shu-Hui Chen;257
Yokote, S.;258
Okamoto, T.;259
Kinuta, S.;260
Zhu, X.;261
Groves, R.;262
Subbanna, S.;263
Jadus, D.;264
Mukherjee, T.;265
Fedder, G.K.;266
Hollar, S.;267
Flynn, A.;268
Bellew, C.;269
Pister, K.S.J.;270
Abe, Takashi;271
Youn Gi Hong;272
Esashi, M.;273
Asai, N.;274
Matsuda, R.;275
Watanabe, M.;276
Takayama, H.;277
Yamada, S.;278
Mase, A.;279
Shikida, M.;280
Lebedev, M.;281
Akedo, J.;282
Harpster, T.J.;283
Sato, H.;284
Kakinuma, T.;285
Odagaki, M.;286
Todoroki, N.;287
Ando, M.;288
Ishihara, Y.;289
Yoshida, Y.;290
Nishino, T.;291
Jiwei Jiao;292
Sang-Seok Lee;293
Suehiro, Y.;294
Miyaguchi, K.;295
Fukami, T.;296
Kimata, M.;297
Ishida, O.;298
Jung-Hwan Park;299
Davis, S.;300
Yong-Kyu Yoon;301
Prausnitz, M.R.;302
Ki Bang Lee;303
Sammoura, F.;304
Yoshino, T.;305
Kasagi, N.;306
Kamiunten, S.;307
Chien-Chong Hong;308
Murugesan, S.;309
Sanghyo Kim;310
Beaucage, G.;311
Choi, Y.S.;312
Ahn, Chong H.;313
Yongwon Jeong;314
Yongsuk Han;315
Songyi Kim;316
Haehyung Lee;317
Jun Keun Chang;318
Dongil Cho;319
Doo Soo Chung;320
Kukjin Chun;321
Shankar Radhakrishnan;322
Lal, A.;323
Kyong-Bok Min;324
Tanaka, S.;325
Kim, S.J.;326
Hyo-Jin Nam;327
Jong Uk Bu;328
