Label;Id
2015/06/22 16:13:02;1
Authors;2
Stricker, D.A.;3
Alba, G.P.;4
Anderson, C.C.;5
Bing, D.D.;6
Bland, R.W.;7
Dickson, S.C.;8
Dignan, T.G.;9
Gagnon, P.;10
Johnson, R.T.;11
Seneclauze, C.M.;12
Gomez, R.;13
Neudeck, G.W.;14
Bashir, R.;15
Feng Min;16
Wan Zhixin;17
Chang Lei;18
Hae Yong Kim;19
Mayer, J.;20
Young, B.A.;21
Cabrera, B.;22
Lee, A.;23
Martoff, C.J.;24
Neuhauser, B.;25
McVittie, J.P.;26
James, C.;27
Sadegh, N.;28
Fei Jin;29
Jun Wu;30
Qiren Liu;31
Zhengtao Ding;32
Chen, C.;33
Mau, J.;34
Diehl, C.P.;35
Hampshire, J.B., II;36
Vella, J.;37
Zammit, S.;38
Seung-Hyeok Byeon;39
Byeong-Kyu Lee;40
Afanasyev, V.;41
Ishibashi, K.;42
Takeno, K.;43
Oae, Y.;44
Sakae, T.;45
Matsumoto, Y.;46
Katase, A.;47
Takada, S.;48
Akoh, H.;49
Nakagawa, H.;50
Craddock, R.;51
Kambhampati, C.;52
Xiaodan Weng;53
Xiaohua Xia;54
Jiangfeng Zhang;55
Braun, R.;56
Yurchenko, V.B.;57
Yurchenko, L.V.;58
Alver, Y.;59
Ozdogan, M.;60
Yucesan, E.;61
Xi Liu;62
Ramanathan, Ram;63
Redi, J.;64
Meir, Y.;65
Jerby, E.;66
Tae-Ho Lee;67
Hong-Chang Lee;68
Jung-Hyun Kim;69
Myung-Joon Lee;70
Yilin Zhou;71
Yan Liu;72
Jianwei Sun;73
;74
Shun Cai;75
Sanfeng Zhang;76
Guoxin Wu;77
Yongqiang Dong;78
Znati, T.;79
Khan, Z.H.;80
Catalot, D.G.;81
Thiriet, J.M.;82
Natarajan, B.R.;83
Murdock, E.S.;84
Perkowski, M.;85
Malvi, R.;86
Grygiel, S.;87
Burns, M.;88
Mishchenko, A.;89
Zhu Huaxiong;90
You Fang;91
Fang Shang;92
Yungang Liu;93
Chenghui Zhang;94
Goyal, P.K.;95
Fernandez, E.B.;96
Crowe, K.E.;97
Raines, R.A.;98
Zhi Ying Xu;99
Carbonell, M.;100
Sierra, J.M.;101
Torres, J.;102
Izquierdo, A.;103
Udupa, J.K.;104
Wei, L.;105
Samarasekera, S.;106
Miki, Y.;107
van Buchem, M.A.;108
Grossman, R.I.;109
Matsushita, N.;110
Hihara, D.;111
Ushiro, T.;112
Yoshimura, S.;113
Rekimoto, J.;114
Yamamoto, Y.;115
Ascione, F.;116
De Rossi, F.;117
Bianco, N.;118
