"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DISSCC%2C+2002+IEEE+International",2015/06/23 15:27:43
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"0.13μm 210GHz f<sub>T</sub> SiGe HBTs - expanding the horizons of SiGe BiCMOS","Joseph, A.; Coolbaugh, D.; Harame, D.; Freeman, C.; Subbarma, S.; Doherty, M.; Bunn, J.; Dickey, C.; Greenberg, D.; Groves, R.; Meghelli, M.; Rylyakov, A.; Sorna, M.; Schreiber, O.; Herman, D.; Tanji, T.","IBM, Essex Jct., VT","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","2","","138","438","This article consists of a collection of slides from the author's conference presentation. SiGe BiCMOS is in its fourth lithographic generation since introduction of the 0.5μm. The key component is the SiGebase HBT whose performance (f<sub>T</sub>, f<sub>MAX</sub>) is improved to >200GHz in the 0.13μm generation. Evolution and future directions of SiGe BiCMOS technology and product applications are reviewed. See also digest page 180.","","0-7803-7335-9","","10.1109/ISSCC.2002.992182","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=992182","","Annealing;BiCMOS integrated circuits;CMOS technology;Cutoff frequency;Etching;Germanium silicon alloys;Heterojunction bipolar transistors;Isolation technology;Resistors;Silicon germanium","","","","7","","","","","7-7 Feb. 2002","","IEEE","IEEE Conference Publications"
"High-Q FBAR filters in a wafer-level chip-scale package","Ruby, R.C.; Barfknecht, A.; Han, C.; Desai, Y.; Geefay, F.; Gan, G.; Gat, M.; Verhoeven, T.","Agilent, Newark, CA","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","2","","142","440","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00992184.png"" border=""0"">","","0-7803-7335-9","","10.1109/ISSCC.2002.992184","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=992184","","Bonding processes;Ceramics;Chip scale packaging;Costs;Film bulk acoustic resonators;Gaskets;Gold;SAW filters;Wafer bonding;Wafer scale integration","","","","0","","","","","7-7 Feb. 2002","","IEEE","IEEE Conference Publications"
"Polylithic integration of a SAW quartz-on-silicon oscillator for single-chip radio","Yeonwoo Ku; YunSeong Eo; Kwyro Lee","MICROS Research Center, KAIST","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","2","","144","145","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00992185.png"" border=""0"">","","0-7803-7335-9","","10.1109/ISSCC.2002.992185","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=992185","","Digital integrated circuits;Oscillators;Phase noise;Radio frequency;Silicon;Surface acoustic waves;Temperature dependence;Temperature sensors;Wafer bonding;Wire","","","","0","","","","","7-7 Feb. 2002","","IEEE","IEEE Conference Publications"
"The core clock system on the next-generation ltaniumlm microprocessor","Anderson, F.E.; Wells, J.S.; Berta, E.Z.","Intel Corp.","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","2","","110","424","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00992166.png"" border=""0"">","","0-7803-7335-9","","10.1109/ISSCC.2002.992166","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=992166","","Clocks;Couplings;Delay estimation;Geometry;Impedance;Microprocessors;Optical design;Power dissipation;Solid modeling;Wire","","","","1","","","","","7-7 Feb. 2002","","IEEE","IEEE Conference Publications"
"A 0.8 W HDTV video processor with simultaneous decoding of two MPEG2 MP@HL streams and capable of 30 frames/s reverse playback","Yamauchi, H.; Okada, S.; Taketa, K.; Matsuda, Y.; Mori, T.; Okada, S.; Watanabe, T.; Harada, Y.; Matsudaira, M.; Matsushita, Y.","Sanyo Electr. Co. Ltd., Gifu, Japan","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","1","","372","474 vol.1","A HDTV video processor with decoding/display of two MPEG MP@HL streams and reverse playback with smooth 30 frames/s without frame skip uses a 0.18 /spl mu/m 5-layer process in 6.86/spl times/6.86 mm/sup 2/ and 5.7M transistors. It is for home multimedia and mobile TV applications. It operates at 135 MHz and 0.8 W at 1.8 V.","","0-7803-7335-9","","10.1109/ISSCC.2002.993087","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993087","","Clocks;Decoding;Digital signal processing;Displays;Engines;Frequency;HDTV;SDRAM;Streaming media;Video recording","decoding;digital signal processing chips;high definition television;multimedia communication;television receivers;video coding","0.18 micron;0.8 W;1.8 V;135 MHz;6.86 mm;HDTV video processor;MPEG2 MP@HL streams;five-layer process;frame skip;home multimedia applications;mobile TV applications;reverse playback capability;simultaneous decoding","","7","","","","","7-7 Feb. 2002","03 Feb 2002-07 Feb 2002","IEEE","IEEE Conference Publications"
"50 Gb/s SiGe BiCMOS 4:1 multiplexer and 1:4 demultiplexer for serial communication systems","Meghelli, M.; Rylyakov, A.V.; Lei Shan","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","1","","260","465 vol.1","SiGe BiCMOS 4:1 multiplexer and 1:4 demultiplexer ICs targeting SONET OC-768 applications are packaged to enable bit-error-rate testing by connecting their serial interfaces. Operation is error-free for both circuits at data rates >50 Gb/s and -3.6 V supply.","","0-7803-7335-9","","10.1109/ISSCC.2002.993035","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993035","","Bandwidth;BiCMOS integrated circuits;Circuit testing;Clocks;Germanium silicon alloys;Latches;Multiplexing;Packaging;SONET;Silicon germanium","BiCMOS digital integrated circuits;Ge-Si alloys;SONET;demultiplexing equipment;error statistics;high-speed integrated circuits;integrated circuit packaging;integrated circuit testing;multiplexing equipment;semiconductor materials;telecommunication equipment testing;time division multiplexing","-3.6 V;0.18 micron;50 Gbit/s;BER testing;SONET OC-768 applications;SiGe;SiGe BiCMOS technology;bit error rate testing;ceramic substrate;composite housing;high-speed V-connectors;on-wafer test;package;serial communications systems;time division demultiplexer ICs;time division multiplexer ICs;tree architecture","","8","","","","","7-7 Feb. 2002","03 Feb 2002-07 Feb 2002","IEEE","IEEE Conference Publications"
"A 43Gb/s full-rate-clock 4:1 multiplexer in InP-based HEMT technology","Nakasha, Y.; Suzuki, T.; Kano, H.; Ohya, A.; Sawada, K.; Makiyama, K.; Takahashi, T.; Nishi, M.; Hirose, T.; Takikawa, M.; Watanabe, Y.","Fujitsu Laboratories, Ltd.","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","2","","148","442","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00992187.png"" border=""0"">","","0-7803-7335-9","","10.1109/ISSCC.2002.992187","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=992187","","Capacitors;Clocks;FETs;HEMTs;Inductors;Logic design;Multiplexing;Switches;Timing;Variable structure systems","","","","3","","","","","7-7 Feb. 2002","","IEEE","IEEE Conference Publications"
"Noise cancelling in wideband CMOS LNAs","Bruccoleri, F.; Klumperink, E.A.M.; Nauta, B.","MESA+ Res. Inst., Twente Univ., Enschede, Netherlands","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","1","","406","407 vol.1","A noise-cancelling technique in a wideband LNA achieves low noise figure (NF) and source impedance matching without global feedback. The 0.25 μm LNA provides <2.4 dB NF from 0.01-2 GHz, total voltage gain is 13.7 dB, -3 dB bandwidth is 0.01-1.6 GHz, S/sub 12/ is <-36 dB, and S/sub 11/ is <-10 dB. IIP2 is 12 dBm, and IIP3 is 0 dBm drawing 14 mA at 2.5 V.","","0-7803-7335-9","","10.1109/ISSCC.2002.993104","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993104","","Broadband amplifiers;Cable TV;Frequency;Impedance matching;Negative feedback;Noise cancellation;Noise figure;Noise measurement;Resistors;Wideband","CMOS analogue integrated circuits;UHF amplifiers;UHF integrated circuits;impedance matching;integrated circuit noise;interference suppression;wideband amplifiers","0.01 to 2 GHz;0.25 micron;1.59 GHz;13.7 dB;14 mA;2.4 dB;2.5 V;low-noise amplifiers;noise-cancelling technique;source impedance matching;wideband CMOS LNA","","62","7","","","","7-7 Feb. 2002","03 Feb 2002-07 Feb 2002","IEEE","IEEE Conference Publications"
"A 0.18 /spl mu/m CMOS direct-conversion receiver front-end for UMTS","Manstretta, D.; Castello, R.; Gatta, F.; Rossi, P.; Svelto, F.","Pavia Univ., Italy","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","1","","240","463 vol.1","The authors present a direct-conversion receiver front-end IC which contains LNA, quadrature mixers and VGAs, realized in 0.18 μm CMOS technology. It has +48.8 dBm IIP2, -6 dBm in band IIP3 (-2 dBm out of band 113), 6.2 dB DSB NF integrated in a 10 kHz-1.92 MHz band and draws 15 mA from a 1.8 V supply.","","0-7803-7335-9","","10.1109/ISSCC.2002.993025","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993025","","1f noise;3G mobile communication;Gain;Low-noise amplifiers;Noise figure;Radio frequency;Radio transmitters;Radiofrequency amplifiers;Receivers;Signal to noise ratio","CMOS analogue integrated circuits;UHF integrated circuits;UHF mixers;cellular radio;radio receivers","0.18 micron;1.8 V;1.98 to 2.1 GHz;10 kHz to 1.92 MHz;15 mA;CMOS direct-conversion receiver front-end;LNA;UMTS receiver;quadrature mixers;wireless receivers","","19","3","","","","7-7 Feb. 2002","03 Feb 2002-07 Feb 2002","IEEE","IEEE Conference Publications"
"An 8-way VLIW embedded multimedia processor built in 7-layer metal 0.11 /spl mu/m CMOS technology","Okano, H.; Suga, A.; Shiota, T.; Takebe, Y.; Nakamura, Y.; Higaki, N.; Kimura, H.; Miyake, H.; Satoh, T.; Kawasaki, K.; Sasagawa, R.; Shibamoto, W.; Sasaki, M.; Ando, N.; Yamana, T.; Fukushi, I.; Tago, S.; Hayakawa, F.; Kamigata, T.; Imai, S.; Satoh, A.; Hatta, Y.; Nishimura, N.; Asada, Y.; Satoh, T.; Sukemura, T.; Ando, S.; Takahashi, H.","Fujitsu Labs. Ltd., Kanagawa, Japan","Solid-State Circuits Conference, 2002. Digest of Technical Papers. ISSCC. 2002 IEEE International","20020807","2002","1","","374","375 vol.1","A 533 MHz 2.5 W 2132 MIPS 12.8 GOPS 2.1 GFLOPS 8-way VLIW embedded multimedia processor occupies a 7.8/spl times/7.8 mm/sup 2/ die in a 7-layer metal 0.11 /spl mu/m CMOS at 1.2 V. VLIW, SIMD, dynamic branch prediction, non-aligned dual load/store mechanism and a crosstalk-aware design flow contribute to performance.","","0-7803-7335-9","","10.1109/ISSCC.2002.993088","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993088","","CMOS process;CMOS technology;Crosstalk;Decoding;Delay effects;Delay estimation;Frequency;History;Repeaters;VLIW","CMOS digital integrated circuits;crosstalk;digital signal processing chips;embedded systems;integrated circuit design;multimedia communication;multimedia computing;parallel architectures","0.11 micron;1.2 V;2.1 GFLOPS;2.5 W;2132 MIPS;533 MHz;7.8 mm;SIMD;VLIW embedded multimedia processor;crosstalk-aware design flow;dynamic branch prediction;nonaligned dual load/store mechanism;processor performance;seven-layer metal CMOS technology","","2","","","","","7-7 Feb. 2002","03 Feb 2002-07 Feb 2002","IEEE","IEEE Conference Publications"
