"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DISSCC%2C+1999+IEEE+International",2015/06/23 15:26:08
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"1999 IEEE International Solid-State Circuits Conference. Digest of Technical Papers. ISSCC. First Edition [Front Cover and Table of Contents]","","","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","1","","Presents the table of contents/splash page of the proceedings record.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759066","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759066","","","DRAM chips;SRAM chips;analogue integrated circuits;asynchronous transfer mode;digital signal processing chips;digital subscriber lines;disc drives;ferroelectric storage;flash memories;image sensors;micromechanical devices;microprocessor chips;modulators;multimedia systems;optical links;synchronisation","ADCs;ATM;DRAM;DSPs;MEMS;RF analogue technologies;clocking;communications techniques;digital circuits;disk drives;ferro memory;flash memory;high-speed SRAM;image sensors;microprocessors;microsystems;modulators;multimedia processors;optical links;synchronization;wireless circuits;xDSL signal processors","","0","","","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
"Partially-depleted SOI technology for digital logic","Shahidi, G.G.; Ajmera, A.; Assaderaghi, F.; Bolam, R.J.; Leobandung, E.; Rausch, W.; Sankus, D.; Schepis, D.; Wagner, L.F.; Kun Wu; Davari, B.","Microelectron. Div., IBM Corp., East Fishkill, NY, USA","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","426","427","This partially-depleted (PD) silicon on insulator (SOI) technology results in 20-35% performance gain over a comparable bulk technology. A number of SOI-unique effects that complicate device and circuit design are discussed, along with possible remedies. A fully functional 32 bit microprocessor, operating at >500 MHz, demonstrates this SOI technology.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759337","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759337","","CMOS logic circuits;CMOS technology;Delay effects;Frequency;History;Microprocessors;Operating systems;Performance gain;Phase locked loops;Uncertainty","CMOS digital integrated circuits;CMOS logic circuits;integrated circuit design;integrated circuit technology;microprocessor chips;silicon-on-insulator","0.25 micron;32 bit;500 MHz;PD SOI technology;Si;circuit design;device design;digital logic;microprocessor implementation;partially-depleted SOI technology","","36","8","","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
"Clock dithering for electromagnetic compliance using spread spectrum phase modulation","Yongsam Moon; Deog-Kyoon Jeong; Gyudong Kim","Seoul Nat. Univ., South Korea","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","186","187","As more electronic systems operate at higher frequencies and bandwidths, they tend to emit more electromagnetic interference (EMI). Due to lack of shielding, portable systems such as notebook computers have come under increasing pressure to comply with strict EMI emission regulations, such as FCC and CISPR. The data bus and the clock are major EMI sources because they conduct high currents and form large loops. This paper focuses on spreading the frequency-spectra of the clock and data signals to reduce their peak EMI emissions for EM compatibility. In a similar work, noise is intentionally injected onto a VCO control voltage in a clock PLL to achieve the effect of frequency modulation. In this case, the phase of the dithered clock varies unpredictably so mixing of both dithered and non-dithered clocks within the same system is avoided. In the proposed scheme, the phase difference between two arbitrary edges is limited within half a period. Hence, it is more practical in real system applications. Since it is implemented with a delay-locked loop (DLL), there are no PLL problems such as accumulated phase error, difficulties in designing stable loop filters, or area costs.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759187","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759187","","Bandwidth;Clocks;Electromagnetic interference;Electromagnetic shielding;FCC;Frequency;Phase locked loops;Portable computers;Voltage control;Voltage-controlled oscillators","clocks;delay lock loops;electromagnetic compatibility;phase locked loops;phase modulation;spread spectrum communication;voltage-controlled oscillators","CISPR;EMI emission regulations;FCC;VCO control voltage;clock PLL;clock dithering;delay-locked loop;electromagnetic compliance;phase difference;portable systems;real system applications;spread spectrum phase modulation","","10","2","2","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
"SOI technology performance and modelling","Pelloie, J.L.; Auberton-Herv, A.J.; Raynaud, C.; Faynot, O.","CEA, Centre d'Etudes Nucleaires de Grenoble, France","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","428","429","Power consumption is now a major concern for high-performance digital systems and portable applications. The most efficient technological approach for reducing power consumption is power-supply voltage (V/sub dd/) scaling. Threshold voltage (V/sub t/) must consequently be reduced to maintain speed but its lowest value is set by the maximum tolerable off-current (I/sub off/). Various SOI device architectures (fully-depleted or FD, partially or non-fully depleted or PD) are suggested and used either for high-speed or low-power applications. Emergence of CMOS/SOI technologies was not possible in the past because of the lack of a reliable SOI substrate in large quantities. SIMOX substrate quality is improved, and SOI substrates are now available using different wafer-bonding techniques. From a technology point of view, SOI is now mature enough to be used in commercial products.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759338","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759338","","Inverters;Length measurement;MOSFET circuits;Solid modeling;Solid state circuits;Voltage","digital integrated circuits;integrated circuit modelling;integrated circuit technology;low-power electronics;silicon-on-insulator;wafer bonding","SIMOX substrate quality;SOI technology;fully-depleted;high-performance digital systems;low-power applications;maximum tolerable off-current;nonfully depleted;portable applications;power consumption;power-supply voltage scaling;threshold voltage;wafer-bonding techniques","","8","6","8","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
"PowerDAC: a single-chip audio DAC with a 70%-efficient power stage in 0.5 /spl mu/m CMOS","Philips, K.; van den Homberg, J.; Dijkmans, C.","Philips Res. Lab., Eindhoven, Netherlands","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","154","155","The path from digital (audio) input to analog output power normally consists of a D/A converter, a low-pass filter and a class AB amplifier (having low overall power efficiency). Generally this is a two-chip solution with a D/A converter and an amplifier implemented in different technologies. This paper presents a single-chip digital amplifier combining bitstream D/A conversion with a power-efficient switching output stage (class D) without intermediate filtering. The circuit is implemented in 0.5 /spl mu/m standard CMOS technology.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759171","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759171","","CMOS digital integrated circuits;Clocks;Digital filters;Driver circuits;Power amplifiers;Power measurement;Semiconductor device measurement;Shape measurement;Solid state circuits;Switching circuits","CMOS integrated circuits;Hi-Fi equipment;audio-frequency amplifiers;circuit feedback;digital-analogue conversion;mixed analogue-digital integrated circuits;power amplifiers;switching circuits","0.5 micron;1 MHz;2 W;5 V;70 percent;D/A converter;PowerDAC;bitstream D/A conversion;class AB amplifier;class D output stage;digital stereo power amplifier;low-pass filter;power stage;power-efficient switching output stage;single-chip audio DAC;single-chip digital amplifier;standard CMOS technology","","10","3","1","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
"A 15/spl times/15 mm/sup 2/ single-chip fingerprint sensor and identifier using pixel-parallel processing","Shigematsu, S.; Morimura, H.; Tanabe, Y.; Machida, K.","NTT Integrated Inf. & Energy Syst. Labs., Kanagawa, Japan","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","138","139","User authentication using fingerprints is strongly needed to prevent IC cards and mobile equipment from being used illegally. Some semiconductor sensor chips for fingerprint identification have been presented. However, they require a high-performance microprocessor and large memories, which makes it difficult to embed these chips in small, thin devices. Moreover, it is easy to tamper with the personal data in the microprocessor, memory and sensor chips because they are separate. Incorporating a sensor and identifier in a single chip solves these problems. The LSI architecture integrates the sensor and identifier in a single chip, and provides a sensor-unified fingerprint identifying LSI.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759164","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759164","","Chemical sensors;Circuits;Fingerprint recognition;Fingers;Image matching;Laboratories;Large scale integration;Microprocessors;Sensor arrays;Sensor phenomena and characterization","fingerprint identification;image sensors;large scale integration;parallel processing;pattern recognition equipment","LSI architecture;fingerprint identifying LSI;pixel-parallel processing;single-chip fingerprint sensor","","1","1","5","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
"A 300 Mb/s BiCMOS disk drive channel with adaptive analog equalizer","Bishop, A.; Chan, I.; Aronson, S.; Moran, P.; Hen, K.; Cheng, R.; Fitzpatrick, K.K.; Stander, J.; Chik, R.; Kshonze, K.; Aliahmad, M.; Ngai, J.; He, H.; daVeiga, E.; Bolte, P.; Krasuk, C.; Cerqua, B.; Brown, R.; Ziperovich, P.; Fisher, K.","Quatum Corp., Shrewsbury, MA, USA","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","46","49","This complete disk drive read-write channel device combines the functions of channel equalization with analog Nyquist filtering. This chip includes circuitry performing the following read channel functions: Viterbi sequence detection; 24/25 rate coding; synchronous digital servo processing; write pre-compensation; clock synthesis; and support for multiple power modes. The channel performs maximum likelihood sequence detection to a new partial response target optimized for channel densities in the range 1.8-3.0b per PW50. Additional features of the chip include: two-stage thermal asperity correction; non-linear MR asymmetry correction; on-chip quality monitoring; dual mode-6b in data mode and 7b in servo mode-analog to digital converter (ADC); gain-insensitive zerophase restart circuitry; as well as analog and digital test features.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759090","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759090","","BiCMOS integrated circuits;Circuit synthesis;Circuit testing;Clocks;Disk drives;Equalizers;Filtering;Maximum likelihood detection;Servomechanisms;Viterbi algorithm","BiCMOS integrated circuits;Viterbi detection;adaptive equalisers;analogue-digital conversion;disc drives;hard discs;maximum likelihood detection;partial response channels","300 Mbit/s;BiCMOS;Viterbi sequence detection;adaptive analog equalizer;analog Nyquist filtering;analog to digital converter;channel densities;channel equalization;clock synthesis;disk drive channel;gain-insensitive zerophase restart circuitry;maximum likelihood sequence detection;multiple power modes;nonlinear MR asymmetry correction;on-chip quality monitoring;partial response target;synchronous digital servo processing;two-stage thermal asperity correction;write pre-compensation","","9","1","3","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
"A 12 b digital-background-calibrated algorithmic ADC with -90 dB THD","Erdogan, O.E.; Hurst, P.J.; Lewis, S.H.","California Univ., Davis, CA, USA","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","316","317","The linearity of analog-to-digital converters (ADCs) is often limited by component mismatches. Trimming can be used to achieve high linearity but cannot track variations over time caused by component aging or by temperature and power-supply changes. Background calibration overcomes this limitation. However, previous background-calibration methods require complicated post processing, occupy some of the range of the analog signal under conversion, or are tailored for a specific type of converter. This ADC uses a queue-based architecture for creating calibration time slots without disturbing the sampling of the input signal. The digital background calibration uses an adaptive algorithm to improve linearity. The queue-based architecture for generating the calibration time slots and the digital-background-calibration method are independent and can be used separately.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759266","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759266","","CMOS process;Calibration;Frequency;Latches;Pipelines;Power dissipation;Sampling methods;Solid state circuits","adaptive signal processing;analogue-digital conversion;calibration","12 bit;THD;adaptive algorithm;calibration time slots;component mismatches;digital-background-calibrated algorithmic ADC;linearity;queue-based architecture","","3","1","5","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
"Multi-phase-driven split-word-line ferroelectric memory without plate line","Kang, H.B.; Kim, D.M.; Oh, K.Y.; Roh, J.S.; Kim, J.J.; Ahn, J.H.; Lee, H.G.; Kim, D.C.; Jo, W.; Lee, H.M.; Cho, S.M.; Nam, H.J.; Lee, J.W.; Kim, C.S.","LG Semicond., Cheongju, South Korea","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","108","109","A working methodology bypasses the conventional cell plate line (PL), mitigating its disadvantages. The methodology utilizes split word lines (SWLs), driven by multi-phased voltage signals. In this scheme there is no need for PL and additional elements, and fabrication is simple and compatible with downscaling of cell area.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759155","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759155","","Capacitors;Electrodes;Fabrication;Ferroelectric materials;Logic;Polarization;Random access memory;Switches;Temperature;Voltage","cellular arrays;ferroelectric storage;random-access storage","cell area;downscaling;multi-phase-driven circuit;multi-phased voltage signals;split-word-line ferroelectric memory","","2","1","1","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
"A 100 frame/s CMOS active pixel sensor for 3D-gesture recognition system","Miura, H.; Ishiwata, H.; Lida, Y.; Matunaga, Y.; Numazaki, S.; Morisita, A.; Umeki, N.; Doi, M.","Res. & Dev. Center, Toshiba Corp., Kawasaki, Japan","Solid-State Circuits Conference, 1999. Digest of Technical Papers. ISSCC. 1999 IEEE International","20020806","1999","","","142","143","A natural man-machine interface requires gesture recognition. In gesture-recognition technologies, extraction of the target image (for example a hand or an arm) from its background images is the most important technology. Generally, gesture recognition requires 3D extraction at over 60 frames/s. However, extraction frame rate has been slow. Here, real-time 3D object extraction is by a recognition system which consists of a CMOS image sensor and infrared light emitting diodes (LED). The CMOS image sensor features two storage capacitors per pixel, on-chip column differential circuits, and 8b analog-to-digital converter (ADC). The extraction camera with LEDs and the CMOS sensor produces a high-quality 3D image using a 3.3V supply and consuming 50mW for the image sensor.","0193-6530","0-7803-5126-6","","10.1109/ISSCC.1999.759166","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=759166","","CMOS image sensors;CMOS technology;Capacitors;Image recognition;Image storage;Infrared image sensors;Light emitting diodes;Pixel;Real time systems;User interfaces","CMOS image sensors;feature extraction;gesture recognition;real-time systems","3.3 V;3D-gesture recognition system;50 mW;8 bit;CMOS image sensor;active pixel sensor;background images;extraction frame rate;infrared light emitting diodes;natural man-machine interface;on-chip column differential circuits;real-time 3D object extraction;storage capacitors;target image","","5","21","1","","","17-17 Feb. 1999","15 Feb 1999-17 Feb 1999","IEEE","IEEE Conference Publications"
